,Temperature
Sheet,1010060340
Datetime,
2016-09-06 01:39:39,35.9
2016-09-06 02:39:39,32.8
2016-09-06 03:39:39,32.9
2016-09-06 04:39:39,32.7
2016-09-06 05:39:39,31.9
2016-09-06 06:39:39,30.8
2016-09-06 07:39:39,30.1
2016-09-06 08:39:39,29.6
2016-09-06 09:39:39,29.1
2016-09-06 10:39:39,28.4
2016-09-06 11:39:39,27.9
2016-09-07 01:39:39,27.2
2016-09-07 02:39:39,26.7
2016-09-07 03:39:39,26.3
2016-09-07 04:39:39,25.9
2016-09-07 05:39:39,25.4
2016-09-07 06:39:39,25.1
2016-09-07 07:39:39,25.8
2016-09-07 08:39:39,26.7
2016-09-07 09:39:39,27.9
2016-09-07 10:39:39,29.1
2016-09-07 11:39:39,29.7
2016-09-07 12:39:39,27.5
2016-09-08 01:39:39,27.1
2016-09-08 02:39:39,26.4
2016-09-08 03:39:39,25.9
2016-09-08 04:39:39,25.4
2016-09-08 05:39:39,25.0
2016-09-08 06:39:39,24.7
2016-09-08 07:39:39,25.9
2016-09-08 08:39:39,26.9
2016-09-08 09:39:39,28.1
2016-09-08 10:39:39,29.0
2016-09-08 11:39:39,30.0
2016-09-08 12:39:39,27.4
2016-09-09 01:39:39,27.4
2016-09-09 02:39:39,27.1
2016-09-09 03:39:39,26.8
2016-09-09 04:39:39,26.4
2016-09-09 05:39:39,26.0
2016-09-09 06:39:39,25.6
2016-09-09 07:39:39,26.7
2016-09-09 08:39:39,27.8
2016-09-09 09:39:39,29.1
2016-09-09 10:39:39,30.2
2016-09-09 11:39:39,31.2
2016-09-09 12:39:39,27.7
2016-09-10 01:39:39,27.5
2016-09-10 02:39:39,27.0
2016-09-10 03:39:39,26.5
2016-09-10 04:39:39,25.7
2016-09-10 05:39:39,25.3
2016-09-10 06:39:39,24.9
2016-09-10 07:39:39,24.8
2016-09-10 08:39:39,24.3
2016-09-10 09:39:39,24.9
2016-09-10 10:39:39,25.3
2016-09-10 11:39:39,25.7
2016-09-10 12:39:39,28.2
2016-09-11 01:39:39,23.3
2016-09-11 02:39:39,23.1
2016-09-11 03:39:39,23.1
2016-09-11 04:39:39,23.3
2016-09-11 05:39:39,22.6
2016-09-11 06:39:39,22.8
2016-09-11 07:39:39,21.6
2016-09-11 08:39:39,22.9
2016-09-11 09:39:39,23.6
2016-09-11 10:39:39,23.9
2016-09-11 11:39:39,25.2
2016-09-11 12:39:39,23.9
2016-09-12 01:39:39,24.3
2016-09-12 02:39:39,24.1
2016-09-12 03:39:39,23.8
2016-09-12 04:39:39,23.7
2016-09-12 05:39:39,23.4
2016-09-12 06:39:39,23.6
2016-09-12 07:39:39,23.4
2016-09-12 08:39:39,24.1
2016-09-12 09:39:39,24.2
2016-09-12 10:39:39,25.7
2016-09-12 11:39:39,26.7
2016-09-12 12:39:39,24.6
2016-09-13 01:39:39,25.0
2016-09-13 02:39:39,24.6
2016-09-13 03:39:39,24.1
2016-09-13 04:39:39,23.8
2016-09-13 05:39:39,23.4
2016-09-13 06:39:39,23.8
2016-09-13 07:39:39,25.5
2016-09-13 08:39:39,26.6
2016-09-13 09:39:39,28.2
2016-09-13 10:39:39,29.1
2016-09-13 11:39:39,30.2
2016-09-13 12:39:39,25.8
2016-09-14 01:39:39,23.8
2016-09-14 02:39:39,23.4
2016-09-14 03:39:39,23.2
2016-09-14 04:39:39,23.0
2016-09-14 05:39:39,22.7
2016-09-14 06:39:39,22.5
2016-09-14 07:39:39,22.6
2016-09-14 08:39:39,22.6
2016-09-14 09:39:39,23.8
2016-09-14 10:39:39,24.6
2016-09-14 11:39:39,24.9
2016-09-14 12:39:39,24.1
2016-09-15 01:39:39,24.2
