date_time,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2014-02-01 00:00:00,20,22,24,22,30,68,90,0.0,1013,22,5,160,16
2014-02-01 01:00:00,20,22,24,22,28,77,90,0.0,1013,22,4,157,14
2014-02-01 02:00:00,20,21,24,21,27,86,90,0.0,1013,21,3,153,17
2014-02-01 03:00:00,20,21,24,21,26,96,90,0.0,1012,21,2,150,15
2014-02-01 04:00:00,20,22,24,22,26,97,88,0.0,1013,22,4,149,16
2014-02-01 05:00:00,20,25,25,22,25,99,87,0.0,1013,22,7,149,12
2014-02-01 06:00:00,20,25,25,23,25,100,85,0.0,1014,23,9,149,12
2014-02-01 07:00:00,20,25,25,23,23,99,83,0.0,1013,23,7,144,12
2014-02-01 08:00:00,20,26,26,24,24,99,80,0.0,1013,24,4,139,15
2014-02-01 09:00:00,21,27,27,25,25,98,78,0.0,1013,25,2,134,15
2014-02-01 10:00:00,21,28,28,26,26,78,75,0.0,1012,26,3,129,15
2014-02-01 11:00:00,21,29,29,27,25,59,72,0.0,1011,27,4,124,13
2014-02-01 12:00:00,22,30,30,28,22,39,69,0.0,1010,28,5,119,12
2014-02-01 13:00:00,22,31,31,28,20,38,67,0.0,1009,28,7,116,11
2014-02-01 14:00:00,22,32,32,29,19,38,65,0.0,1009,29,8,113,7
2014-02-01 15:00:00,22,33,33,30,18,37,64,0.0,1008,30,10,109,8
2014-02-01 16:00:00,22,31,31,28,18,51,70,0.0,1009,28,10,106,8
2014-02-01 17:00:00,22,29,29,27,19,65,76,0.0,1010,27,10,104,8
2014-02-01 18:00:00,22,27,27,25,17,79,82,0.0,1010,25,10,101,8
2014-02-01 19:00:00,22,27,27,25,16,73,84,0.0,1011,25,10,100,8
2014-02-01 20:00:00,22,27,27,25,15,67,87,0.0,1011,25,10,99,9
2014-02-01 21:00:00,22,27,27,24,14,61,89,0.0,1011,24,10,98,9
2014-02-01 22:00:00,22,26,26,24,13,67,91,0.0,1011,24,7,103,8
2014-02-01 23:00:00,23,26,26,24,12,74,94,0.0,1011,24,5,108,7
2014-02-02 00:00:00,23,26,26,23,11,80,96,0.0,1010,23,2,114,7
2014-02-02 01:00:00,23,26,26,23,9,87,96,0.0,1010,23,1,119,6
2014-02-02 02:00:00,22,25,25,23,8,93,97,0.0,1010,23,1,124,5
2014-02-02 03:00:00,22,25,25,23,6,100,97,0.0,1010,23,0,130,4
2014-02-02 04:00:00,23,26,26,24,5,92,93,0.0,1010,24,3,138,3
2014-02-02 05:00:00,23,27,27,25,3,83,89,0.0,1010,25,7,146,3
2014-02-02 06:00:00,22,27,27,24,2,75,85,0.0,1011,24,10,155,2
2014-02-02 07:00:00,22,28,28,26,2,72,77,0.0,1010,26,10,164,1
2014-02-02 08:00:00,22,30,30,27,6,69,68,0.0,1010,27,10,172,1
2014-02-02 09:00:00,22,32,32,29,9,66,60,0.0,1009,29,10,181,1
2014-02-02 10:00:00,22,33,33,30,9,55,57,0.2,1008,30,10,149,2
2014-02-02 11:00:00,22,34,34,30,9,86,54,0.2,1008,30,9,117,2
2014-02-02 12:00:00,22,35,35,31,9,31,51,0.0,1007,31,9,85,3
2014-02-02 13:00:00,22,35,35,31,8,33,54,0.0,1006,31,9,92,6
2014-02-02 14:00:00,22,36,36,32,12,34,56,0.0,1006,32,9,99,9
2014-02-02 15:00:00,23,37,37,32,16,36,58,0.0,1006,32,9,106,12
2014-02-02 16:00:00,23,34,34,30,23,39,66,0.0,1007,30,7,113,14
2014-02-02 17:00:00,22,33,33,29,25,75,75,1.6,1008,29,5,120,16
2014-02-02 18:00:00,22,31,31,28,29,77,84,2.1,1010,28,3,128,18
2014-02-02 19:00:00,22,29,29,27,31,51,86,1.1,1010,27,4,129,15
2014-02-02 20:00:00,22,28,28,26,33,55,88,1.3,1011,26,6,131,17
2014-02-02 21:00:00,23,27,27,24,36,60,91,1.8,1012,24,7,132,18
2014-02-02 22:00:00,23,26,26,24,33,71,92,0.5,1012,24,6,135,21
2014-02-02 23:00:00,22,26,26,24,33,82,94,1.8,1012,24,4,138,20
2014-02-03 00:00:00,22,26,26,23,27,93,95,2.0,1012,23,3,141,19
2014-02-03 01:00:00,22,25,25,23,27,95,95,0.0,1012,23,5,143,19
2014-02-03 02:00:00,22,25,25,23,26,98,94,0.0,1012,23,7,146,18
2014-02-03 03:00:00,21,25,25,22,25,100,94,0.0,1012,22,9,148,18
2014-02-03 04:00:00,21,25,25,22,25,88,92,0.0,1013,22,9,147,18
2014-02-03 05:00:00,21,25,25,23,29,77,90,0.1,1013,23,9,145,18
2014-02-03 06:00:00,21,25,25,23,29,65,88,0.1,1014,23,9,144,18
2014-02-03 07:00:00,21,26,26,23,29,58,81,0.2,1013,23,9,142,19
2014-02-03 08:00:00,21,26,26,24,30,51,74,0.2,1013,24,9,139,20
2014-02-03 09:00:00,20,27,27,25,34,72,67,0.1,1013,25,9,137,21
2014-02-03 10:00:00,20,28,28,26,37,47,64,0.0,1012,26,9,134,25
2014-02-03 11:00:00,20,29,29,27,38,50,61,0.0,1011,27,10,131,21
2014-02-03 12:00:00,20,30,30,28,36,54,57,0.0,1011,28,10,127,20
2014-02-03 13:00:00,20,30,30,28,34,42,59,0.0,1010,28,10,128,21
2014-02-03 14:00:00,21,32,32,29,34,29,61,0.0,1010,29,9,129,21
2014-02-03 15:00:00,21,31,31,29,35,17,63,0.0,1009,29,9,130,21
2014-02-03 16:00:00,21,30,30,27,35,16,68,0.0,1010,27,9,130,20
2014-02-03 17:00:00,21,28,28,26,35,16,74,0.0,1011,26,9,131,18
2014-02-03 18:00:00,21,27,27,25,34,15,79,0.0,1011,25,9,132,17
2014-02-03 19:00:00,21,26,26,24,31,33,82,0.0,1012,24,9,134,16
2014-02-03 20:00:00,21,25,25,23,29,51,85,0.0,1012,23,10,136,15
2014-02-03 21:00:00,21,25,25,23,28,69,88,0.0,1013,23,10,138,14
2014-02-03 22:00:00,20,25,25,22,25,65,90,0.0,1013,22,10,142,13
2014-02-03 23:00:00,20,22,24,22,22,61,91,0.0,1012,22,10,146,12
2014-02-04 00:00:00,20,22,24,22,16,57,92,0.0,1012,22,10,150,10
2014-02-04 01:00:00,20,21,24,21,15,52,92,0.0,1012,21,10,155,10
2014-02-04 02:00:00,20,21,21,21,14,48,92,0.0,1012,21,10,161,9
2014-02-04 03:00:00,19,21,21,21,13,44,92,0.0,1012,21,10,167,8
2014-02-04 04:00:00,19,22,24,22,12,55,88,0.0,1012,22,10,172,8
2014-02-04 05:00:00,19,25,25,22,11,67,84,0.0,1012,22,10,177,8
2014-02-04 06:00:00,19,25,25,23,10,79,79,0.0,1013,23,10,182,8
2014-02-04 07:00:00,19,26,26,24,9,77,76,0.0,1012,24,10,166,8
2014-02-04 08:00:00,19,26,26,25,14,75,74,0.0,1011,25,10,150,7
2014-02-04 09:00:00,18,26,26,24,14,72,71,0.0,1011,24,10,133,7
2014-02-04 10:00:00,18,27,27,25,16,74,66,0.0,1010,25,10,126,9
2014-02-04 11:00:00,19,27,27,26,17,75,60,0.0,1009,26,10,118,10
2014-02-04 12:00:00,19,29,29,27,17,76,55,0.0,1008,27,10,111,11
2014-02-04 13:00:00,19,29,29,28,18,67,56,0.0,1008,28,10,111,11
2014-02-04 14:00:00,19,30,30,28,18,58,56,0.0,1007,28,10,110,11
2014-02-04 15:00:00,19,30,30,28,17,50,57,0.0,1007,28,10,110,10
2014-02-04 16:00:00,20,30,30,28,18,39,63,0.0,1007,28,10,110,9
2014-02-04 17:00:00,20,28,28,26,13,28,69,0.0,1008,26,10,110,8
2014-02-04 18:00:00,20,27,27,25,13,18,75,0.0,1009,25,10,110,6
2014-02-04 19:00:00,20,26,26,24,12,28,78,0.0,1009,24,10,113,6
2014-02-04 20:00:00,20,26,26,24,11,38,80,0.0,1009,24,10,116,5
2014-02-04 21:00:00,20,25,25,23,10,47,83,0.0,1010,23,10,118,5
2014-02-04 22:00:00,20,25,25,23,9,49,84,0.0,1009,23,10,105,5
2014-02-04 23:00:00,21,25,25,23,9,50,85,0.0,1009,23,10,91,4
2014-02-05 00:00:00,20,25,25,22,8,51,85,0.0,1009,22,10,77,4
2014-02-05 01:00:00,21,25,25,23,7,51,88,0.0,1009,23,10,65,4
2014-02-05 02:00:00,21,25,25,22,7,51,91,0.0,1008,22,10,53,3
2014-02-05 03:00:00,20,21,24,21,6,51,94,0.0,1008,21,10,41,3
2014-02-05 04:00:00,20,21,24,21,6,48,88,0.0,1008,21,10,134,4
2014-02-05 05:00:00,20,25,25,22,6,45,83,0.0,1008,22,10,228,4
2014-02-05 06:00:00,20,25,25,23,6,42,78,0.0,1008,23,10,322,5
2014-02-05 07:00:00,21,26,26,24,7,32,71,0.0,1008,24,10,327,6
2014-02-05 08:00:00,21,28,28,26,13,21,65,0.0,1007,26,10,333,8
2014-02-05 09:00:00,20,30,30,28,17,77,59,0.1,1007,28,10,338,9
2014-02-05 10:00:00,20,30,30,28,17,8,55,0.0,1006,28,10,343,10
2014-02-05 11:00:00,20,31,31,29,18,5,52,0.0,1005,29,10,347,10
2014-02-05 12:00:00,20,32,32,30,19,2,49,0.0,1004,30,10,351,10
2014-02-05 13:00:00,20,33,33,30,19,2,50,0.0,1004,30,10,235,10
2014-02-05 14:00:00,20,32,32,30,18,2,51,0.0,1003,30,10,120,9
2014-02-05 15:00:00,20,32,32,30,18,3,52,0.0,1002,30,10,4,9
2014-02-05 16:00:00,21,32,32,30,18,3,58,0.0,1003,30,10,11,8
2014-02-05 17:00:00,21,30,30,28,19,3,64,0.0,1004,28,10,18,7
2014-02-05 18:00:00,21,28,28,26,17,3,71,0.0,1005,26,10,25,6
2014-02-05 19:00:00,21,28,28,26,12,4,73,0.0,1005,26,10,27,6
2014-02-05 20:00:00,21,27,27,26,12,5,76,0.0,1005,26,10,29,6
2014-02-05 21:00:00,21,27,27,25,12,6,78,0.0,1005,25,10,32,6
2014-02-05 22:00:00,21,27,27,25,12,7,79,0.0,1005,25,10,26,6
2014-02-05 23:00:00,21,27,27,25,12,8,81,0.0,1005,25,10,20,6
2014-02-06 00:00:00,21,25,25,23,12,9,82,0.0,1006,23,10,14,6
2014-02-06 01:00:00,21,25,25,23,11,16,84,0.0,1006,23,10,122,5
2014-02-06 02:00:00,21,25,25,23,10,23,86,0.0,1006,23,10,229,5
2014-02-06 03:00:00,21,25,25,22,9,29,88,0.0,1006,22,10,337,4
2014-02-06 04:00:00,21,25,25,23,8,29,83,0.0,1006,23,10,343,4
2014-02-06 05:00:00,21,25,25,23,6,29,78,0.0,1006,23,10,349,5
2014-02-06 06:00:00,21,26,26,24,5,29,73,0.0,1006,24,10,355,5
2014-02-06 07:00:00,21,28,28,26,9,29,67,0.0,1006,26,10,239,5
2014-02-06 08:00:00,21,30,30,28,12,29,61,0.0,1006,28,10,124,5
2014-02-06 09:00:00,21,32,32,30,15,29,56,0.0,1005,30,10,8,5
2014-02-06 10:00:00,21,34,34,31,17,30,53,0.0,1005,31,10,14,5
2014-02-06 11:00:00,21,34,34,31,16,31,50,0.0,1004,31,10,20,6
2014-02-06 12:00:00,21,35,35,32,15,32,47,0.0,1003,32,10,26,6
2014-02-06 13:00:00,21,36,36,32,16,30,54,0.0,1004,32,9,60,11
2014-02-06 14:00:00,22,35,35,31,25,28,60,0.0,1004,31,8,95,15
2014-02-06 15:00:00,23,33,33,30,30,26,67,0.0,1004,30,7,130,20
2014-02-06 16:00:00,23,32,32,28,33,77,75,0.2,1005,28,7,132,19
2014-02-06 17:00:00,22,31,31,28,31,32,83,0.0,1006,28,7,135,18
2014-02-06 18:00:00,22,29,29,27,29,76,91,1.2,1007,27,7,138,18
2014-02-06 19:00:00,22,28,28,26,27,50,92,0.0,1008,26,8,138,17
2014-02-06 20:00:00,23,27,27,25,26,65,92,0.0,1008,25,9,138,17
2014-02-06 21:00:00,23,27,27,24,29,80,93,0.2,1009,24,10,137,17
2014-02-06 22:00:00,23,26,26,24,28,73,92,0.2,1009,24,10,141,16
2014-02-06 23:00:00,22,26,26,24,24,66,92,0.4,1009,24,10,145,16
2014-02-07 00:00:00,22,25,25,23,24,58,92,0.5,1010,23,10,149,16
2014-02-07 01:00:00,21,25,25,23,22,71,91,0.8,1010,23,10,150,15
2014-02-07 02:00:00,21,25,25,23,21,84,91,0.6,1010,23,9,151,14
2014-02-07 03:00:00,21,25,25,22,19,97,90,0.4,1009,22,9,152,12
2014-02-07 04:00:00,21,25,25,23,22,90,88,0.4,1010,23,9,153,15
2014-02-07 05:00:00,21,26,26,23,25,83,87,0.2,1010,23,9,155,18
2014-02-07 06:00:00,21,25,25,23,28,77,85,0.2,1011,23,9,156,21
2014-02-07 07:00:00,21,26,26,23,27,77,81,0.0,1011,23,9,153,20
2014-02-07 08:00:00,21,26,26,24,33,77,77,0.0,1010,24,10,150,24
2014-02-07 09:00:00,21,29,29,27,38,77,73,0.0,1010,27,10,147,24
2014-02-07 10:00:00,20,28,28,26,39,70,70,0.0,1009,26,10,140,21
2014-02-07 11:00:00,20,29,29,27,39,62,66,0.0,1009,27,10,132,22
2014-02-07 12:00:00,21,30,30,28,39,55,63,0.0,1008,28,10,125,24
2014-02-07 13:00:00,21,29,29,27,38,56,67,0.0,1008,27,9,123,22
2014-02-07 14:00:00,21,29,29,27,39,56,71,0.2,1008,27,8,121,21
2014-02-07 15:00:00,22,30,30,27,39,57,75,0.0,1008,27,7,120,20
2014-02-07 16:00:00,22,28,28,26,37,77,80,0.1,1009,26,7,126,19
2014-02-07 17:00:00,22,27,27,25,36,41,85,0.0,1009,25,7,132,18
2014-02-07 18:00:00,22,26,26,23,34,87,90,1.1,1010,23,7,138,18
2014-02-07 19:00:00,22,25,25,23,28,40,91,0.0,1010,23,8,140,17
2014-02-07 20:00:00,22,25,25,23,30,46,93,0.0,1011,23,9,142,16
2014-02-07 21:00:00,21,25,25,23,24,53,94,0.3,1011,23,10,144,15
2014-02-07 22:00:00,21,25,25,22,22,53,95,0.1,1011,22,10,146,14
2014-02-07 23:00:00,21,22,24,22,24,54,95,0.0,1011,22,10,147,13
2014-02-08 00:00:00,21,22,24,22,23,54,96,0.0,1011,22,10,149,12
2014-02-08 01:00:00,21,21,24,21,21,69,97,0.0,1011,21,7,151,10
2014-02-08 02:00:00,20,21,21,21,19,85,97,0.0,1010,21,3,152,9
2014-02-08 03:00:00,20,20,20,20,16,100,98,0.0,1010,20,0,153,8
2014-02-08 04:00:00,20,21,24,21,16,84,93,0.0,1010,21,3,152,7
2014-02-08 05:00:00,20,25,25,22,15,67,88,0.0,1011,22,7,151,7
2014-02-08 06:00:00,20,25,25,22,15,51,84,0.0,1011,22,10,150,6
2014-02-08 07:00:00,20,25,25,23,16,57,76,0.0,1010,23,10,136,6
2014-02-08 08:00:00,20,26,26,24,17,64,69,0.0,1010,24,10,121,5
2014-02-08 09:00:00,20,28,28,26,14,71,62,0.0,1010,26,10,106,4
2014-02-08 10:00:00,19,29,29,27,13,51,59,0.0,1009,27,10,90,4
2014-02-08 11:00:00,19,30,30,28,13,32,56,0.0,1008,28,10,74,4
2014-02-08 12:00:00,19,31,31,29,12,12,52,0.0,1007,29,10,58,4
2014-02-08 13:00:00,19,31,31,29,12,21,53,0.0,1007,29,10,63,5
2014-02-08 14:00:00,20,32,32,30,13,29,54,0.0,1006,30,10,68,6
2014-02-08 15:00:00,19,31,31,29,13,38,55,0.0,1006,29,10,72,7
2014-02-08 16:00:00,19,29,29,28,12,54,61,0.0,1007,28,10,73,8
2014-02-08 17:00:00,19,29,29,27,14,70,66,0.0,1008,27,10,73,8
2014-02-08 18:00:00,19,28,28,26,17,86,71,0.0,1009,26,10,74,9
2014-02-08 19:00:00,20,27,27,25,16,75,73,0.0,1009,25,10,81,9
2014-02-08 20:00:00,20,27,27,25,16,63,74,0.0,1010,25,10,89,9
2014-02-08 21:00:00,20,27,27,25,16,51,76,0.0,1010,25,10,97,9
2014-02-08 22:00:00,20,26,26,24,16,53,80,0.0,1010,24,10,107,10
2014-02-08 23:00:00,21,26,26,24,13,54,83,0.0,1010,24,10,117,11
