Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/6/2016","2:17:46 PM","17.3","41.9",
2,"9/6/2016","3:17:46 PM","19.1","34.7",
3,"9/6/2016","4:17:46 PM","19.8","34.5",
4,"9/6/2016","5:17:46 PM","20.2","33.2",
5,"9/6/2016","6:17:46 PM","22.6","30.9",
6,"9/6/2016","7:17:46 PM","24.1","29.3",
7,"9/6/2016","8:17:46 PM","25.3","28.4",
8,"9/6/2016","9:17:46 PM","26.2","27.7",
9,"9/6/2016","10:17:46 PM","27.5","27.1",
10,"9/6/2016","11:17:46 PM","28.8","26.5",
11,"9/7/2016","12:17:46 AM","30.4","26.1",
12,"9/7/2016","1:17:46 AM","31.2","25.5",
13,"9/7/2016","2:17:46 AM","32.1","24.8",
14,"9/7/2016","3:17:46 AM","33.1","23.9",
15,"9/7/2016","4:17:46 AM","34.6","23.7",
16,"9/7/2016","5:17:46 AM","35.9","23.1",
17,"9/7/2016","6:17:46 AM","36.1","22.6",
18,"9/7/2016","7:17:46 AM","38.7","23.9",
19,"9/7/2016","8:17:46 AM","40.6","25.9",
20,"9/7/2016","9:17:46 AM","38.1","28.1",
21,"9/7/2016","10:17:46 AM","35.5","30.2",
22,"9/7/2016","11:17:46 AM","32.8","31.9",
23,"9/7/2016","12:17:46 PM","30.1","33.2",
24,"9/7/2016","1:17:46 PM","28.1","34.2",
25,"9/7/2016","2:17:46 PM","26.3","35.4",
26,"9/7/2016","3:17:46 PM","24.5","35.7",
27,"9/7/2016","4:17:46 PM","23.1","35.2",
28,"9/7/2016","5:17:46 PM","23.3","34.0",
29,"9/7/2016","6:17:46 PM","26.5","31.0",
30,"9/7/2016","7:17:46 PM","25.9","29.4",
31,"9/7/2016","8:17:46 PM","26.4","28.3",
32,"9/7/2016","9:17:46 PM","27.3","27.4",
33,"9/7/2016","10:17:46 PM","29.4","27.0",
34,"9/7/2016","11:17:46 PM","30.8","26.6",
35,"9/8/2016","12:17:46 AM","32.3","26.0",
36,"9/8/2016","1:17:46 AM","34.9","25.9",
37,"9/8/2016","2:17:46 AM","36.8","25.1",
38,"9/8/2016","3:17:46 AM","33.8","24.3",
39,"9/8/2016","4:17:46 AM","33.7","23.4",
40,"9/8/2016","5:17:46 AM","34.3","22.7",
41,"9/8/2016","6:17:46 AM","35.0","22.3",
42,"9/8/2016","7:17:46 AM","37.1","23.6",
43,"9/8/2016","8:17:46 AM","39.9","25.8",
44,"9/8/2016","9:17:46 AM","39.2","27.9",
45,"9/8/2016","10:17:46 AM","37.9","29.7",
46,"9/8/2016","11:17:46 AM","34.9","31.3",
47,"9/8/2016","12:17:46 PM","32.3","33.1",
48,"9/8/2016","1:17:46 PM","30.6","33.9",
49,"9/8/2016","2:17:46 PM","28.5","34.7",
50,"9/8/2016","3:17:46 PM","27.7","35.4",
51,"9/8/2016","4:17:46 PM","26.1","34.8",
52,"9/8/2016","5:17:46 PM","25.7","33.7",
53,"9/8/2016","6:17:46 PM","29.5","31.4",
54,"9/8/2016","7:17:46 PM","31.0","29.9",
55,"9/8/2016","8:17:46 PM","31.7","29.1",
56,"9/8/2016","9:17:46 PM","32.3","28.3",
57,"9/8/2016","10:17:46 PM","33.3","27.5",
58,"9/8/2016","11:17:46 PM","34.3","26.9",
59,"9/9/2016","12:17:46 AM","35.3","26.3",
60,"9/9/2016","1:17:46 AM","36.4","25.7",
61,"9/9/2016","2:17:46 AM","37.3","25.3",
62,"9/9/2016","3:17:46 AM","38.9","25.1",
63,"9/9/2016","4:17:46 AM","39.7","24.9",
64,"9/9/2016","5:17:46 AM","40.3","24.3",
65,"9/9/2016","6:17:46 AM","39.9","23.2",
66,"9/9/2016","7:17:46 AM","38.6","24.0",
67,"9/9/2016","8:17:46 AM","37.3","26.1",
68,"9/9/2016","9:17:46 AM","36.7","28.2",
69,"9/9/2016","10:17:46 AM","35.6","30.2",
70,"9/9/2016","11:17:46 AM","33.4","32.2",
71,"9/9/2016","12:17:46 PM","31.2","34.2",
72,"9/9/2016","1:17:46 PM","26.2","35.3",
73,"9/9/2016","2:17:46 PM","23.7","36.6",
