Index,Date,Time,RH,Temp,Number
1,9/7/2016,10:12:00 AM,39.3,30.4,1010060497
2,9/7/2016,11:12:00 AM,38.2,27.4,1010060497
3,9/7/2016,12:12:00 PM,34,28.2,1010060497
4,9/7/2016,1:12:00 PM,30.9,29.1,1010060497
5,9/7/2016,2:12:00 PM,27.9,29.7,1010060497
6,9/7/2016,3:12:00 PM,27.1,30,1010060497
7,9/7/2016,4:12:00 PM,25.5,29.9,1010060497
8,9/7/2016,5:12:00 PM,26.9,29.5,1010060497
9,9/7/2016,6:12:00 PM,26.4,29.1,1010060497
10,9/7/2016,7:12:00 PM,27.9,28.5,1010060497
11,9/7/2016,8:12:00 PM,28.6,28.1,1010060497
12,9/7/2016,9:12:00 PM,29,27.7,1010060497
13,9/7/2016,10:12:00 PM,29,27.3,1010060497
14,9/7/2016,11:12:00 PM,28.7,27,1010060497
15,9/8/2016,12:12:00 AM,28.8,26.7,1010060497
16,9/8/2016,1:12:00 AM,29.1,26.4,1010060497
17,9/8/2016,2:12:00 AM,30.1,26.1,1010060497
18,9/8/2016,3:12:00 AM,30.7,25.8,1010060497
19,9/8/2016,4:12:00 AM,30.5,25.5,1010060497
20,9/8/2016,5:12:00 AM,30.6,25.2,1010060497
21,9/8/2016,6:12:00 AM,30.7,24.9,1010060497
22,9/8/2016,7:12:00 AM,31.1,24.6,1010060497
23,9/8/2016,8:12:00 AM,34,24.8,1010060497
24,9/8/2016,9:12:00 AM,41.6,25.5,1010060497
25,9/8/2016,10:12:00 AM,41.7,26.3,1010060497
26,9/8/2016,11:12:00 AM,40.3,27,1010060497
27,9/8/2016,12:12:00 PM,38.6,27.7,1010060497
28,9/8/2016,1:12:00 PM,37.1,28.4,1010060497
29,9/8/2016,2:12:00 PM,34.2,29,1010060497
30,9/8/2016,3:12:00 PM,33,29.3,1010060497
31,9/8/2016,4:12:00 PM,30.5,29.4,1010060497
32,9/8/2016,5:12:00 PM,29.8,29.3,1010060497
33,9/8/2016,6:12:00 PM,31.9,29,1010060497
34,9/8/2016,7:12:00 PM,32.4,28.7,1010060497
35,9/8/2016,8:12:00 PM,33.1,28.4,1010060497
36,9/8/2016,9:12:00 PM,33.3,28.1,1010060497
37,9/8/2016,10:12:00 PM,33.7,27.8,1010060497
38,9/8/2016,11:12:00 PM,33.9,27.5,1010060497
39,9/9/2016,12:12:00 AM,34,27.2,1010060497
40,9/9/2016,1:12:00 AM,34.2,26.9,1010060497
41,9/9/2016,2:12:00 AM,34.2,26.6,1010060497
42,9/9/2016,3:12:00 AM,34.9,26.3,1010060497
43,9/9/2016,4:12:00 AM,34.8,25.9,1010060497
44,9/9/2016,5:12:00 AM,35,25.6,1010060497
45,9/9/2016,6:12:00 AM,35.4,25.3,1010060497
46,9/9/2016,7:12:00 AM,36.2,25.2,1010060497
47,9/9/2016,8:12:00 AM,36.9,25.3,1010060497
48,9/9/2016,9:12:00 AM,39.5,25.9,1010060497
49,9/9/2016,10:12:00 AM,42.1,26.7,1010060497
50,9/9/2016,11:12:00 AM,40.6,27.8,1010060497
51,9/9/2016,12:12:00 PM,35.9,29.3,1010060497
52,9/9/2016,1:12:00 PM,28.2,30.4,1010060497
53,9/9/2016,2:12:00 PM,24.5,31.2,1010060497
54,9/9/2016,3:12:00 PM,22.3,31.6,1010060497
55,9/9/2016,4:12:00 PM,22.6,31.8,1010060497
56,9/9/2016,5:12:00 PM,22,31.8,1010060497
57,9/9/2016,6:12:00 PM,22.9,31.2,1010060497
58,9/9/2016,7:12:00 PM,23.9,30.4,1010060497
59,9/9/2016,8:12:00 PM,25.1,29.9,1010060497
60,9/9/2016,9:12:00 PM,25.7,29.5,1010060497
61,9/9/2016,10:12:00 PM,26.9,29.2,1010060497
62,9/9/2016,11:12:00 PM,30.1,28.9,1010060497
63,9/10/2016,12:12:00 AM,42.9,28.8,1010060497
64,9/10/2016,1:12:00 AM,43,28.6,1010060497
65,9/10/2016,2:12:00 AM,43.1,28.2,1010060497
