Index,Date,Time,Readings (%RH),Readings (°C),Type
1,"9/5/2016","1:41:18 PM","25.5","32.9",
2,"9/5/2016","2:41:18 PM","29.7","28.9",
3,"9/5/2016","3:41:18 PM","29.4","29.7",
4,"9/5/2016","4:41:18 PM","29.1","29.8",
5,"9/5/2016","5:41:18 PM","28.9","29.3",
6,"9/5/2016","6:41:18 PM","29.2","28.7",
7,"9/5/2016","7:41:18 PM","29.6","28.4",
8,"9/5/2016","8:41:18 PM","29.9","28.2",
9,"9/5/2016","9:41:18 PM","30.2","27.9",
10,"9/5/2016","10:41:18 PM","30.4","27.7",
11,"9/5/2016","11:41:18 PM","30.6","27.4",
12,"9/6/2016","12:41:18 AM","30.8","27.1",
13,"9/6/2016","1:41:18 AM","31.0","26.9",
14,"9/6/2016","2:41:18 AM","31.2","26.6",
15,"9/6/2016","3:41:18 AM","31.4","26.3",
16,"9/6/2016","4:41:18 AM","31.5","26.1",
17,"9/6/2016","5:41:18 AM","31.6","25.7",
18,"9/6/2016","6:41:18 AM","31.6","25.4",
19,"9/6/2016","7:41:18 AM","31.6","25.3",
20,"9/6/2016","8:41:18 AM","31.6","25.4",
21,"9/6/2016","9:41:18 AM","31.5","26.1",
22,"9/6/2016","10:41:18 AM","31.6","27.2",
23,"9/6/2016","11:41:18 AM","31.6","28.1",
24,"9/6/2016","12:41:18 PM","31.0","28.8",
25,"9/6/2016","1:41:18 PM","30.5","29.3",
26,"9/6/2016","2:41:18 PM","30.1","29.8",
27,"9/6/2016","3:41:18 PM","29.8","29.8",
28,"9/6/2016","4:41:18 PM","29.8","29.7",
29,"9/6/2016","5:41:18 PM","29.7","29.6",
30,"9/6/2016","6:41:18 PM","29.7","29.4",
31,"9/6/2016","7:41:18 PM","30.1","29.3",
32,"9/6/2016","8:41:18 PM","30.2","29.1",
33,"9/6/2016","9:41:18 PM","30.3","28.9",
34,"9/6/2016","10:41:18 PM","30.4","28.7",
35,"9/6/2016","11:41:18 PM","30.6","28.3",
36,"9/7/2016","12:41:18 AM","30.8","28.1",
37,"9/7/2016","1:41:18 AM","31.0","27.8",
38,"9/7/2016","2:41:18 AM","31.2","27.6",
39,"9/7/2016","3:41:18 AM","31.4","27.3",
40,"9/7/2016","4:41:18 AM","31.6","27.1",
41,"9/7/2016","5:41:18 AM","31.7","26.8",
42,"9/7/2016","6:41:18 AM","31.9","26.6",
43,"9/7/2016","7:41:18 AM","32.3","26.7",
44,"9/7/2016","8:41:18 AM","32.8","26.8",
45,"9/7/2016","9:41:18 AM","33.3","27.0",
46,"9/7/2016","10:41:18 AM","33.5","27.7",
47,"9/7/2016","11:41:18 AM","33.5","28.6",
48,"9/7/2016","12:41:18 PM","33.1","29.7",
49,"9/7/2016","1:41:18 PM","32.7","30.3",
50,"9/7/2016","2:41:18 PM","32.3","30.8",
51,"9/7/2016","3:41:18 PM","31.8","31.1",
52,"9/7/2016","4:41:18 PM","31.3","31.1",
53,"9/7/2016","5:41:18 PM","31.0","30.7",
54,"9/7/2016","6:41:18 PM","31.2","30.1",
55,"9/7/2016","7:41:18 PM","31.6","29.9",
56,"9/7/2016","8:41:18 PM","31.9","29.7",
57,"9/7/2016","9:41:18 PM","32.1","29.4",
58,"9/7/2016","10:41:18 PM","32.2","29.0",
59,"9/7/2016","11:41:18 PM","32.3","28.7",
60,"9/8/2016","12:41:18 AM","32.5","28.4",
61,"9/8/2016","1:41:18 AM","32.6","28.2",
62,"9/8/2016","2:41:18 AM","32.8","28.0",
63,"9/8/2016","3:41:18 AM","33.0","27.7",
64,"9/8/2016","4:41:18 AM","33.1","27.4",
65,"9/8/2016","5:41:18 AM","33.1","27.1",
66,"9/8/2016","6:41:18 AM","33.1","26.7",
67,"9/8/2016","7:41:18 AM","33.3","26.7",
68,"9/8/2016","8:41:18 AM","33.7","26.9",
69,"9/8/2016","9:41:18 AM","34.3","27.4",
70,"9/8/2016","10:41:18 AM","34.7","28.2",
71,"9/8/2016","11:41:18 AM","34.8","29.1",
72,"9/8/2016","12:41:18 PM","34.7","29.9",
73,"9/8/2016","1:41:18 PM","34.2","30.7",
74,"9/8/2016","2:41:18 PM","34.0","31.2",
75,"9/8/2016","3:41:18 PM","33.6","31.4",
76,"9/8/2016","4:41:18 PM","33.1","31.3",
77,"9/8/2016","5:41:18 PM","33.0","30.8",
78,"9/8/2016","6:41:18 PM","33.2","30.5",
79,"9/8/2016","7:41:18 PM","33.5","30.2",
80,"9/8/2016","8:41:18 PM","33.9","30.2",
81,"9/8/2016","9:41:18 PM","34.3","29.9",
82,"9/8/2016","10:41:18 PM","34.4","29.6",
83,"9/8/2016","11:41:18 PM","34.6","29.3",
84,"9/9/2016","12:41:18 AM","34.7","29.0",
85,"9/9/2016","1:41:18 AM","34.9","28.7",
86,"9/9/2016","2:41:18 AM","35.0","28.4",
87,"9/9/2016","3:41:18 AM","35.1","28.2",
88,"9/9/2016","4:41:18 AM","35.2","27.9",
89,"9/9/2016","5:41:18 AM","35.4","27.6",
90,"9/9/2016","6:41:18 AM","35.5","27.4",
91,"9/9/2016","7:41:18 AM","35.5","27.3",
92,"9/9/2016","8:41:18 AM","35.5","27.4",
93,"9/9/2016","9:41:18 AM","35.8","27.6",
94,"9/9/2016","10:41:18 AM","36.0","28.3",
95,"9/9/2016","11:41:18 AM","36.0","29.7",
96,"9/9/2016","12:41:18 PM","35.7","30.8",
97,"9/9/2016","1:41:18 PM","34.6","32.4",
98,"9/9/2016","2:41:18 PM","33.6","33.1",
99,"9/9/2016","3:41:18 PM","32.7","33.7",
100,"9/9/2016","4:41:18 PM","32.0","33.9",
101,"9/9/2016","5:41:18 PM","31.8","32.9",
