Index	Date	Time	Readings (%RH)	Readings (�C)	Type
1	9/8/2016	10:09:57 AM	43.2	29.7	
2	9/8/2016	11:09:57 AM	40.4	28.1	Inspection Mark
3	9/8/2016	12:09:57 PM	36.2	29.8	
4	9/8/2016	1:09:57 PM	33.2	31.2	
5	9/8/2016	2:09:57 PM	30.9	32.4	
6	9/8/2016	3:09:57 PM	29.2	32.9	
7	9/8/2016	4:09:57 PM	26.3	32.8	
8	9/8/2016	5:09:57 PM	27.6	31.7	
9	9/8/2016	6:09:57 PM	30.1	31.1	
10	9/8/2016	7:09:57 PM	33.5	30.3	
11	9/8/2016	8:09:57 PM	34.3	29.6	
12	9/8/2016	9:09:57 PM	34.7	29.0	
13	9/8/2016	10:09:57 PM	35.6	27.7	
14	9/8/2016	11:09:57 PM	35.9	26.5	
15	9/9/2016	12:09:57 AM	36.3	25.6	
16	9/9/2016	1:09:57 AM	37.0	24.7	
17	9/9/2016	2:09:57 AM	37.8	23.9	
18	9/9/2016	3:09:57 AM	39.9	22.9	
19	9/9/2016	4:09:57 AM	40.6	22.6	
20	9/9/2016	5:09:57 AM	41.5	21.7	
21	9/9/2016	6:09:57 AM	45.3	21.2	
22	9/9/2016	7:09:57 AM	44.9	21.6	
23	9/9/2016	8:09:57 AM	45.0	23.3	
24	9/9/2016	9:09:57 AM	45.0	24.9	
25	9/9/2016	10:09:57 AM	42.9	26.9	
26	9/9/2016	11:09:57 AM	39.7	28.6	
27	9/9/2016	12:09:57 PM	31.2	31.2	
28	9/9/2016	1:09:57 PM	25.6	33.6	
29	9/9/2016	2:09:57 PM	23.5	34.7	
30	9/9/2016	3:09:57 PM	22.6	35.1	
31	9/9/2016	4:09:57 PM	23.8	35.4	
32	9/9/2016	5:09:57 PM	23.6	34.5	
33	9/9/2016	6:09:57 PM	24.3	33.4	
34	9/9/2016	7:09:57 PM	27.1	32.6	
35	9/9/2016	8:09:57 PM	32.2	31.6	
36	9/9/2016	9:09:57 PM	28.5	30.8	
37	9/9/2016	10:09:57 PM	30.0	30.3	
38	9/9/2016	11:09:57 PM	27.9	29.0	
39	9/10/2016	12:09:57 AM	49.8	26.9	
40	9/10/2016	1:09:57 AM	54.3	25.2	
41	9/10/2016	2:09:57 AM	56.6	23.8	
42	9/10/2016	3:09:57 AM	55.2	22.8	
43	9/10/2016	4:09:57 AM	55.8	22.1	
44	9/10/2016	5:09:57 AM	55.9	21.8	
45	9/10/2016	6:09:57 AM	57.1	21.4	
46	9/10/2016	7:09:57 AM	57.7	21.0	
47	9/10/2016	8:09:57 AM	58.9	21.1	
48	9/10/2016	9:09:57 AM	59.2	21.0	
49	9/10/2016	10:09:57 AM	58.4	21.3	
