,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724996,2017-07-03 01:09:01,17.584,37.624,Winter,9.3,84.0,969.1,0.0,0.0,N,8.283999999999999
1725095,2017-07-03 03:09:01,16.082,37.496,Winter,8.3,88.0,969.7,0.0,0.0,N,7.782
1725190,2017-07-03 05:09:01,15.081,36.754,Winter,7.6,89.0,968.7,0.0,0.0,N,7.481
1725287,2017-07-03 07:09:01,14.58,35.972,Winter,7.4,91.0,969.8,0.0,0.0,N,7.18
1725387,2017-07-03 09:09:01,15.581,48.41,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.818999999999999
1725482,2017-07-03 11:09:01,24.588,40.875,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.8880000000000017
1725583,2017-07-03 13:09:01,25.588,36.418,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.08800000000000097
1725679,2017-07-03 15:09:01,27.588,35.313,Winter,25.6,31.0,968.1,0.0,2.7,E,1.9879999999999995
1725779,2017-07-03 17:09:01,27.088,35.918,Winter,23.3,35.0,969.9,0.0,2.8,E,3.7880000000000003
1725874,2017-07-03 19:09:01,25.088,36.367,Winter,20.3,45.0,971.2,0.0,1.5,E,4.788
1725975,2017-07-03 21:09:01,22.587,35.459,Winter,17.3,56.0,973.5,0.0,1.3,E,5.286999999999999
1726072,2017-07-03 23:09:01,20.586,36.582,Winter,16.9,63.0,974.0,0.0,1.4,E,3.686
1726170,2017-07-04 01:09:01,19.586,36.489,Winter,14.0,76.0,973.4,0.0,0.0,N,5.5859999999999985
1726268,2017-07-04 03:09:01,17.584,37.624,Winter,12.6,82.0,973.2,0.0,0.0,N,4.984
1726361,2017-07-04 05:09:01,16.583,36.88,Winter,11.8,85.0,972.9,0.0,0.0,N,4.782999999999998
1726459,2017-07-04 07:09:01,16.082,36.838,Winter,12.4,86.0,974.3,0.0,0.0,N,3.6820000000000004
1726559,2017-07-04 09:09:01,16.583,36.88,Winter,16.1,75.0,975.9,0.0,0.0,N,0.482999999999997
1726654,2017-07-04 11:09:01,21.087,45.033,Winter,20.2,59.0,975.0,0.0,2.7,E,0.8870000000000005
1726749,2017-07-04 13:09:01,23.088,42.017,Winter,22.7,48.0,973.0,0.0,2.8,E,0.3880000000000017
1726846,2017-07-04 15:09:01,25.088,38.981,Winter,22.9,44.0,972.7,0.0,2.6,E,2.1880000000000024
1726943,2017-07-04 17:09:01,26.088,38.432,Winter,21.2,48.0,972.1,0.0,1.6,E,4.888000000000002
1727040,2017-07-04 19:09:01,25.588,37.728,Winter,15.0,72.0,973.3,0.0,0.0,N,10.588000000000001
1727138,2017-07-04 21:09:01,23.088,38.782,Winter,12.9,77.0,973.9,0.0,0.0,N,10.188
1727234,2017-07-04 23:09:01,20.586,39.847,Winter,11.7,77.0,974.1,0.0,0.0,N,8.886
1727330,2017-07-05 01:09:01,19.085,40.362,Winter,11.0,83.0,974.4,0.0,0.0,N,8.085
1727429,2017-07-05 03:09:01,17.584,40.235,Winter,9.6,85.0,974.0,0.0,0.0,N,7.984
1727522,2017-07-05 05:09:01,16.082,40.762,Winter,10.7,83.0,974.4,0.0,0.0,N,5.3820000000000014
1727619,2017-07-05 07:09:01,15.581,41.372,Winter,10.7,86.0,974.6,0.0,0.0,N,4.881
1727715,2017-07-05 09:09:01,16.082,41.411,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.3179999999999978
1727811,2017-07-05 11:09:01,29.587,34.208,Winter,21.3,53.0,975.7,0.0,0.0,N,8.286999999999999
1727909,2017-07-05 13:09:01,29.087,34.815,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.087
1728008,2017-07-05 15:09:01,30.087,34.926,Winter,24.3,36.0,971.6,0.0,1.4,E,5.786999999999999
1728106,2017-07-05 17:09:01,31.086,33.047,Winter,22.7,40.0,972.0,0.0,1.3,E,8.386
1728203,2017-07-05 19:09:01,27.088,34.599,Winter,15.2,68.0,973.4,0.0,0.0,N,11.888000000000002
1728301,2017-07-05 21:09:01,23.088,36.822,Winter,12.6,76.0,973.8,0.0,0.0,N,10.488000000000001
