,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725005,2017-07-03 01:11:01,18.135,37.106,Winter,9.3,84.0,969.1,0.0,0.0,N,8.835
1725104,2017-07-03 03:11:01,17.134,38.346,Winter,8.3,88.0,969.7,0.0,0.0,N,8.834
1725203,2017-07-03 05:11:01,15.632,36.891,Winter,7.6,89.0,968.7,0.0,0.0,N,8.032
1725298,2017-07-03 07:11:01,15.132,36.849,Winter,7.4,91.0,969.8,0.0,0.0,N,7.731999999999999
1725397,2017-07-03 09:11:01,16.133,49.914,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.2669999999999995
1725497,2017-07-03 11:11:01,25.639,38.483,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.939
1725595,2017-07-03 13:11:01,25.639,37.162,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.13899999999999935
1725690,2017-07-03 15:11:01,27.138,37.319,Winter,25.6,31.0,968.1,0.0,2.7,E,1.5380000000000003
1725788,2017-07-03 17:11:01,27.138,36.655,Winter,23.3,35.0,969.9,0.0,2.8,E,3.838000000000001
1725887,2017-07-03 19:11:01,25.639,36.498,Winter,20.3,45.0,971.2,0.0,1.5,E,5.338999999999999
1725984,2017-07-03 21:11:01,23.138,36.245,Winter,17.3,56.0,973.5,0.0,1.3,E,5.838000000000001
1726080,2017-07-03 23:11:01,21.138,37.38,Winter,16.9,63.0,974.0,0.0,1.4,E,4.238000000000003
1726181,2017-07-04 01:11:01,19.637,37.241,Winter,14.0,76.0,973.4,0.0,0.0,N,5.6370000000000005
1726275,2017-07-04 03:11:01,18.135,37.77,Winter,12.6,82.0,973.2,0.0,0.0,N,5.535000000000002
1726374,2017-07-04 05:11:01,17.134,37.683,Winter,11.8,85.0,972.9,0.0,0.0,N,5.334
1726472,2017-07-04 07:11:01,16.634,38.304,Winter,12.4,86.0,974.3,0.0,0.0,N,4.234
1726568,2017-07-04 09:11:01,17.134,37.683,Winter,16.1,75.0,975.9,0.0,0.0,N,1.033999999999999
1726664,2017-07-04 11:11:01,22.138,44.01,Winter,20.2,59.0,975.0,0.0,2.7,E,1.9380000000000024
1726763,2017-07-04 13:11:01,24.139,40.956,Winter,22.7,48.0,973.0,0.0,2.8,E,1.439
1726858,2017-07-04 15:11:01,25.639,39.799,Winter,22.9,44.0,972.7,0.0,2.6,E,2.7390000000000008
1726955,2017-07-04 17:11:01,26.639,38.587,Winter,21.2,48.0,972.1,0.0,1.6,E,5.439
1727050,2017-07-04 19:11:01,25.639,38.483,Winter,15.0,72.0,973.3,0.0,0.0,N,10.639
1727146,2017-07-04 21:11:01,23.638,39.598,Winter,12.9,77.0,973.9,0.0,0.0,N,10.738000000000001
1727243,2017-07-04 23:11:01,21.138,40.671,Winter,11.7,77.0,974.1,0.0,0.0,N,9.438000000000002
1727340,2017-07-05 01:11:01,19.637,41.191,Winter,11.0,83.0,974.4,0.0,0.0,N,8.637
1727436,2017-07-05 03:11:01,18.135,40.408,Winter,9.6,85.0,974.0,0.0,0.0,N,8.535000000000002
1727532,2017-07-05 05:11:01,16.634,42.248,Winter,10.7,83.0,974.4,0.0,0.0,N,5.934000000000001
1727629,2017-07-05 07:11:01,16.133,41.555,Winter,10.7,86.0,974.6,0.0,0.0,N,5.433
1727728,2017-07-05 09:11:01,16.634,42.248,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.7659999999999982
1727824,2017-07-05 11:11:01,29.138,40.172,Winter,21.3,53.0,975.7,0.0,0.0,N,7.838000000000001
1727921,2017-07-05 13:11:01,31.136,33.75,Winter,24.0,41.0,973.5,0.0,1.8,ENE,7.135999999999999
1728020,2017-07-05 15:11:01,30.637,31.666,Winter,24.3,36.0,971.6,0.0,1.4,E,6.337
1728115,2017-07-05 17:11:01,25.639,44.347,Winter,22.7,40.0,972.0,0.0,1.3,E,2.939
1728213,2017-07-05 19:11:01,24.139,51.179,Winter,15.2,68.0,973.4,0.0,0.0,N,8.939
1728310,2017-07-05 21:11:01,22.138,52.868,Winter,12.6,76.0,973.8,0.0,0.0,N,9.538000000000002
1728410,2017-07-05 23:11:01,20.637,55.217,Winter,11.0,77.0,974.6,0.0,0.0,N,9.637
1728508,2017-07-06 01:11:01,19.136,56.944,Winter,10.0,80.0,974.3,0.0,0.0,N,9.136
1728603,2017-07-06 03:11:01,17.635,58.065,Winter,9.1,83.0,974.3,0.0,0.0,N,8.535000000000002
1728698,2017-07-06 05:11:01,16.133,59.8,Winter,7.9,86.0,974.1,0.0,0.0,N,8.232999999999999
1728795,2017-07-06 07:11:01,15.132,61.558,Winter,7.6,87.0,975.6,0.0,0.0,N,7.532
1728892,2017-07-06 09:11:01,20.637,51.498,Winter,16.8,56.0,976.3,0.0,0.0,N,3.8369999999999997
1728991,2017-07-06 11:11:01,26.639,41.21,Winter,21.3,53.0,975.6,0.0,0.0,N,5.338999999999999
1729086,2017-07-06 13:11:01,30.637,33.02,Winter,23.7,43.0,973.8,0.0,1.3,E,6.937000000000001
1729184,2017-07-06 15:11:01,30.137,35.65,Winter,24.5,35.0,972.6,0.0,2.1,E,5.6370000000000005
1729282,2017-07-06 17:11:01,25.139,47.494,Winter,22.4,42.0,972.4,0.0,1.6,E,2.7390000000000008
1729377,2017-07-06 19:11:01,24.139,51.179,Winter,17.9,63.0,973.2,0.0,0.0,N,6.239000000000001
1729475,2017-07-06 21:11:01,23.638,53.62,Winter,18.0,64.0,973.8,0.0,0.0,N,5.638000000000002
1729571,2017-07-06 23:11:01,22.138,54.722,Winter,15.5,76.0,974.9,0.0,0.0,N,6.638000000000002
1729671,2017-07-07 01:11:01,20.637,58.268,Winter,12.8,83.0,974.9,0.0,0.0,N,7.837
1729767,2017-07-07 03:11:01,20.137,59.44,Winter,12.8,83.0,974.1,0.0,0.0,N,7.337
1729866,2017-07-07 05:11:01,20.137,61.24,Winter,13.4,82.0,974.9,0.0,0.0,N,6.737
1729961,2017-07-07 07:11:01,19.637,64.762,Winter,13.8,87.0,976.1,0.0,0.0,N,5.837
1730058,2017-07-07 09:11:01,21.638,66.068,Winter,17.3,83.0,976.5,0.0,0.0,N,4.338000000000001
1730154,2017-07-07 11:11:01,25.139,53.142,Winter,20.1,69.0,976.7,0.0,1.2,NE,5.038999999999998
1730250,2017-07-07 13:11:01,28.138,42.671,Winter,22.6,53.0,974.0,0.0,1.3,E,5.538
1730349,2017-07-07 15:11:01,28.638,38.802,Winter,23.4,46.0,973.2,0.0,1.7,ENE,5.238000000000003
1730445,2017-07-07 17:11:01,24.639,55.559,Winter,22.0,49.0,972.3,0.0,0.0,N,2.6389999999999993
1730541,2017-07-07 19:11:01,24.139,57.951,Winter,17.8,69.0,973.7,0.0,0.0,N,6.338999999999999
1730637,2017-07-07 21:11:01,22.138,63.171,Winter,15.8,71.0,974.0,0.0,0.0,N,6.338000000000001
1730735,2017-07-07 23:11:01,21.138,64.863,Winter,13.6,82.0,974.3,0.0,0.0,N,7.538000000000002
1730833,2017-07-08 01:11:01,20.137,64.206,Winter,11.9,84.0,973.5,0.0,0.0,N,8.237
1730927,2017-07-08 03:11:01,19.136,64.143,Winter,11.7,83.0,972.8,0.0,0.0,N,7.436
1731026,2017-07-08 05:11:01,18.135,64.085,Winter,11.4,86.0,972.9,0.0,0.0,N,6.735000000000001
