,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725033,2017-07-03 01:16:01,17.143,38.593,Winter,9.3,84.0,969.1,0.0,0.0,N,7.843
1725130,2017-07-03 03:16:01,15.64,38.468,Winter,8.3,88.0,969.7,0.0,0.0,N,7.34
1725231,2017-07-03 05:16:01,14.638,37.617,Winter,7.6,89.0,968.7,0.0,0.0,N,7.038
1725327,2017-07-03 07:16:01,13.635,38.109,Winter,7.4,91.0,969.8,0.0,0.0,N,6.234999999999999
1725428,2017-07-03 09:16:01,19.146,38.113,Winter,17.4,53.0,970.0,0.0,0.0,N,1.7460000000000022
1725523,2017-07-03 11:16:01,27.65,41.539,Winter,23.7,37.0,969.7,0.0,1.1,WSW,3.9499999999999993
1725621,2017-07-03 13:16:01,27.15,33.639,Winter,25.5,33.0,968.7,0.0,1.5,ENE,1.6499999999999986
1725720,2017-07-03 15:16:01,29.148,30.523,Winter,25.6,31.0,968.1,0.0,2.7,E,3.5479999999999983
1725817,2017-07-03 17:16:01,23.15,43.014,Winter,23.3,35.0,969.9,0.0,2.8,E,-0.15000000000000213
1725917,2017-07-03 19:16:01,21.649,45.433,Winter,20.3,45.0,971.2,0.0,1.5,E,1.3490000000000002
1726014,2017-07-03 21:16:01,20.648,51.644,Winter,17.3,56.0,973.5,0.0,1.3,E,3.347999999999999
1726111,2017-07-03 23:16:01,19.647,54.047,Winter,16.9,63.0,974.0,0.0,1.4,E,2.747
1726206,2017-07-04 01:16:01,18.646,57.658,Winter,14.0,76.0,973.4,0.0,0.0,N,4.646000000000001
1726306,2017-07-04 03:16:01,18.145,60.657,Winter,12.6,82.0,973.2,0.0,0.0,N,5.545
1726404,2017-07-04 05:16:01,17.143,64.788,Winter,11.8,85.0,972.9,0.0,0.0,N,5.343
1726500,2017-07-04 07:16:01,18.145,62.458,Winter,12.4,86.0,974.3,0.0,0.0,N,5.744999999999999
1726593,2017-07-04 09:16:01,19.647,63.147,Winter,16.1,75.0,975.9,0.0,0.0,N,3.546999999999997
1726695,2017-07-04 11:16:01,24.65,53.853,Winter,20.2,59.0,975.0,0.0,2.7,E,4.449999999999999
1726787,2017-07-04 13:16:01,26.15,46.498,Winter,22.7,48.0,973.0,0.0,2.8,E,3.4499999999999993
1726887,2017-07-04 15:16:01,27.15,38.893,Winter,22.9,44.0,972.7,0.0,2.6,E,4.25
1726982,2017-07-04 17:16:01,22.149,49.27,Winter,21.2,48.0,972.1,0.0,1.6,E,0.9490000000000016
1727080,2017-07-04 19:16:01,20.648,54.124,Winter,15.0,72.0,973.3,0.0,0.0,N,5.648
1727178,2017-07-04 21:16:01,20.648,60.22,Winter,12.9,77.0,973.9,0.0,0.0,N,7.747999999999999
1727272,2017-07-04 23:16:01,19.146,58.907,Winter,11.7,77.0,974.1,0.0,0.0,N,7.4460000000000015
1727367,2017-07-05 01:16:01,17.644,62.43,Winter,11.0,83.0,974.4,0.0,0.0,N,6.643999999999998
1727467,2017-07-05 03:16:01,16.141,64.147,Winter,9.6,85.0,974.0,0.0,0.0,N,6.540999999999999
1727560,2017-07-05 05:16:01,16.642,62.977,Winter,10.7,83.0,974.4,0.0,0.0,N,5.942
1727661,2017-07-05 07:16:01,15.64,66.498,Winter,10.7,86.0,974.6,0.0,0.0,N,4.940000000000001
1727753,2017-07-05 09:16:01,22.65,53.671,Winter,17.4,68.0,976.4,0.0,0.0,N,5.25
1727853,2017-07-05 11:16:01,27.65,41.539,Winter,21.3,53.0,975.7,0.0,0.0,N,6.349999999999998
1727948,2017-07-05 13:16:01,28.149,47.343,Winter,24.0,41.0,973.5,0.0,1.8,ENE,4.149000000000001
1728050,2017-07-05 15:16:01,30.147,32.636,Winter,24.3,36.0,971.6,0.0,1.4,E,5.846999999999998
1728146,2017-07-05 17:16:01,22.65,44.886,Winter,22.7,40.0,972.0,0.0,1.3,E,-0.05000000000000071
1728243,2017-07-05 19:16:01,21.149,52.307,Winter,15.2,68.0,973.4,0.0,0.0,N,5.949000000000002
1728336,2017-07-05 21:16:01,20.148,55.93,Winter,12.6,76.0,973.8,0.0,0.0,N,7.548
1728435,2017-07-05 23:16:01,18.145,58.235,Winter,11.0,77.0,974.6,0.0,0.0,N,7.145
1728536,2017-07-06 01:16:01,17.143,58.783,Winter,10.0,80.0,974.3,0.0,0.0,N,7.143000000000001
1728632,2017-07-06 03:16:01,15.64,60.524,Winter,9.1,83.0,974.3,0.0,0.0,N,6.540000000000001
1728725,2017-07-06 05:16:01,14.638,61.629,Winter,7.9,86.0,974.1,0.0,0.0,N,6.7379999999999995
1728825,2017-07-06 07:16:01,14.638,62.801,Winter,7.6,87.0,975.6,0.0,0.0,N,7.038
1728920,2017-07-06 09:16:01,21.149,49.811,Winter,16.8,56.0,976.3,0.0,0.0,N,4.349
1729017,2017-07-06 11:16:01,27.65,37.642,Winter,21.3,53.0,975.6,0.0,0.0,N,6.349999999999998
1729113,2017-07-06 13:16:01,27.65,51.057,Winter,23.7,43.0,973.8,0.0,1.3,E,3.9499999999999993
1729213,2017-07-06 15:16:01,28.649,30.468,Winter,24.5,35.0,972.6,0.0,2.1,E,4.149000000000001
1729313,2017-07-06 17:16:01,22.149,46.113,Winter,22.4,42.0,972.4,0.0,1.6,E,-0.25099999999999767
1729407,2017-07-06 19:16:01,22.149,47.38,Winter,17.9,63.0,973.2,0.0,0.0,N,4.249000000000002
1729502,2017-07-06 21:16:01,21.649,52.968,Winter,18.0,64.0,973.8,0.0,0.0,N,3.649000000000001
1729599,2017-07-06 23:16:01,20.148,56.542,Winter,15.5,76.0,974.9,0.0,0.0,N,4.648
1729698,2017-07-07 01:16:01,19.146,60.117,Winter,12.8,83.0,974.9,0.0,0.0,N,6.346
1729794,2017-07-07 03:16:01,19.146,62.518,Winter,12.8,83.0,974.1,0.0,0.0,N,6.346
1729890,2017-07-07 05:16:01,18.145,65.431,Winter,13.4,82.0,974.9,0.0,0.0,N,4.744999999999999
1729992,2017-07-07 07:16:01,18.646,69.558,Winter,13.8,87.0,976.1,0.0,0.0,N,4.846
1730089,2017-07-07 09:16:01,21.149,69.707,Winter,17.3,83.0,976.5,0.0,0.0,N,3.849
1730186,2017-07-07 11:16:01,24.15,57.482,Winter,20.1,69.0,976.7,0.0,1.2,NE,4.049999999999997
1730280,2017-07-07 13:16:01,26.65,45.279,Winter,22.6,53.0,974.0,0.0,1.3,E,4.049999999999997
1730376,2017-07-07 15:16:01,26.65,39.491,Winter,23.4,46.0,973.2,0.0,1.7,ENE,3.25
1730473,2017-07-07 17:16:01,22.65,53.671,Winter,22.0,49.0,972.3,0.0,0.0,N,0.6499999999999986
1730570,2017-07-07 19:16:01,22.149,54.245,Winter,17.8,69.0,973.7,0.0,0.0,N,4.349
