,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724950,2017-07-03 01:06:01,17.541,38.503,Winter,9.3,84.0,969.1,0.0,0.0,N,8.241
1725071,2017-07-03 03:06:01,16.54,38.419,Winter,8.3,88.0,969.7,0.0,0.0,N,8.239999999999998
1725151,2017-07-03 05:06:01,15.539,38.336,Winter,7.6,89.0,968.7,0.0,0.0,N,7.939
1725245,2017-07-03 07:06:01,14.537,37.481,Winter,7.4,91.0,969.8,0.0,0.0,N,7.1370000000000005
1725362,2017-07-03 09:06:01,17.04,47.533,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.35999999999999943
1725450,2017-07-03 11:06:01,26.045,37.993,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.3450000000000024
1725546,2017-07-03 13:06:01,27.045,35.454,Winter,25.5,33.0,968.7,0.0,1.5,ENE,1.5450000000000017
1725664,2017-07-03 15:06:01,29.544,33.054,Winter,25.6,31.0,968.1,0.0,2.7,E,3.943999999999999
1725759,2017-07-03 17:06:01,28.544,34.283,Winter,23.3,35.0,969.9,0.0,2.8,E,5.244
1725859,2017-07-03 19:06:01,25.545,35.96,Winter,20.3,45.0,971.2,0.0,1.5,E,5.245000000000001
1725944,2017-07-03 21:06:01,23.045,36.37,Winter,17.3,56.0,973.5,0.0,1.3,E,5.745000000000001
1726033,2017-07-03 23:06:01,21.544,36.886,Winter,16.9,63.0,974.0,0.0,1.4,E,4.644000000000002
1726114,2017-07-04 01:06:01,19.543,37.36,Winter,14.0,76.0,973.4,0.0,0.0,N,5.542999999999999
1726225,2017-07-04 03:06:01,18.041,38.546,Winter,12.6,82.0,973.2,0.0,0.0,N,5.441000000000001
1726334,2017-07-04 05:06:01,17.541,37.843,Winter,11.8,85.0,972.9,0.0,0.0,N,5.741
1726424,2017-07-04 07:06:01,16.54,37.758,Winter,12.4,86.0,974.3,0.0,0.0,N,4.139999999999999
1726532,2017-07-04 09:06:01,17.04,37.801,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9399999999999977
1726603,2017-07-04 11:06:01,22.544,43.507,Winter,20.2,59.0,975.0,0.0,2.7,E,2.344000000000001
1726711,2017-07-04 13:06:01,24.545,40.459,Winter,22.7,48.0,973.0,0.0,2.8,E,1.8450000000000024
1726822,2017-07-04 15:06:01,26.045,38.65,Winter,22.9,44.0,972.7,0.0,2.6,E,3.145000000000003
1726925,2017-07-04 17:06:01,27.045,38.098,Winter,21.2,48.0,972.1,0.0,1.6,E,5.845000000000002
1727019,2017-07-04 19:06:01,26.045,38.65,Winter,15.0,72.0,973.3,0.0,0.0,N,11.045000000000002
1727096,2017-07-04 21:06:01,23.545,39.708,Winter,12.9,77.0,973.9,0.0,0.0,N,10.645000000000001
1727184,2017-07-04 23:06:01,21.044,40.777,Winter,11.7,77.0,974.1,0.0,0.0,N,9.344000000000001
