,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724978,2017-07-03 01:06:01,18.1,37.506,Winter,9.3,84.0,969.1,0.0,0.0,N,8.8
1725043,2017-07-03 03:06:01,17.099,37.419,Winter,8.3,88.0,969.7,0.0,0.0,N,8.799
1725152,2017-07-03 05:06:01,16.097,37.333,Winter,7.6,89.0,968.7,0.0,0.0,N,8.497000000000002
1725258,2017-07-03 07:06:01,15.095,37.25,Winter,7.4,91.0,969.8,0.0,0.0,N,7.695
1725360,2017-07-03 09:06:01,16.598,48.37,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.8019999999999996
1725432,2017-07-03 11:06:01,26.605,37.01,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.905000000000001
1725551,2017-07-03 13:06:01,25.605,38.22,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.10500000000000043
1725652,2017-07-03 15:06:01,27.605,37.116,Winter,25.6,31.0,968.1,0.0,2.7,E,2.004999999999999
1725739,2017-07-03 17:06:01,27.105,37.721,Winter,23.3,35.0,969.9,0.0,2.8,E,3.8049999999999997
1725831,2017-07-03 19:06:01,25.105,37.513,Winter,20.3,45.0,971.2,0.0,1.5,E,4.805
1725932,2017-07-03 21:06:01,23.105,37.313,Winter,17.3,56.0,973.5,0.0,1.3,E,5.805
1726021,2017-07-03 23:06:01,21.604,37.168,Winter,16.9,63.0,974.0,0.0,1.4,E,4.704000000000001
1726123,2017-07-04 01:06:01,20.103,36.367,Winter,14.0,76.0,973.4,0.0,0.0,N,6.1030000000000015
1726248,2017-07-04 03:06:01,18.601,36.89,Winter,12.6,82.0,973.2,0.0,0.0,N,6.0009999999999994
1726328,2017-07-04 05:06:01,17.6,36.802,Winter,11.8,85.0,972.9,0.0,0.0,N,5.800000000000001
1726425,2017-07-04 07:06:01,17.099,37.419,Winter,12.4,86.0,974.3,0.0,0.0,N,4.699
1726503,2017-07-04 09:06:01,17.6,36.802,Winter,16.1,75.0,975.9,0.0,0.0,N,1.5
1726627,2017-07-04 11:06:01,22.105,45.637,Winter,20.2,59.0,975.0,0.0,2.7,E,1.9050000000000011
1726703,2017-07-04 13:06:01,24.105,42.62,Winter,22.7,48.0,973.0,0.0,2.8,E,1.4050000000000011
1726804,2017-07-04 15:06:01,25.605,40.18,Winter,22.9,44.0,972.7,0.0,2.6,E,2.705000000000002
1726904,2017-07-04 17:06:01,26.605,38.979,Winter,21.2,48.0,972.1,0.0,1.6,E,5.405000000000001
1727011,2017-07-04 19:06:01,25.605,39.528,Winter,15.0,72.0,973.3,0.0,0.0,N,10.605
1727106,2017-07-04 21:06:01,23.105,39.931,Winter,12.9,77.0,973.9,0.0,0.0,N,10.205
1727208,2017-07-04 23:06:01,21.104,41.044,Winter,11.7,77.0,974.1,0.0,0.0,N,9.404
1727303,2017-07-05 01:06:01,19.602,40.91,Winter,11.0,83.0,974.4,0.0,0.0,N,8.602
1727390,2017-07-05 03:06:01,18.1,42.08,Winter,9.6,85.0,974.0,0.0,0.0,N,8.500000000000002
1727493,2017-07-05 05:06:01,16.598,41.31,Winter,10.7,83.0,974.4,0.0,0.0,N,5.898
1727602,2017-07-05 07:06:01,16.097,41.921,Winter,10.7,86.0,974.6,0.0,0.0,N,5.397000000000002
1727682,2017-07-05 09:06:01,16.598,41.31,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.8019999999999996
1727785,2017-07-05 11:06:01,31.602,32.906,Winter,21.3,53.0,975.7,0.0,0.0,N,10.302
1727881,2017-07-05 13:06:01,29.604,34.686,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.603999999999999
1727964,2017-07-05 15:06:01,31.602,32.906,Winter,24.3,36.0,971.6,0.0,1.4,E,7.302
1728075,2017-07-05 17:06:01,32.101,32.963,Winter,22.7,40.0,972.0,0.0,1.3,E,9.401
1728160,2017-07-05 19:06:01,28.105,35.187,Winter,15.2,68.0,973.4,0.0,0.0,N,12.905000000000001
1728280,2017-07-05 21:06:01,24.105,36.753,Winter,12.6,76.0,973.8,0.0,0.0,N,11.505
1728379,2017-07-05 23:06:01,21.104,38.435,Winter,11.0,77.0,974.6,0.0,0.0,N,10.104
1728481,2017-07-06 01:06:01,18.601,39.519,Winter,10.0,80.0,974.3,0.0,0.0,N,8.600999999999999
1728558,2017-07-06 03:06:01,16.097,40.618,Winter,9.1,83.0,974.3,0.0,0.0,N,6.997000000000002
1728657,2017-07-06 05:06:01,14.093,40.25,Winter,7.9,86.0,974.1,0.0,0.0,N,6.193
1728764,2017-07-06 07:06:01,12.59,40.664,Winter,7.6,87.0,975.6,0.0,0.0,N,4.99
1728836,2017-07-06 09:06:01,18.1,50.991,Winter,16.8,56.0,976.3,0.0,0.0,N,1.3000000000000007
1728931,2017-07-06 11:06:01,25.605,40.18,Winter,21.3,53.0,975.6,0.0,0.0,N,4.305
1729048,2017-07-06 13:06:01,24.605,42.024,Winter,23.7,43.0,973.8,0.0,1.3,E,0.9050000000000011
1729125,2017-07-06 15:06:01,24.105,38.068,Winter,24.5,35.0,972.6,0.0,2.1,E,-0.3949999999999996
1729249,2017-07-06 17:06:01,23.605,41.279,Winter,22.4,42.0,972.4,0.0,1.6,E,1.2050000000000018
1729332,2017-07-06 19:06:01,23.105,45.091,Winter,17.9,63.0,973.2,0.0,0.0,N,5.205000000000002
1729431,2017-07-06 21:06:01,22.105,50.058,Winter,18.0,64.0,973.8,0.0,0.0,N,4.105
1729514,2017-07-06 23:06:01,21.104,53.702,Winter,15.5,76.0,974.9,0.0,0.0,N,5.603999999999999
1729605,2017-07-07 01:06:01,19.602,56.654,Winter,12.8,83.0,974.9,0.0,0.0,N,6.802
1729708,2017-07-07 03:06:01,19.102,57.228,Winter,12.8,83.0,974.1,0.0,0.0,N,6.302
1729820,2017-07-07 05:06:01,18.601,59.013,Winter,13.4,82.0,974.9,0.0,0.0,N,5.200999999999999
1729920,2017-07-07 07:06:01,18.601,63.199,Winter,13.8,87.0,976.1,0.0,0.0,N,4.800999999999998
1730031,2017-07-07 09:06:01,19.602,73.085,Winter,17.3,83.0,976.5,0.0,0.0,N,2.3019999999999996
1730095,2017-07-07 11:06:01,21.604,67.495,Winter,20.1,69.0,976.7,0.0,1.2,NE,1.5039999999999978
1730197,2017-07-07 13:06:01,24.105,56.411,Winter,22.6,53.0,974.0,0.0,1.3,E,1.504999999999999
1730296,2017-07-07 15:06:01,24.605,47.774,Winter,23.4,46.0,973.2,0.0,1.7,ENE,1.2050000000000018
1730387,2017-07-07 17:06:01,24.605,46.507,Winter,22.0,49.0,972.3,0.0,0.0,N,2.6050000000000004
1730507,2017-07-07 19:06:01,22.605,54.443,Winter,17.8,69.0,973.7,0.0,0.0,N,4.805
1730610,2017-07-07 21:06:01,21.604,56.196,Winter,15.8,71.0,974.0,0.0,0.0,N,5.8039999999999985
1730709,2017-07-07 23:06:01,20.103,57.905,Winter,13.6,82.0,974.3,0.0,0.0,N,6.503000000000002
1730796,2017-07-08 01:06:01,18.601,59.616,Winter,11.9,84.0,973.5,0.0,0.0,N,6.700999999999999
1730886,2017-07-08 03:06:01,18.1,60.786,Winter,11.7,83.0,972.8,0.0,0.0,N,6.400000000000002
1730966,2017-07-08 05:06:01,17.6,61.356,Winter,11.4,86.0,972.9,0.0,0.0,N,6.200000000000001
1731091,2017-07-08 07:06:01,16.598,63.684,Winter,10.1,90.0,974.4,0.0,0.0,N,6.497999999999999
1731188,2017-07-08 09:06:01,20.603,57.335,Winter,18.2,64.0,974.5,0.0,0.0,N,2.4030000000000022
1731260,2017-07-08 11:06:01,22.605,57.495,Winter,22.4,57.0,973.7,0.0,0.0,N,0.20500000000000185
1731369,2017-07-08 13:06:01,25.105,52.203,Winter,24.7,48.0,970.9,0.0,1.2,ENE,0.40500000000000114
1731448,2017-07-08 15:06:01,25.605,47.24,Winter,25.3,43.0,969.8,0.0,1.5,NE,0.3049999999999997
1731545,2017-07-08 17:06:01,25.105,46.556,Winter,23.6,47.0,968.7,0.0,1.3,NNE,1.504999999999999
1731642,2017-07-08 19:06:01,23.105,53.871,Winter,17.9,69.0,970.4,0.0,0.0,N,5.205000000000002
1731755,2017-07-08 21:06:01,22.105,57.453,Winter,17.0,74.0,971.2,0.0,0.0,N,5.105
1731857,2017-07-08 23:06:01,20.603,59.15,Winter,14.4,80.0,971.0,0.0,0.0,N,6.203000000000001
1731942,2017-07-09 01:06:01,19.602,60.881,Winter,12.3,87.0,970.6,0.0,0.0,N,7.302
1732022,2017-07-09 03:06:01,18.601,62.606,Winter,11.0,90.0,970.3,0.0,0.0,N,7.600999999999999
1732145,2017-07-09 05:06:01,17.6,63.142,Winter,10.2,89.0,969.7,0.0,0.0,N,7.400000000000002
1732223,2017-07-09 07:06:01,16.598,63.684,Winter,9.6,90.0,970.2,0.0,0.0,N,6.997999999999999
1732323,2017-07-09 09:06:01,20.603,56.117,Winter,18.7,58.0,970.4,0.0,2.2,SW,1.9030000000000022
1732425,2017-07-09 11:06:01,23.605,50.193,Winter,25.1,41.0,969.3,0.0,1.5,SW,-1.495000000000001
1732523,2017-07-09 13:06:01,25.605,42.125,Winter,27.9,30.0,966.9,0.0,2.2,S,-2.294999999999998
1732637,2017-07-09 15:06:01,26.605,31.689,Winter,28.2,26.0,965.2,0.0,2.2,SSE,-1.5949999999999989
1732736,2017-07-09 17:06:01,27.105,31.742,Winter,25.7,31.0,964.3,0.0,0.0,N,1.4050000000000011
1732803,2017-07-09 19:06:01,24.105,42.62,Winter,18.4,53.0,965.6,0.0,0.0,N,5.705000000000002
1732895,2017-07-09 21:06:01,22.605,45.682,Winter,15.1,66.0,966.8,0.0,0.0,N,7.505000000000001
1733027,2017-07-09 23:06:01,21.104,48.086,Winter,14.3,64.0,966.9,0.0,0.0,N,6.8039999999999985
1733115,2017-07-10 01:06:01,20.103,49.263,Winter,11.8,75.0,967.4,0.0,0.0,N,8.303
1733188,2017-07-10 03:06:01,19.102,50.439,Winter,10.9,80.0,967.0,0.0,0.0,N,8.202
1733309,2017-07-10 05:06:01,18.601,51.652,Winter,10.9,75.0,966.8,0.0,0.0,N,7.700999999999999
1733385,2017-07-10 07:06:01,17.6,52.204,Winter,11.2,75.0,967.2,0.0,0.0,N,6.400000000000002
1733486,2017-07-10 09:06:01,21.104,46.185,Winter,21.0,42.0,968.2,0.0,0.0,N,0.1039999999999992
1733609,2017-07-10 11:06:01,24.605,40.079,Winter,28.1,27.0,968.1,0.0,0.0,N,-3.495000000000001
1733673,2017-07-10 13:06:01,26.605,31.017,Winter,30.3,21.0,965.6,0.0,2.0,SSE,-3.6950000000000003
1733809,2017-07-10 15:06:01,27.605,27.055,Winter,29.4,21.0,965.2,0.0,1.8,ESE,-1.7949999999999982
1733885,2017-07-10 17:06:01,27.105,29.043,Winter,25.7,31.0,965.5,0.0,0.0,N,1.4050000000000011
1733989,2017-07-10 19:06:01,24.605,40.729,Winter,17.4,53.0,966.5,0.0,0.0,N,7.205000000000002
1734065,2017-07-10 21:06:01,22.605,43.121,Winter,18.7,46.0,969.2,0.0,0.0,N,3.905000000000001
1734179,2017-07-10 23:06:01,22.105,64.028,Winter,18.9,74.0,970.4,0.0,3.4,E,3.205000000000002
1734285,2017-07-11 01:06:01,22.605,62.294,Winter,18.6,77.0,971.6,0.0,1.5,E,4.004999999999999
1734371,2017-07-11 03:06:01,21.604,65.749,Winter,17.6,80.0,970.7,0.0,1.2,E,4.003999999999998
1734472,2017-07-11 05:06:01,20.103,67.393,Winter,15.0,89.0,970.4,0.0,0.0,N,5.1030000000000015
1734561,2017-07-11 07:06:01,20.103,68.55,Winter,14.2,91.0,971.7,0.0,0.0,N,5.903000000000002
1734652,2017-07-11 09:06:01,20.603,69.158,Winter,17.7,79.0,972.9,0.0,0.0,N,2.9030000000000022
1734751,2017-07-11 11:06:01,22.105,62.254,Winter,20.5,65.0,972.8,0.0,0.0,N,1.6050000000000004
1734869,2017-07-11 13:06:01,24.105,54.576,Winter,23.5,51.0,971.2,0.0,1.2,N,0.6050000000000004
1734974,2017-07-11 15:06:01,25.105,49.71,Winter,24.7,45.0,969.4,0.0,0.0,N,0.40500000000000114
1735070,2017-07-11 17:06:01,25.105,47.19,Winter,23.7,48.0,969.1,0.0,0.0,N,1.4050000000000011
1735175,2017-07-11 19:06:01,23.105,54.486,Winter,17.7,68.0,969.7,0.0,0.0,N,5.405000000000001
1735236,2017-07-11 21:06:01,21.604,56.805,Winter,16.4,71.0,971.1,0.0,0.0,N,5.204000000000001
1735333,2017-07-11 23:06:01,20.103,58.51,Winter,13.8,81.0,971.5,0.0,0.0,N,6.303000000000001
1735446,2017-07-12 01:06:01,19.602,62.074,Winter,12.8,86.0,970.6,0.0,0.0,N,6.802
1735526,2017-07-12 03:06:01,18.601,63.79,Winter,12.6,86.0,970.0,0.0,0.0,N,6.0009999999999994
1735659,2017-07-12 05:06:01,17.6,63.735,Winter,11.3,90.0,971.4,0.0,0.0,N,6.300000000000001
