,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724981,2017-07-03 01:06:01,17.543,37.825,Winter,9.3,84.0,969.1,0.0,0.0,N,8.242999999999999
1725060,2017-07-03 03:06:01,16.542,37.74,Winter,8.3,88.0,969.7,0.0,0.0,N,8.242
1725167,2017-07-03 05:06:01,15.541,38.319,Winter,7.6,89.0,968.7,0.0,0.0,N,7.941000000000001
1725251,2017-07-03 07:06:01,14.54,37.464,Winter,7.4,91.0,969.8,0.0,0.0,N,7.139999999999999
1725337,2017-07-03 09:06:01,18.544,43.151,Winter,17.4,53.0,970.0,0.0,0.0,N,1.144000000000002
1725459,2017-07-03 11:06:01,26.047,37.973,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.3470000000000013
1725568,2017-07-03 13:06:01,24.547,36.497,Winter,25.5,33.0,968.7,0.0,1.5,ENE,-0.9529999999999994
1725629,2017-07-03 15:06:01,24.547,34.501,Winter,25.6,31.0,968.1,0.0,2.7,E,-1.0530000000000008
1725728,2017-07-03 17:06:01,23.547,35.732,Winter,23.3,35.0,969.9,0.0,2.8,E,0.2469999999999999
1725827,2017-07-03 19:06:01,21.546,43.41,Winter,20.3,45.0,971.2,0.0,1.5,E,1.2459999999999987
1725943,2017-07-03 21:06:01,20.045,49.039,Winter,17.3,56.0,973.5,0.0,1.3,E,2.745000000000001
1726053,2017-07-03 23:06:01,19.545,54.633,Winter,16.9,63.0,974.0,0.0,1.4,E,2.645000000000003
1726145,2017-07-04 01:06:01,19.045,58.892,Winter,14.0,76.0,973.4,0.0,0.0,N,5.045000000000002
1726239,2017-07-04 03:06:01,17.043,67.73,Winter,12.6,82.0,973.2,0.0,0.0,N,4.443
1726327,2017-07-04 05:06:01,17.043,71.213,Winter,11.8,85.0,972.9,0.0,0.0,N,5.2429999999999986
1726422,2017-07-04 07:06:01,18.044,67.192,Winter,12.4,86.0,974.3,0.0,0.0,N,5.644
1726535,2017-07-04 09:06:01,18.544,68.968,Winter,16.1,75.0,975.9,0.0,0.0,N,2.443999999999999
1726614,2017-07-04 11:06:01,20.546,62.012,Winter,20.2,59.0,975.0,0.0,2.7,E,0.3460000000000001
1726731,2017-07-04 13:06:01,22.046,53.591,Winter,22.7,48.0,973.0,0.0,2.8,E,-0.6539999999999999
1726796,2017-07-04 15:06:01,22.546,47.985,Winter,22.9,44.0,972.7,0.0,2.6,E,-0.3539999999999992
1726929,2017-07-04 17:06:01,22.046,48.574,Winter,21.2,48.0,972.1,0.0,1.6,E,0.8460000000000001
1726994,2017-07-04 19:06:01,20.045,54.051,Winter,15.0,72.0,973.3,0.0,0.0,N,5.045000000000002
1727116,2017-07-04 21:06:01,20.045,55.904,Winter,12.9,77.0,973.9,0.0,0.0,N,7.145000000000001
1727203,2017-07-04 23:06:01,19.545,55.868,Winter,11.7,77.0,974.1,0.0,0.0,N,7.845000000000002
1727280,2017-07-05 01:06:01,19.545,55.868,Winter,11.0,83.0,974.4,0.0,0.0,N,8.545000000000002
1727385,2017-07-05 03:06:01,18.044,56.995,Winter,9.6,85.0,974.0,0.0,0.0,N,8.444
1727506,2017-07-05 05:06:01,17.043,58.769,Winter,10.7,83.0,974.4,0.0,0.0,N,6.343
1727579,2017-07-05 07:06:01,17.043,61.796,Winter,10.7,86.0,974.6,0.0,0.0,N,6.343
1727664,2017-07-05 09:06:01,18.544,68.968,Winter,17.4,68.0,976.4,0.0,0.0,N,1.144000000000002
1727794,2017-07-05 11:06:01,21.546,56.02,Winter,21.3,53.0,975.7,0.0,0.0,N,0.24599999999999866
1727858,2017-07-05 13:06:01,23.547,46.166,Winter,24.0,41.0,973.5,0.0,1.8,ENE,-0.4529999999999994
1727991,2017-07-05 15:06:01,24.047,37.109,Winter,24.3,36.0,971.6,0.0,1.4,E,-0.2530000000000001
1728091,2017-07-05 17:06:01,23.047,40.952,Winter,22.7,40.0,972.0,0.0,1.3,E,0.3470000000000013
1728150,2017-07-05 19:06:01,21.046,46.579,Winter,15.2,68.0,973.4,0.0,0.0,N,5.846
1728252,2017-07-05 21:06:01,19.545,50.262,Winter,12.6,76.0,973.8,0.0,0.0,N,6.945000000000002
1728357,2017-07-05 23:06:01,18.544,50.817,Winter,11.0,77.0,974.6,0.0,0.0,N,7.5440000000000005
1728475,2017-07-06 01:06:01,18.544,50.187,Winter,10.0,80.0,974.3,0.0,0.0,N,8.544
1728569,2017-07-06 03:06:01,17.043,53.219,Winter,9.1,83.0,974.3,0.0,0.0,N,7.943
1728654,2017-07-06 05:06:01,16.542,53.811,Winter,7.9,86.0,974.1,0.0,0.0,N,8.642000000000001
