,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725017,2017-07-03 01:13:01,17.567,38.8,Winter,9.3,84.0,969.1,0.0,0.0,N,8.267
1725110,2017-07-03 03:13:01,16.566,38.716,Winter,8.3,88.0,969.7,0.0,0.0,N,8.265999999999998
1725212,2017-07-03 05:13:01,15.064,38.593,Winter,7.6,89.0,968.7,0.0,0.0,N,7.464
1725311,2017-07-03 07:13:01,14.563,37.774,Winter,7.4,91.0,969.8,0.0,0.0,N,7.163
1725405,2017-07-03 09:13:01,18.068,42.728,Winter,17.4,53.0,970.0,0.0,0.0,N,0.6680000000000028
1725504,2017-07-03 11:13:01,27.072,35.79,Winter,23.7,37.0,969.7,0.0,1.1,WSW,3.372
1725603,2017-07-03 13:13:01,27.572,33.867,Winter,25.5,33.0,968.7,0.0,1.5,ENE,2.071999999999999
1725700,2017-07-03 15:13:01,29.571,34.084,Winter,25.6,31.0,968.1,0.0,2.7,E,3.971
1725798,2017-07-03 17:13:01,28.571,33.313,Winter,23.3,35.0,969.9,0.0,2.8,E,5.271000000000001
1725895,2017-07-03 19:13:01,25.572,36.289,Winter,20.3,45.0,971.2,0.0,1.5,E,5.2719999999999985
1725996,2017-07-03 21:13:01,22.572,36.644,Winter,17.3,56.0,973.5,0.0,1.3,E,5.2719999999999985
1726090,2017-07-03 23:13:01,21.071,38.46,Winter,16.9,63.0,974.0,0.0,1.4,E,4.171000000000003
1726191,2017-07-04 01:13:01,19.57,38.323,Winter,14.0,76.0,973.4,0.0,0.0,N,5.57
1726288,2017-07-04 03:13:01,18.068,38.19,Winter,12.6,82.0,973.2,0.0,0.0,N,5.468000000000002
1726384,2017-07-04 05:13:01,17.067,38.757,Winter,11.8,85.0,972.9,0.0,0.0,N,5.2669999999999995
1726476,2017-07-04 07:13:01,16.566,38.062,Winter,12.4,86.0,974.3,0.0,0.0,N,4.165999999999999
1726579,2017-07-04 09:13:01,17.567,36.836,Winter,16.1,75.0,975.9,0.0,0.0,N,1.4669999999999987
1726674,2017-07-04 11:13:01,32.069,37.657,Winter,20.2,59.0,975.0,0.0,2.7,E,11.869000000000003
1726774,2017-07-04 13:13:01,31.569,41.501,Winter,22.7,48.0,973.0,0.0,2.8,E,8.869
1726870,2017-07-04 15:13:01,25.072,42.08,Winter,22.9,44.0,972.7,0.0,2.6,E,2.1720000000000006
1726967,2017-07-04 17:13:01,23.572,44.493,Winter,21.2,48.0,972.1,0.0,1.6,E,2.372
1727058,2017-07-04 19:13:01,22.572,48.199,Winter,15.0,72.0,973.3,0.0,0.0,N,7.571999999999999
1727156,2017-07-04 21:13:01,22.071,49.41,Winter,12.9,77.0,973.9,0.0,0.0,N,9.171000000000001
1727257,2017-07-04 23:13:01,21.571,51.862,Winter,11.7,77.0,974.1,0.0,0.0,N,9.871000000000002
1727350,2017-07-05 01:13:01,20.57,55.481,Winter,11.0,83.0,974.4,0.0,0.0,N,9.57
1727443,2017-07-05 03:13:01,19.57,57.848,Winter,9.6,85.0,974.0,0.0,0.0,N,9.97
1727541,2017-07-05 05:13:01,19.069,56.596,Winter,10.7,83.0,974.4,0.0,0.0,N,8.369
1727640,2017-07-05 07:13:01,18.569,58.388,Winter,10.7,86.0,974.6,0.0,0.0,N,7.869
1727736,2017-07-05 09:13:01,24.072,48.966,Winter,17.4,68.0,976.4,0.0,0.0,N,6.672000000000001
1727837,2017-07-05 11:13:01,26.572,42.876,Winter,21.3,53.0,975.7,0.0,0.0,N,5.2719999999999985
1727931,2017-07-05 13:13:01,27.572,39.11,Winter,24.0,41.0,973.5,0.0,1.8,ENE,3.571999999999999
1728030,2017-07-05 15:13:01,28.072,33.92,Winter,24.3,36.0,971.6,0.0,1.4,E,3.7719999999999985
1728126,2017-07-05 17:13:01,26.072,35.685,Winter,22.7,40.0,972.0,0.0,1.3,E,3.372
1728223,2017-07-05 19:13:01,24.572,41.387,Winter,15.2,68.0,973.4,0.0,0.0,N,9.372
1728320,2017-07-05 21:13:01,23.572,46.399,Winter,12.6,76.0,973.8,0.0,0.0,N,10.972
1728420,2017-07-05 23:13:01,22.071,48.783,Winter,11.0,77.0,974.6,0.0,0.0,N,11.071000000000002
1728512,2017-07-06 01:13:01,20.57,50.534,Winter,10.0,80.0,974.3,0.0,0.0,N,10.57
