,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724990,2017-07-03 01:08:01,17.581,38.064,Winter,9.3,84.0,969.1,0.0,0.0,N,8.280999999999999
1725090,2017-07-03 03:08:01,16.078,37.937,Winter,8.3,88.0,969.7,0.0,0.0,N,7.777999999999999
1725183,2017-07-03 05:08:01,15.075,37.854,Winter,7.6,89.0,968.7,0.0,0.0,N,7.475
1725283,2017-07-03 07:08:01,14.073,36.975,Winter,7.4,91.0,969.8,0.0,0.0,N,6.673
1725379,2017-07-03 09:08:01,16.078,48.909,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.3219999999999992
1725475,2017-07-03 11:08:01,25.088,39.419,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.3880000000000017
1725575,2017-07-03 13:08:01,25.588,36.853,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.08800000000000097
1725672,2017-07-03 15:08:01,28.087,34.477,Winter,25.6,31.0,968.1,0.0,2.7,E,2.4869999999999983
1725770,2017-07-03 17:08:01,27.587,35.746,Winter,23.3,35.0,969.9,0.0,2.8,E,4.286999999999999
1725870,2017-07-03 19:08:01,25.588,36.195,Winter,20.3,45.0,971.2,0.0,1.5,E,5.288
1725970,2017-07-03 21:08:01,23.087,36.601,Winter,17.3,56.0,973.5,0.0,1.3,E,5.786999999999999
1726064,2017-07-03 23:08:01,21.086,36.408,Winter,16.9,63.0,974.0,0.0,1.4,E,4.186
1726162,2017-07-04 01:08:01,19.584,36.927,Winter,14.0,76.0,973.4,0.0,0.0,N,5.584
1726260,2017-07-04 03:08:01,18.081,36.791,Winter,12.6,82.0,973.2,0.0,0.0,N,5.481
1726360,2017-07-04 05:08:01,17.08,37.363,Winter,11.8,85.0,972.9,0.0,0.0,N,5.279999999999998
1726451,2017-07-04 07:08:01,16.078,36.617,Winter,12.4,86.0,974.3,0.0,0.0,N,3.677999999999999
1726550,2017-07-04 09:08:01,16.579,37.979,Winter,16.1,75.0,975.9,0.0,0.0,N,0.4789999999999992
1726648,2017-07-04 11:08:01,21.586,44.251,Winter,20.2,59.0,975.0,0.0,2.7,E,1.3859999999999992
1726745,2017-07-04 13:08:01,23.587,41.218,Winter,22.7,48.0,973.0,0.0,2.8,E,0.8870000000000005
1726841,2017-07-04 15:08:01,25.088,39.419,Winter,22.9,44.0,972.7,0.0,2.6,E,2.1880000000000024
1726940,2017-07-04 17:08:01,26.588,38.922,Winter,21.2,48.0,972.1,0.0,1.6,E,5.388000000000002
1727036,2017-07-04 19:08:01,25.588,37.51,Winter,15.0,72.0,973.3,0.0,0.0,N,10.588000000000001
1727130,2017-07-04 21:08:01,23.087,39.872,Winter,12.9,77.0,973.9,0.0,0.0,N,10.187
1727227,2017-07-04 23:08:01,21.086,39.684,Winter,11.7,77.0,974.1,0.0,0.0,N,9.386
1727326,2017-07-05 01:08:01,19.083,40.806,Winter,11.0,83.0,974.4,0.0,0.0,N,8.082999999999998
1727424,2017-07-05 03:08:01,17.581,41.329,Winter,9.6,85.0,974.0,0.0,0.0,N,7.981
1727516,2017-07-05 05:08:01,16.078,41.209,Winter,10.7,83.0,974.4,0.0,0.0,N,5.378
1727614,2017-07-05 07:08:01,15.576,41.17,Winter,10.7,86.0,974.6,0.0,0.0,N,4.876000000000001
1727714,2017-07-05 09:08:01,16.078,41.859,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.3219999999999992
1727807,2017-07-05 11:08:01,29.086,37.226,Winter,21.3,53.0,975.7,0.0,0.0,N,7.785999999999998
1727904,2017-07-05 13:08:01,29.586,33.977,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.5859999999999985
1727999,2017-07-05 15:08:01,30.585,31.416,Winter,24.3,36.0,971.6,0.0,1.4,E,6.285
1728100,2017-07-05 17:08:01,25.088,45.859,Winter,22.7,40.0,972.0,0.0,1.3,E,2.3880000000000017
1728199,2017-07-05 19:08:01,23.087,59.321,Winter,15.2,68.0,973.4,0.0,0.0,N,7.8870000000000005
1728293,2017-07-05 21:08:01,21.086,63.359,Winter,12.6,76.0,973.8,0.0,0.0,N,8.485999999999999
1728388,2017-07-05 23:08:01,19.584,65.036,Winter,11.0,77.0,974.6,0.0,0.0,N,8.584
1728488,2017-07-06 01:08:01,18.081,66.13,Winter,10.0,80.0,974.3,0.0,0.0,N,8.081
1728587,2017-07-06 03:08:01,16.078,70.134,Winter,9.1,83.0,974.3,0.0,0.0,N,6.978
1728682,2017-07-06 05:08:01,14.574,69.811,Winter,7.9,86.0,974.1,0.0,0.0,N,6.6739999999999995
1728780,2017-07-06 07:08:01,14.073,71.425,Winter,7.6,87.0,975.6,0.0,0.0,N,6.473000000000001
1728874,2017-07-06 09:08:01,22.087,58.632,Winter,16.8,56.0,976.3,0.0,0.0,N,5.286999999999999
1728973,2017-07-06 11:08:01,28.587,39.136,Winter,21.3,53.0,975.6,0.0,0.0,N,7.286999999999999
1729068,2017-07-06 13:08:01,31.084,32.142,Winter,23.7,43.0,973.8,0.0,1.3,E,7.384
1729165,2017-07-06 15:08:01,30.585,32.755,Winter,24.5,35.0,972.6,0.0,2.1,E,6.085000000000001
1729264,2017-07-06 17:08:01,25.088,50.903,Winter,22.4,42.0,972.4,0.0,1.6,E,2.6880000000000024
1729363,2017-07-06 19:08:01,24.088,63.005,Winter,17.9,63.0,973.2,0.0,0.0,N,6.188000000000002
1729459,2017-07-06 21:08:01,23.087,65.877,Winter,18.0,64.0,973.8,0.0,0.0,N,5.087
1729554,2017-07-06 23:08:01,21.586,68.103,Winter,15.5,76.0,974.9,0.0,0.0,N,6.0859999999999985
1729653,2017-07-07 01:08:01,20.084,70.324,Winter,12.8,83.0,974.9,0.0,0.0,N,7.283999999999999
1729751,2017-07-07 03:08:01,20.084,72.049,Winter,12.8,83.0,974.1,0.0,0.0,N,7.283999999999999
1729851,2017-07-07 05:08:01,19.584,74.301,Winter,13.4,82.0,974.9,0.0,0.0,N,6.183999999999999
1729944,2017-07-07 07:08:01,19.584,76.558,Winter,13.8,87.0,976.1,0.0,0.0,N,5.783999999999999
1730039,2017-07-07 09:08:01,21.586,69.844,Winter,17.3,83.0,976.5,0.0,0.0,N,4.285999999999998
1730142,2017-07-07 11:08:01,25.088,58.897,Winter,20.1,69.0,976.7,0.0,1.2,NE,4.9879999999999995
1730232,2017-07-07 13:08:01,28.587,44.31,Winter,22.6,53.0,974.0,0.0,1.3,E,5.986999999999998
1730331,2017-07-07 15:08:01,28.587,42.381,Winter,23.4,46.0,973.2,0.0,1.7,ENE,5.187000000000001
1730425,2017-07-07 17:08:01,24.588,50.229,Winter,22.0,49.0,972.3,0.0,0.0,N,2.588000000000001
1730526,2017-07-07 19:08:01,24.088,70.038,Winter,17.8,69.0,973.7,0.0,0.0,N,6.288
