,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724991,2017-07-03 01:08:01,17.15,37.668,Winter,9.3,84.0,969.1,0.0,0.0,N,7.849999999999998
1725087,2017-07-03 03:08:01,15.648,38.222,Winter,8.3,88.0,969.7,0.0,0.0,N,7.347999999999999
1725181,2017-07-03 05:08:01,14.646,38.043,Winter,7.6,89.0,968.7,0.0,0.0,N,7.046000000000001
1725279,2017-07-03 07:08:01,14.145,37.967,Winter,7.4,91.0,969.8,0.0,0.0,N,6.744999999999999
1725383,2017-07-03 09:08:01,16.649,46.315,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.7509999999999977
1725480,2017-07-03 11:08:01,24.656,39.042,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.9559999999999995
1725574,2017-07-03 13:08:01,26.156,35.803,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.6559999999999988
1725671,2017-07-03 15:08:01,28.656,33.322,Winter,25.6,31.0,968.1,0.0,2.7,E,3.0559999999999974
1725772,2017-07-03 17:08:01,27.656,33.904,Winter,23.3,35.0,969.9,0.0,2.8,E,4.355999999999998
1725867,2017-07-03 19:08:01,25.656,35.067,Winter,20.3,45.0,971.2,0.0,1.5,E,5.355999999999998
1725965,2017-07-03 21:08:01,23.156,36.181,Winter,17.3,56.0,973.5,0.0,1.3,E,5.855999999999998
1726061,2017-07-03 23:08:01,21.154,36.669,Winter,16.9,63.0,974.0,0.0,1.4,E,4.254000000000001
1726165,2017-07-04 01:08:01,19.153,37.164,Winter,14.0,76.0,973.4,0.0,0.0,N,5.152999999999999
1726263,2017-07-04 03:08:01,17.651,37.711,Winter,12.6,82.0,973.2,0.0,0.0,N,5.051
1726358,2017-07-04 05:08:01,16.649,38.305,Winter,11.8,85.0,972.9,0.0,0.0,N,4.849
1726454,2017-07-04 07:08:01,16.148,37.583,Winter,12.4,86.0,974.3,0.0,0.0,N,3.7479999999999993
1726549,2017-07-04 09:08:01,16.649,37.626,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5489999999999995
1726650,2017-07-04 11:08:01,22.155,42.813,Winter,20.2,59.0,975.0,0.0,2.7,E,1.9550000000000018
1726746,2017-07-04 13:08:01,24.656,38.367,Winter,22.7,48.0,973.0,0.0,2.8,E,1.9559999999999995
1726844,2017-07-04 15:08:01,25.656,38.469,Winter,22.9,44.0,972.7,0.0,2.6,E,2.7560000000000002
1726937,2017-07-04 17:08:01,26.656,37.218,Winter,21.2,48.0,972.1,0.0,1.6,E,5.4559999999999995
1727037,2017-07-04 19:08:01,25.656,38.469,Winter,15.0,72.0,973.3,0.0,0.0,N,10.655999999999999
1727128,2017-07-04 21:08:01,23.156,40.239,Winter,12.9,77.0,973.9,0.0,0.0,N,10.255999999999998
1727230,2017-07-04 23:08:01,20.654,40.676,Winter,11.7,77.0,974.1,0.0,0.0,N,8.954
1727323,2017-07-05 01:08:01,19.153,41.213,Winter,11.0,83.0,974.4,0.0,0.0,N,8.152999999999999
1727421,2017-07-05 03:08:01,17.15,41.716,Winter,9.6,85.0,974.0,0.0,0.0,N,7.549999999999999
1727514,2017-07-05 05:08:01,16.148,42.972,Winter,10.7,83.0,974.4,0.0,0.0,N,5.448
1727616,2017-07-05 07:08:01,15.648,41.598,Winter,10.7,86.0,974.6,0.0,0.0,N,4.948
1727711,2017-07-05 09:08:01,16.148,40.966,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.251999999999999
1727809,2017-07-05 11:08:01,30.155,33.487,Winter,21.3,53.0,975.7,0.0,0.0,N,8.855
1727901,2017-07-05 13:08:01,29.655,34.121,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.655000000000001
1728003,2017-07-05 15:08:01,34.15,38.067,Winter,24.3,36.0,971.6,0.0,1.4,E,9.849999999999998
1728101,2017-07-05 17:08:01,33.651,34.577,Winter,22.7,40.0,972.0,0.0,1.3,E,10.951000000000004
1728195,2017-07-05 19:08:01,29.655,32.74,Winter,15.2,68.0,973.4,0.0,0.0,N,14.455000000000002
1728290,2017-07-05 21:08:01,25.656,33.003,Winter,12.6,76.0,973.8,0.0,0.0,N,13.056
1728391,2017-07-05 23:08:01,22.155,31.953,Winter,11.0,77.0,974.6,0.0,0.0,N,11.155000000000001
1728487,2017-07-06 01:08:01,19.153,32.354,Winter,10.0,80.0,974.3,0.0,0.0,N,9.152999999999999
1728589,2017-07-06 03:08:01,16.649,32.118,Winter,9.1,83.0,974.3,0.0,0.0,N,7.549000000000001
1728683,2017-07-06 05:08:01,14.646,31.978,Winter,7.9,86.0,974.1,0.0,0.0,N,6.746
1728777,2017-07-06 07:08:01,13.143,32.435,Winter,7.6,87.0,975.6,0.0,0.0,N,5.543000000000001
1728873,2017-07-06 09:08:01,17.651,44.415,Winter,16.8,56.0,976.3,0.0,0.0,N,0.8509999999999991
1728974,2017-07-06 11:08:01,26.156,38.521,Winter,21.3,53.0,975.6,0.0,0.0,N,4.855999999999998
