,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724975,2017-07-03 01:06:01,17.087,38.438,Winter,9.3,84.0,969.1,0.0,0.0,N,7.786999999999999
1725047,2017-07-03 03:06:01,15.586,38.966,Winter,8.3,88.0,969.7,0.0,0.0,N,7.286
1725148,2017-07-03 05:06:01,14.585,38.103,Winter,7.6,89.0,968.7,0.0,0.0,N,6.985000000000001
1725268,2017-07-03 07:06:01,13.584,37.952,Winter,7.4,91.0,969.8,0.0,0.0,N,6.183999999999999
1725348,2017-07-03 09:06:01,18.088,42.409,Winter,17.4,53.0,970.0,0.0,0.0,N,0.6880000000000024
1725446,2017-07-03 11:06:01,24.59,39.13,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.8900000000000006
1725530,2017-07-03 13:06:01,25.59,35.972,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.08999999999999986
1725666,2017-07-03 15:06:01,27.09,36.129,Winter,25.6,31.0,968.1,0.0,2.7,E,1.4899999999999984
1725750,2017-07-03 17:06:01,27.09,35.473,Winter,23.3,35.0,969.9,0.0,2.8,E,3.789999999999999
1725855,2017-07-03 19:06:01,25.09,35.92,Winter,20.3,45.0,971.2,0.0,1.5,E,4.789999999999999
1725933,2017-07-03 21:06:01,22.59,36.98,Winter,17.3,56.0,973.5,0.0,1.3,E,5.289999999999999
1726039,2017-07-03 23:06:01,21.089,36.181,Winter,16.9,63.0,974.0,0.0,1.4,E,4.189
1726118,2017-07-04 01:06:01,19.589,37.351,Winter,14.0,76.0,973.4,0.0,0.0,N,5.588999999999999
1726222,2017-07-04 03:06:01,18.088,36.561,Winter,12.6,82.0,973.2,0.0,0.0,N,5.488000000000001
1726331,2017-07-04 05:06:01,17.087,37.129,Winter,11.8,85.0,972.9,0.0,0.0,N,5.286999999999999
1726431,2017-07-04 07:06:01,16.087,37.699,Winter,12.4,86.0,974.3,0.0,0.0,N,3.6869999999999994
1726520,2017-07-04 09:06:01,16.587,37.086,Winter,16.1,75.0,975.9,0.0,0.0,N,0.4869999999999983
1726624,2017-07-04 11:06:01,22.59,42.803,Winter,20.2,59.0,975.0,0.0,2.7,E,2.3900000000000006
1726726,2017-07-04 13:06:01,24.59,39.13,Winter,22.7,48.0,973.0,0.0,2.8,E,1.8900000000000006
1726800,2017-07-04 15:06:01,25.09,38.531,Winter,22.9,44.0,972.7,0.0,2.6,E,2.1900000000000013
1726917,2017-07-04 17:06:01,25.59,38.583,Winter,21.2,48.0,972.1,0.0,1.6,E,4.390000000000001
1727006,2017-07-04 19:06:01,25.09,39.828,Winter,15.0,72.0,973.3,0.0,0.0,N,10.09
1727090,2017-07-04 21:06:01,22.59,40.875,Winter,12.9,77.0,973.9,0.0,0.0,N,9.69
1727205,2017-07-04 23:06:01,20.089,41.291,Winter,11.7,77.0,974.1,0.0,0.0,N,8.389
1727310,2017-07-05 01:06:01,18.588,41.161,Winter,11.0,83.0,974.4,0.0,0.0,N,7.588000000000001
1727410,2017-07-05 03:06:01,17.087,41.683,Winter,9.6,85.0,974.0,0.0,0.0,N,7.487
1727488,2017-07-05 05:06:01,15.586,42.857,Winter,10.7,83.0,974.4,0.0,0.0,N,4.886000000000001
1727597,2017-07-05 07:06:01,15.086,42.175,Winter,10.7,86.0,974.6,0.0,0.0,N,4.386000000000001
1727668,2017-07-05 09:06:01,16.087,41.604,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.3129999999999988
1727793,2017-07-05 11:06:01,28.089,38.846,Winter,21.3,53.0,975.7,0.0,0.0,N,6.788999999999998
1727867,2017-07-05 13:06:01,29.089,34.372,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.088999999999999
1727978,2017-07-05 15:06:01,30.089,33.822,Winter,24.3,36.0,971.6,0.0,1.4,E,5.788999999999998
1728060,2017-07-05 17:06:01,30.588,33.878,Winter,22.7,40.0,972.0,0.0,1.3,E,7.888000000000002
1728153,2017-07-05 19:06:01,27.59,34.869,Winter,15.2,68.0,973.4,0.0,0.0,N,12.39
1728283,2017-07-05 21:06:01,23.59,35.769,Winter,12.6,76.0,973.8,0.0,0.0,N,10.99
1728343,2017-07-05 23:06:01,20.589,36.789,Winter,11.0,77.0,974.6,0.0,0.0,N,9.588999999999999
1728449,2017-07-06 01:06:01,18.088,38.523,Winter,10.0,80.0,974.3,0.0,0.0,N,8.088000000000001
1728567,2017-07-06 03:06:01,15.586,39.618,Winter,9.1,83.0,974.3,0.0,0.0,N,6.486000000000001
1728653,2017-07-06 05:06:01,13.584,39.867,Winter,7.9,86.0,974.1,0.0,0.0,N,5.683999999999999
1728751,2017-07-06 07:06:01,12.083,40.28,Winter,7.6,87.0,975.6,0.0,0.0,N,4.4830000000000005
1728846,2017-07-06 09:06:01,20.589,51.461,Winter,16.8,56.0,976.3,0.0,0.0,N,3.788999999999998
1728943,2017-07-06 11:06:01,26.59,43.838,Winter,21.3,53.0,975.6,0.0,0.0,N,5.289999999999999
1729061,2017-07-06 13:06:01,25.59,39.879,Winter,23.7,43.0,973.8,0.0,1.3,E,1.8900000000000006
1729143,2017-07-06 15:06:01,26.09,32.065,Winter,24.5,35.0,972.6,0.0,2.1,E,1.5899999999999999
1729246,2017-07-06 17:06:01,24.59,38.481,Winter,22.4,42.0,972.4,0.0,1.6,E,2.1900000000000013
1729322,2017-07-06 19:06:01,23.09,43.49,Winter,17.9,63.0,973.2,0.0,0.0,N,5.190000000000001
1729429,2017-07-06 21:06:01,23.09,46.034,Winter,18.0,64.0,973.8,0.0,0.0,N,5.09
1729526,2017-07-06 23:06:01,22.09,50.964,Winter,15.5,76.0,974.9,0.0,0.0,N,6.59
1729618,2017-07-07 01:06:01,21.589,50.922,Winter,12.8,83.0,974.9,0.0,0.0,N,8.788999999999998
1729738,2017-07-07 03:06:01,21.089,50.88,Winter,12.8,83.0,974.1,0.0,0.0,N,8.288999999999998
1729828,2017-07-07 05:06:01,20.589,54.549,Winter,13.4,82.0,974.9,0.0,0.0,N,7.188999999999998
1729924,2017-07-07 07:06:01,20.089,61.181,Winter,13.8,87.0,976.1,0.0,0.0,N,6.288999999999998
1729999,2017-07-07 09:06:01,20.589,70.026,Winter,17.3,83.0,976.5,0.0,0.0,N,3.288999999999998
1730109,2017-07-07 11:06:01,22.09,64.298,Winter,20.1,69.0,976.7,0.0,1.2,NE,1.9899999999999984
1730215,2017-07-07 13:06:01,24.59,51.192,Winter,22.6,53.0,974.0,0.0,1.3,E,1.9899999999999984
1730314,2017-07-07 15:06:01,25.59,46.276,Winter,23.4,46.0,973.2,0.0,1.7,ENE,2.1900000000000013
1730380,2017-07-07 17:06:01,24.09,44.86,Winter,22.0,49.0,972.3,0.0,0.0,N,2.09
1730505,2017-07-07 19:06:01,23.59,48.601,Winter,17.8,69.0,973.7,0.0,0.0,N,5.789999999999999
1730588,2017-07-07 21:06:01,23.09,50.43,Winter,15.8,71.0,974.0,0.0,0.0,N,7.289999999999999
1730674,2017-07-07 23:06:01,22.09,52.205,Winter,13.6,82.0,974.3,0.0,0.0,N,8.49
1730804,2017-07-08 01:06:01,21.089,51.502,Winter,11.9,84.0,973.5,0.0,0.0,N,9.188999999999998
1730895,2017-07-08 03:06:01,20.589,52.701,Winter,11.7,83.0,972.8,0.0,0.0,N,8.889
1730996,2017-07-08 05:06:01,20.089,54.511,Winter,11.4,86.0,972.9,0.0,0.0,N,8.688999999999998
1731098,2017-07-08 07:06:01,18.588,56.852,Winter,10.1,90.0,974.4,0.0,0.0,N,8.488000000000001
1731163,2017-07-08 09:06:01,21.589,55.242,Winter,18.2,64.0,974.5,0.0,0.0,N,3.3889999999999993
1731252,2017-07-08 11:06:01,24.09,52.384,Winter,22.4,57.0,973.7,0.0,0.0,N,1.6900000000000013
1731370,2017-07-08 13:06:01,26.09,46.327,Winter,24.7,48.0,970.9,0.0,1.2,ENE,1.3900000000000006
1731484,2017-07-08 15:06:01,26.09,42.507,Winter,25.3,43.0,969.8,0.0,1.5,NE,0.7899999999999991
1731576,2017-07-08 17:06:01,24.59,44.272,Winter,23.6,47.0,968.7,0.0,1.3,NNE,0.9899999999999984
1731646,2017-07-08 19:06:01,24.09,49.899,Winter,17.9,69.0,970.4,0.0,0.0,N,6.190000000000001
1731752,2017-07-08 21:06:01,23.09,52.911,Winter,17.0,74.0,971.2,0.0,0.0,N,6.09
1731841,2017-07-08 23:06:01,22.59,53.484,Winter,14.4,80.0,971.0,0.0,0.0,N,8.19
1731935,2017-07-09 01:06:01,21.589,53.399,Winter,12.3,87.0,970.6,0.0,0.0,N,9.288999999999998
1732046,2017-07-09 03:06:01,21.089,52.741,Winter,11.0,90.0,970.3,0.0,0.0,N,10.088999999999999
1732142,2017-07-09 05:06:01,20.589,52.701,Winter,10.2,89.0,969.7,0.0,0.0,N,10.389
1732227,2017-07-09 07:06:01,18.588,54.403,Winter,9.6,90.0,970.2,0.0,0.0,N,8.988000000000001
1732313,2017-07-09 09:06:01,21.089,52.741,Winter,18.7,58.0,970.4,0.0,2.2,SW,2.3889999999999993
1732430,2017-07-09 11:06:01,23.59,46.081,Winter,25.1,41.0,969.3,0.0,1.5,SW,-1.5100000000000016
1732515,2017-07-09 13:06:01,27.09,32.171,Winter,27.9,30.0,966.9,0.0,2.2,S,-0.8099999999999987
