,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725016,2017-07-03 01:13:01,17.588,36.965,Winter,9.3,84.0,969.1,0.0,0.0,N,8.288
1725117,2017-07-03 03:13:01,16.586,36.224,Winter,8.3,88.0,969.7,0.0,0.0,N,8.285999999999998
1725214,2017-07-03 05:13:01,15.083,37.406,Winter,7.6,89.0,968.7,0.0,0.0,N,7.4830000000000005
1725307,2017-07-03 07:13:01,14.582,37.252,Winter,7.4,91.0,969.8,0.0,0.0,N,7.182
1725406,2017-07-03 09:13:01,17.087,46.556,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.31299999999999883
1725508,2017-07-03 11:13:01,25.594,38.375,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.894000000000002
1725602,2017-07-03 13:13:01,26.094,35.825,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.5940000000000012
1725704,2017-07-03 15:13:01,28.093,34.729,Winter,25.6,31.0,968.1,0.0,2.7,E,2.4929999999999986
1725799,2017-07-03 17:13:01,27.593,35.33,Winter,23.3,35.0,969.9,0.0,2.8,E,4.292999999999999
1725897,2017-07-03 19:13:01,25.094,35.722,Winter,20.3,45.0,971.2,0.0,1.5,E,4.7940000000000005
1725991,2017-07-03 21:13:01,22.593,36.776,Winter,17.3,56.0,973.5,0.0,1.3,E,5.292999999999999
1726091,2017-07-03 23:13:01,20.592,37.886,Winter,16.9,63.0,974.0,0.0,1.4,E,3.692
1726185,2017-07-04 01:13:01,19.09,37.75,Winter,14.0,76.0,973.4,0.0,0.0,N,5.09
1726283,2017-07-04 03:13:01,17.588,38.268,Winter,12.6,82.0,973.2,0.0,0.0,N,4.988000000000001
1726379,2017-07-04 05:13:01,16.586,38.183,Winter,11.8,85.0,972.9,0.0,0.0,N,4.785999999999998
1726481,2017-07-04 07:13:01,16.085,38.141,Winter,12.4,86.0,974.3,0.0,0.0,N,3.6850000000000005
1726575,2017-07-04 09:13:01,16.586,37.531,Winter,16.1,75.0,975.9,0.0,0.0,N,0.4859999999999971
1726671,2017-07-04 11:13:01,31.59,40.968,Winter,20.2,59.0,975.0,0.0,2.7,E,11.39
