,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724967,2017-07-03 01:06:01,17.635,37.942,Winter,9.3,84.0,969.1,0.0,0.0,N,8.335
1725044,2017-07-03 03:06:01,16.132,38.473,Winter,8.3,88.0,969.7,0.0,0.0,N,7.832000000000001
1725162,2017-07-03 05:06:01,15.13,39.705,Winter,7.6,89.0,968.7,0.0,0.0,N,7.530000000000001
1725236,2017-07-03 07:06:01,14.128,38.15,Winter,7.4,91.0,969.8,0.0,0.0,N,6.728
1725355,2017-07-03 09:06:01,18.136,44.476,Winter,17.4,53.0,970.0,0.0,0.0,N,0.7360000000000007
1725465,2017-07-03 11:06:01,25.143,39.3,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4430000000000014
1725537,2017-07-03 13:06:01,26.642,34.847,Winter,25.5,33.0,968.7,0.0,1.5,ENE,1.1419999999999995
1725639,2017-07-03 15:06:01,28.142,35.67,Winter,25.6,31.0,968.1,0.0,2.7,E,2.541999999999998
1725732,2017-07-03 17:06:01,28.142,35.007,Winter,23.3,35.0,969.9,0.0,2.8,E,4.841999999999999
1725856,2017-07-03 19:06:01,26.143,34.794,Winter,20.3,45.0,971.2,0.0,1.5,E,5.843
1725954,2017-07-03 21:06:01,23.142,36.475,Winter,17.3,56.0,973.5,0.0,1.3,E,5.841999999999999
1726036,2017-07-03 23:06:01,21.14,36.282,Winter,16.9,63.0,974.0,0.0,1.4,E,4.240000000000002
1726136,2017-07-04 01:06:01,19.639,36.802,Winter,14.0,76.0,973.4,0.0,0.0,N,5.638999999999999
1726230,2017-07-04 03:06:01,18.136,36.666,Winter,12.6,82.0,973.2,0.0,0.0,N,5.536
1726314,2017-07-04 05:06:01,17.134,37.899,Winter,11.8,85.0,972.9,0.0,0.0,N,5.334
1726439,2017-07-04 07:06:01,16.633,38.514,Winter,12.4,86.0,974.3,0.0,0.0,N,4.232999999999999
1726530,2017-07-04 09:06:01,16.633,38.514,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5329999999999977
1726635,2017-07-04 11:06:01,23.142,41.7,Winter,20.2,59.0,975.0,0.0,2.7,E,2.942
1726733,2017-07-04 13:06:01,25.143,38.647,Winter,22.7,48.0,973.0,0.0,2.8,E,2.4430000000000014
1726813,2017-07-04 15:06:01,26.143,38.094,Winter,22.9,44.0,972.7,0.0,2.6,E,3.243000000000002
1726926,2017-07-04 17:06:01,26.642,38.147,Winter,21.2,48.0,972.1,0.0,1.6,E,5.442
1727007,2017-07-04 19:06:01,26.143,37.438,Winter,15.0,72.0,973.3,0.0,0.0,N,11.143
1727113,2017-07-04 21:06:01,23.142,40.404,Winter,12.9,77.0,973.9,0.0,0.0,N,10.241999999999999
1727194,2017-07-04 23:06:01,21.14,40.865,Winter,11.7,77.0,974.1,0.0,0.0,N,9.440000000000001
1727296,2017-07-05 01:06:01,19.138,41.337,Winter,11.0,83.0,974.4,0.0,0.0,N,8.138000000000002
1727396,2017-07-05 03:06:01,17.635,43.151,Winter,9.6,85.0,974.0,0.0,0.0,N,8.035000000000002
1727509,2017-07-05 05:06:01,16.132,42.388,Winter,10.7,83.0,974.4,0.0,0.0,N,5.432000000000002
1727603,2017-07-05 07:06:01,15.631,41.701,Winter,10.7,86.0,974.6,0.0,0.0,N,4.931000000000001
1727663,2017-07-05 09:06:01,16.633,42.427,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.7669999999999995
1727791,2017-07-05 11:06:01,28.142,38.962,Winter,21.3,53.0,975.7,0.0,0.0,N,6.841999999999999
1727871,2017-07-05 13:06:01,29.64,34.506,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.640000000000001
1727984,2017-07-05 15:06:01,30.14,34.561,Winter,24.3,36.0,971.6,0.0,1.4,E,5.84
1728074,2017-07-05 17:06:01,31.139,34.006,Winter,22.7,40.0,972.0,0.0,1.3,E,8.439
1728166,2017-07-05 19:06:01,28.142,34.342,Winter,15.2,68.0,973.4,0.0,0.0,N,12.942
1728247,2017-07-05 21:06:01,24.142,35.914,Winter,12.6,76.0,973.8,0.0,0.0,N,11.542
1728348,2017-07-05 23:06:01,21.14,37.6,Winter,11.0,77.0,974.6,0.0,0.0,N,10.14
1728466,2017-07-06 01:06:01,18.637,38.029,Winter,10.0,80.0,974.3,0.0,0.0,N,8.637
1728575,2017-07-06 03:06:01,16.132,39.785,Winter,9.1,83.0,974.3,0.0,0.0,N,7.032000000000002
1728662,2017-07-06 05:06:01,14.128,39.435,Winter,7.9,86.0,974.1,0.0,0.0,N,6.228
1728770,2017-07-06 07:06:01,12.623,39.85,Winter,7.6,87.0,975.6,0.0,0.0,N,5.023
1728865,2017-07-06 09:06:01,21.14,51.025,Winter,16.8,56.0,976.3,0.0,0.0,N,4.34
1728927,2017-07-06 11:06:01,25.143,44.464,Winter,21.3,53.0,975.6,0.0,0.0,N,3.843
1729056,2017-07-06 13:06:01,28.641,39.669,Winter,23.7,43.0,973.8,0.0,1.3,E,4.940999999999999
1729138,2017-07-06 15:06:01,27.142,40.808,Winter,24.5,35.0,972.6,0.0,2.1,E,2.6419999999999995
1729230,2017-07-06 17:06:01,23.142,47.445,Winter,22.4,42.0,972.4,0.0,1.6,E,0.7420000000000009
1729341,2017-07-06 19:06:01,23.142,59.713,Winter,17.9,63.0,973.2,0.0,0.0,N,5.242000000000001
1729428,2017-07-06 21:06:01,23.642,61.536,Winter,18.0,64.0,973.8,0.0,0.0,N,5.6419999999999995
1729537,2017-07-06 23:06:01,21.14,67.167,Winter,15.5,76.0,974.9,0.0,0.0,N,5.640000000000001
1729607,2017-07-07 01:06:01,19.639,69.357,Winter,12.8,83.0,974.9,0.0,0.0,N,6.838999999999999
1729736,2017-07-07 03:06:01,19.138,69.328,Winter,12.8,83.0,974.1,0.0,0.0,N,6.338000000000001
1729803,2017-07-07 05:06:01,20.64,79.36,Winter,13.4,82.0,974.9,0.0,0.0,N,7.24
1729898,2017-07-07 07:06:01,19.138,69.896,Winter,13.8,87.0,976.1,0.0,0.0,N,5.338000000000001
1730020,2017-07-07 09:06:01,21.14,64.272,Winter,17.3,83.0,976.5,0.0,0.0,N,3.84
1730103,2017-07-07 11:06:01,24.142,56.8,Winter,20.1,69.0,976.7,0.0,1.2,NE,4.041999999999998
1730223,2017-07-07 13:06:01,26.143,50.243,Winter,22.6,53.0,974.0,0.0,1.3,E,3.5429999999999993
1730319,2017-07-07 15:06:01,28.142,44.778,Winter,23.4,46.0,973.2,0.0,1.7,ENE,4.742000000000001
