,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724989,2017-07-03 01:08:01,16.581,37.682,Winter,9.3,84.0,969.1,0.0,0.0,N,7.280999999999999
1725088,2017-07-03 03:08:01,15.58,38.253,Winter,8.3,88.0,969.7,0.0,0.0,N,7.279999999999999
1725186,2017-07-03 05:08:01,14.578,37.402,Winter,7.6,89.0,968.7,0.0,0.0,N,6.978
1725280,2017-07-03 07:08:01,13.576,37.891,Winter,7.4,91.0,969.8,0.0,0.0,N,6.176
1725381,2017-07-03 09:08:01,16.581,45.422,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.8189999999999991
1725481,2017-07-03 11:08:01,24.588,39.071,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.8880000000000017
1725578,2017-07-03 13:08:01,25.588,35.917,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.08800000000000097
1725674,2017-07-03 15:08:01,28.587,33.606,Winter,25.6,31.0,968.1,0.0,2.7,E,2.9869999999999983
1725769,2017-07-03 17:08:01,27.588,34.158,Winter,23.3,35.0,969.9,0.0,2.8,E,4.288
1725873,2017-07-03 19:08:01,25.088,35.21,Winter,20.3,45.0,971.2,0.0,1.5,E,4.788
1725967,2017-07-03 21:08:01,22.587,36.27,Winter,17.3,56.0,973.5,0.0,1.3,E,5.286999999999999
1726063,2017-07-03 23:08:01,20.586,36.732,Winter,16.9,63.0,974.0,0.0,1.4,E,3.686
1726164,2017-07-04 01:08:01,19.084,37.9,Winter,14.0,76.0,973.4,0.0,0.0,N,5.084
1726262,2017-07-04 03:08:01,17.583,37.114,Winter,12.6,82.0,973.2,0.0,0.0,N,4.982999999999999
1726357,2017-07-04 05:08:01,16.581,38.987,Winter,11.8,85.0,972.9,0.0,0.0,N,4.780999999999999
1726457,2017-07-04 07:08:01,16.08,37.64,Winter,12.4,86.0,974.3,0.0,0.0,N,3.679999999999998
1726554,2017-07-04 09:08:01,16.581,37.682,Winter,16.1,75.0,975.9,0.0,0.0,N,0.4809999999999981
1726645,2017-07-04 11:08:01,22.087,43.33,Winter,20.2,59.0,975.0,0.0,2.7,E,1.8870000000000005
1726747,2017-07-04 13:08:01,24.088,39.668,Winter,22.7,48.0,973.0,0.0,2.8,E,1.3880000000000017
1726845,2017-07-04 15:08:01,25.588,37.875,Winter,22.9,44.0,972.7,0.0,2.6,E,2.6880000000000024
1726938,2017-07-04 17:08:01,26.588,37.328,Winter,21.2,48.0,972.1,0.0,1.6,E,5.388000000000002
1727031,2017-07-04 19:08:01,25.588,37.875,Winter,15.0,72.0,973.3,0.0,0.0,N,10.588000000000001
1727133,2017-07-04 21:08:01,22.587,39.522,Winter,12.9,77.0,973.9,0.0,0.0,N,9.687
1727229,2017-07-04 23:08:01,20.586,40.628,Winter,11.7,77.0,974.1,0.0,0.0,N,8.886
1727327,2017-07-05 01:08:01,18.584,41.098,Winter,11.0,83.0,974.4,0.0,0.0,N,7.584
1727419,2017-07-05 03:08:01,17.082,42.262,Winter,9.6,85.0,974.0,0.0,0.0,N,7.482000000000001
1727518,2017-07-05 05:08:01,15.58,42.146,Winter,10.7,83.0,974.4,0.0,0.0,N,4.880000000000001
1727612,2017-07-05 07:08:01,15.079,42.752,Winter,10.7,86.0,974.6,0.0,0.0,N,4.379000000000001
1727710,2017-07-05 09:08:01,16.08,42.184,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.3200000000000003
1727804,2017-07-05 11:08:01,30.086,33.771,Winter,21.3,53.0,975.7,0.0,0.0,N,8.785999999999998
1727902,2017-07-05 13:08:01,29.087,34.978,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.087
1728002,2017-07-05 15:08:01,31.086,27.875,Winter,24.3,36.0,971.6,0.0,1.4,E,6.785999999999998
1728098,2017-07-05 17:08:01,27.588,32.837,Winter,22.7,40.0,972.0,0.0,1.3,E,4.888000000000002
1728198,2017-07-05 19:08:01,24.588,41.649,Winter,15.2,68.0,973.4,0.0,0.0,N,9.388000000000002
1728295,2017-07-05 21:08:01,22.087,49.639,Winter,12.6,76.0,973.8,0.0,0.0,N,9.487
1728390,2017-07-05 23:08:01,20.085,52.577,Winter,11.0,77.0,974.6,0.0,0.0,N,9.085
1728490,2017-07-06 01:08:01,18.584,54.314,Winter,10.0,80.0,974.3,0.0,0.0,N,8.584
1728586,2017-07-06 03:08:01,17.583,56.084,Winter,9.1,83.0,974.3,0.0,0.0,N,8.482999999999999
1728686,2017-07-06 05:08:01,16.08,57.823,Winter,7.9,86.0,974.1,0.0,0.0,N,8.179999999999998
1728776,2017-07-06 07:08:01,15.079,58.379,Winter,7.6,87.0,975.6,0.0,0.0,N,7.479000000000001
1728878,2017-07-06 09:08:01,23.087,39.57,Winter,16.8,56.0,976.3,0.0,0.0,N,6.286999999999999
1728970,2017-07-06 11:08:01,28.087,36.181,Winter,21.3,53.0,975.6,0.0,0.0,N,6.786999999999999
1729067,2017-07-06 13:08:01,30.586,31.172,Winter,23.7,43.0,973.8,0.0,1.3,E,6.885999999999999
1729170,2017-07-06 15:08:01,30.586,27.146,Winter,24.5,35.0,972.6,0.0,2.1,E,6.0859999999999985
1729269,2017-07-06 17:08:01,27.088,33.445,Winter,22.4,42.0,972.4,0.0,1.6,E,4.688000000000002
1729359,2017-07-06 19:08:01,25.588,41.75,Winter,17.9,63.0,973.2,0.0,0.0,N,7.688000000000002
1729457,2017-07-06 21:08:01,24.588,44.84,Winter,18.0,64.0,973.8,0.0,0.0,N,6.588000000000001
1729555,2017-07-06 23:08:01,22.087,51.504,Winter,15.5,76.0,974.9,0.0,0.0,N,6.587
1729649,2017-07-07 01:08:01,20.586,55.683,Winter,12.8,83.0,974.9,0.0,0.0,N,7.785999999999998
1729748,2017-07-07 03:08:01,21.086,54.5,Winter,12.8,83.0,974.1,0.0,0.0,N,8.285999999999998
1729846,2017-07-07 05:08:01,20.085,56.863,Winter,13.4,82.0,974.9,0.0,0.0,N,6.6850000000000005
1729942,2017-07-07 07:08:01,20.586,62.302,Winter,13.8,87.0,976.1,0.0,0.0,N,6.785999999999998
1730043,2017-07-07 09:08:01,22.087,60.628,Winter,17.3,83.0,976.5,0.0,0.0,N,4.786999999999999
1730141,2017-07-07 11:08:01,25.088,52.397,Winter,20.1,69.0,976.7,0.0,1.2,NE,4.9879999999999995
1730237,2017-07-07 13:08:01,28.087,41.371,Winter,22.6,53.0,974.0,0.0,1.3,E,5.486999999999998
1730329,2017-07-07 15:08:01,27.588,37.434,Winter,23.4,46.0,973.2,0.0,1.7,ENE,4.188000000000002
1730429,2017-07-07 17:08:01,26.088,40.516,Winter,22.0,49.0,972.3,0.0,0.0,N,4.088000000000001
1730528,2017-07-07 19:08:01,24.588,42.93,Winter,17.8,69.0,973.7,0.0,0.0,N,6.788
1730619,2017-07-07 21:08:01,22.587,50.306,Winter,15.8,71.0,974.0,0.0,0.0,N,6.786999999999999
1730719,2017-07-07 23:08:01,20.586,56.292,Winter,13.6,82.0,974.3,0.0,0.0,N,6.985999999999999
1730814,2017-07-08 01:08:01,20.085,56.863,Winter,11.9,84.0,973.5,0.0,0.0,N,8.185
1730914,2017-07-08 03:08:01,19.084,58.608,Winter,11.7,83.0,972.8,0.0,0.0,N,7.384
1731008,2017-07-08 05:08:01,18.083,59.749,Winter,11.4,86.0,972.9,0.0,0.0,N,6.682999999999998
1731103,2017-07-08 07:08:01,17.082,60.892,Winter,10.1,90.0,974.4,0.0,0.0,N,6.982000000000001
1731202,2017-07-08 09:08:01,25.088,42.34,Winter,18.2,64.0,974.5,0.0,0.0,N,6.888000000000002
1731301,2017-07-08 11:08:01,29.587,38.953,Winter,22.4,57.0,973.7,0.0,0.0,N,7.187000000000001
1731395,2017-07-08 13:08:01,31.086,33.882,Winter,24.7,48.0,970.9,0.0,1.2,ENE,6.385999999999999
1731491,2017-07-08 15:08:01,30.586,33.826,Winter,25.3,43.0,969.8,0.0,1.5,NE,5.285999999999998
1731589,2017-07-08 17:08:01,28.087,37.488,Winter,23.6,47.0,968.7,0.0,1.3,NNE,4.486999999999998
1731683,2017-07-08 19:08:01,25.588,44.305,Winter,17.9,69.0,970.4,0.0,0.0,N,7.688000000000002
1731783,2017-07-08 21:08:01,23.087,52.21,Winter,17.0,74.0,971.2,0.0,0.0,N,6.087
1731878,2017-07-08 23:08:01,21.587,56.37,Winter,14.4,80.0,971.0,0.0,0.0,N,7.186999999999999
1731973,2017-07-09 01:08:01,20.085,57.469,Winter,12.3,87.0,970.6,0.0,0.0,N,7.785
1732068,2017-07-09 03:08:01,18.584,59.78,Winter,11.0,90.0,970.3,0.0,0.0,N,7.584
1732170,2017-07-09 05:08:01,17.583,59.117,Winter,10.2,89.0,969.7,0.0,0.0,N,7.382999999999999
1732262,2017-07-09 07:08:01,16.581,60.866,Winter,9.6,90.0,970.2,0.0,0.0,N,6.981
1732358,2017-07-09 09:08:01,25.088,41.699,Winter,18.7,58.0,970.4,0.0,2.2,SW,6.388000000000002
1732460,2017-07-09 11:08:01,30.086,34.43,Winter,25.1,41.0,969.3,0.0,1.5,SW,4.985999999999997
1732553,2017-07-09 13:08:01,33.083,26.066,Winter,27.9,30.0,966.9,0.0,2.2,S,5.183
1732654,2017-07-09 15:08:01,33.083,23.338,Winter,28.2,26.0,965.2,0.0,2.2,SSE,4.882999999999999
1732751,2017-07-09 17:08:01,30.086,27.091,Winter,25.7,31.0,964.3,0.0,0.0,N,4.385999999999999
1732846,2017-07-09 19:08:01,27.088,34.104,Winter,18.4,53.0,965.6,0.0,0.0,N,8.688000000000002
1732943,2017-07-09 21:08:01,25.088,41.057,Winter,15.1,66.0,966.8,0.0,0.0,N,9.988000000000001
1733039,2017-07-09 23:08:01,22.587,47.178,Winter,14.3,64.0,966.9,0.0,0.0,N,8.286999999999999
1733134,2017-07-10 01:08:01,20.586,48.887,Winter,11.8,75.0,967.4,0.0,0.0,N,8.785999999999998
1733235,2017-07-10 03:08:01,19.585,51.3,Winter,10.9,80.0,967.0,0.0,0.0,N,8.685
1733332,2017-07-10 05:08:01,18.584,51.846,Winter,10.9,75.0,966.8,0.0,0.0,N,7.683999999999999
1733428,2017-07-10 07:08:01,18.083,51.811,Winter,11.2,75.0,967.2,0.0,0.0,N,6.882999999999999
1733527,2017-07-10 09:08:01,25.588,33.947,Winter,21.0,42.0,968.2,0.0,0.0,N,4.588000000000001
1733619,2017-07-10 11:08:01,32.085,22.544,Winter,28.1,27.0,968.1,0.0,0.0,N,3.9849999999999994
1733716,2017-07-10 13:08:01,33.583,22.706,Winter,30.3,21.0,965.6,0.0,2.0,SSE,3.2829999999999977
1733817,2017-07-10 15:08:01,34.082,22.76,Winter,29.4,21.0,965.2,0.0,1.8,ESE,4.682000000000002
1733916,2017-07-10 17:08:01,31.585,25.222,Winter,25.7,31.0,965.5,0.0,0.0,N,5.885000000000002
1734013,2017-07-10 19:08:01,27.588,28.169,Winter,17.4,53.0,966.5,0.0,0.0,N,10.188000000000002
1734113,2017-07-10 21:08:01,26.088,36.623,Winter,18.7,46.0,969.2,0.0,0.0,N,7.388000000000002
1734206,2017-07-10 23:08:01,25.088,49.917,Winter,18.9,74.0,970.4,0.0,3.4,E,6.188000000000002
1734305,2017-07-11 01:08:01,24.588,51.112,Winter,18.6,77.0,971.6,0.0,1.5,E,5.9879999999999995
1734402,2017-07-11 03:08:01,22.087,58.83,Winter,17.6,80.0,970.7,0.0,1.2,E,4.486999999999998
1734505,2017-07-11 05:08:01,20.586,61.112,Winter,15.0,89.0,970.4,0.0,0.0,N,5.5859999999999985
1734597,2017-07-11 07:08:01,21.086,58.751,Winter,14.2,91.0,971.7,0.0,0.0,N,6.885999999999999
1734696,2017-07-11 09:08:01,23.087,57.102,Winter,17.7,79.0,972.9,0.0,0.0,N,5.3870000000000005
1734797,2017-07-11 11:08:01,25.588,51.209,Winter,20.5,65.0,972.8,0.0,0.0,N,5.088000000000001
1734895,2017-07-11 13:08:01,29.087,38.897,Winter,23.5,51.0,971.2,0.0,1.2,N,5.587
1734993,2017-07-11 15:08:01,30.086,35.089,Winter,24.7,45.0,969.4,0.0,0.0,N,5.385999999999999
1735091,2017-07-11 17:08:01,28.087,38.788,Winter,23.7,48.0,969.1,0.0,0.0,N,4.3870000000000005
1735182,2017-07-11 19:08:01,24.588,46.737,Winter,17.7,68.0,969.7,0.0,0.0,N,6.888000000000002
1735280,2017-07-11 21:08:01,23.087,50.972,Winter,16.4,71.0,971.1,0.0,0.0,N,6.687000000000001
1735377,2017-07-11 23:08:01,21.086,56.331,Winter,13.8,81.0,971.5,0.0,0.0,N,7.285999999999998
1735474,2017-07-12 01:08:01,19.585,59.845,Winter,12.8,86.0,970.6,0.0,0.0,N,6.785
1735574,2017-07-12 03:08:01,19.585,59.845,Winter,12.6,86.0,970.0,0.0,0.0,N,6.985000000000001
1735668,2017-07-12 05:08:01,18.083,62.737,Winter,11.3,90.0,971.4,0.0,0.0,N,6.782999999999998
1735762,2017-07-12 07:08:01,18.083,65.1,Winter,12.6,88.0,973.4,0.0,0.0,N,5.482999999999999
1735861,2017-07-12 09:08:01,22.087,60.03,Winter,17.1,78.0,974.9,0.0,1.1,SSE,4.986999999999998
1735953,2017-07-12 11:08:01,25.588,49.967,Winter,20.4,67.0,974.4,0.0,1.3,SE,5.188000000000002
1736054,2017-07-12 13:08:01,30.086,40.304,Winter,24.0,52.0,972.3,0.0,1.1,ESE,6.0859999999999985
1736147,2017-07-12 15:08:01,30.086,37.055,Winter,25.1,46.0,971.6,0.0,1.2,NNE,4.985999999999997
1736240,2017-07-12 17:08:01,28.087,40.727,Winter,22.6,54.0,970.6,0.0,0.0,N,5.486999999999998
1736336,2017-07-12 19:08:01,25.088,48.669,Winter,16.6,74.0,970.6,0.0,0.0,N,8.488
1736434,2017-07-12 21:08:01,23.087,54.668,Winter,14.3,80.0,971.7,0.0,0.0,N,8.786999999999999
1736531,2017-07-12 23:08:01,21.086,58.148,Winter,12.6,80.0,971.2,0.0,0.0,N,8.485999999999999
1736629,2017-07-13 01:08:01,19.585,60.445,Winter,11.5,85.0,970.5,0.0,0.0,N,8.085
1736726,2017-07-13 03:08:01,18.083,62.737,Winter,11.2,89.0,970.0,0.0,0.0,N,6.882999999999999
1736817,2017-07-13 05:08:01,17.082,63.869,Winter,10.4,90.0,968.8,0.0,0.0,N,6.682
1736916,2017-07-13 07:08:01,16.581,66.786,Winter,9.9,91.0,970.2,0.0,0.0,N,6.680999999999999
1737014,2017-07-13 09:08:01,24.088,42.881,Winter,18.9,56.0,970.5,0.0,0.0,N,5.188000000000002
1737106,2017-07-13 11:08:01,28.087,32.891,Winter,26.3,34.0,969.4,0.0,1.5,SW,1.786999999999999
1737204,2017-07-13 13:08:01,32.085,22.544,Winter,29.8,24.0,967.4,0.0,1.6,WSW,2.285
1737300,2017-07-13 15:08:01,32.085,18.401,Winter,30.2,20.0,966.0,0.0,1.4,W,1.8850000000000016
1737394,2017-07-13 17:08:01,30.086,23.014,Winter,26.4,25.0,966.2,0.0,0.0,N,3.686
1737489,2017-07-13 19:08:01,26.588,29.403,Winter,18.3,46.0,966.6,0.0,0.0,N,8.288
1737590,2017-07-13 21:08:01,24.588,37.773,Winter,16.4,53.0,967.2,0.0,0.0,N,8.188000000000002
1737684,2017-07-13 23:08:01,22.087,43.968,Winter,13.9,61.0,967.7,0.0,0.0,N,8.187
1737782,2017-07-14 01:08:01,22.087,56.411,Winter,17.9,80.0,969.6,0.0,2.7,E,4.187000000000001
1737878,2017-07-14 03:08:01,22.087,54.582,Winter,17.4,74.0,971.0,0.0,2.3,E,4.687000000000001
1737977,2017-07-14 05:08:01,21.587,54.54,Winter,17.2,74.0,971.6,0.0,1.4,E,4.3870000000000005
1738074,2017-07-14 07:08:01,21.587,59.391,Winter,17.1,76.0,971.6,0.0,0.0,N,4.486999999999998
1738170,2017-07-14 09:08:01,23.087,56.496,Winter,18.5,72.0,972.6,0.0,1.7,E,4.587
1738268,2017-07-14 11:08:01,25.088,48.669,Winter,20.2,64.0,972.2,0.0,1.5,E,4.888000000000002
1738360,2017-07-14 13:08:01,28.587,40.137,Winter,22.4,51.0,969.8,0.0,0.0,N,6.187000000000001
1738454,2017-07-14 15:08:01,28.587,38.193,Winter,23.2,49.0,968.2,0.0,0.0,N,5.3870000000000005
1738555,2017-07-14 17:08:01,26.088,42.442,Winter,21.5,60.0,967.7,0.0,0.0,N,4.588000000000001
1738650,2017-07-14 19:08:01,24.088,47.318,Winter,16.2,78.0,968.5,0.0,0.0,N,7.888000000000002
1738748,2017-07-14 21:08:01,22.087,53.355,Winter,13.9,82.0,969.2,0.0,0.0,N,8.187
1738839,2017-07-14 23:08:01,20.085,58.074,Winter,11.7,86.0,968.5,0.0,0.0,N,8.385000000000002
1738936,2017-07-15 01:08:01,18.584,58.576,Winter,10.5,87.0,968.5,0.0,0.0,N,8.084
1739032,2017-07-15 03:08:01,17.583,60.92,Winter,9.6,90.0,967.6,0.0,0.0,N,7.982999999999999
1739132,2017-07-15 05:08:01,16.581,62.062,Winter,9.1,92.0,967.4,0.0,0.0,N,7.481
1739223,2017-07-15 07:08:01,16.08,60.841,Winter,8.8,92.0,967.6,0.0,0.0,N,7.279999999999998
1739320,2017-07-15 09:08:01,22.587,47.178,Winter,16.8,65.0,968.4,0.0,0.0,N,5.786999999999999
1739419,2017-07-15 11:08:01,28.587,33.606,Winter,24.6,39.0,967.9,0.0,0.0,N,3.9869999999999983
1739515,2017-07-15 13:08:01,31.585,27.93,Winter,28.2,30.0,965.2,0.0,1.3,SW,3.3850000000000016
1739607,2017-07-15 15:08:01,32.085,23.229,Winter,29.4,23.0,963.3,0.0,1.5,SW,2.6850000000000023
1739707,2017-07-15 17:08:01,30.086,25.738,Winter,27.1,25.0,962.3,0.0,1.3,WSW,2.985999999999997
1739803,2017-07-15 19:08:01,27.088,31.457,Winter,19.0,43.0,962.7,0.0,0.0,N,8.088000000000001
1739901,2017-07-15 21:08:01,25.088,36.52,Winter,17.2,47.0,963.7,0.0,0.0,N,7.888000000000002
1739996,2017-07-15 23:08:01,22.087,41.409,Winter,13.6,59.0,964.5,0.0,0.0,N,8.487
1740089,2017-07-16 01:08:01,20.586,43.834,Winter,12.4,62.0,963.3,0.0,0.0,N,8.185999999999998
1740183,2017-07-16 03:08:01,19.585,44.385,Winter,11.7,58.0,963.2,0.0,0.0,N,7.885000000000002
1740279,2017-07-16 05:08:01,18.083,46.802,Winter,10.9,64.0,963.4,0.0,0.0,N,7.182999999999998
1740381,2017-07-16 07:08:01,17.583,46.764,Winter,9.1,75.0,963.6,0.0,0.0,N,8.482999999999999
1740478,2017-07-16 09:08:01,26.088,26.662,Winter,22.0,33.0,965.2,0.0,0.0,N,4.088000000000001
1740571,2017-07-16 11:08:01,29.587,21.59,Winter,28.6,21.0,964.5,0.0,1.7,SW,0.9869999999999983
1740670,2017-07-16 13:08:01,33.083,18.506,Winter,32.0,15.0,961.4,0.0,2.0,SSW,1.0829999999999984
1740762,2017-07-16 15:08:01,34.581,15.867,Winter,32.4,14.0,960.9,0.0,2.0,SW,2.1810000000000045
1740858,2017-07-16 17:08:01,32.085,16.31,Winter,29.9,15.0,961.7,0.0,1.6,SSW,2.1850000000000023
