,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724965,2017-07-03 01:06:01,17.586,38.364,Winter,9.3,84.0,969.1,0.0,0.0,N,8.285999999999998
1725053,2017-07-03 03:06:01,16.084,38.238,Winter,8.3,88.0,969.7,0.0,0.0,N,7.783999999999999
1725174,2017-07-03 05:06:01,15.082,38.156,Winter,7.6,89.0,968.7,0.0,0.0,N,7.482000000000001
1725254,2017-07-03 07:06:01,14.08,37.271,Winter,7.4,91.0,969.8,0.0,0.0,N,6.68
1725334,2017-07-03 09:06:01,18.587,42.992,Winter,17.4,53.0,970.0,0.0,0.0,N,1.1870000000000012
1725455,2017-07-03 11:06:01,25.092,39.066,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.3919999999999995
1725559,2017-07-03 13:06:01,25.592,36.5,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.09199999999999875
1725648,2017-07-03 15:06:01,27.092,37.314,Winter,25.6,31.0,968.1,0.0,2.7,E,1.4919999999999973
1725747,2017-07-03 17:06:01,27.092,36.0,Winter,23.3,35.0,969.9,0.0,2.8,E,3.791999999999998
1725833,2017-07-03 19:06:01,25.592,36.5,Winter,20.3,45.0,971.2,0.0,1.5,E,5.291999999999998
1725930,2017-07-03 21:06:01,23.091,36.248,Winter,17.3,56.0,973.5,0.0,1.3,E,5.791
1726056,2017-07-03 23:06:01,21.09,37.369,Winter,16.9,63.0,974.0,0.0,1.4,E,4.190000000000001
1726153,2017-07-04 01:06:01,19.589,36.572,Winter,14.0,76.0,973.4,0.0,0.0,N,5.588999999999999
1726223,2017-07-04 03:06:01,18.087,37.752,Winter,12.6,82.0,973.2,0.0,0.0,N,5.487
1726323,2017-07-04 05:06:01,17.085,37.008,Winter,11.8,85.0,972.9,0.0,0.0,N,5.285
1726435,2017-07-04 07:06:01,16.585,37.623,Winter,12.4,86.0,974.3,0.0,0.0,N,4.1850000000000005
1726505,2017-07-04 09:06:01,16.585,37.623,Winter,16.1,75.0,975.9,0.0,0.0,N,0.48499999999999943
1726631,2017-07-04 11:06:01,22.091,43.937,Winter,20.2,59.0,975.0,0.0,2.7,E,1.8910000000000018
1726725,2017-07-04 13:06:01,24.592,40.314,Winter,22.7,48.0,973.0,0.0,2.8,E,1.8919999999999995
1726833,2017-07-04 15:06:01,25.092,40.365,Winter,22.9,44.0,972.7,0.0,2.6,E,2.192
1726902,2017-07-04 17:06:01,25.592,40.416,Winter,21.2,48.0,972.1,0.0,1.6,E,4.3919999999999995
1727023,2017-07-04 19:06:01,25.592,40.416,Winter,15.0,72.0,973.3,0.0,0.0,N,10.591999999999999
1727097,2017-07-04 21:06:01,22.591,40.767,Winter,12.9,77.0,973.9,0.0,0.0,N,9.691
1727209,2017-07-04 23:06:01,20.59,41.875,Winter,11.7,77.0,974.1,0.0,0.0,N,8.89
1727308,2017-07-05 01:06:01,19.088,42.39,Winter,11.0,83.0,974.4,0.0,0.0,N,8.088000000000001
1727383,2017-07-05 03:06:01,17.586,42.266,Winter,9.6,85.0,974.0,0.0,0.0,N,7.985999999999999
1727472,2017-07-05 05:06:01,16.084,43.438,Winter,10.7,83.0,974.4,0.0,0.0,N,5.384
1727599,2017-07-05 07:06:01,15.583,42.109,Winter,10.7,86.0,974.6,0.0,0.0,N,4.883000000000001
1727686,2017-07-05 09:06:01,16.084,41.5,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.315999999999999
1727773,2017-07-05 11:06:01,28.591,38.783,Winter,21.3,53.0,975.7,0.0,0.0,N,7.291
1727865,2017-07-05 13:06:01,29.59,34.95,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.59
1727962,2017-07-05 15:06:01,30.589,34.399,Winter,24.3,36.0,971.6,0.0,1.4,E,6.288999999999998
1728057,2017-07-05 17:06:01,31.089,33.79,Winter,22.7,40.0,972.0,0.0,1.3,E,8.389
1728177,2017-07-05 19:06:01,28.091,34.786,Winter,15.2,68.0,973.4,0.0,0.0,N,12.891000000000002
1728269,2017-07-05 21:06:01,24.092,36.348,Winter,12.6,76.0,973.8,0.0,0.0,N,11.491999999999999
1728351,2017-07-05 23:06:01,21.09,37.369,Winter,11.0,77.0,974.6,0.0,0.0,N,10.09
1728452,2017-07-06 01:06:01,18.587,38.451,Winter,10.0,80.0,974.3,0.0,0.0,N,8.587
1728554,2017-07-06 03:06:01,16.084,39.547,Winter,9.1,83.0,974.3,0.0,0.0,N,6.984
