,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724985,2017-07-03 01:07:01,18.12,37.146,Winter,9.3,84.0,969.1,0.0,0.0,N,8.82
1725083,2017-07-03 03:07:01,16.619,36.352,Winter,8.3,88.0,969.7,0.0,0.0,N,8.318999999999999
1725177,2017-07-03 05:07:01,15.618,36.267,Winter,7.6,89.0,968.7,0.0,0.0,N,8.018
1725276,2017-07-03 07:07:01,14.616,36.107,Winter,7.4,91.0,969.8,0.0,0.0,N,7.215999999999999
1725373,2017-07-03 09:07:01,15.117,52.325,Winter,17.4,53.0,970.0,0.0,0.0,N,-2.2829999999999977
1725474,2017-07-03 11:07:01,24.123,41.627,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.4230000000000018
1725569,2017-07-03 13:07:01,25.623,36.544,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.12300000000000111
1725667,2017-07-03 15:07:01,27.623,36.093,Winter,25.6,31.0,968.1,0.0,2.7,E,2.0229999999999997
1725767,2017-07-03 17:07:01,27.623,36.093,Winter,23.3,35.0,969.9,0.0,2.8,E,4.323
1725865,2017-07-03 19:07:01,26.123,35.271,Winter,20.3,45.0,971.2,0.0,1.5,E,5.823
1725961,2017-07-03 21:07:01,23.623,35.015,Winter,17.3,56.0,973.5,0.0,1.3,E,6.323
1726058,2017-07-03 23:07:01,21.622,36.146,Winter,16.9,63.0,974.0,0.0,1.4,E,4.722000000000001
1726157,2017-07-04 01:07:01,20.121,36.004,Winter,14.0,76.0,973.4,0.0,0.0,N,6.120999999999999
1726256,2017-07-04 03:07:01,18.12,37.146,Winter,12.6,82.0,973.2,0.0,0.0,N,5.520000000000001
1726351,2017-07-04 05:07:01,17.119,37.059,Winter,11.8,85.0,972.9,0.0,0.0,N,5.318999999999999
1726448,2017-07-04 07:07:01,16.619,37.677,Winter,12.4,86.0,974.3,0.0,0.0,N,4.218999999999999
1726544,2017-07-04 09:07:01,16.619,37.677,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5189999999999984
1726642,2017-07-04 11:07:01,21.622,45.249,Winter,20.2,59.0,975.0,0.0,2.7,E,1.4220000000000006
1726741,2017-07-04 13:07:01,23.623,42.225,Winter,22.7,48.0,973.0,0.0,2.8,E,0.9230000000000018
1726837,2017-07-04 15:07:01,25.123,40.429,Winter,22.9,44.0,972.7,0.0,2.6,E,2.2230000000000025
1726932,2017-07-04 17:07:01,26.123,39.226,Winter,21.2,48.0,972.1,0.0,1.6,E,4.923000000000002
1727028,2017-07-04 19:07:01,25.623,38.52,Winter,15.0,72.0,973.3,0.0,0.0,N,10.623000000000001
1727127,2017-07-04 21:07:01,23.623,38.974,Winter,12.9,77.0,973.9,0.0,0.0,N,10.723
1727222,2017-07-04 23:07:01,21.122,39.39,Winter,11.7,77.0,974.1,0.0,0.0,N,9.422
1727321,2017-07-05 01:07:01,19.621,39.907,Winter,11.0,83.0,974.4,0.0,0.0,N,8.620999999999999
1727417,2017-07-05 03:07:01,18.12,39.777,Winter,9.6,85.0,974.0,0.0,0.0,N,8.520000000000001
1727510,2017-07-05 05:07:01,16.619,40.96,Winter,10.7,83.0,974.4,0.0,0.0,N,5.9190000000000005
1727610,2017-07-05 07:07:01,16.118,41.571,Winter,10.7,86.0,974.6,0.0,0.0,N,5.417999999999999
1727704,2017-07-05 09:07:01,16.118,41.571,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.282
1727801,2017-07-05 11:07:01,29.122,37.578,Winter,21.3,53.0,975.7,0.0,0.0,N,7.821999999999999
1727897,2017-07-05 13:07:01,29.622,34.315,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.622
1727996,2017-07-05 15:07:01,30.122,34.371,Winter,24.3,36.0,971.6,0.0,1.4,E,5.821999999999999
1728095,2017-07-05 17:07:01,31.121,33.814,Winter,22.7,40.0,972.0,0.0,1.3,E,8.421
