,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724972,2017-07-03 01:06:01,17.632,39.185,Winter,9.3,84.0,969.1,0.0,0.0,N,8.332
1725051,2017-07-03 03:06:01,16.129,38.403,Winter,8.3,88.0,969.7,0.0,0.0,N,7.829000000000001
1725172,2017-07-03 05:06:01,15.126,38.322,Winter,7.6,89.0,968.7,0.0,0.0,N,7.526
1725249,2017-07-03 07:06:01,14.124,38.081,Winter,7.4,91.0,969.8,0.0,0.0,N,6.724
1725339,2017-07-03 09:06:01,19.134,42.556,Winter,17.4,53.0,970.0,0.0,0.0,N,1.7340000000000018
1725460,2017-07-03 11:06:01,26.638,36.107,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.9380000000000024
1725563,2017-07-03 13:06:01,31.634,26.548,Winter,25.5,33.0,968.7,0.0,1.5,ENE,6.134
1725642,2017-07-03 15:06:01,30.635,25.751,Winter,25.6,31.0,968.1,0.0,2.7,E,5.035
1725725,2017-07-03 17:06:01,29.636,26.33,Winter,23.3,35.0,969.9,0.0,2.8,E,6.3359999999999985
1725822,2017-07-03 19:06:01,26.139,32.731,Winter,20.3,45.0,971.2,0.0,1.5,E,5.838999999999999
1725928,2017-07-03 21:06:01,25.139,36.61,Winter,17.3,56.0,973.5,0.0,1.3,E,7.838999999999999
1726041,2017-07-03 23:06:01,23.638,41.676,Winter,16.9,63.0,974.0,0.0,1.4,E,6.738000000000003
1726141,2017-07-04 01:06:01,22.137,46.011,Winter,14.0,76.0,973.4,0.0,0.0,N,8.137
1726251,2017-07-04 03:06:01,21.637,48.488,Winter,12.6,82.0,973.2,0.0,0.0,N,9.037
1726318,2017-07-04 05:06:01,20.636,52.136,Winter,11.8,85.0,972.9,0.0,0.0,N,8.835999999999999
1726406,2017-07-04 07:06:01,20.636,53.979,Winter,12.4,86.0,974.3,0.0,0.0,N,8.235999999999999
1726519,2017-07-04 09:06:01,21.137,58.256,Winter,16.1,75.0,975.9,0.0,0.0,N,5.036999999999999
1726636,2017-07-04 11:06:01,22.638,55.362,Winter,20.2,59.0,975.0,0.0,2.7,E,2.4380000000000024
1726729,2017-07-04 13:06:01,26.139,43.212,Winter,22.7,48.0,973.0,0.0,2.8,E,3.439
1726834,2017-07-04 15:06:01,28.138,36.267,Winter,22.9,44.0,972.7,0.0,2.6,E,5.238000000000003
1726899,2017-07-04 17:06:01,26.139,36.714,Winter,21.2,48.0,972.1,0.0,1.6,E,4.939
1726999,2017-07-04 19:06:01,25.139,40.531,Winter,15.0,72.0,973.3,0.0,0.0,N,10.139
1727123,2017-07-04 21:06:01,24.139,43.011,Winter,12.9,77.0,973.9,0.0,0.0,N,11.238999999999999
1727207,2017-07-04 23:06:01,22.638,45.422,Winter,11.7,77.0,974.1,0.0,0.0,N,10.938000000000002
1727283,2017-07-05 01:06:01,21.137,47.817,Winter,11.0,83.0,974.4,0.0,0.0,N,10.137
1727380,2017-07-05 03:06:01,20.136,52.096,Winter,9.6,85.0,974.0,0.0,0.0,N,10.536
1727505,2017-07-05 05:06:01,20.136,54.551,Winter,10.7,83.0,974.4,0.0,0.0,N,9.436
1727604,2017-07-05 07:06:01,19.134,61.092,Winter,10.7,86.0,974.6,0.0,0.0,N,8.434000000000001
1727672,2017-07-05 09:06:01,26.139,42.57,Winter,17.4,68.0,976.4,0.0,0.0,N,8.739
1727768,2017-07-05 11:06:01,31.634,32.66,Winter,21.3,53.0,975.7,0.0,0.0,N,10.334
1727876,2017-07-05 13:06:01,32.133,28.656,Winter,24.0,41.0,973.5,0.0,1.8,ENE,8.133000000000003
1727980,2017-07-05 15:06:01,29.636,27.699,Winter,24.3,36.0,971.6,0.0,1.4,E,5.3359999999999985
1728079,2017-07-05 17:06:01,28.637,29.632,Winter,22.7,40.0,972.0,0.0,1.3,E,5.937000000000001
1728168,2017-07-05 19:06:01,27.638,33.558,Winter,15.2,68.0,973.4,0.0,0.0,N,12.438000000000002
1728275,2017-07-05 21:06:01,25.639,37.32,Winter,12.6,76.0,973.8,0.0,0.0,N,13.039
1728346,2017-07-05 23:06:01,24.139,39.131,Winter,11.0,77.0,974.6,0.0,0.0,N,13.139
1728478,2017-07-06 01:06:01,22.137,42.178,Winter,10.0,80.0,974.3,0.0,0.0,N,12.137
1728572,2017-07-06 03:06:01,20.636,43.969,Winter,9.1,83.0,974.3,0.0,0.0,N,11.536
1728649,2017-07-06 05:06:01,19.134,47.022,Winter,7.9,86.0,974.1,0.0,0.0,N,11.234
1728742,2017-07-06 07:06:01,18.633,48.871,Winter,7.6,87.0,975.6,0.0,0.0,N,11.033
1728867,2017-07-06 09:06:01,23.138,41.628,Winter,16.8,56.0,976.3,0.0,0.0,N,6.338000000000001
1728958,2017-07-06 11:06:01,29.137,35.052,Winter,21.3,53.0,975.6,0.0,0.0,N,7.837
1729023,2017-07-06 13:06:01,29.636,33.107,Winter,23.7,43.0,973.8,0.0,1.3,E,5.936
1729156,2017-07-06 15:06:01,30.136,25.697,Winter,24.5,35.0,972.6,0.0,2.1,E,5.635999999999999
1729235,2017-07-06 17:06:01,25.139,37.268,Winter,22.4,42.0,972.4,0.0,1.6,E,2.7390000000000008
1729323,2017-07-06 19:06:01,27.638,34.889,Winter,17.9,63.0,973.2,0.0,0.0,N,9.738000000000003
1729414,2017-07-06 21:06:01,26.139,38.681,Winter,18.0,64.0,973.8,0.0,0.0,N,8.139
1729509,2017-07-06 23:06:01,24.639,43.061,Winter,15.5,76.0,974.9,0.0,0.0,N,9.139
1729626,2017-07-07 01:06:01,23.138,46.735,Winter,12.8,83.0,974.9,0.0,0.0,N,10.338000000000001
1729705,2017-07-07 03:06:01,23.138,50.493,Winter,12.8,83.0,974.1,0.0,0.0,N,10.338000000000001
1729840,2017-07-07 05:06:01,22.137,54.101,Winter,13.4,82.0,974.9,0.0,0.0,N,8.737
1729922,2017-07-07 07:06:01,22.137,57.134,Winter,13.8,87.0,976.1,0.0,0.0,N,8.337
1730027,2017-07-07 09:06:01,23.138,60.206,Winter,17.3,83.0,976.5,0.0,0.0,N,5.838000000000001
1730118,2017-07-07 11:06:01,24.639,55.542,Winter,20.1,69.0,976.7,0.0,1.2,NE,4.538999999999998
1730211,2017-07-07 13:06:01,26.638,45.18,Winter,22.6,53.0,974.0,0.0,1.3,E,4.038
1730301,2017-07-07 15:06:01,26.638,38.734,Winter,23.4,46.0,973.2,0.0,1.7,ENE,3.238000000000003
1730418,2017-07-07 17:06:01,26.638,38.08,Winter,22.0,49.0,972.3,0.0,0.0,N,4.638000000000002
1730514,2017-07-07 19:06:01,27.138,40.09,Winter,17.8,69.0,973.7,0.0,0.0,N,9.338000000000001
1730585,2017-07-07 21:06:01,25.139,43.11,Winter,15.8,71.0,974.0,0.0,0.0,N,9.338999999999999
1730677,2017-07-07 23:06:01,24.139,47.46,Winter,13.6,82.0,974.3,0.0,0.0,N,10.539
1730777,2017-07-08 01:06:01,22.638,47.32,Winter,11.9,84.0,973.5,0.0,0.0,N,10.738000000000001
1730871,2017-07-08 03:06:01,21.637,49.738,Winter,11.7,83.0,972.8,0.0,0.0,N,9.937000000000001
1730986,2017-07-08 05:06:01,21.137,53.406,Winter,11.4,86.0,972.9,0.0,0.0,N,9.737
1731079,2017-07-08 07:06:01,20.136,53.94,Winter,10.1,90.0,974.4,0.0,0.0,N,10.036
1731165,2017-07-08 09:06:01,25.639,43.161,Winter,18.2,64.0,974.5,0.0,0.0,N,7.439
1731279,2017-07-08 11:06:01,29.636,39.059,Winter,22.4,57.0,973.7,0.0,0.0,N,7.236000000000001
1731348,2017-07-08 13:06:01,30.635,37.861,Winter,24.7,48.0,970.9,0.0,1.2,ENE,5.935000000000002
1731485,2017-07-08 15:06:01,30.635,32.548,Winter,25.3,43.0,969.8,0.0,1.5,NE,5.335000000000001
1731567,2017-07-08 17:06:01,29.636,34.442,Winter,23.6,47.0,968.7,0.0,1.3,NNE,6.035999999999998
1731648,2017-07-08 19:06:01,28.138,42.138,Winter,17.9,69.0,970.4,0.0,0.0,N,10.238000000000003
1731762,2017-07-08 21:06:01,26.139,43.212,Winter,17.0,74.0,971.2,0.0,0.0,N,9.139
1731846,2017-07-08 23:06:01,24.139,45.564,Winter,14.4,80.0,971.0,0.0,0.0,N,9.738999999999999
1731950,2017-07-09 01:06:01,22.638,49.202,Winter,12.3,87.0,970.6,0.0,0.0,N,10.338000000000001
1732055,2017-07-09 03:06:01,21.637,50.981,Winter,11.0,90.0,970.3,0.0,0.0,N,10.637
1732121,2017-07-09 05:06:01,20.136,53.94,Winter,10.2,89.0,969.7,0.0,0.0,N,9.936
1732218,2017-07-09 07:06:01,20.136,54.551,Winter,9.6,90.0,970.2,0.0,0.0,N,10.536
1732321,2017-07-09 09:06:01,23.138,46.103,Winter,18.7,58.0,970.4,0.0,2.2,SW,4.438000000000002
1732418,2017-07-09 11:06:01,30.635,33.887,Winter,25.1,41.0,969.3,0.0,1.5,SW,5.535
1732518,2017-07-09 13:06:01,35.626,24.222,Winter,27.9,30.0,966.9,0.0,2.2,S,7.725999999999999
1732613,2017-07-09 15:06:01,33.131,21.156,Winter,28.2,26.0,965.2,0.0,2.2,SSE,4.931000000000001
1732707,2017-07-09 17:06:01,32.133,24.533,Winter,25.7,31.0,964.3,0.0,0.0,N,6.433000000000003
1732811,2017-07-09 19:06:01,30.136,27.07,Winter,18.4,53.0,965.6,0.0,0.0,N,11.736
1732934,2017-07-09 21:06:01,28.138,31.603,Winter,15.1,66.0,966.8,0.0,0.0,N,13.038000000000002
1733011,2017-07-09 23:06:01,26.139,34.73,Winter,14.3,64.0,966.9,0.0,0.0,N,11.838999999999999
1733100,2017-07-10 01:06:01,25.139,35.29,Winter,11.8,75.0,967.4,0.0,0.0,N,13.338999999999999
1733200,2017-07-10 03:06:01,23.638,36.459,Winter,10.9,80.0,967.0,0.0,0.0,N,12.738000000000001
1733296,2017-07-10 05:06:01,22.638,38.331,Winter,10.9,75.0,966.8,0.0,0.0,N,11.738000000000001
1733406,2017-07-10 07:06:01,22.137,37.628,Winter,11.2,75.0,967.2,0.0,0.0,N,10.937000000000001
1733502,2017-07-10 09:06:01,24.639,35.238,Winter,21.0,42.0,968.2,0.0,0.0,N,3.6389999999999993
1733614,2017-07-10 11:06:01,31.135,22.341,Winter,28.1,27.0,968.1,0.0,0.0,N,3.035
