,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724963,2017-07-03 01:06:01,18.16,36.874,Winter,9.3,84.0,969.1,0.0,0.0,N,8.86
1725057,2017-07-03 03:06:01,17.158,36.785,Winter,8.3,88.0,969.7,0.0,0.0,N,8.858
1725168,2017-07-03 05:06:01,16.155,36.039,Winter,7.6,89.0,968.7,0.0,0.0,N,8.555000000000001
1725240,2017-07-03 07:06:01,15.153,35.953,Winter,7.4,91.0,969.8,0.0,0.0,N,7.753
1725341,2017-07-03 09:06:01,17.158,44.583,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.24199999999999733
1725461,2017-07-03 11:06:01,25.668,38.246,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.968
1725561,2017-07-03 13:06:01,25.168,38.847,Winter,25.5,33.0,968.7,0.0,1.5,ENE,-0.33200000000000074
1725640,2017-07-03 15:06:01,26.668,38.35,Winter,25.6,31.0,968.1,0.0,2.7,E,1.0679999999999978
1725754,2017-07-03 17:06:01,26.668,37.042,Winter,23.3,35.0,969.9,0.0,2.8,E,3.3679999999999986
1725832,2017-07-03 19:06:01,25.168,36.887,Winter,20.3,45.0,971.2,0.0,1.5,E,4.8679999999999986
1725946,2017-07-03 21:06:01,23.167,36.029,Winter,17.3,56.0,973.5,0.0,1.3,E,5.867000000000001
1726044,2017-07-03 23:06:01,21.666,36.54,Winter,16.9,63.0,974.0,0.0,1.4,E,4.766000000000002
1726148,2017-07-04 01:06:01,20.164,37.055,Winter,14.0,76.0,973.4,0.0,0.0,N,6.1640000000000015
1726219,2017-07-04 03:06:01,18.661,36.26,Winter,12.6,82.0,973.2,0.0,0.0,N,6.061000000000002
1726311,2017-07-04 05:06:01,17.659,36.17,Winter,11.8,85.0,972.9,0.0,0.0,N,5.858999999999998
1726414,2017-07-04 07:06:01,16.657,36.742,Winter,12.4,86.0,974.3,0.0,0.0,N,4.257
1726537,2017-07-04 09:06:01,17.158,36.785,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0579999999999998
1726615,2017-07-04 11:06:01,21.666,45.594,Winter,20.2,59.0,975.0,0.0,2.7,E,1.466000000000001
1726702,2017-07-04 13:06:01,23.167,43.175,Winter,22.7,48.0,973.0,0.0,2.8,E,0.4670000000000023
1726825,2017-07-04 15:06:01,25.168,40.147,Winter,22.9,44.0,972.7,0.0,2.6,E,2.2680000000000007
1726891,2017-07-04 17:06:01,25.668,40.198,Winter,21.2,48.0,972.1,0.0,1.6,E,4.468
1727026,2017-07-04 19:06:01,26.168,38.95,Winter,15.0,72.0,973.3,0.0,0.0,N,11.168
1727093,2017-07-04 21:06:01,23.167,39.949,Winter,12.9,77.0,973.9,0.0,0.0,N,10.267000000000001
1727188,2017-07-04 23:06:01,21.165,40.409,Winter,11.7,77.0,974.1,0.0,0.0,N,9.465
1727306,2017-07-05 01:06:01,19.663,40.922,Winter,11.0,83.0,974.4,0.0,0.0,N,8.663
1727384,2017-07-05 03:06:01,18.16,41.442,Winter,9.6,85.0,974.0,0.0,0.0,N,8.56
1727476,2017-07-05 05:06:01,16.657,41.319,Winter,10.7,83.0,974.4,0.0,0.0,N,5.957000000000001
1727576,2017-07-05 07:06:01,16.155,40.63,Winter,10.7,86.0,974.6,0.0,0.0,N,5.455000000000002
1727703,2017-07-05 09:06:01,16.657,41.319,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.7429999999999986
1727771,2017-07-05 11:06:01,30.164,36.109,Winter,21.3,53.0,975.7,0.0,0.0,N,8.864
1727875,2017-07-05 13:06:01,30.164,34.126,Winter,24.0,41.0,973.5,0.0,1.8,ENE,6.1640000000000015
1727985,2017-07-05 15:06:01,30.164,35.449,Winter,24.3,36.0,971.6,0.0,1.4,E,5.864000000000001
1728078,2017-07-05 17:06:01,31.662,33.631,Winter,22.7,40.0,972.0,0.0,1.3,E,8.962
1728172,2017-07-05 19:06:01,28.167,33.907,Winter,15.2,68.0,973.4,0.0,0.0,N,12.967000000000002
1728276,2017-07-05 21:06:01,24.168,36.129,Winter,12.6,76.0,973.8,0.0,0.0,N,11.568
1728367,2017-07-05 23:06:01,21.165,37.149,Winter,11.0,77.0,974.6,0.0,0.0,N,10.165
1728479,2017-07-06 01:06:01,18.661,37.575,Winter,10.0,80.0,974.3,0.0,0.0,N,8.661000000000001
1728539,2017-07-06 03:06:01,16.155,38.671,Winter,9.1,83.0,974.3,0.0,0.0,N,7.0550000000000015
1728667,2017-07-06 05:06:01,14.149,39.625,Winter,7.9,86.0,974.1,0.0,0.0,N,6.248999999999999
1728755,2017-07-06 07:06:01,12.644,40.038,Winter,7.6,87.0,975.6,0.0,0.0,N,5.0440000000000005
1728863,2017-07-06 09:06:01,18.16,50.992,Winter,16.8,56.0,976.3,0.0,0.0,N,1.3599999999999994
1728944,2017-07-06 11:06:01,25.668,40.845,Winter,21.3,53.0,975.6,0.0,0.0,N,4.3679999999999986
1729039,2017-07-06 13:06:01,29.166,37.312,Winter,23.7,43.0,973.8,0.0,1.3,E,5.466000000000001
1729146,2017-07-06 15:06:01,24.668,35.521,Winter,24.5,35.0,972.6,0.0,2.1,E,0.16799999999999926
1729229,2017-07-06 17:06:01,24.168,40.694,Winter,22.4,42.0,972.4,0.0,1.6,E,1.7680000000000007
1729334,2017-07-06 19:06:01,23.167,45.094,Winter,17.9,63.0,973.2,0.0,0.0,N,5.267000000000003
1729426,2017-07-06 21:06:01,22.667,49.476,Winter,18.0,64.0,973.8,0.0,0.0,N,4.667000000000002
1729542,2017-07-06 23:06:01,22.166,51.931,Winter,15.5,76.0,974.9,0.0,0.0,N,6.666
