,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725021,2017-07-03 01:14:01,18.133,36.505,Winter,9.3,84.0,969.1,0.0,0.0,N,8.832999999999998
1725118,2017-07-03 03:14:01,16.63,36.373,Winter,8.3,88.0,969.7,0.0,0.0,N,8.329999999999998
1725216,2017-07-03 05:14:01,15.628,36.948,Winter,7.6,89.0,968.7,0.0,0.0,N,8.028
1725314,2017-07-03 07:14:01,14.625,37.42,Winter,7.4,91.0,969.8,0.0,0.0,N,7.225
1725414,2017-07-03 09:14:01,17.632,44.318,Winter,17.4,53.0,970.0,0.0,0.0,N,0.23200000000000287
1725509,2017-07-03 11:14:01,26.638,35.359,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.9380000000000024
1725612,2017-07-03 13:14:01,35.127,34.999,Winter,25.5,33.0,968.7,0.0,1.5,ENE,9.627000000000002
1725709,2017-07-03 15:14:01,40.611,26.95,Winter,25.6,31.0,968.1,0.0,2.7,E,15.010999999999996
1725804,2017-07-03 17:14:01,33.63,30.171,Winter,23.3,35.0,969.9,0.0,2.8,E,10.330000000000002
1725903,2017-07-03 19:14:01,26.139,32.005,Winter,20.3,45.0,971.2,0.0,1.5,E,5.838999999999999
1725998,2017-07-03 21:14:01,22.137,32.92,Winter,17.3,56.0,973.5,0.0,1.3,E,4.837
1726099,2017-07-03 23:14:01,20.136,33.387,Winter,16.9,63.0,974.0,0.0,1.4,E,3.2360000000000007
1726196,2017-07-04 01:14:01,18.633,34.569,Winter,14.0,76.0,973.4,0.0,0.0,N,4.632999999999999
1726291,2017-07-04 03:14:01,16.63,35.05,Winter,12.6,82.0,973.2,0.0,0.0,N,4.029999999999999
1726388,2017-07-04 05:14:01,16.129,35.005,Winter,11.8,85.0,972.9,0.0,0.0,N,4.329000000000001
1726485,2017-07-04 07:14:01,15.628,35.625,Winter,12.4,86.0,974.3,0.0,0.0,N,3.2279999999999998
1726586,2017-07-04 09:14:01,17.131,37.076,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0309999999999988
1726682,2017-07-04 11:14:01,28.637,52.406,Winter,20.2,59.0,975.0,0.0,2.7,E,8.437000000000001
1726777,2017-07-04 13:14:01,28.138,45.298,Winter,22.7,48.0,973.0,0.0,2.8,E,5.438000000000002
1726876,2017-07-04 15:14:01,32.133,40.559,Winter,22.9,44.0,972.7,0.0,2.6,E,9.233000000000004
1726972,2017-07-04 17:14:01,28.637,38.199,Winter,21.2,48.0,972.1,0.0,1.6,E,7.437000000000001
1727067,2017-07-04 19:14:01,23.638,37.679,Winter,15.0,72.0,973.3,0.0,0.0,N,8.638000000000002
1727162,2017-07-04 21:14:01,20.636,37.391,Winter,12.9,77.0,973.9,0.0,0.0,N,7.735999999999999
1727262,2017-07-04 23:14:01,18.633,37.208,Winter,11.7,77.0,974.1,0.0,0.0,N,6.933
1727360,2017-07-05 01:14:01,17.131,37.076,Winter,11.0,83.0,974.4,0.0,0.0,N,6.131
1727451,2017-07-05 03:14:01,15.628,37.608,Winter,9.6,85.0,974.0,0.0,0.0,N,6.0280000000000005
1727551,2017-07-05 05:14:01,14.625,37.42,Winter,10.7,83.0,974.4,0.0,0.0,N,3.9250000000000007
1727645,2017-07-05 07:14:01,14.625,37.42,Winter,10.7,86.0,974.6,0.0,0.0,N,3.9250000000000007
1727745,2017-07-05 09:14:01,20.636,44.565,Winter,17.4,68.0,976.4,0.0,0.0,N,3.2360000000000007
1727838,2017-07-05 11:14:01,27.138,41.951,Winter,21.3,53.0,975.7,0.0,0.0,N,5.838000000000001
1727938,2017-07-05 13:14:01,24.639,41.044,Winter,24.0,41.0,973.5,0.0,1.8,ENE,0.6389999999999993
1728033,2017-07-05 15:14:01,24.639,37.779,Winter,24.3,36.0,971.6,0.0,1.4,E,0.33899999999999864
1728135,2017-07-05 17:14:01,24.139,39.69,Winter,22.7,40.0,972.0,0.0,1.3,E,1.439
1728230,2017-07-05 19:14:01,22.137,47.28,Winter,15.2,68.0,973.4,0.0,0.0,N,6.937000000000001
1728328,2017-07-05 21:14:01,21.137,50.403,Winter,12.6,76.0,973.8,0.0,0.0,N,8.537
1728427,2017-07-05 23:14:01,19.635,48.998,Winter,11.0,77.0,974.6,0.0,0.0,N,8.635000000000002
1728524,2017-07-06 01:14:01,19.134,50.884,Winter,10.0,80.0,974.3,0.0,0.0,N,9.134
