,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724964,2017-07-03 01:06:01,17.14,37.809,Winter,9.3,84.0,969.1,0.0,0.0,N,7.84
1725048,2017-07-03 03:06:01,16.138,38.385,Winter,8.3,88.0,969.7,0.0,0.0,N,7.838000000000001
1725138,2017-07-03 05:06:01,14.633,37.495,Winter,7.6,89.0,968.7,0.0,0.0,N,7.0329999999999995
1725266,2017-07-03 07:06:01,13.63,37.344,Winter,7.4,91.0,969.8,0.0,0.0,N,6.23
1725352,2017-07-03 09:06:01,15.636,49.342,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.7639999999999993
1725444,2017-07-03 11:06:01,24.15,40.42,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.4499999999999993
1725555,2017-07-03 13:06:01,25.65,36.633,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.14999999999999858
1725662,2017-07-03 15:06:01,27.65,35.518,Winter,25.6,31.0,968.1,0.0,2.7,E,2.049999999999997
1725751,2017-07-03 17:06:01,27.15,34.8,Winter,23.3,35.0,969.9,0.0,2.8,E,3.849999999999998
1725823,2017-07-03 19:06:01,25.65,35.307,Winter,20.3,45.0,971.2,0.0,1.5,E,5.349999999999998
1725937,2017-07-03 21:06:01,22.649,36.331,Winter,17.3,56.0,973.5,0.0,1.3,E,5.349
1726023,2017-07-03 23:06:01,20.647,36.801,Winter,16.9,63.0,974.0,0.0,1.4,E,3.747
1726122,2017-07-04 01:06:01,19.145,36.663,Winter,14.0,76.0,973.4,0.0,0.0,N,5.145
1726213,2017-07-04 03:06:01,17.641,37.852,Winter,12.6,82.0,973.2,0.0,0.0,N,5.040999999999999
1726339,2017-07-04 05:06:01,16.639,38.427,Winter,11.8,85.0,972.9,0.0,0.0,N,4.838999999999999
1726423,2017-07-04 07:06:01,16.138,37.724,Winter,12.4,86.0,974.3,0.0,0.0,N,3.7380000000000013
1726527,2017-07-04 09:06:01,16.138,38.385,Winter,16.1,75.0,975.9,0.0,0.0,N,0.038000000000000256
1726640,2017-07-04 11:06:01,21.648,44.711,Winter,20.2,59.0,975.0,0.0,2.7,E,1.4480000000000004
1726728,2017-07-04 13:06:01,23.65,41.022,Winter,22.7,48.0,973.0,0.0,2.8,E,0.9499999999999993
1726828,2017-07-04 15:06:01,24.65,39.817,Winter,22.9,44.0,972.7,0.0,2.6,E,1.75
1726909,2017-07-04 17:06:01,25.65,39.265,Winter,21.2,48.0,972.1,0.0,1.6,E,4.449999999999999
1726989,2017-07-04 19:06:01,25.15,39.214,Winter,15.0,72.0,973.3,0.0,0.0,N,10.149999999999999
1727088,2017-07-04 21:06:01,23.15,39.669,Winter,12.9,77.0,973.9,0.0,0.0,N,10.249999999999998
1727187,2017-07-04 23:06:01,21.148,40.134,Winter,11.7,77.0,974.1,0.0,0.0,N,9.448
