,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724966,2017-07-03 01:06:01,17.085,38.042,Winter,9.3,84.0,969.1,0.0,0.0,N,7.785
1725055,2017-07-03 03:06:01,16.084,37.958,Winter,8.3,88.0,969.7,0.0,0.0,N,7.783999999999999
1725150,2017-07-03 05:06:01,15.084,37.209,Winter,7.6,89.0,968.7,0.0,0.0,N,7.484
1725252,2017-07-03 07:06:01,14.083,36.996,Winter,7.4,91.0,969.8,0.0,0.0,N,6.683
1725364,2017-07-03 09:06:01,19.587,39.581,Winter,17.4,53.0,970.0,0.0,0.0,N,2.187000000000001
1725457,2017-07-03 11:06:01,25.588,37.517,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.8880000000000017
1725565,2017-07-03 13:06:01,35.084,30.494,Winter,25.5,33.0,968.7,0.0,1.5,ENE,9.584000000000003
1725638,2017-07-03 15:06:01,43.575,21.659,Winter,25.6,31.0,968.1,0.0,2.7,E,17.975
1725762,2017-07-03 17:06:01,33.086,30.264,Winter,23.3,35.0,969.9,0.0,2.8,E,9.785999999999998
1725842,2017-07-03 19:06:01,25.088,33.459,Winter,20.3,45.0,971.2,0.0,1.5,E,4.788
1725949,2017-07-03 21:06:01,21.087,34.403,Winter,17.3,56.0,973.5,0.0,1.3,E,3.786999999999999
1726045,2017-07-03 23:06:01,19.587,34.931,Winter,16.9,63.0,974.0,0.0,1.4,E,2.687000000000001
1726149,2017-07-04 01:06:01,17.585,34.747,Winter,14.0,76.0,973.4,0.0,0.0,N,3.585000000000001
1726221,2017-07-04 03:06:01,16.084,35.285,Winter,12.6,82.0,973.2,0.0,0.0,N,3.484
1726345,2017-07-04 05:06:01,15.084,35.87,Winter,11.8,85.0,972.9,0.0,0.0,N,3.283999999999999
1726432,2017-07-04 07:06:01,15.084,36.54,Winter,12.4,86.0,974.3,0.0,0.0,N,2.6839999999999993
1726509,2017-07-04 09:06:01,17.085,36.043,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9849999999999994
1726613,2017-07-04 11:06:01,28.088,45.612,Winter,20.2,59.0,975.0,0.0,2.7,E,7.888000000000002
1726717,2017-07-04 13:06:01,29.087,39.87,Winter,22.7,48.0,973.0,0.0,2.8,E,6.3870000000000005
1726814,2017-07-04 15:06:01,32.586,36.291,Winter,22.9,44.0,972.7,0.0,2.6,E,9.686
1726916,2017-07-04 17:06:01,29.087,35.895,Winter,21.2,48.0,972.1,0.0,1.6,E,7.8870000000000005
1727024,2017-07-04 19:06:01,23.588,36.651,Winter,15.0,72.0,973.3,0.0,0.0,N,8.588000000000001
1727122,2017-07-04 21:06:01,20.087,37.644,Winter,12.9,77.0,973.9,0.0,0.0,N,7.186999999999999
1727200,2017-07-04 23:06:01,18.086,38.128,Winter,11.7,77.0,974.1,0.0,0.0,N,6.385999999999999
1727301,2017-07-05 01:06:01,16.585,38.663,Winter,11.0,83.0,974.4,0.0,0.0,N,5.585000000000001
1727406,2017-07-05 03:06:01,15.084,37.875,Winter,9.6,85.0,974.0,0.0,0.0,N,5.484
1727492,2017-07-05 05:06:01,14.083,37.649,Winter,10.7,83.0,974.4,0.0,0.0,N,3.383000000000001
1727582,2017-07-05 07:06:01,14.083,38.299,Winter,10.7,86.0,974.6,0.0,0.0,N,3.383000000000001
1727665,2017-07-05 09:06:01,19.587,40.895,Winter,17.4,68.0,976.4,0.0,0.0,N,2.187000000000001
1727797,2017-07-05 11:06:01,23.588,48.35,Winter,21.3,53.0,975.7,0.0,0.0,N,2.2880000000000003
1727887,2017-07-05 13:06:01,25.588,42.115,Winter,24.0,41.0,973.5,0.0,1.8,ENE,1.588000000000001
1727975,2017-07-05 15:06:01,25.588,38.178,Winter,24.3,36.0,971.6,0.0,1.4,E,1.2880000000000003
1728069,2017-07-05 17:06:01,23.088,40.561,Winter,22.7,40.0,972.0,0.0,1.3,E,0.3880000000000017
1728184,2017-07-05 19:06:01,20.587,48.085,Winter,15.2,68.0,973.4,0.0,0.0,N,5.3870000000000005
1728264,2017-07-05 21:06:01,19.587,51.169,Winter,12.6,76.0,973.8,0.0,0.0,N,6.987
1728377,2017-07-05 23:06:01,18.586,51.723,Winter,11.0,77.0,974.6,0.0,0.0,N,7.5859999999999985
