,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724974,2017-07-03 01:06:01,17.571,36.343,Winter,9.3,84.0,969.1,0.0,0.0,N,8.271
1725073,2017-07-03 03:06:01,16.57,36.918,Winter,8.3,88.0,969.7,0.0,0.0,N,8.27
1725137,2017-07-03 05:06:01,15.069,38.113,Winter,7.6,89.0,968.7,0.0,0.0,N,7.469000000000001
1725263,2017-07-03 07:06:01,14.069,37.229,Winter,7.4,91.0,969.8,0.0,0.0,N,6.6690000000000005
1725368,2017-07-03 09:06:01,17.07,46.682,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.3299999999999983
1725449,2017-07-03 11:06:01,26.072,37.816,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.372
1725566,2017-07-03 13:06:01,25.572,35.789,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.07199999999999918
1725658,2017-07-03 15:06:01,27.572,35.337,Winter,25.6,31.0,968.1,0.0,2.7,E,1.9719999999999978
1725753,2017-07-03 17:06:01,27.572,35.337,Winter,23.3,35.0,969.9,0.0,2.8,E,4.2719999999999985
1725837,2017-07-03 19:06:01,25.572,35.789,Winter,20.3,45.0,971.2,0.0,1.5,E,5.2719999999999985
1725941,2017-07-03 21:06:01,23.072,35.536,Winter,17.3,56.0,973.5,0.0,1.3,E,5.7719999999999985
1726018,2017-07-03 23:06:01,21.072,36.663,Winter,16.9,63.0,974.0,0.0,1.4,E,4.172000000000001
1726121,2017-07-04 01:06:01,19.571,37.183,Winter,14.0,76.0,973.4,0.0,0.0,N,5.5710000000000015
1726246,2017-07-04 03:06:01,18.071,37.049,Winter,12.6,82.0,973.2,0.0,0.0,N,5.471000000000002
1726332,2017-07-04 05:06:01,17.07,37.621,Winter,11.8,85.0,972.9,0.0,0.0,N,5.27
1726426,2017-07-04 07:06:01,16.07,38.195,Winter,12.4,86.0,974.3,0.0,0.0,N,3.67
1726521,2017-07-04 09:06:01,16.57,36.918,Winter,16.1,75.0,975.9,0.0,0.0,N,0.46999999999999886
1726628,2017-07-04 11:06:01,22.072,44.546,Winter,20.2,59.0,975.0,0.0,2.7,E,1.8719999999999999
1726719,2017-07-04 13:06:01,24.072,40.226,Winter,22.7,48.0,973.0,0.0,2.8,E,1.3719999999999999
1726802,2017-07-04 15:06:01,25.072,40.325,Winter,22.9,44.0,972.7,0.0,2.6,E,2.1720000000000006
1726894,2017-07-04 17:06:01,26.072,39.777,Winter,21.2,48.0,972.1,0.0,1.6,E,4.872
1726987,2017-07-04 19:06:01,25.072,39.675,Winter,15.0,72.0,973.3,0.0,0.0,N,10.072
1727091,2017-07-04 21:06:01,23.072,39.477,Winter,12.9,77.0,973.9,0.0,0.0,N,10.171999999999999
1727186,2017-07-04 23:06:01,21.072,39.94,Winter,11.7,77.0,974.1,0.0,0.0,N,9.372
1727315,2017-07-05 01:06:01,19.571,39.805,Winter,11.0,83.0,974.4,0.0,0.0,N,8.571000000000002
1727395,2017-07-05 03:06:01,18.071,39.675,Winter,9.6,85.0,974.0,0.0,0.0,N,8.471000000000002
1727470,2017-07-05 05:06:01,16.57,40.203,Winter,10.7,83.0,974.4,0.0,0.0,N,5.870000000000001
1727593,2017-07-05 07:06:01,16.07,41.466,Winter,10.7,86.0,974.6,0.0,0.0,N,5.370000000000001
1727699,2017-07-05 09:06:01,16.57,41.505,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.8299999999999983
1727772,2017-07-05 11:06:01,29.072,36.822,Winter,21.3,53.0,975.7,0.0,0.0,N,7.7719999999999985
1727883,2017-07-05 13:06:01,29.572,34.226,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.571999999999999
1727983,2017-07-05 15:06:01,29.572,34.891,Winter,24.3,36.0,971.6,0.0,1.4,E,5.2719999999999985
1728081,2017-07-05 17:06:01,31.071,33.057,Winter,22.7,40.0,972.0,0.0,1.3,E,8.371000000000002
1728157,2017-07-05 19:06:01,28.072,33.395,Winter,15.2,68.0,973.4,0.0,0.0,N,12.872
1728273,2017-07-05 21:06:01,24.072,35.635,Winter,12.6,76.0,973.8,0.0,0.0,N,11.472
1728383,2017-07-05 23:06:01,21.072,36.663,Winter,11.0,77.0,974.6,0.0,0.0,N,10.072
1728480,2017-07-06 01:06:01,18.571,37.752,Winter,10.0,80.0,974.3,0.0,0.0,N,8.571000000000002
1728573,2017-07-06 03:06:01,16.07,39.509,Winter,9.1,83.0,974.3,0.0,0.0,N,6.970000000000001
1728666,2017-07-06 05:06:01,14.069,38.519,Winter,7.9,86.0,974.1,0.0,0.0,N,6.1690000000000005
1728749,2017-07-06 07:06:01,12.568,39.577,Winter,7.6,87.0,975.6,0.0,0.0,N,4.968
1728868,2017-07-06 09:06:01,23.072,39.477,Winter,16.8,56.0,976.3,0.0,0.0,N,6.2719999999999985
1728938,2017-07-06 11:06:01,23.572,46.593,Winter,21.3,53.0,975.6,0.0,0.0,N,2.2719999999999985
1729060,2017-07-06 13:06:01,25.572,40.376,Winter,23.7,43.0,973.8,0.0,1.3,E,1.8719999999999999
1729155,2017-07-06 15:06:01,26.072,37.816,Winter,24.5,35.0,972.6,0.0,2.1,E,1.5719999999999992
1729244,2017-07-06 17:06:01,25.072,39.023,Winter,22.4,42.0,972.4,0.0,1.6,E,2.6720000000000006
1729346,2017-07-06 19:06:01,25.072,42.267,Winter,17.9,63.0,973.2,0.0,0.0,N,7.172000000000001
1729442,2017-07-06 21:06:01,24.072,46.64,Winter,18.0,64.0,973.8,0.0,0.0,N,6.071999999999999
1729507,2017-07-06 23:06:01,23.572,49.113,Winter,15.5,76.0,974.9,0.0,0.0,N,8.072
1729604,2017-07-07 01:06:01,22.072,50.228,Winter,12.8,83.0,974.9,0.0,0.0,N,9.271999999999998
1729712,2017-07-07 03:06:01,21.572,50.808,Winter,12.8,83.0,974.1,0.0,0.0,N,8.771999999999998
1729819,2017-07-07 05:06:01,21.072,52.008,Winter,13.4,82.0,974.9,0.0,0.0,N,7.671999999999999
1729921,2017-07-07 07:06:01,20.572,56.87,Winter,13.8,87.0,976.1,0.0,0.0,N,6.7719999999999985
1730009,2017-07-07 09:06:01,20.572,66.352,Winter,17.3,83.0,976.5,0.0,0.0,N,3.2719999999999985
1730106,2017-07-07 11:06:01,22.072,74.392,Winter,20.1,69.0,976.7,0.0,1.2,NE,1.9719999999999978
1730195,2017-07-07 13:06:01,23.072,54.027,Winter,22.6,53.0,974.0,0.0,1.3,E,0.47199999999999775
1730310,2017-07-07 15:06:01,24.572,42.217,Winter,23.4,46.0,973.2,0.0,1.7,ENE,1.1720000000000006
1730393,2017-07-07 17:06:01,25.072,47.37,Winter,22.0,49.0,972.3,0.0,0.0,N,3.071999999999999
1730489,2017-07-07 19:06:01,24.072,46.64,Winter,17.8,69.0,973.7,0.0,0.0,N,6.2719999999999985
1730605,2017-07-07 21:06:01,23.572,52.224,Winter,15.8,71.0,974.0,0.0,0.0,N,7.7719999999999985
1730691,2017-07-07 23:06:01,22.572,51.516,Winter,13.6,82.0,974.3,0.0,0.0,N,8.972
1730773,2017-07-08 01:06:01,21.072,53.243,Winter,11.9,84.0,973.5,0.0,0.0,N,9.171999999999999
1730903,2017-07-08 03:06:01,20.072,54.394,Winter,11.7,83.0,972.8,0.0,0.0,N,8.372
1730973,2017-07-08 05:06:01,19.571,56.797,Winter,11.4,86.0,972.9,0.0,0.0,N,8.171000000000001
1731065,2017-07-08 07:06:01,19.071,57.973,Winter,10.1,90.0,974.4,0.0,0.0,N,8.971000000000002
1731172,2017-07-08 09:06:01,21.072,53.858,Winter,18.2,64.0,974.5,0.0,0.0,N,2.872
1731284,2017-07-08 11:06:01,24.072,51.031,Winter,22.4,57.0,973.7,0.0,0.0,N,1.6720000000000006
1731359,2017-07-08 13:06:01,26.072,45.57,Winter,24.7,48.0,970.9,0.0,1.2,ENE,1.3719999999999999
1731483,2017-07-08 15:06:01,27.072,39.882,Winter,25.3,43.0,969.8,0.0,1.5,NE,1.7719999999999985
1731572,2017-07-08 17:06:01,26.072,43.654,Winter,23.6,47.0,968.7,0.0,1.3,NNE,2.4719999999999978
1731656,2017-07-08 19:06:01,24.572,49.833,Winter,17.9,69.0,970.4,0.0,0.0,N,6.672000000000001
1731769,2017-07-08 21:06:01,23.572,50.362,Winter,17.0,74.0,971.2,0.0,0.0,N,6.571999999999999
1731832,2017-07-08 23:06:01,22.572,52.753,Winter,14.4,80.0,971.0,0.0,0.0,N,8.171999999999999
1731948,2017-07-09 01:06:01,22.072,54.553,Winter,12.3,87.0,970.6,0.0,0.0,N,9.771999999999998
1732031,2017-07-09 03:06:01,21.072,53.858,Winter,11.0,90.0,970.3,0.0,0.0,N,10.072
1732138,2017-07-09 05:06:01,20.072,54.394,Winter,10.2,89.0,969.7,0.0,0.0,N,9.872
1732243,2017-07-09 07:06:01,19.571,56.189,Winter,9.6,90.0,970.2,0.0,0.0,N,9.971000000000002
1732338,2017-07-09 09:06:01,22.072,50.228,Winter,18.7,58.0,970.4,0.0,2.2,SW,3.372
1732439,2017-07-09 11:06:01,24.072,46.007,Winter,25.1,41.0,969.3,0.0,1.5,SW,-1.0280000000000022
1732540,2017-07-09 13:06:01,27.072,36.606,Winter,27.9,30.0,966.9,0.0,2.2,S,-0.8279999999999994
1732636,2017-07-09 15:06:01,29.572,30.873,Winter,28.2,26.0,965.2,0.0,2.2,SSE,1.3719999999999999
1732717,2017-07-09 17:06:01,28.072,32.726,Winter,25.7,31.0,964.3,0.0,0.0,N,2.372
1732838,2017-07-09 19:06:01,27.072,37.921,Winter,18.4,53.0,965.6,0.0,0.0,N,8.672
1732931,2017-07-09 21:06:01,25.572,39.074,Winter,15.1,66.0,966.8,0.0,0.0,N,10.472
1733031,2017-07-09 23:06:01,24.572,44.143,Winter,14.3,64.0,966.9,0.0,0.0,N,10.271999999999998
