,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725013,2017-07-03 01:13:01,18.105,37.547,Winter,9.3,84.0,969.1,0.0,0.0,N,8.805
1725115,2017-07-03 03:13:01,16.603,38.084,Winter,8.3,88.0,969.7,0.0,0.0,N,8.303
1725211,2017-07-03 05:13:01,15.1,37.96,Winter,7.6,89.0,968.7,0.0,0.0,N,7.5
1725305,2017-07-03 07:13:01,14.599,37.156,Winter,7.4,91.0,969.8,0.0,0.0,N,7.199
1725409,2017-07-03 09:13:01,17.605,44.729,Winter,17.4,53.0,970.0,0.0,0.0,N,0.20500000000000185
1725505,2017-07-03 11:13:01,25.111,40.848,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4110000000000014
1725605,2017-07-03 13:13:01,38.593,33.019,Winter,25.5,33.0,968.7,0.0,1.5,ENE,13.093000000000004
1725697,2017-07-03 15:13:01,43.079,22.287,Winter,25.6,31.0,968.1,0.0,2.7,E,17.479
1725800,2017-07-03 17:13:01,32.606,30.936,Winter,23.3,35.0,969.9,0.0,2.8,E,9.306000000000001
1725896,2017-07-03 19:13:01,25.111,32.847,Winter,20.3,45.0,971.2,0.0,1.5,E,4.811
1725997,2017-07-03 21:13:01,21.61,33.848,Winter,17.3,56.0,973.5,0.0,1.3,E,4.309999999999999
1726093,2017-07-03 23:13:01,19.608,35.004,Winter,16.9,63.0,974.0,0.0,1.4,E,2.708000000000002
1726189,2017-07-04 01:13:01,18.105,35.539,Winter,14.0,76.0,973.4,0.0,0.0,N,4.105
1726287,2017-07-04 03:13:01,16.102,34.686,Winter,12.6,82.0,973.2,0.0,0.0,N,3.5020000000000007
1726383,2017-07-04 05:13:01,15.601,35.991,Winter,11.8,85.0,972.9,0.0,0.0,N,3.801
1726480,2017-07-04 07:13:01,15.601,36.663,Winter,12.4,86.0,974.3,0.0,0.0,N,3.2010000000000005
1726574,2017-07-04 09:13:01,17.104,36.121,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0039999999999978
1726677,2017-07-04 11:13:01,34.104,38.551,Winter,20.2,59.0,975.0,0.0,2.7,E,13.904
1726771,2017-07-04 13:13:01,31.607,39.581,Winter,22.7,48.0,973.0,0.0,2.8,E,8.907
1726869,2017-07-04 15:13:01,33.604,35.81,Winter,22.9,44.0,972.7,0.0,2.6,E,10.704
1726963,2017-07-04 17:13:01,29.11,37.305,Winter,21.2,48.0,972.1,0.0,1.6,E,7.91
1727057,2017-07-04 19:13:01,23.611,37.396,Winter,15.0,72.0,973.3,0.0,0.0,N,8.611
1727153,2017-07-04 21:13:01,20.108,37.727,Winter,12.9,77.0,973.9,0.0,0.0,N,7.208
1727255,2017-07-04 23:13:01,18.606,38.256,Winter,11.7,77.0,974.1,0.0,0.0,N,6.906000000000002
1727349,2017-07-05 01:13:01,16.603,38.749,Winter,11.0,83.0,974.4,0.0,0.0,N,5.6030000000000015
1727445,2017-07-05 03:13:01,15.1,38.627,Winter,9.6,85.0,974.0,0.0,0.0,N,5.5
1727544,2017-07-05 05:13:01,14.599,37.81,Winter,10.7,83.0,974.4,0.0,0.0,N,3.899000000000001
1727643,2017-07-05 07:13:01,14.097,38.386,Winter,10.7,86.0,974.6,0.0,0.0,N,3.3970000000000002
1727733,2017-07-05 09:13:01,23.611,37.396,Winter,17.4,68.0,976.4,0.0,0.0,N,6.211000000000002
1727833,2017-07-05 11:13:01,26.111,42.258,Winter,21.3,53.0,975.7,0.0,0.0,N,4.811
1727934,2017-07-05 13:13:01,32.107,40.3,Winter,24.0,41.0,973.5,0.0,1.8,ENE,8.107
1728027,2017-07-05 15:13:01,23.611,38.06,Winter,24.3,36.0,971.6,0.0,1.4,E,-0.6890000000000001
1728124,2017-07-05 17:13:01,23.111,50.917,Winter,22.7,40.0,972.0,0.0,1.3,E,0.41100000000000136
1728219,2017-07-05 19:13:01,22.11,46.392,Winter,15.2,68.0,973.4,0.0,0.0,N,6.91
1728323,2017-07-05 21:13:01,21.109,48.852,Winter,12.6,76.0,973.8,0.0,0.0,N,8.509000000000002
1728417,2017-07-05 23:13:01,20.609,48.176,Winter,11.0,77.0,974.6,0.0,0.0,N,9.609000000000002
1728514,2017-07-06 01:13:01,19.608,48.094,Winter,10.0,80.0,974.3,0.0,0.0,N,9.608
1728609,2017-07-06 03:13:01,19.107,49.323,Winter,9.1,83.0,974.3,0.0,0.0,N,10.007
