,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724983,2017-07-03 01:07:01,17.607,36.144,Winter,9.3,84.0,969.1,0.0,0.0,N,8.306999999999999
1725081,2017-07-03 03:07:01,16.606,36.707,Winter,8.3,88.0,969.7,0.0,0.0,N,8.306000000000001
1725180,2017-07-03 05:07:01,15.605,37.273,Winter,7.6,89.0,968.7,0.0,0.0,N,8.005
1725275,2017-07-03 07:07:01,14.603,36.442,Winter,7.4,91.0,969.8,0.0,0.0,N,7.202999999999999
1725375,2017-07-03 09:07:01,15.104,51.164,Winter,17.4,53.0,970.0,0.0,0.0,N,-2.2959999999999994
1725472,2017-07-03 11:07:01,24.111,41.888,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.41100000000000136
1725570,2017-07-03 13:07:01,25.611,36.263,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.11100000000000065
1725670,2017-07-03 15:07:01,27.611,35.173,Winter,25.6,31.0,968.1,0.0,2.7,E,2.0109999999999992
1725768,2017-07-03 17:07:01,27.111,35.771,Winter,23.3,35.0,969.9,0.0,2.8,E,3.811
1725866,2017-07-03 19:07:01,25.611,35.613,Winter,20.3,45.0,971.2,0.0,1.5,E,5.311
1725960,2017-07-03 21:07:01,23.111,36.01,Winter,17.3,56.0,973.5,0.0,1.3,E,5.811
1726060,2017-07-03 23:07:01,21.11,35.816,Winter,16.9,63.0,974.0,0.0,1.4,E,4.210000000000001
1726158,2017-07-04 01:07:01,19.609,36.325,Winter,14.0,76.0,973.4,0.0,0.0,N,5.609000000000002
1726253,2017-07-04 03:07:01,18.108,36.839,Winter,12.6,82.0,973.2,0.0,0.0,N,5.508000000000001
1726352,2017-07-04 05:07:01,17.106,37.4,Winter,11.8,85.0,972.9,0.0,0.0,N,5.306000000000001
1726449,2017-07-04 07:07:01,16.105,37.963,Winter,12.4,86.0,974.3,0.0,0.0,N,3.705
1726546,2017-07-04 09:07:01,16.606,37.357,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5060000000000002
1726641,2017-07-04 11:07:01,21.61,44.183,Winter,20.2,59.0,975.0,0.0,2.7,E,1.4100000000000001
