,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725023,2017-07-03 01:14:01,17.572,37.533,Winter,9.3,84.0,969.1,0.0,0.0,N,8.271999999999998
1725119,2017-07-03 03:14:01,16.071,38.068,Winter,8.3,88.0,969.7,0.0,0.0,N,7.771000000000001
1725217,2017-07-03 05:14:01,15.069,37.986,Winter,7.6,89.0,968.7,0.0,0.0,N,7.469000000000001
1725315,2017-07-03 07:14:01,14.068,37.104,Winter,7.4,91.0,969.8,0.0,0.0,N,6.667999999999999
1725413,2017-07-03 09:14:01,19.074,40.298,Winter,17.4,53.0,970.0,0.0,0.0,N,1.674000000000003
1725514,2017-07-03 11:14:01,25.576,38.291,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.8760000000000012
1725609,2017-07-03 13:14:01,34.57,34.641,Winter,25.5,33.0,968.7,0.0,1.5,ENE,9.07
1725705,2017-07-03 15:14:01,40.56,26.443,Winter,25.6,31.0,968.1,0.0,2.7,E,14.96
1725807,2017-07-03 17:14:01,33.072,30.406,Winter,23.3,35.0,969.9,0.0,2.8,E,9.772000000000002
1725904,2017-07-03 19:14:01,26.076,31.674,Winter,20.3,45.0,971.2,0.0,1.5,E,5.776
1726000,2017-07-03 21:14:01,22.076,33.285,Winter,17.3,56.0,973.5,0.0,1.3,E,4.776
1726100,2017-07-03 23:14:01,20.074,33.761,Winter,16.9,63.0,974.0,0.0,1.4,E,3.174000000000003
1726193,2017-07-04 01:14:01,18.573,34.291,Winter,14.0,76.0,973.4,0.0,0.0,N,4.573
1726290,2017-07-04 03:14:01,16.571,34.779,Winter,12.6,82.0,973.2,0.0,0.0,N,3.971000000000002
1726391,2017-07-04 05:14:01,15.57,35.362,Winter,11.8,85.0,972.9,0.0,0.0,N,3.7699999999999996
1726487,2017-07-04 07:14:01,15.57,36.031,Winter,12.4,86.0,974.3,0.0,0.0,N,3.17
1726585,2017-07-04 09:14:01,16.571,37.447,Winter,16.1,75.0,975.9,0.0,0.0,N,0.4710000000000001
1726681,2017-07-04 11:14:01,28.076,52.016,Winter,20.2,59.0,975.0,0.0,2.7,E,7.876000000000001
1726775,2017-07-04 13:14:01,28.076,45.697,Winter,22.7,48.0,973.0,0.0,2.8,E,5.376000000000001
1726874,2017-07-04 15:14:01,32.073,39.664,Winter,22.9,44.0,972.7,0.0,2.6,E,9.173000000000002
1726969,2017-07-04 17:14:01,29.075,38.004,Winter,21.2,48.0,972.1,0.0,1.6,E,7.875
1727065,2017-07-04 19:14:01,24.076,37.479,Winter,15.0,72.0,973.3,0.0,0.0,N,9.076
1727165,2017-07-04 21:14:01,20.575,37.802,Winter,12.9,77.0,973.9,0.0,0.0,N,7.674999999999999
1727258,2017-07-04 23:14:01,18.573,36.958,Winter,11.7,77.0,974.1,0.0,0.0,N,6.873000000000001
1727357,2017-07-05 01:14:01,17.072,36.826,Winter,11.0,83.0,974.4,0.0,0.0,N,6.071999999999999
1727456,2017-07-05 03:14:01,15.57,38.027,Winter,9.6,85.0,974.0,0.0,0.0,N,5.970000000000001
1727552,2017-07-05 05:14:01,14.569,37.18,Winter,10.7,83.0,974.4,0.0,0.0,N,3.8690000000000015
1727647,2017-07-05 07:14:01,14.569,38.478,Winter,10.7,86.0,974.6,0.0,0.0,N,3.8690000000000015
1727746,2017-07-05 09:14:01,20.074,46.206,Winter,17.4,68.0,976.4,0.0,0.0,N,2.674000000000003
1727839,2017-07-05 11:14:01,27.076,41.068,Winter,21.3,53.0,975.7,0.0,0.0,N,5.776
1727940,2017-07-05 13:14:01,30.075,38.115,Winter,24.0,41.0,973.5,0.0,1.8,ENE,6.074999999999999
1728036,2017-07-05 15:14:01,29.075,35.35,Winter,24.3,36.0,971.6,0.0,1.4,E,4.774999999999999
1728130,2017-07-05 17:14:01,25.576,53.619,Winter,22.7,40.0,972.0,0.0,1.3,E,2.8760000000000012
1728227,2017-07-05 19:14:01,23.576,54.665,Winter,15.2,68.0,973.4,0.0,0.0,N,8.376000000000001
1728327,2017-07-05 21:14:01,22.076,58.809,Winter,12.6,76.0,973.8,0.0,0.0,N,9.476
1728426,2017-07-05 23:14:01,20.074,62.857,Winter,11.0,77.0,974.6,0.0,0.0,N,9.074000000000002
1728520,2017-07-06 01:14:01,18.573,63.949,Winter,10.0,80.0,974.3,0.0,0.0,N,8.573
1728617,2017-07-06 03:14:01,17.572,65.076,Winter,9.1,83.0,974.3,0.0,0.0,N,8.472
1728714,2017-07-06 05:14:01,16.071,67.354,Winter,7.9,86.0,974.1,0.0,0.0,N,8.171000000000001
1728812,2017-07-06 07:14:01,15.57,69.081,Winter,7.6,87.0,975.6,0.0,0.0,N,7.970000000000001
1728910,2017-07-06 09:14:01,19.074,60.4,Winter,16.8,56.0,976.3,0.0,0.0,N,2.274000000000001
1729006,2017-07-06 11:14:01,23.576,53.43,Winter,21.3,53.0,975.6,0.0,0.0,N,2.276
1729101,2017-07-06 13:14:01,26.576,45.537,Winter,23.7,43.0,973.8,0.0,1.3,E,2.8760000000000012
1729200,2017-07-06 15:14:01,28.076,40.522,Winter,24.5,35.0,972.6,0.0,2.1,E,3.5760000000000005
1729297,2017-07-06 17:14:01,24.576,52.903,Winter,22.4,42.0,972.4,0.0,1.6,E,2.176000000000002
1729392,2017-07-06 19:14:01,23.576,55.893,Winter,17.9,63.0,973.2,0.0,0.0,N,5.676000000000002
1729491,2017-07-06 21:14:01,23.076,58.892,Winter,18.0,64.0,973.8,0.0,0.0,N,5.0760000000000005
1729588,2017-07-06 23:14:01,21.575,62.964,Winter,15.5,76.0,974.9,0.0,0.0,N,6.074999999999999
1729684,2017-07-07 01:14:01,20.074,65.808,Winter,12.8,83.0,974.9,0.0,0.0,N,7.274000000000001
1729786,2017-07-07 03:14:01,20.074,66.976,Winter,12.8,83.0,974.1,0.0,0.0,N,7.274000000000001
1729883,2017-07-07 05:14:01,19.574,68.108,Winter,13.4,82.0,974.9,0.0,0.0,N,6.174000000000001
1729976,2017-07-07 07:14:01,19.574,69.263,Winter,13.8,87.0,976.1,0.0,0.0,N,5.774000000000001
1730072,2017-07-07 09:14:01,21.075,65.875,Winter,17.3,83.0,976.5,0.0,0.0,N,3.7749999999999986
1730170,2017-07-07 11:14:01,24.076,61.384,Winter,20.1,69.0,976.7,0.0,1.2,NE,3.975999999999999
