,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724984,2017-07-03 01:07:01,17.171,38.09,Winter,9.3,84.0,969.1,0.0,0.0,N,7.870999999999999
1725082,2017-07-03 03:07:01,15.668,37.964,Winter,8.3,88.0,969.7,0.0,0.0,N,7.3679999999999986
1725178,2017-07-03 05:07:01,14.665,37.124,Winter,7.6,89.0,968.7,0.0,0.0,N,7.0649999999999995
1725277,2017-07-03 07:07:01,13.662,37.662,Winter,7.4,91.0,969.8,0.0,0.0,N,6.2620000000000005
1725376,2017-07-03 09:07:01,17.171,44.343,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.2289999999999992
1725473,2017-07-03 11:07:01,25.18,39.533,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4800000000000004
1725572,2017-07-03 13:07:01,26.18,35.44,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.6799999999999997
1725669,2017-07-03 15:07:01,29.177,32.227,Winter,25.6,31.0,968.1,0.0,2.7,E,3.576999999999998
1725766,2017-07-03 17:07:01,28.178,34.243,Winter,23.3,35.0,969.9,0.0,2.8,E,4.878
1725864,2017-07-03 19:07:01,25.68,34.684,Winter,20.3,45.0,971.2,0.0,1.5,E,5.379999999999999
1725963,2017-07-03 21:07:01,22.679,35.085,Winter,17.3,56.0,973.5,0.0,1.3,E,5.378999999999998
1726057,2017-07-03 23:07:01,21.178,37.048,Winter,16.9,63.0,974.0,0.0,1.4,E,4.278000000000002
1726155,2017-07-04 01:07:01,19.175,36.863,Winter,14.0,76.0,973.4,0.0,0.0,N,5.175000000000001
1726255,2017-07-04 03:07:01,17.672,36.728,Winter,12.6,82.0,973.2,0.0,0.0,N,5.072000000000001
1726353,2017-07-04 05:07:01,16.67,38.047,Winter,11.8,85.0,972.9,0.0,0.0,N,4.870000000000001
1726450,2017-07-04 07:07:01,16.169,38.005,Winter,12.4,86.0,974.3,0.0,0.0,N,3.769
1726545,2017-07-04 09:07:01,16.67,37.345,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5700000000000003
1726644,2017-07-04 11:07:01,22.179,43.39,Winter,20.2,59.0,975.0,0.0,2.7,E,1.9789999999999992
