,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724977,2017-07-03 01:06:01,17.64,39.184,Winter,9.3,84.0,969.1,0.0,0.0,N,8.34
1725079,2017-07-03 03:06:01,16.138,38.403,Winter,8.3,88.0,969.7,0.0,0.0,N,7.838000000000001
1725158,2017-07-03 05:06:01,15.136,38.321,Winter,7.6,89.0,968.7,0.0,0.0,N,7.536
1725267,2017-07-03 07:06:01,14.134,38.081,Winter,7.4,91.0,969.8,0.0,0.0,N,6.734
1725369,2017-07-03 09:06:01,17.139,46.238,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.26099999999999923
1725448,2017-07-03 11:06:01,25.146,39.881,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4460000000000015
1725562,2017-07-03 13:06:01,26.146,36.06,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.6460000000000008
1725657,2017-07-03 15:06:01,28.146,35.613,Winter,25.6,31.0,968.1,0.0,2.7,E,2.5459999999999994
1725743,2017-07-03 17:06:01,27.646,35.559,Winter,23.3,35.0,969.9,0.0,2.8,E,4.346
1725838,2017-07-03 19:06:01,25.646,36.008,Winter,20.3,45.0,971.2,0.0,1.5,E,5.346
1725923,2017-07-03 21:06:01,23.146,36.413,Winter,17.3,56.0,973.5,0.0,1.3,E,5.846
1726042,2017-07-03 23:06:01,21.144,36.877,Winter,16.9,63.0,974.0,0.0,1.4,E,4.244
1726127,2017-07-04 01:06:01,19.643,38.051,Winter,14.0,76.0,973.4,0.0,0.0,N,5.643000000000001
1726241,2017-07-04 03:06:01,18.141,37.26,Winter,12.6,82.0,973.2,0.0,0.0,N,5.540999999999999
1726348,2017-07-04 05:06:01,17.139,37.831,Winter,11.8,85.0,972.9,0.0,0.0,N,5.338999999999999
1726418,2017-07-04 07:06:01,16.639,37.788,Winter,12.4,86.0,974.3,0.0,0.0,N,4.238999999999999
1726512,2017-07-04 09:06:01,17.139,37.173,Winter,16.1,75.0,975.9,0.0,0.0,N,1.038999999999998
1726620,2017-07-04 11:06:01,22.646,42.866,Winter,20.2,59.0,975.0,0.0,2.7,E,2.4460000000000015
1726712,2017-07-04 13:06:01,25.146,38.579,Winter,22.7,48.0,973.0,0.0,2.8,E,2.4460000000000015
1726815,2017-07-04 15:06:01,25.646,38.63,Winter,22.9,44.0,972.7,0.0,2.6,E,2.746000000000002
1726915,2017-07-04 17:06:01,26.646,39.386,Winter,21.2,48.0,972.1,0.0,1.6,E,5.4460000000000015
1726990,2017-07-04 19:06:01,26.146,38.029,Winter,15.0,72.0,973.3,0.0,0.0,N,11.146
1727109,2017-07-04 21:06:01,23.146,39.683,Winter,12.9,77.0,973.9,0.0,0.0,N,10.246
1727217,2017-07-04 23:06:01,21.144,40.793,Winter,11.7,77.0,974.1,0.0,0.0,N,9.443999999999999
1727317,2017-07-05 01:06:01,19.142,41.263,Winter,11.0,83.0,974.4,0.0,0.0,N,8.142
1727394,2017-07-05 03:06:01,17.64,41.137,Winter,9.6,85.0,974.0,0.0,0.0,N,8.040000000000001
1727498,2017-07-05 05:06:01,16.639,42.351,Winter,10.7,83.0,974.4,0.0,0.0,N,5.939
1727577,2017-07-05 07:06:01,16.138,41.016,Winter,10.7,86.0,974.6,0.0,0.0,N,5.438000000000002
