,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725004,2017-07-03 01:10:01,18.063,36.251,Winter,9.3,84.0,969.1,0.0,0.0,N,8.762999999999998
1725102,2017-07-03 03:10:01,17.062,36.163,Winter,8.3,88.0,969.7,0.0,0.0,N,8.762
1725194,2017-07-03 05:10:01,16.061,36.747,Winter,7.6,89.0,968.7,0.0,0.0,N,8.461
1725296,2017-07-03 07:10:01,15.56,35.36,Winter,7.4,91.0,969.8,0.0,0.0,N,8.16
1725392,2017-07-03 09:10:01,15.56,47.852,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.839999999999998
1725491,2017-07-03 11:10:01,24.566,40.838,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.8659999999999997
1725585,2017-07-03 13:10:01,25.566,37.638,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.06599999999999895
1725689,2017-07-03 15:10:01,27.066,37.794,Winter,25.6,31.0,968.1,0.0,2.7,E,1.4659999999999975
1725787,2017-07-03 17:10:01,27.066,36.462,Winter,23.3,35.0,969.9,0.0,2.8,E,3.7659999999999982
1725885,2017-07-03 19:10:01,25.566,36.305,Winter,20.3,45.0,971.2,0.0,1.5,E,5.265999999999998
1725981,2017-07-03 21:10:01,23.066,36.052,Winter,17.3,56.0,973.5,0.0,1.3,E,5.765999999999998
1726074,2017-07-03 23:10:01,21.565,36.575,Winter,16.9,63.0,974.0,0.0,1.4,E,4.665000000000003
1726174,2017-07-04 01:10:01,20.065,36.434,Winter,14.0,76.0,973.4,0.0,0.0,N,6.065000000000001
1726271,2017-07-04 03:10:01,18.563,36.965,Winter,12.6,82.0,973.2,0.0,0.0,N,5.962999999999999
1726368,2017-07-04 05:10:01,17.562,36.877,Winter,11.8,85.0,972.9,0.0,0.0,N,5.7620000000000005
1726467,2017-07-04 07:10:01,16.561,36.79,Winter,12.4,86.0,974.3,0.0,0.0,N,4.161
1726561,2017-07-04 09:10:01,17.062,37.501,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9619999999999997
1726661,2017-07-04 11:10:01,22.066,44.508,Winter,20.2,59.0,975.0,0.0,2.7,E,1.8659999999999997
1726756,2017-07-04 13:10:01,24.066,41.444,Winter,22.7,48.0,973.0,0.0,2.8,E,1.3659999999999997
1726851,2017-07-04 15:10:01,25.566,39.624,Winter,22.9,44.0,972.7,0.0,2.6,E,2.6660000000000004
1726948,2017-07-04 17:10:01,26.566,39.067,Winter,21.2,48.0,972.1,0.0,1.6,E,5.366
1727048,2017-07-04 19:10:01,26.066,37.689,Winter,15.0,72.0,973.3,0.0,0.0,N,11.065999999999999
1727145,2017-07-04 21:10:01,23.566,39.424,Winter,12.9,77.0,973.9,0.0,0.0,N,10.665999999999999
1727238,2017-07-04 23:10:01,21.565,39.892,Winter,11.7,77.0,974.1,0.0,0.0,N,9.865000000000002
1727338,2017-07-05 01:10:01,19.564,41.028,Winter,11.0,83.0,974.4,0.0,0.0,N,8.564
1727434,2017-07-05 03:10:01,18.063,40.241,Winter,9.6,85.0,974.0,0.0,0.0,N,8.463
1727530,2017-07-05 05:10:01,16.561,40.776,Winter,10.7,83.0,974.4,0.0,0.0,N,5.861000000000001
1727627,2017-07-05 07:10:01,16.061,41.395,Winter,10.7,86.0,974.6,0.0,0.0,N,5.361000000000001
1727723,2017-07-05 09:10:01,16.561,41.435,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.8389999999999986
1727817,2017-07-05 11:10:01,29.065,37.345,Winter,21.3,53.0,975.7,0.0,0.0,N,7.765000000000001
1727914,2017-07-05 13:10:01,29.565,34.72,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.565000000000001
1728011,2017-07-05 15:10:01,32.063,32.291,Winter,24.3,36.0,971.6,0.0,1.4,E,7.763000000000002
1728114,2017-07-05 17:10:01,31.564,32.915,Winter,22.7,40.0,972.0,0.0,1.3,E,8.864
1728211,2017-07-05 19:10:01,28.066,34.557,Winter,15.2,68.0,973.4,0.0,0.0,N,12.866
1728305,2017-07-05 21:10:01,24.066,36.152,Winter,12.6,76.0,973.8,0.0,0.0,N,11.466
1728406,2017-07-05 23:10:01,21.065,37.195,Winter,11.0,77.0,974.6,0.0,0.0,N,10.065000000000001
1728503,2017-07-06 01:10:01,18.563,37.632,Winter,10.0,80.0,974.3,0.0,0.0,N,8.562999999999999
1728600,2017-07-06 03:10:01,16.061,39.414,Winter,9.1,83.0,974.3,0.0,0.0,N,6.961
1728696,2017-07-06 05:10:01,14.058,39.075,Winter,7.9,86.0,974.1,0.0,0.0,N,6.1579999999999995
1728788,2017-07-06 07:10:01,12.555,40.146,Winter,7.6,87.0,975.6,0.0,0.0,N,4.955
1728889,2017-07-06 09:10:01,17.562,52.421,Winter,16.8,56.0,976.3,0.0,0.0,N,0.7620000000000005
1728982,2017-07-06 11:10:01,25.566,53.086,Winter,21.3,53.0,975.6,0.0,0.0,N,4.265999999999998
1729082,2017-07-06 13:10:01,30.065,32.067,Winter,23.7,43.0,973.8,0.0,1.3,E,6.365000000000002
1729181,2017-07-06 15:10:01,27.066,35.122,Winter,24.5,35.0,972.6,0.0,2.1,E,2.565999999999999
1729276,2017-07-06 17:10:01,27.066,33.775,Winter,22.4,42.0,972.4,0.0,1.6,E,4.666
1729372,2017-07-06 19:10:01,24.566,36.202,Winter,17.9,63.0,973.2,0.0,0.0,N,6.666
1729472,2017-07-06 21:10:01,23.566,38.763,Winter,18.0,64.0,973.8,0.0,0.0,N,5.565999999999999
1729565,2017-07-06 23:10:01,22.566,39.986,Winter,15.5,76.0,974.9,0.0,0.0,N,7.065999999999999
1729661,2017-07-07 01:10:01,20.565,41.771,Winter,12.8,83.0,974.9,0.0,0.0,N,7.765000000000001
1729765,2017-07-07 03:10:01,19.564,42.337,Winter,12.8,83.0,974.1,0.0,0.0,N,6.763999999999999
1729858,2017-07-07 05:10:01,18.563,42.253,Winter,13.4,82.0,974.9,0.0,0.0,N,5.1629999999999985
1729954,2017-07-07 07:10:01,18.063,42.865,Winter,13.8,87.0,976.1,0.0,0.0,N,4.262999999999998
1730052,2017-07-07 09:10:01,20.065,41.071,Winter,17.3,83.0,976.5,0.0,0.0,N,2.7650000000000006
1730152,2017-07-07 11:10:01,22.066,44.508,Winter,20.1,69.0,976.7,0.0,1.2,NE,1.9659999999999975
1730248,2017-07-07 13:10:01,23.566,48.491,Winter,22.6,53.0,974.0,0.0,1.3,E,0.9659999999999975
1730340,2017-07-07 15:10:01,24.566,42.799,Winter,23.4,46.0,973.2,0.0,1.7,ENE,1.1660000000000004
1730438,2017-07-07 17:10:01,24.566,45.389,Winter,22.0,49.0,972.3,0.0,0.0,N,2.565999999999999
1730536,2017-07-07 19:10:01,25.066,47.361,Winter,17.8,69.0,973.7,0.0,0.0,N,7.265999999999998
1730635,2017-07-07 21:10:01,24.566,47.312,Winter,15.8,71.0,974.0,0.0,0.0,N,8.765999999999998
1730729,2017-07-07 23:10:01,24.066,47.264,Winter,13.6,82.0,974.3,0.0,0.0,N,10.466
1730827,2017-07-08 01:10:01,23.566,46.577,Winter,11.9,84.0,973.5,0.0,0.0,N,11.665999999999999
1730921,2017-07-08 03:10:01,23.066,47.17,Winter,11.7,83.0,972.8,0.0,0.0,N,11.366
1731023,2017-07-08 05:10:01,22.066,47.08,Winter,11.4,86.0,972.9,0.0,0.0,N,10.665999999999999
1731117,2017-07-08 07:10:01,21.565,47.035,Winter,10.1,90.0,974.4,0.0,0.0,N,11.465000000000002
1731214,2017-07-08 09:10:01,20.565,48.862,Winter,18.2,64.0,974.5,0.0,0.0,N,2.365000000000002
1731311,2017-07-08 11:10:01,20.565,50.759,Winter,22.4,57.0,973.7,0.0,0.0,N,-1.8349999999999973
1731406,2017-07-08 13:10:01,21.065,53.304,Winter,24.7,48.0,970.9,0.0,1.2,ENE,-3.634999999999998
1731504,2017-07-08 15:10:01,21.065,53.926,Winter,25.3,43.0,969.8,0.0,1.5,NE,-4.234999999999999
1731598,2017-07-08 17:10:01,21.065,57.007,Winter,23.6,47.0,968.7,0.0,1.3,NNE,-2.535
1731699,2017-07-08 19:10:01,20.565,58.189,Winter,17.9,69.0,970.4,0.0,0.0,N,2.6650000000000027
1731793,2017-07-08 21:10:01,20.065,59.367,Winter,17.0,74.0,971.2,0.0,0.0,N,3.0650000000000013
1731887,2017-07-08 23:10:01,20.065,61.175,Winter,14.4,80.0,971.0,0.0,0.0,N,5.665000000000001
1731984,2017-07-09 01:10:01,19.564,61.741,Winter,12.3,87.0,970.6,0.0,0.0,N,7.263999999999999
1732080,2017-07-09 03:10:01,19.064,62.307,Winter,11.0,90.0,970.3,0.0,0.0,N,8.064
1732179,2017-07-09 05:10:01,19.064,64.091,Winter,10.2,89.0,969.7,0.0,0.0,N,8.864
1732277,2017-07-09 07:10:01,18.563,64.653,Winter,9.6,90.0,970.2,0.0,0.0,N,8.963
1732371,2017-07-09 09:10:01,19.064,63.498,Winter,18.7,58.0,970.4,0.0,2.2,SW,0.36400000000000077
1732470,2017-07-09 11:10:01,19.564,63.529,Winter,25.1,41.0,969.3,0.0,1.5,SW,-5.536000000000001
1732566,2017-07-09 13:10:01,21.065,61.247,Winter,27.9,30.0,966.9,0.0,2.2,S,-6.834999999999997
1732662,2017-07-09 15:10:01,24.066,60.291,Winter,28.2,26.0,965.2,0.0,2.2,SSE,-4.134
1732759,2017-07-09 17:10:01,24.066,59.688,Winter,25.7,31.0,964.3,0.0,0.0,N,-1.6340000000000003
1732860,2017-07-09 19:10:01,25.066,53.659,Winter,18.4,53.0,965.6,0.0,0.0,N,6.666
1732957,2017-07-09 21:10:01,23.566,54.138,Winter,15.1,66.0,966.8,0.0,0.0,N,8.466
1733049,2017-07-09 23:10:01,22.066,54.627,Winter,14.3,64.0,966.9,0.0,0.0,N,7.765999999999998
1733149,2017-07-10 01:10:01,20.565,54.506,Winter,11.8,75.0,967.4,0.0,0.0,N,8.765
1733248,2017-07-10 03:10:01,18.563,54.359,Winter,10.9,80.0,967.0,0.0,0.0,N,7.6629999999999985
1733341,2017-07-10 05:10:01,17.562,53.67,Winter,10.9,75.0,966.8,0.0,0.0,N,6.662000000000001
1733442,2017-07-10 07:10:01,17.062,53.014,Winter,11.2,75.0,967.2,0.0,0.0,N,5.862000000000002
1733534,2017-07-10 09:10:01,23.566,42.049,Winter,21.0,42.0,968.2,0.0,0.0,N,2.565999999999999
1733636,2017-07-10 11:10:01,25.066,43.499,Winter,28.1,27.0,968.1,0.0,0.0,N,-3.0340000000000025
1733731,2017-07-10 13:10:01,30.565,34.157,Winter,30.3,21.0,965.6,0.0,2.0,SSE,0.26500000000000057
1733826,2017-07-10 15:10:01,31.064,33.537,Winter,29.4,21.0,965.2,0.0,1.8,ESE,1.6640000000000015
1733926,2017-07-10 17:10:01,31.064,32.179,Winter,25.7,31.0,965.5,0.0,0.0,N,5.364000000000001
1734027,2017-07-10 19:10:01,28.566,33.937,Winter,17.4,53.0,966.5,0.0,0.0,N,11.166
1734119,2017-07-10 21:10:01,26.066,30.955,Winter,18.7,46.0,969.2,0.0,0.0,N,7.366
1734221,2017-07-10 23:10:01,24.566,32.16,Winter,18.9,74.0,970.4,0.0,3.4,E,5.666
1734316,2017-07-11 01:10:01,23.066,34.038,Winter,18.6,77.0,971.6,0.0,1.5,E,4.4659999999999975
1734419,2017-07-11 03:10:01,22.066,34.612,Winter,17.6,80.0,970.7,0.0,1.2,E,4.4659999999999975
1734511,2017-07-11 05:10:01,20.065,35.764,Winter,15.0,89.0,970.4,0.0,0.0,N,5.065000000000001
1734613,2017-07-11 07:10:01,19.064,36.342,Winter,14.2,91.0,971.7,0.0,0.0,N,4.864000000000001
1734708,2017-07-11 09:10:01,21.065,50.17,Winter,17.7,79.0,972.9,0.0,0.0,N,3.365000000000002
1734808,2017-07-11 11:10:01,22.066,49.623,Winter,20.5,65.0,972.8,0.0,0.0,N,1.565999999999999
1734904,2017-07-11 13:10:01,27.066,54.48,Winter,23.5,51.0,971.2,0.0,1.2,N,3.565999999999999
1735004,2017-07-11 15:10:01,35.06,28.51,Winter,24.7,45.0,969.4,0.0,0.0,N,10.360000000000003
1735099,2017-07-11 17:10:01,31.064,34.888,Winter,23.7,48.0,969.1,0.0,0.0,N,7.364000000000001
1735194,2017-07-11 19:10:01,25.066,40.232,Winter,17.7,68.0,969.7,0.0,0.0,N,7.366
1735291,2017-07-11 21:10:01,21.565,43.165,Winter,16.4,71.0,971.1,0.0,0.0,N,5.165000000000003
1735389,2017-07-11 23:10:01,19.564,43.64,Winter,13.8,81.0,971.5,0.0,0.0,N,5.763999999999999
1735486,2017-07-12 01:10:01,17.562,44.127,Winter,12.8,86.0,970.6,0.0,0.0,N,4.7620000000000005
1735581,2017-07-12 03:10:01,16.561,45.993,Winter,12.6,86.0,970.0,0.0,0.0,N,3.9610000000000003
1735680,2017-07-12 05:10:01,15.56,46.567,Winter,11.3,90.0,971.4,0.0,0.0,N,4.26
1735777,2017-07-12 07:10:01,15.059,46.533,Winter,12.6,88.0,973.4,0.0,0.0,N,2.4589999999999996
1735869,2017-07-12 09:10:01,18.563,52.49,Winter,17.1,78.0,974.9,0.0,1.1,SSE,1.4629999999999974
1735969,2017-07-12 11:10:01,23.566,54.757,Winter,20.4,67.0,974.4,0.0,1.3,SE,3.1660000000000004
1736065,2017-07-12 13:10:01,25.066,53.659,Winter,24.0,52.0,972.3,0.0,1.1,ESE,1.065999999999999
1736159,2017-07-12 15:10:01,26.066,48.735,Winter,25.1,46.0,971.6,0.0,1.2,NNE,0.9659999999999975
1736254,2017-07-12 17:10:01,25.066,47.361,Winter,22.6,54.0,970.6,0.0,0.0,N,2.4659999999999975
1736351,2017-07-12 19:10:01,23.566,54.757,Winter,16.6,74.0,970.6,0.0,0.0,N,6.9659999999999975
1736444,2017-07-12 21:10:01,22.566,54.05,Winter,14.3,80.0,971.7,0.0,0.0,N,8.265999999999998
1736544,2017-07-12 23:10:01,21.565,56.434,Winter,12.6,80.0,971.2,0.0,0.0,N,8.965000000000002
1736639,2017-07-13 01:10:01,20.065,59.367,Winter,11.5,85.0,970.5,0.0,0.0,N,8.565000000000001
