,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724970,2017-07-03 01:06:01,17.568,37.762,Winter,9.3,84.0,969.1,0.0,0.0,N,8.268
1725067,2017-07-03 03:06:01,16.065,38.298,Winter,8.3,88.0,969.7,0.0,0.0,N,7.765000000000001
1725143,2017-07-03 05:06:01,15.063,38.216,Winter,7.6,89.0,968.7,0.0,0.0,N,7.463000000000001
1725265,2017-07-03 07:06:01,14.061,37.98,Winter,7.4,91.0,969.8,0.0,0.0,N,6.661
1725372,2017-07-03 09:06:01,17.067,45.567,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.3329999999999984
1725458,2017-07-03 11:06:01,25.574,37.858,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.8740000000000023
1725528,2017-07-03 13:06:01,26.074,36.584,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.5740000000000016
1725633,2017-07-03 15:06:01,29.073,33.564,Winter,25.6,31.0,968.1,0.0,2.7,E,3.472999999999999
1725758,2017-07-03 17:06:01,28.074,34.127,Winter,23.3,35.0,969.9,0.0,2.8,E,4.774000000000001
1725826,2017-07-03 19:06:01,26.074,35.252,Winter,20.3,45.0,971.2,0.0,1.5,E,5.774000000000001
1725952,2017-07-03 21:06:01,23.074,36.28,Winter,17.3,56.0,973.5,0.0,1.3,E,5.774000000000001
1726043,2017-07-03 23:06:01,21.072,37.415,Winter,16.9,63.0,974.0,0.0,1.4,E,4.172000000000001
1726150,2017-07-04 01:06:01,19.57,37.276,Winter,14.0,76.0,973.4,0.0,0.0,N,5.57
1726226,2017-07-04 03:06:01,18.068,38.468,Winter,12.6,82.0,973.2,0.0,0.0,N,5.468000000000002
1726333,2017-07-04 05:06:01,17.067,38.382,Winter,11.8,85.0,972.9,0.0,0.0,N,5.2669999999999995
1726416,2017-07-04 07:06:01,16.065,38.298,Winter,12.4,86.0,974.3,0.0,0.0,N,3.665000000000001
1726524,2017-07-04 09:06:01,16.566,37.676,Winter,16.1,75.0,975.9,0.0,0.0,N,0.4659999999999975
1726630,2017-07-04 11:06:01,22.073,43.402,Winter,20.2,59.0,975.0,0.0,2.7,E,1.873000000000001
1726735,2017-07-04 13:06:01,24.574,40.388,Winter,22.7,48.0,973.0,0.0,2.8,E,1.8740000000000023
1726820,2017-07-04 15:06:01,25.074,39.782,Winter,22.9,44.0,972.7,0.0,2.6,E,2.174000000000003
1726918,2017-07-04 17:06:01,26.074,39.228,Winter,21.2,48.0,972.1,0.0,1.6,E,4.874000000000002
1726998,2017-07-04 19:06:01,25.574,38.518,Winter,15.0,72.0,973.3,0.0,0.0,N,10.574000000000002
1727085,2017-07-04 21:06:01,23.574,38.976,Winter,12.9,77.0,973.9,0.0,0.0,N,10.674000000000001
1727202,2017-07-04 23:06:01,21.572,40.753,Winter,11.7,77.0,974.1,0.0,0.0,N,9.872
1727311,2017-07-05 01:06:01,19.57,41.228,Winter,11.0,83.0,974.4,0.0,0.0,N,8.57
1727404,2017-07-05 03:06:01,18.068,41.1,Winter,9.6,85.0,974.0,0.0,0.0,N,8.468000000000002
1727499,2017-07-05 05:06:01,16.566,40.977,Winter,10.7,83.0,974.4,0.0,0.0,N,5.866
1727600,2017-07-05 07:06:01,16.065,42.247,Winter,10.7,86.0,974.6,0.0,0.0,N,5.365000000000002
1727700,2017-07-05 09:06:01,16.566,40.977,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.8339999999999996
1727765,2017-07-05 11:06:01,31.071,33.786,Winter,21.3,53.0,975.7,0.0,0.0,N,9.771
1727862,2017-07-05 13:06:01,29.573,34.29,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.573
1727968,2017-07-05 15:06:01,30.072,35.684,Winter,24.3,36.0,971.6,0.0,1.4,E,5.7719999999999985
1728052,2017-07-05 17:06:01,31.071,33.786,Winter,22.7,40.0,972.0,0.0,1.3,E,8.371000000000002
1728159,2017-07-05 19:06:01,28.074,34.797,Winter,15.2,68.0,973.4,0.0,0.0,N,12.874000000000002
1728265,2017-07-05 21:06:01,24.074,35.714,Winter,12.6,76.0,973.8,0.0,0.0,N,11.474000000000002
1728382,2017-07-05 23:06:01,21.072,37.415,Winter,11.0,77.0,974.6,0.0,0.0,N,10.072
1728455,2017-07-06 01:06:01,18.569,38.511,Winter,10.0,80.0,974.3,0.0,0.0,N,8.568999999999999
1728570,2017-07-06 03:06:01,16.065,38.96,Winter,9.1,83.0,974.3,0.0,0.0,N,6.965000000000002
1728652,2017-07-06 05:06:01,14.061,38.628,Winter,7.9,86.0,974.1,0.0,0.0,N,6.161
1728740,2017-07-06 07:06:01,12.557,40.34,Winter,7.6,87.0,975.6,0.0,0.0,N,4.957000000000001
1728831,2017-07-06 09:06:01,25.074,36.481,Winter,16.8,56.0,976.3,0.0,0.0,N,8.274000000000001
1728961,2017-07-06 11:06:01,30.072,33.0,Winter,21.3,53.0,975.6,0.0,0.0,N,8.771999999999998
1729031,2017-07-06 13:06:01,34.567,29.428,Winter,23.7,43.0,973.8,0.0,1.3,E,10.867
1729130,2017-07-06 15:06:01,31.571,27.718,Winter,24.5,35.0,972.6,0.0,2.1,E,7.0710000000000015
1729243,2017-07-06 17:06:01,25.074,39.782,Winter,22.4,42.0,972.4,0.0,1.6,E,2.674000000000003
1729321,2017-07-06 19:06:01,24.074,49.344,Winter,17.9,63.0,973.2,0.0,0.0,N,6.174000000000003
1729450,2017-07-06 21:06:01,23.074,53.013,Winter,18.0,64.0,973.8,0.0,0.0,N,5.074000000000002
1729538,2017-07-06 23:06:01,21.072,57.775,Winter,15.5,76.0,974.9,0.0,0.0,N,5.571999999999999
1729606,2017-07-07 01:06:01,19.07,63.659,Winter,12.8,83.0,974.9,0.0,0.0,N,6.27
1729728,2017-07-07 03:06:01,18.068,63.601,Winter,12.8,83.0,974.1,0.0,0.0,N,5.268000000000001
1729835,2017-07-07 05:06:01,19.57,60.698,Winter,13.4,82.0,974.9,0.0,0.0,N,6.17
1729933,2017-07-07 07:06:01,18.569,66.583,Winter,13.8,87.0,976.1,0.0,0.0,N,4.768999999999998
1729996,2017-07-07 09:06:01,21.572,64.421,Winter,17.3,83.0,976.5,0.0,0.0,N,4.2719999999999985
1730121,2017-07-07 11:06:01,25.574,64.761,Winter,20.1,69.0,976.7,0.0,1.2,NE,5.474
1730216,2017-07-07 13:06:01,28.074,44.003,Winter,22.6,53.0,974.0,0.0,1.3,E,5.474
1730312,2017-07-07 15:06:01,28.573,34.851,Winter,23.4,46.0,973.2,0.0,1.7,ENE,5.173000000000002
1730405,2017-07-07 17:06:01,23.574,48.03,Winter,22.0,49.0,972.3,0.0,0.0,N,1.5740000000000016
1730490,2017-07-07 19:06:01,22.573,56.061,Winter,17.8,69.0,973.7,0.0,0.0,N,4.773
1730606,2017-07-07 21:06:01,20.572,60.768,Winter,15.8,71.0,974.0,0.0,0.0,N,4.7719999999999985
1730690,2017-07-07 23:06:01,18.569,61.837,Winter,13.6,82.0,974.3,0.0,0.0,N,4.968999999999999
1730785,2017-07-08 01:06:01,17.568,64.761,Winter,11.9,84.0,973.5,0.0,0.0,N,5.668000000000001
1730885,2017-07-08 03:06:01,17.067,65.918,Winter,11.7,83.0,972.8,0.0,0.0,N,5.367000000000001
1730979,2017-07-08 05:06:01,16.566,67.658,Winter,11.4,86.0,972.9,0.0,0.0,N,5.165999999999999
1731063,2017-07-08 07:06:01,16.065,68.222,Winter,10.1,90.0,974.4,0.0,0.0,N,5.965000000000002
1731169,2017-07-08 09:06:01,25.074,44.335,Winter,18.2,64.0,974.5,0.0,0.0,N,6.874000000000002
1731269,2017-07-08 11:06:01,30.072,37.017,Winter,22.4,57.0,973.7,0.0,0.0,N,7.672000000000001
1731371,2017-07-08 13:06:01,31.071,34.458,Winter,24.7,48.0,970.9,0.0,1.2,ENE,6.371000000000002
1731455,2017-07-08 15:06:01,30.572,32.381,Winter,25.3,43.0,969.8,0.0,1.5,NE,5.2719999999999985
1731573,2017-07-08 17:06:01,25.574,46.312,Winter,23.6,47.0,968.7,0.0,1.3,NNE,1.9740000000000002
1731655,2017-07-08 19:06:01,23.074,57.938,Winter,17.9,69.0,970.4,0.0,0.0,N,5.174000000000003
