,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725015,2017-07-03 01:13:01,18.13,36.329,Winter,9.3,84.0,969.1,0.0,0.0,N,8.829999999999998
1725111,2017-07-03 03:13:01,16.629,37.527,Winter,8.3,88.0,969.7,0.0,0.0,N,8.329
1725207,2017-07-03 05:13:01,15.628,37.443,Winter,7.6,89.0,968.7,0.0,0.0,N,8.028
1725310,2017-07-03 07:13:01,14.627,36.611,Winter,7.4,91.0,969.8,0.0,0.0,N,7.227
1725403,2017-07-03 09:13:01,16.128,48.505,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.2719999999999985
1725506,2017-07-03 11:13:01,25.133,40.938,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4329999999999998
1725606,2017-07-03 13:13:01,26.133,36.44,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.6329999999999991
1725701,2017-07-03 15:13:01,28.133,35.322,Winter,25.6,31.0,968.1,0.0,2.7,E,2.5329999999999977
1725801,2017-07-03 17:13:01,27.633,36.599,Winter,23.3,35.0,969.9,0.0,2.8,E,4.332999999999998
1725894,2017-07-03 19:13:01,26.133,34.442,Winter,20.3,45.0,971.2,0.0,1.5,E,5.832999999999998
1725995,2017-07-03 21:13:01,23.633,35.52,Winter,17.3,56.0,973.5,0.0,1.3,E,6.332999999999998
1726089,2017-07-03 23:13:01,21.632,35.989,Winter,16.9,63.0,974.0,0.0,1.4,E,4.732000000000003
1726192,2017-07-04 01:13:01,20.131,35.847,Winter,14.0,76.0,973.4,0.0,0.0,N,6.131
1726284,2017-07-04 03:13:01,18.63,37.701,Winter,12.6,82.0,973.2,0.0,0.0,N,6.029999999999999
1726385,2017-07-04 05:13:01,17.63,36.95,Winter,11.8,85.0,972.9,0.0,0.0,N,5.829999999999998
1726479,2017-07-04 07:13:01,16.629,36.863,Winter,12.4,86.0,974.3,0.0,0.0,N,4.229000000000001
1726577,2017-07-04 09:13:01,16.629,38.189,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5289999999999999
1726670,2017-07-04 11:13:01,21.632,57.56,Winter,20.2,59.0,975.0,0.0,2.7,E,1.4320000000000022
1726767,2017-07-04 13:13:01,22.632,51.516,Winter,22.7,48.0,973.0,0.0,2.8,E,-0.06799999999999784
1726865,2017-07-04 15:13:01,23.633,45.944,Winter,22.9,44.0,972.7,0.0,2.6,E,0.7330000000000005
1726965,2017-07-04 17:13:01,21.632,49.556,Winter,21.2,48.0,972.1,0.0,1.6,E,0.43200000000000216
1727060,2017-07-04 19:13:01,19.631,54.362,Winter,15.0,72.0,973.3,0.0,0.0,N,4.631
1727157,2017-07-04 21:13:01,19.131,56.161,Winter,12.9,77.0,973.9,0.0,0.0,N,6.231
1727251,2017-07-04 23:13:01,18.13,57.309,Winter,11.7,77.0,974.1,0.0,0.0,N,6.43
1727351,2017-07-05 01:13:01,17.129,57.854,Winter,11.0,83.0,974.4,0.0,0.0,N,6.129000000000001
1727444,2017-07-05 03:13:01,16.128,60.208,Winter,9.6,85.0,974.0,0.0,0.0,N,6.5280000000000005
1727540,2017-07-05 05:13:01,16.128,60.208,Winter,10.7,83.0,974.4,0.0,0.0,N,5.428000000000001
1727639,2017-07-05 07:13:01,15.628,64.334,Winter,10.7,86.0,974.6,0.0,0.0,N,4.928000000000001
1727734,2017-07-05 09:13:01,18.63,63.897,Winter,17.4,68.0,976.4,0.0,0.0,N,1.2300000000000004
1727831,2017-07-05 11:13:01,22.132,55.781,Winter,21.3,53.0,975.7,0.0,0.0,N,0.8320000000000007
1727929,2017-07-05 13:13:01,24.133,45.354,Winter,24.0,41.0,973.5,0.0,1.8,ENE,0.13299999999999912
1728028,2017-07-05 15:13:01,24.133,38.219,Winter,24.3,36.0,971.6,0.0,1.4,E,-0.1670000000000016
1728129,2017-07-05 17:13:01,22.132,43.884,Winter,22.7,40.0,972.0,0.0,1.3,E,-0.5679999999999978
1728224,2017-07-05 19:13:01,20.131,48.803,Winter,15.2,68.0,973.4,0.0,0.0,N,4.931000000000001
1728322,2017-07-05 21:13:01,18.63,50.569,Winter,12.6,76.0,973.8,0.0,0.0,N,6.029999999999999
1728418,2017-07-05 23:13:01,17.129,51.713,Winter,11.0,77.0,974.6,0.0,0.0,N,6.129000000000001
1728517,2017-07-06 01:13:01,16.629,54.775,Winter,10.0,80.0,974.3,0.0,0.0,N,6.629000000000001
1728615,2017-07-06 03:13:01,15.628,55.331,Winter,9.1,83.0,974.3,0.0,0.0,N,6.5280000000000005
1728711,2017-07-06 05:13:01,14.627,55.968,Winter,7.9,86.0,974.1,0.0,0.0,N,6.727
1728805,2017-07-06 07:13:01,14.126,58.263,Winter,7.6,87.0,975.6,0.0,0.0,N,6.526
1728905,2017-07-06 09:13:01,17.63,58.487,Winter,16.8,56.0,976.3,0.0,0.0,N,0.8299999999999983
1728995,2017-07-06 11:13:01,21.132,55.089,Winter,21.3,53.0,975.6,0.0,0.0,N,-0.16799999999999926
1729096,2017-07-06 13:13:01,23.132,49.061,Winter,23.7,43.0,973.8,0.0,1.3,E,-0.5679999999999978
1729196,2017-07-06 15:13:01,23.132,38.12,Winter,24.5,35.0,972.6,0.0,2.1,E,-1.3679999999999986
1729291,2017-07-06 17:13:01,21.632,45.122,Winter,22.4,42.0,972.4,0.0,1.6,E,-0.7679999999999971
1729387,2017-07-06 19:13:01,20.632,50.724,Winter,17.9,63.0,973.2,0.0,0.0,N,2.732000000000003
1729486,2017-07-06 21:13:01,20.131,55.012,Winter,18.0,64.0,973.8,0.0,0.0,N,2.1310000000000002
1729581,2017-07-06 23:13:01,19.631,57.41,Winter,15.5,76.0,974.9,0.0,0.0,N,4.131
1729681,2017-07-07 01:13:01,18.13,61.508,Winter,12.8,83.0,974.9,0.0,0.0,N,5.329999999999998
1729777,2017-07-07 03:13:01,18.63,59.751,Winter,12.8,83.0,974.1,0.0,0.0,N,5.829999999999998
1729876,2017-07-07 05:13:01,18.13,60.914,Winter,13.4,82.0,974.9,0.0,0.0,N,4.729999999999999
1729971,2017-07-07 07:13:01,18.13,67.355,Winter,13.8,87.0,976.1,0.0,0.0,N,4.329999999999998
1730067,2017-07-07 09:13:01,19.631,71.979,Winter,17.3,83.0,976.5,0.0,0.0,N,2.3309999999999995
1730168,2017-07-07 11:13:01,21.632,66.996,Winter,20.1,69.0,976.7,0.0,1.2,NE,1.532
1730260,2017-07-07 13:13:01,24.133,52.891,Winter,22.6,53.0,974.0,0.0,1.3,E,1.5329999999999977
1730353,2017-07-07 15:13:01,24.133,45.992,Winter,23.4,46.0,973.2,0.0,1.7,ENE,0.7330000000000005
1730455,2017-07-07 17:13:01,22.632,50.894,Winter,22.0,49.0,972.3,0.0,0.0,N,0.6320000000000014
1730550,2017-07-07 19:13:01,21.132,54.477,Winter,17.8,69.0,973.7,0.0,0.0,N,3.3320000000000007
1730644,2017-07-07 21:13:01,20.131,57.446,Winter,15.8,71.0,974.0,0.0,0.0,N,4.3309999999999995
1730745,2017-07-07 23:13:01,19.131,59.783,Winter,13.6,82.0,974.3,0.0,0.0,N,5.531000000000001
1730838,2017-07-08 01:13:01,18.13,58.518,Winter,11.9,84.0,973.5,0.0,0.0,N,6.229999999999999
1730934,2017-07-08 03:13:01,17.129,60.26,Winter,11.7,83.0,972.8,0.0,0.0,N,5.429000000000002
1731031,2017-07-08 05:13:01,16.629,62.02,Winter,11.4,86.0,972.9,0.0,0.0,N,5.229000000000001
1731133,2017-07-08 07:13:01,16.128,63.179,Winter,10.1,90.0,974.4,0.0,0.0,N,6.0280000000000005
1731227,2017-07-08 09:13:01,19.631,62.194,Winter,18.2,64.0,974.5,0.0,0.0,N,1.431000000000001
1731327,2017-07-08 11:13:01,22.632,59.445,Winter,22.4,57.0,973.7,0.0,0.0,N,0.23200000000000287
1731420,2017-07-08 13:13:01,24.633,52.938,Winter,24.7,48.0,970.9,0.0,1.2,ENE,-0.06700000000000017
1731516,2017-07-08 15:13:01,25.133,46.725,Winter,25.3,43.0,969.8,0.0,1.5,NE,-0.1670000000000016
1731613,2017-07-08 17:13:01,23.132,49.689,Winter,23.6,47.0,968.7,0.0,1.3,NNE,-0.46799999999999997
1731714,2017-07-08 19:13:01,21.132,58.124,Winter,17.9,69.0,970.4,0.0,0.0,N,3.232000000000003
1731806,2017-07-08 21:13:01,20.632,59.288,Winter,17.0,74.0,971.2,0.0,0.0,N,3.6320000000000014
1731904,2017-07-08 23:13:01,19.631,60.413,Winter,14.4,80.0,971.0,0.0,0.0,N,5.231
1731998,2017-07-09 01:13:01,18.13,61.508,Winter,12.3,87.0,970.6,0.0,0.0,N,5.829999999999998
1732098,2017-07-09 03:13:01,17.129,63.227,Winter,11.0,90.0,970.3,0.0,0.0,N,6.129000000000001
1732191,2017-07-09 05:13:01,16.629,63.791,Winter,10.2,89.0,969.7,0.0,0.0,N,6.429000000000002
1732290,2017-07-09 07:13:01,16.128,63.179,Winter,9.6,90.0,970.2,0.0,0.0,N,6.5280000000000005
1732385,2017-07-09 09:13:01,19.631,59.217,Winter,18.7,58.0,970.4,0.0,2.2,SW,0.9310000000000009
1732485,2017-07-09 11:13:01,23.633,47.215,Winter,25.1,41.0,969.3,0.0,1.5,SW,-1.4670000000000023
1732580,2017-07-09 13:13:01,26.133,35.11,Winter,27.9,30.0,966.9,0.0,2.2,S,-1.7669999999999995
1732674,2017-07-09 15:13:01,27.133,28.457,Winter,28.2,26.0,965.2,0.0,2.2,SSE,-1.0670000000000002
1732774,2017-07-09 17:13:01,25.133,32.996,Winter,25.7,31.0,964.3,0.0,0.0,N,-0.5670000000000002
1732874,2017-07-09 19:13:01,22.132,41.946,Winter,18.4,53.0,965.6,0.0,0.0,N,3.732000000000003
1732966,2017-07-09 21:13:01,20.632,45.673,Winter,15.1,66.0,966.8,0.0,0.0,N,5.532000000000002
1733065,2017-07-09 23:13:01,19.631,48.131,Winter,14.3,64.0,966.9,0.0,0.0,N,5.3309999999999995
1733163,2017-07-10 01:13:01,18.63,51.194,Winter,11.8,75.0,967.4,0.0,0.0,N,6.829999999999998
1733256,2017-07-10 03:13:01,17.63,53.606,Winter,10.9,80.0,967.0,0.0,0.0,N,6.729999999999999
1733359,2017-07-10 05:13:01,18.13,50.533,Winter,10.9,75.0,966.8,0.0,0.0,N,7.229999999999999
1733455,2017-07-10 07:13:01,18.13,50.533,Winter,11.2,75.0,967.2,0.0,0.0,N,6.93
1733552,2017-07-10 09:13:01,21.632,43.194,Winter,21.0,42.0,968.2,0.0,0.0,N,0.6320000000000014
1733644,2017-07-10 11:13:01,25.633,31.7,Winter,28.1,27.0,968.1,0.0,0.0,N,-2.4670000000000023
1733743,2017-07-10 13:13:01,27.633,25.757,Winter,30.3,21.0,965.6,0.0,2.0,SSE,-2.6670000000000016
1733845,2017-07-10 15:13:01,28.133,24.423,Winter,29.4,21.0,965.2,0.0,1.8,ESE,-1.2669999999999995
1733940,2017-07-10 17:13:01,26.133,26.977,Winter,25.7,31.0,965.5,0.0,0.0,N,0.43299999999999983
1734039,2017-07-10 19:13:01,22.632,33.415,Winter,17.4,53.0,966.5,0.0,0.0,N,5.232000000000003
1734139,2017-07-10 21:13:01,22.132,47.71,Winter,18.7,46.0,969.2,0.0,0.0,N,3.432000000000002
1734238,2017-07-10 23:13:01,21.632,65.262,Winter,18.9,74.0,970.4,0.0,3.4,E,2.732000000000003
1734335,2017-07-11 01:13:01,21.632,64.096,Winter,18.6,77.0,971.6,0.0,1.5,E,3.032
