,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724961,2017-07-03 01:06:01,17.645,38.181,Winter,9.3,84.0,969.1,0.0,0.0,N,8.344999999999999
1725070,2017-07-03 03:06:01,16.643,38.75,Winter,8.3,88.0,969.7,0.0,0.0,N,8.343
1725159,2017-07-03 05:06:01,15.64,37.355,Winter,7.6,89.0,968.7,0.0,0.0,N,8.040000000000001
1725274,2017-07-03 07:06:01,14.637,37.17,Winter,7.4,91.0,969.8,0.0,0.0,N,7.237
1725349,2017-07-03 09:06:01,18.146,45.326,Winter,17.4,53.0,970.0,0.0,0.0,N,0.7460000000000022
1725447,2017-07-03 11:06:01,25.654,40.234,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.9540000000000006
1725532,2017-07-03 13:06:01,25.654,36.978,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.15399999999999991
1725654,2017-07-03 15:06:01,27.154,37.789,Winter,25.6,31.0,968.1,0.0,2.7,E,1.5539999999999985
1725740,2017-07-03 17:06:01,27.154,35.823,Winter,23.3,35.0,969.9,0.0,2.8,E,3.853999999999999
1725830,2017-07-03 19:06:01,25.654,36.978,Winter,20.3,45.0,971.2,0.0,1.5,E,5.353999999999999
1725936,2017-07-03 21:06:01,23.154,36.726,Winter,17.3,56.0,973.5,0.0,1.3,E,5.853999999999999
1726025,2017-07-03 23:06:01,21.652,37.236,Winter,16.9,63.0,974.0,0.0,1.4,E,4.7520000000000024
1726133,2017-07-04 01:06:01,20.15,37.095,Winter,14.0,76.0,973.4,0.0,0.0,N,6.149999999999999
1726234,2017-07-04 03:06:01,18.648,36.958,Winter,12.6,82.0,973.2,0.0,0.0,N,6.048
1726320,2017-07-04 05:06:01,17.645,37.526,Winter,11.8,85.0,972.9,0.0,0.0,N,5.844999999999999
1726445,2017-07-04 07:06:01,16.643,37.44,Winter,12.4,86.0,974.3,0.0,0.0,N,4.243
1726504,2017-07-04 09:06:01,17.144,37.483,Winter,16.1,75.0,975.9,0.0,0.0,N,1.043999999999997
1726612,2017-07-04 11:06:01,22.153,44.391,Winter,20.2,59.0,975.0,0.0,2.7,E,1.9529999999999994
1726699,2017-07-04 13:06:01,24.654,40.779,Winter,22.7,48.0,973.0,0.0,2.8,E,1.9540000000000006
1726798,2017-07-04 15:06:01,25.154,40.829,Winter,22.9,44.0,972.7,0.0,2.6,E,2.2540000000000013
1726898,2017-07-04 17:06:01,25.654,40.88,Winter,21.2,48.0,972.1,0.0,1.6,E,4.454000000000001
1727013,2017-07-04 19:06:01,25.654,39.586,Winter,15.0,72.0,973.3,0.0,0.0,N,10.654
1727103,2017-07-04 21:06:01,23.154,40.632,Winter,12.9,77.0,973.9,0.0,0.0,N,10.254
1727181,2017-07-04 23:06:01,21.152,41.091,Winter,11.7,77.0,974.1,0.0,0.0,N,9.452000000000002
1727278,2017-07-05 01:06:01,19.649,41.603,Winter,11.0,83.0,974.4,0.0,0.0,N,8.649000000000001
1727401,2017-07-05 03:06:01,18.146,41.475,Winter,9.6,85.0,974.0,0.0,0.0,N,8.546000000000001
1727478,2017-07-05 05:06:01,16.643,42.0,Winter,10.7,83.0,974.4,0.0,0.0,N,5.943000000000001
1727595,2017-07-05 07:06:01,16.142,41.961,Winter,10.7,86.0,974.6,0.0,0.0,N,5.442
1727679,2017-07-05 09:06:01,16.643,40.705,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.7569999999999979
1727781,2017-07-05 11:06:01,28.653,37.951,Winter,21.3,53.0,975.7,0.0,0.0,N,7.352999999999998
1727860,2017-07-05 13:06:01,29.652,34.775,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.652000000000001
1727966,2017-07-05 15:06:01,30.651,34.887,Winter,24.3,36.0,971.6,0.0,1.4,E,6.350999999999999
1728053,2017-07-05 17:06:01,31.15,33.618,Winter,22.7,40.0,972.0,0.0,1.3,E,8.45
1728152,2017-07-05 19:06:01,28.653,34.004,Winter,15.2,68.0,973.4,0.0,0.0,N,13.453
1728282,2017-07-05 21:06:01,24.654,35.563,Winter,12.6,76.0,973.8,0.0,0.0,N,12.054
1728368,2017-07-05 23:06:01,21.652,36.58,Winter,11.0,77.0,974.6,0.0,0.0,N,10.652000000000001
1728448,2017-07-06 01:06:01,19.148,38.313,Winter,10.0,80.0,974.3,0.0,0.0,N,9.148
1728559,2017-07-06 03:06:01,16.643,39.403,Winter,9.1,83.0,974.3,0.0,0.0,N,7.543000000000001
1728674,2017-07-06 05:06:01,14.637,38.455,Winter,7.9,86.0,974.1,0.0,0.0,N,6.737
1728756,2017-07-06 07:06:01,13.132,39.508,Winter,7.6,87.0,975.6,0.0,0.0,N,5.532
1728856,2017-07-06 09:06:01,21.652,48.776,Winter,16.8,56.0,976.3,0.0,0.0,N,4.852
1728948,2017-07-06 11:06:01,27.154,44.246,Winter,21.3,53.0,975.6,0.0,0.0,N,5.853999999999999
1729032,2017-07-06 13:06:01,26.654,41.629,Winter,23.7,43.0,973.8,0.0,1.3,E,2.9540000000000006
1729152,2017-07-06 15:06:01,27.654,30.566,Winter,24.5,35.0,972.6,0.0,2.1,E,3.154
1729226,2017-07-06 17:06:01,26.654,35.77,Winter,22.4,42.0,972.4,0.0,1.6,E,4.254000000000001
1729353,2017-07-06 19:06:01,25.154,42.761,Winter,17.9,63.0,973.2,0.0,0.0,N,7.254000000000001
1729439,2017-07-06 21:06:01,24.654,45.265,Winter,18.0,64.0,973.8,0.0,0.0,N,6.654
1729518,2017-07-06 23:06:01,23.654,48.328,Winter,15.5,76.0,974.9,0.0,0.0,N,8.154
1729641,2017-07-07 01:06:01,22.653,49.49,Winter,12.8,83.0,974.9,0.0,0.0,N,9.852999999999998
1729715,2017-07-07 03:06:01,22.153,50.071,Winter,12.8,83.0,974.1,0.0,0.0,N,9.352999999999998
1729834,2017-07-07 05:06:01,21.652,52.514,Winter,13.4,82.0,974.9,0.0,0.0,N,8.252
1729937,2017-07-07 07:06:01,21.652,54.976,Winter,13.8,87.0,976.1,0.0,0.0,N,7.852
1730016,2017-07-07 09:06:01,21.652,63.403,Winter,17.3,83.0,976.5,0.0,0.0,N,4.352
1730093,2017-07-07 11:06:01,23.154,64.112,Winter,20.1,69.0,976.7,0.0,1.2,NE,3.0539999999999985
1730206,2017-07-07 13:06:01,25.654,53.496,Winter,22.6,53.0,974.0,0.0,1.3,E,3.0539999999999985
1730299,2017-07-07 15:06:01,27.654,41.735,Winter,23.4,46.0,973.2,0.0,1.7,ENE,4.254000000000001
1730412,2017-07-07 17:06:01,26.654,39.689,Winter,22.0,49.0,972.3,0.0,0.0,N,4.654
1730487,2017-07-07 19:06:01,25.154,49.1,Winter,17.8,69.0,973.7,0.0,0.0,N,7.353999999999999
1730576,2017-07-07 21:06:01,24.154,50.253,Winter,15.8,71.0,974.0,0.0,0.0,N,8.354
1730675,2017-07-07 23:06:01,23.154,52.025,Winter,13.6,82.0,974.3,0.0,0.0,N,9.554
1730782,2017-07-08 01:06:01,22.153,51.317,Winter,11.9,84.0,973.5,0.0,0.0,N,10.252999999999998
