,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724987,2017-07-03 01:08:01,17.092,37.449,Winter,9.3,84.0,969.1,0.0,0.0,N,7.791999999999998
1725084,2017-07-03 03:08:01,16.092,38.021,Winter,8.3,88.0,969.7,0.0,0.0,N,7.791999999999998
1725184,2017-07-03 05:08:01,15.091,37.939,Winter,7.6,89.0,968.7,0.0,0.0,N,7.491
1725284,2017-07-03 07:08:01,14.09,37.059,Winter,7.4,91.0,969.8,0.0,0.0,N,6.6899999999999995
1725378,2017-07-03 09:08:01,16.092,48.311,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.3079999999999998
1725477,2017-07-03 11:08:01,24.596,40.099,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.8960000000000008
1725573,2017-07-03 13:08:01,25.596,36.286,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.09600000000000009
1725676,2017-07-03 15:08:01,28.095,35.892,Winter,25.6,31.0,968.1,0.0,2.7,E,2.4949999999999974
1725774,2017-07-03 17:08:01,27.595,34.518,Winter,23.3,35.0,969.9,0.0,2.8,E,4.294999999999998
1725869,2017-07-03 19:08:01,25.596,34.968,Winter,20.3,45.0,971.2,0.0,1.5,E,5.295999999999999
1725964,2017-07-03 21:08:01,23.095,35.374,Winter,17.3,56.0,973.5,0.0,1.3,E,5.794999999999998
1726065,2017-07-03 23:08:01,21.095,35.839,Winter,16.9,63.0,974.0,0.0,1.4,E,4.195
1726161,2017-07-04 01:08:01,19.594,36.357,Winter,14.0,76.0,973.4,0.0,0.0,N,5.594000000000001
1726258,2017-07-04 03:08:01,18.093,36.879,Winter,12.6,82.0,973.2,0.0,0.0,N,5.493
1726356,2017-07-04 05:08:01,17.092,37.449,Winter,11.8,85.0,972.9,0.0,0.0,N,5.291999999999998
1726456,2017-07-04 07:08:01,16.092,36.705,Winter,12.4,86.0,974.3,0.0,0.0,N,3.6919999999999984
1726553,2017-07-04 09:08:01,16.592,38.063,Winter,16.1,75.0,975.9,0.0,0.0,N,0.49199999999999733
1726651,2017-07-04 11:08:01,22.095,43.718,Winter,20.2,59.0,975.0,0.0,2.7,E,1.8949999999999996
1726743,2017-07-04 13:08:01,24.096,40.049,Winter,22.7,48.0,973.0,0.0,2.8,E,1.3960000000000008
1726843,2017-07-04 15:08:01,25.096,38.85,Winter,22.9,44.0,972.7,0.0,2.6,E,2.1960000000000015
1726939,2017-07-04 17:08:01,26.096,38.302,Winter,21.2,48.0,972.1,0.0,1.6,E,4.896000000000001
1727032,2017-07-04 19:08:01,25.596,37.597,Winter,15.0,72.0,973.3,0.0,0.0,N,10.596
1727129,2017-07-04 21:08:01,23.095,39.302,Winter,12.9,77.0,973.9,0.0,0.0,N,10.194999999999999
1727226,2017-07-04 23:08:01,21.095,39.763,Winter,11.7,77.0,974.1,0.0,0.0,N,9.395
1727322,2017-07-05 01:08:01,19.094,40.881,Winter,11.0,83.0,974.4,0.0,0.0,N,8.094000000000001
1727423,2017-07-05 03:08:01,17.593,40.754,Winter,9.6,85.0,974.0,0.0,0.0,N,7.993
1727520,2017-07-05 05:08:01,16.092,41.928,Winter,10.7,83.0,974.4,0.0,0.0,N,5.3919999999999995
1727615,2017-07-05 07:08:01,15.591,41.242,Winter,10.7,86.0,974.6,0.0,0.0,N,4.891
1727709,2017-07-05 09:08:01,16.092,41.281,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.3079999999999998
1727810,2017-07-05 11:08:01,30.095,34.791,Winter,21.3,53.0,975.7,0.0,0.0,N,8.794999999999998
1727907,2017-07-05 13:08:01,29.595,34.072,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.594999999999999
1728001,2017-07-05 15:08:01,34.592,37.296,Winter,24.3,36.0,971.6,0.0,1.4,E,10.291999999999998
1728096,2017-07-05 17:08:01,33.592,35.192,Winter,22.7,40.0,972.0,0.0,1.3,E,10.892
1728196,2017-07-05 19:08:01,29.095,33.353,Winter,15.2,68.0,973.4,0.0,0.0,N,13.895
1728294,2017-07-05 21:08:01,25.096,32.928,Winter,12.6,76.0,973.8,0.0,0.0,N,12.496
1728393,2017-07-05 23:08:01,22.095,33.289,Winter,11.0,77.0,974.6,0.0,0.0,N,11.094999999999999
1728492,2017-07-06 01:08:01,19.094,32.999,Winter,10.0,80.0,974.3,0.0,0.0,N,9.094000000000001
1728590,2017-07-06 03:08:01,16.592,33.433,Winter,9.1,83.0,974.3,0.0,0.0,N,7.491999999999999
1728685,2017-07-06 05:08:01,14.59,32.584,Winter,7.9,86.0,974.1,0.0,0.0,N,6.6899999999999995
1728781,2017-07-06 07:08:01,13.088,33.015,Winter,7.6,87.0,975.6,0.0,0.0,N,5.4879999999999995
1728877,2017-07-06 09:08:01,17.092,45.85,Winter,16.8,56.0,976.3,0.0,0.0,N,0.29199999999999804
1728976,2017-07-06 11:08:01,21.095,54.875,Winter,21.3,53.0,975.6,0.0,0.0,N,-0.20500000000000185
1729072,2017-07-06 13:08:01,24.596,42.676,Winter,23.7,43.0,973.8,0.0,1.3,E,0.8960000000000008
1729168,2017-07-06 15:08:01,25.096,35.576,Winter,24.5,35.0,972.6,0.0,2.1,E,0.5960000000000001
1729267,2017-07-06 17:08:01,22.595,43.125,Winter,22.4,42.0,972.4,0.0,1.6,E,0.19500000000000028
1729360,2017-07-06 19:08:01,21.595,56.132,Winter,17.9,63.0,973.2,0.0,0.0,N,3.6950000000000003
1729455,2017-07-06 21:08:01,21.095,56.699,Winter,18.0,64.0,973.8,0.0,0.0,N,3.094999999999999
1729557,2017-07-06 23:08:01,19.594,57.192,Winter,15.5,76.0,974.9,0.0,0.0,N,4.094000000000001
1729655,2017-07-07 01:08:01,17.593,57.666,Winter,12.8,83.0,974.9,0.0,0.0,N,4.792999999999999
1729753,2017-07-07 03:08:01,17.092,58.842,Winter,12.8,83.0,974.1,0.0,0.0,N,4.291999999999998
1729850,2017-07-07 05:08:01,17.593,60.07,Winter,13.4,82.0,974.9,0.0,0.0,N,4.193
1729943,2017-07-07 07:08:01,18.093,63.656,Winter,13.8,87.0,976.1,0.0,0.0,N,4.292999999999999
1730041,2017-07-07 09:08:01,18.594,76.217,Winter,17.3,83.0,976.5,0.0,0.0,N,1.2940000000000005
1730140,2017-07-07 11:08:01,21.095,66.757,Winter,20.1,69.0,976.7,0.0,1.2,NE,0.9949999999999974
1730238,2017-07-07 13:08:01,22.095,56.779,Winter,22.6,53.0,974.0,0.0,1.3,E,-0.5050000000000026
1730330,2017-07-07 15:08:01,25.096,42.726,Winter,23.4,46.0,973.2,0.0,1.7,ENE,1.6960000000000015
1730430,2017-07-07 17:08:01,22.595,49.447,Winter,22.0,49.0,972.3,0.0,0.0,N,0.5949999999999989
1730525,2017-07-07 19:08:01,21.595,58.546,Winter,17.8,69.0,973.7,0.0,0.0,N,3.794999999999998
1730618,2017-07-07 21:08:01,20.094,57.832,Winter,15.8,71.0,974.0,0.0,0.0,N,4.2940000000000005
1730716,2017-07-07 23:08:01,17.593,57.666,Winter,13.6,82.0,974.3,0.0,0.0,N,3.9930000000000003
1730817,2017-07-08 01:08:01,17.092,60.64,Winter,11.9,84.0,973.5,0.0,0.0,N,5.191999999999998
1730909,2017-07-08 03:08:01,16.592,62.989,Winter,11.7,83.0,972.8,0.0,0.0,N,4.8919999999999995
1731009,2017-07-08 05:08:01,16.592,62.989,Winter,11.4,86.0,972.9,0.0,0.0,N,5.191999999999998
1731109,2017-07-08 07:08:01,15.591,67.044,Winter,10.1,90.0,974.4,0.0,0.0,N,5.491
1731203,2017-07-08 09:08:01,18.093,67.731,Winter,18.2,64.0,974.5,0.0,0.0,N,-0.10699999999999932
1731297,2017-07-08 11:08:01,21.595,60.34,Winter,22.4,57.0,973.7,0.0,0.0,N,-0.8049999999999997
1731393,2017-07-08 13:08:01,23.596,53.252,Winter,24.7,48.0,970.9,0.0,1.2,ENE,-1.1039999999999992
1731490,2017-07-08 15:08:01,25.096,46.544,Winter,25.3,43.0,969.8,0.0,1.5,NE,-0.20400000000000063
1731591,2017-07-08 17:08:01,23.095,52.592,Winter,23.6,47.0,968.7,0.0,1.3,NNE,-0.5050000000000026
1731682,2017-07-08 19:08:01,21.095,59.705,Winter,17.9,69.0,970.4,0.0,0.0,N,3.1950000000000003
1731779,2017-07-08 21:08:01,20.094,59.633,Winter,17.0,74.0,971.2,0.0,0.0,N,3.094000000000001
1731876,2017-07-08 23:08:01,18.594,61.915,Winter,14.4,80.0,971.0,0.0,0.0,N,4.194000000000001
1731975,2017-07-09 01:08:01,17.593,63.629,Winter,12.3,87.0,970.6,0.0,0.0,N,5.292999999999999
1732070,2017-07-09 03:08:01,17.092,65.362,Winter,11.0,90.0,970.3,0.0,0.0,N,6.091999999999999
1732164,2017-07-09 05:08:01,16.592,64.167,Winter,10.2,89.0,969.7,0.0,0.0,N,6.3919999999999995
1732264,2017-07-09 07:08:01,16.592,66.503,Winter,9.6,90.0,970.2,0.0,0.0,N,6.991999999999999
1732361,2017-07-09 09:08:01,18.093,65.412,Winter,18.7,58.0,970.4,0.0,2.2,SW,-0.6069999999999993
1732458,2017-07-09 11:08:01,22.095,51.887,Winter,25.1,41.0,969.3,0.0,1.5,SW,-3.0050000000000026
1732558,2017-07-09 13:08:01,25.096,38.199,Winter,27.9,30.0,966.9,0.0,2.2,S,-2.8039999999999985
1732652,2017-07-09 15:08:01,26.596,35.073,Winter,28.2,26.0,965.2,0.0,2.2,SSE,-1.6039999999999992
1732746,2017-07-09 17:08:01,25.096,33.592,Winter,25.7,31.0,964.3,0.0,0.0,N,-0.6039999999999992
1732847,2017-07-09 19:08:01,21.595,47.478,Winter,18.4,53.0,965.6,0.0,0.0,N,3.1950000000000003
1732946,2017-07-09 21:08:01,19.594,46.046,Winter,15.1,66.0,966.8,0.0,0.0,N,4.4940000000000015
1733040,2017-07-09 23:08:01,19.094,49.156,Winter,14.3,64.0,966.9,0.0,0.0,N,4.7940000000000005
1733137,2017-07-10 01:08:01,18.093,50.954,Winter,11.8,75.0,967.4,0.0,0.0,N,6.292999999999999
1733233,2017-07-10 03:08:01,17.593,52.16,Winter,10.9,80.0,967.0,0.0,0.0,N,6.693
1733329,2017-07-10 05:08:01,16.592,53.946,Winter,10.9,75.0,966.8,0.0,0.0,N,5.691999999999998
1733431,2017-07-10 07:08:01,16.592,55.173,Winter,11.2,75.0,967.2,0.0,0.0,N,5.3919999999999995
1733526,2017-07-10 09:08:01,20.094,44.817,Winter,21.0,42.0,968.2,0.0,0.0,N,-0.9059999999999988
1733623,2017-07-10 11:08:01,25.596,29.633,Winter,28.1,27.0,968.1,0.0,0.0,N,-2.5040000000000013
1733722,2017-07-10 13:08:01,28.095,24.462,Winter,30.3,21.0,965.6,0.0,2.0,SSE,-2.205000000000002
1733815,2017-07-10 15:08:01,27.595,28.496,Winter,29.4,21.0,965.2,0.0,1.8,ESE,-1.8049999999999997
1733917,2017-07-10 17:08:01,25.096,34.916,Winter,25.7,31.0,965.5,0.0,0.0,N,-0.6039999999999992
1734012,2017-07-10 19:08:01,22.095,39.206,Winter,17.4,53.0,966.5,0.0,0.0,N,4.695
1734112,2017-07-10 21:08:01,20.094,37.715,Winter,18.7,46.0,969.2,0.0,0.0,N,1.394000000000002
1734207,2017-07-10 23:08:01,21.595,56.738,Winter,18.9,74.0,970.4,0.0,3.4,E,2.6950000000000003
1734306,2017-07-11 01:08:01,21.095,57.906,Winter,18.6,77.0,971.6,0.0,1.5,E,2.4949999999999974
1734403,2017-07-11 03:08:01,20.595,62.046,Winter,17.6,80.0,970.7,0.0,1.2,E,2.9949999999999974
1734500,2017-07-11 05:08:01,18.594,63.096,Winter,15.0,89.0,970.4,0.0,0.0,N,3.594000000000001
1734602,2017-07-11 07:08:01,19.094,63.714,Winter,14.2,91.0,971.7,0.0,0.0,N,4.894000000000002
1734698,2017-07-11 09:08:01,20.595,67.301,Winter,17.7,79.0,972.9,0.0,0.0,N,2.8949999999999996
1734798,2017-07-11 11:08:01,21.595,63.297,Winter,20.5,65.0,972.8,0.0,0.0,N,1.0949999999999989
1734896,2017-07-11 13:08:01,24.096,50.829,Winter,23.5,51.0,971.2,0.0,1.2,N,0.5960000000000001
1734992,2017-07-11 15:08:01,26.596,41.595,Winter,24.7,45.0,969.4,0.0,0.0,N,1.8960000000000008
1735090,2017-07-11 17:08:01,24.096,48.334,Winter,23.7,48.0,969.1,0.0,0.0,N,0.3960000000000008
1735185,2017-07-11 19:08:01,21.595,54.915,Winter,17.7,68.0,969.7,0.0,0.0,N,3.8949999999999996
1735283,2017-07-11 21:08:01,20.094,55.408,Winter,16.4,71.0,971.1,0.0,0.0,N,3.6940000000000026
1735381,2017-07-11 23:08:01,18.093,57.696,Winter,13.8,81.0,971.5,0.0,0.0,N,4.292999999999999
1735472,2017-07-12 01:08:01,18.093,60.1,Winter,12.8,86.0,970.6,0.0,0.0,N,5.292999999999999
1735572,2017-07-12 03:08:01,17.593,62.449,Winter,12.6,86.0,970.0,0.0,0.0,N,4.993
1735670,2017-07-12 05:08:01,17.593,61.263,Winter,11.3,90.0,971.4,0.0,0.0,N,6.292999999999999
1735765,2017-07-12 07:08:01,16.592,64.167,Winter,12.6,88.0,973.4,0.0,0.0,N,3.991999999999999
1735860,2017-07-12 09:08:01,18.594,71.185,Winter,17.1,78.0,974.9,0.0,1.1,SSE,1.4939999999999998
1735954,2017-07-12 11:08:01,21.595,66.214,Winter,20.4,67.0,974.4,0.0,1.3,SE,1.1950000000000003
1736052,2017-07-12 13:08:01,23.596,55.695,Winter,24.0,52.0,972.3,0.0,1.1,ESE,-0.4039999999999999
1736148,2017-07-12 15:08:01,26.096,46.013,Winter,25.1,46.0,971.6,0.0,1.2,NNE,0.9959999999999987
1736246,2017-07-12 17:08:01,24.096,48.334,Winter,22.6,54.0,970.6,0.0,0.0,N,1.4959999999999987
1736339,2017-07-12 19:08:01,21.095,55.485,Winter,16.6,74.0,970.6,0.0,0.0,N,4.494999999999997
1736436,2017-07-12 21:08:01,19.594,55.98,Winter,14.3,80.0,971.7,0.0,0.0,N,5.2940000000000005
1736529,2017-07-12 23:08:01,17.593,57.06,Winter,12.6,80.0,971.2,0.0,0.0,N,4.993
1736630,2017-07-13 01:08:01,17.593,61.263,Winter,11.5,85.0,970.5,0.0,0.0,N,6.093
1736723,2017-07-13 03:08:01,16.592,63.579,Winter,11.2,89.0,970.0,0.0,0.0,N,5.3919999999999995
1736820,2017-07-13 05:08:01,16.592,63.579,Winter,10.4,90.0,968.8,0.0,0.0,N,6.191999999999998
