,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724999,2017-07-03 01:10:01,17.642,37.014,Winter,9.3,84.0,969.1,0.0,0.0,N,8.341999999999999
1725096,2017-07-03 03:10:01,16.639,36.267,Winter,8.3,88.0,969.7,0.0,0.0,N,8.338999999999999
1725198,2017-07-03 05:10:01,16.138,36.223,Winter,7.6,89.0,968.7,0.0,0.0,N,8.538000000000002
1725297,2017-07-03 07:10:01,15.135,36.8,Winter,7.4,91.0,969.8,0.0,0.0,N,7.734999999999999
1725391,2017-07-03 09:10:01,16.138,47.255,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.261999999999997
1725492,2017-07-03 11:10:01,25.65,38.43,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.9499999999999993
1725589,2017-07-03 13:10:01,24.65,38.981,Winter,25.5,33.0,968.7,0.0,1.5,ENE,-0.8500000000000014
1725687,2017-07-03 15:10:01,26.15,38.482,Winter,25.6,31.0,968.1,0.0,2.7,E,0.5499999999999972
1725786,2017-07-03 17:10:01,26.65,37.88,Winter,23.3,35.0,969.9,0.0,2.8,E,3.349999999999998
1725884,2017-07-03 19:10:01,25.15,37.069,Winter,20.3,45.0,971.2,0.0,1.5,E,4.849999999999998
1725977,2017-07-03 21:10:01,23.15,36.211,Winter,17.3,56.0,973.5,0.0,1.3,E,5.849999999999998
1726073,2017-07-03 23:10:01,21.148,36.016,Winter,16.9,63.0,974.0,0.0,1.4,E,4.248000000000001
1726173,2017-07-04 01:10:01,20.146,35.922,Winter,14.0,76.0,973.4,0.0,0.0,N,6.146000000000001
1726272,2017-07-04 03:10:01,18.143,37.058,Winter,12.6,82.0,973.2,0.0,0.0,N,5.543000000000001
1726369,2017-07-04 05:10:01,17.642,37.014,Winter,11.8,85.0,972.9,0.0,0.0,N,5.841999999999999
1726463,2017-07-04 07:10:01,16.639,36.927,Winter,12.4,86.0,974.3,0.0,0.0,N,4.238999999999999
1726565,2017-07-04 09:10:01,17.141,36.97,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0409999999999968
1726657,2017-07-04 11:10:01,21.648,44.507,Winter,20.2,59.0,975.0,0.0,2.7,E,1.4480000000000004
1726755,2017-07-04 13:10:01,23.65,41.479,Winter,22.7,48.0,973.0,0.0,2.8,E,0.9499999999999993
1726853,2017-07-04 15:10:01,25.65,39.083,Winter,22.9,44.0,972.7,0.0,2.6,E,2.75
1726952,2017-07-04 17:10:01,26.15,38.482,Winter,21.2,48.0,972.1,0.0,1.6,E,4.949999999999999
1727046,2017-07-04 19:10:01,26.15,37.828,Winter,15.0,72.0,973.3,0.0,0.0,N,11.149999999999999
1727143,2017-07-04 21:10:01,23.15,40.135,Winter,12.9,77.0,973.9,0.0,0.0,N,10.249999999999998
1727242,2017-07-04 23:10:01,21.148,39.946,Winter,11.7,77.0,974.1,0.0,0.0,N,9.448
1727339,2017-07-05 01:10:01,19.145,40.417,Winter,11.0,83.0,974.4,0.0,0.0,N,8.145
1727435,2017-07-05 03:10:01,17.642,40.29,Winter,9.6,85.0,974.0,0.0,0.0,N,8.042
1727526,2017-07-05 05:10:01,16.138,40.819,Winter,10.7,83.0,974.4,0.0,0.0,N,5.438000000000002
1727623,2017-07-05 07:10:01,15.637,42.08,Winter,10.7,86.0,974.6,0.0,0.0,N,4.937000000000001
1727721,2017-07-05 09:10:01,16.138,41.469,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.261999999999997
1727820,2017-07-05 11:10:01,29.149,37.494,Winter,21.3,53.0,975.7,0.0,0.0,N,7.849
1727916,2017-07-05 13:10:01,29.648,34.248,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.648
1728017,2017-07-05 15:10:01,31.147,33.751,Winter,24.3,36.0,971.6,0.0,1.4,E,6.846999999999998
1728108,2017-07-05 17:10:01,31.147,33.084,Winter,22.7,40.0,972.0,0.0,1.3,E,8.447
1728206,2017-07-05 19:10:01,28.15,33.42,Winter,15.2,68.0,973.4,0.0,0.0,N,12.95
1728307,2017-07-05 21:10:01,24.15,35.651,Winter,12.6,76.0,973.8,0.0,0.0,N,11.549999999999999
1728401,2017-07-05 23:10:01,21.148,36.675,Winter,11.0,77.0,974.6,0.0,0.0,N,10.148
1728501,2017-07-06 01:10:01,18.644,38.416,Winter,10.0,80.0,974.3,0.0,0.0,N,8.643999999999998
1728599,2017-07-06 03:10:01,16.138,39.513,Winter,9.1,83.0,974.3,0.0,0.0,N,7.038000000000002
1728695,2017-07-06 05:10:01,14.132,38.528,Winter,7.9,86.0,974.1,0.0,0.0,N,6.231999999999999
1728792,2017-07-06 07:10:01,12.628,40.223,Winter,7.6,87.0,975.6,0.0,0.0,N,5.0280000000000005
1728887,2017-07-06 09:10:01,17.141,52.358,Winter,16.8,56.0,976.3,0.0,0.0,N,0.3409999999999975
1728986,2017-07-06 11:10:01,25.15,56.086,Winter,21.3,53.0,975.6,0.0,0.0,N,3.849999999999998
1729085,2017-07-06 13:10:01,29.648,31.581,Winter,23.7,43.0,973.8,0.0,1.3,E,5.948
1729180,2017-07-06 15:10:01,26.65,34.588,Winter,24.5,35.0,972.6,0.0,2.1,E,2.1499999999999986
