,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725009,2017-07-03 01:12:01,18.077,36.012,Winter,9.3,84.0,969.1,0.0,0.0,N,8.777000000000001
1725108,2017-07-03 03:12:01,16.575,36.543,Winter,8.3,88.0,969.7,0.0,0.0,N,8.274999999999999
1725206,2017-07-03 05:12:01,15.574,36.458,Winter,7.6,89.0,968.7,0.0,0.0,N,7.974
1725304,2017-07-03 07:12:01,14.572,36.291,Winter,7.4,91.0,969.8,0.0,0.0,N,7.171999999999999
1725400,2017-07-03 09:12:01,16.074,48.205,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.325999999999997
1725499,2017-07-03 11:12:01,26.08,37.445,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.379999999999999
1725596,2017-07-03 13:12:01,26.08,36.786,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.5799999999999983
1725696,2017-07-03 15:12:01,28.08,35.677,Winter,25.6,31.0,968.1,0.0,2.7,E,2.479999999999997
1725792,2017-07-03 17:12:01,27.58,35.623,Winter,23.3,35.0,969.9,0.0,2.8,E,4.279999999999998
1725892,2017-07-03 19:12:01,25.58,34.749,Winter,20.3,45.0,971.2,0.0,1.5,E,5.279999999999998
1725987,2017-07-03 21:12:01,23.08,35.821,Winter,17.3,56.0,973.5,0.0,1.3,E,5.779999999999998
1726085,2017-07-03 23:12:01,21.079,37.608,Winter,16.9,63.0,974.0,0.0,1.4,E,4.179000000000002
1726184,2017-07-04 01:12:01,19.578,36.149,Winter,14.0,76.0,973.4,0.0,0.0,N,5.577999999999999
1726279,2017-07-04 03:12:01,18.077,37.995,Winter,12.6,82.0,973.2,0.0,0.0,N,5.477000000000002
1726376,2017-07-04 05:12:01,17.076,37.909,Winter,11.8,85.0,972.9,0.0,0.0,N,5.276
1726475,2017-07-04 07:12:01,16.575,37.206,Winter,12.4,86.0,974.3,0.0,0.0,N,4.174999999999999
1726571,2017-07-04 09:12:01,17.076,37.248,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9759999999999991
1726667,2017-07-04 11:12:01,30.079,41.801,Winter,20.2,59.0,975.0,0.0,2.7,E,9.879000000000001
1726766,2017-07-04 13:12:01,23.58,47.541,Winter,22.7,48.0,973.0,0.0,2.8,E,0.879999999999999
1726862,2017-07-04 15:12:01,24.08,45.037,Winter,22.9,44.0,972.7,0.0,2.6,E,1.1799999999999997
1726959,2017-07-04 17:12:01,23.08,45.582,Winter,21.2,48.0,972.1,0.0,1.6,E,1.879999999999999
1727055,2017-07-04 19:12:01,22.079,54.306,Winter,15.0,72.0,973.3,0.0,0.0,N,7.079000000000001
1727150,2017-07-04 21:12:01,22.079,53.686,Winter,12.9,77.0,973.9,0.0,0.0,N,9.179
1727247,2017-07-04 23:12:01,21.079,52.358,Winter,11.7,77.0,974.1,0.0,0.0,N,9.379000000000001
1727344,2017-07-05 01:12:01,20.078,52.279,Winter,11.0,83.0,974.4,0.0,0.0,N,9.078
1727442,2017-07-05 03:12:01,19.578,53.488,Winter,9.6,85.0,974.0,0.0,0.0,N,9.978
1727536,2017-07-05 05:12:01,19.077,54.073,Winter,10.7,83.0,974.4,0.0,0.0,N,8.377000000000002
1727635,2017-07-05 07:12:01,18.577,58.961,Winter,10.7,86.0,974.6,0.0,0.0,N,7.8770000000000024
1727730,2017-07-05 09:12:01,26.08,41.367,Winter,17.4,68.0,976.4,0.0,0.0,N,8.68
1727827,2017-07-05 11:12:01,27.58,38.916,Winter,21.3,53.0,975.7,0.0,0.0,N,6.279999999999998
1727926,2017-07-05 13:12:01,27.08,38.863,Winter,24.0,41.0,973.5,0.0,1.8,ENE,3.0799999999999983
1728022,2017-07-05 15:12:01,27.08,36.891,Winter,24.3,36.0,971.6,0.0,1.4,E,2.7799999999999976
1728120,2017-07-05 17:12:01,25.58,38.707,Winter,22.7,40.0,972.0,0.0,1.3,E,2.879999999999999
1728217,2017-07-05 19:12:01,24.08,42.462,Winter,15.2,68.0,973.4,0.0,0.0,N,8.879999999999999
1728314,2017-07-05 21:12:01,22.58,46.175,Winter,12.6,76.0,973.8,0.0,0.0,N,9.979999999999999
1728413,2017-07-05 23:12:01,21.579,46.085,Winter,11.0,77.0,974.6,0.0,0.0,N,10.579
1728509,2017-07-06 01:12:01,20.579,47.91,Winter,10.0,80.0,974.3,0.0,0.0,N,10.579
1728606,2017-07-06 03:12:01,19.578,48.463,Winter,9.1,83.0,974.3,0.0,0.0,N,10.478
1728703,2017-07-06 05:12:01,18.577,49.019,Winter,7.9,86.0,974.1,0.0,0.0,N,10.677000000000001
1728800,2017-07-06 07:12:01,18.077,50.246,Winter,7.6,87.0,975.6,0.0,0.0,N,10.477000000000002
1728898,2017-07-06 09:12:01,26.08,34.801,Winter,16.8,56.0,976.3,0.0,0.0,N,9.279999999999998
1728992,2017-07-06 11:12:01,27.58,36.945,Winter,21.3,53.0,975.6,0.0,0.0,N,6.279999999999998
1729090,2017-07-06 13:12:01,26.58,39.465,Winter,23.7,43.0,973.8,0.0,1.3,E,2.879999999999999
1729190,2017-07-06 15:12:01,26.08,34.136,Winter,24.5,35.0,972.6,0.0,2.1,E,1.5799999999999983
1729287,2017-07-06 17:12:01,25.08,38.655,Winter,22.4,42.0,972.4,0.0,1.6,E,2.6799999999999997
1729382,2017-07-06 19:12:01,24.08,43.752,Winter,17.9,63.0,973.2,0.0,0.0,N,6.18
1729479,2017-07-06 21:12:01,23.58,46.268,Winter,18.0,64.0,973.8,0.0,0.0,N,5.579999999999998
1729575,2017-07-06 23:12:01,22.58,49.348,Winter,15.5,76.0,974.9,0.0,0.0,N,7.079999999999998
