,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725012,2017-07-03 01:13:01,18.066,37.081,Winter,9.3,84.0,969.1,0.0,0.0,N,8.765999999999998
1725116,2017-07-03 03:13:01,16.564,36.95,Winter,8.3,88.0,969.7,0.0,0.0,N,8.264
1725210,2017-07-03 05:13:01,15.564,36.866,Winter,7.6,89.0,968.7,0.0,0.0,N,7.964
1725306,2017-07-03 07:13:01,14.563,36.04,Winter,7.4,91.0,969.8,0.0,0.0,N,7.163
1725410,2017-07-03 09:13:01,16.064,48.494,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.3359999999999985
1725507,2017-07-03 11:13:01,24.568,41.581,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.8680000000000021
1725599,2017-07-03 13:13:01,25.568,37.144,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.06800000000000139
1725698,2017-07-03 15:13:01,27.568,36.701,Winter,25.6,31.0,968.1,0.0,2.7,E,1.968
1725795,2017-07-03 17:13:01,27.568,35.388,Winter,23.3,35.0,969.9,0.0,2.8,E,4.268000000000001
1725893,2017-07-03 19:13:01,26.068,35.887,Winter,20.3,45.0,971.2,0.0,1.5,E,5.768000000000001
1725993,2017-07-03 21:13:01,23.568,36.288,Winter,17.3,56.0,973.5,0.0,1.3,E,6.268000000000001
1726087,2017-07-03 23:13:01,21.568,36.748,Winter,16.9,63.0,974.0,0.0,1.4,E,4.668000000000003
1726188,2017-07-04 01:13:01,20.067,36.607,Winter,14.0,76.0,973.4,0.0,0.0,N,6.067
1726282,2017-07-04 03:13:01,18.066,36.425,Winter,12.6,82.0,973.2,0.0,0.0,N,5.465999999999999
1726381,2017-07-04 05:13:01,17.065,37.649,Winter,11.8,85.0,972.9,0.0,0.0,N,5.265000000000001
1726482,2017-07-04 07:13:01,16.564,37.606,Winter,12.4,86.0,974.3,0.0,0.0,N,4.164
1726576,2017-07-04 09:13:01,16.564,37.606,Winter,16.1,75.0,975.9,0.0,0.0,N,0.46399999999999864
1726675,2017-07-04 11:13:01,30.068,43.449,Winter,20.2,59.0,975.0,0.0,2.7,E,9.868000000000002
1726770,2017-07-04 13:13:01,25.068,44.827,Winter,22.7,48.0,973.0,0.0,2.8,E,2.368000000000002
1726868,2017-07-04 15:13:01,27.568,37.355,Winter,22.9,44.0,972.7,0.0,2.6,E,4.668000000000003
1726966,2017-07-04 17:13:01,25.068,44.19,Winter,21.2,48.0,972.1,0.0,1.6,E,3.868000000000002
1727063,2017-07-04 19:13:01,23.568,45.949,Winter,15.0,72.0,973.3,0.0,0.0,N,8.568000000000001
1727154,2017-07-04 21:13:01,22.068,53.303,Winter,12.9,77.0,973.9,0.0,0.0,N,9.168000000000001
1727254,2017-07-04 23:13:01,20.067,54.371,Winter,11.7,77.0,974.1,0.0,0.0,N,8.367
1727347,2017-07-05 01:13:01,19.066,57.349,Winter,11.0,83.0,974.4,0.0,0.0,N,8.065999999999999
1727447,2017-07-05 03:13:01,17.565,59.67,Winter,9.6,85.0,974.0,0.0,0.0,N,7.965000000000002
1727542,2017-07-05 05:13:01,17.065,59.641,Winter,10.7,83.0,974.4,0.0,0.0,N,6.365000000000002
1727641,2017-07-05 07:13:01,16.064,64.951,Winter,10.7,86.0,974.6,0.0,0.0,N,5.364000000000001
1727739,2017-07-05 09:13:01,20.067,59.83,Winter,17.4,68.0,976.4,0.0,0.0,N,2.6670000000000016
1727834,2017-07-05 11:13:01,25.068,46.094,Winter,21.3,53.0,975.7,0.0,0.0,N,3.7680000000000007
1727927,2017-07-05 13:13:01,27.568,38.007,Winter,24.0,41.0,973.5,0.0,1.8,ENE,3.5680000000000014
1728026,2017-07-05 15:13:01,29.568,31.631,Winter,24.3,36.0,971.6,0.0,1.4,E,5.268000000000001
1728125,2017-07-05 17:13:01,27.568,36.701,Winter,22.7,40.0,972.0,0.0,1.3,E,4.868000000000002
1728221,2017-07-05 19:13:01,25.068,38.397,Winter,15.2,68.0,973.4,0.0,0.0,N,9.868000000000002
