,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724973,2017-07-03 01:06:01,17.578,36.498,Winter,9.3,84.0,969.1,0.0,0.0,N,8.277999999999999
1725069,2017-07-03 03:06:01,16.077,37.677,Winter,8.3,88.0,969.7,0.0,0.0,N,7.777000000000001
1725155,2017-07-03 05:06:01,15.076,37.594,Winter,7.6,89.0,968.7,0.0,0.0,N,7.476000000000001
1725244,2017-07-03 07:06:01,14.075,37.361,Winter,7.4,91.0,969.8,0.0,0.0,N,6.674999999999999
1725346,2017-07-03 09:06:01,16.577,46.71,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.8229999999999968
1725451,2017-07-03 11:06:01,25.582,37.912,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.8820000000000014
1725536,2017-07-03 13:06:01,33.079,24.062,Winter,25.5,33.0,968.7,0.0,1.5,ENE,7.579000000000001
1725628,2017-07-03 15:06:01,30.081,25.1,Winter,25.6,31.0,968.1,0.0,2.7,E,4.480999999999998
1725746,2017-07-03 17:06:01,24.582,32.564,Winter,23.3,35.0,969.9,0.0,2.8,E,1.282
1725849,2017-07-03 19:06:01,23.582,39.653,Winter,20.3,45.0,971.2,0.0,1.5,E,3.282
1725938,2017-07-03 21:06:01,23.082,46.614,Winter,17.3,56.0,973.5,0.0,1.3,E,5.782
1726017,2017-07-03 23:06:01,21.581,51.466,Winter,16.9,63.0,974.0,0.0,1.4,E,4.681000000000001
1726138,2017-07-04 01:06:01,19.58,54.378,Winter,14.0,76.0,973.4,0.0,0.0,N,5.579999999999998
1726243,2017-07-04 03:06:01,19.08,56.169,Winter,12.6,82.0,973.2,0.0,0.0,N,6.479999999999999
1726349,2017-07-04 05:06:01,18.579,59.15,Winter,11.8,85.0,972.9,0.0,0.0,N,6.779
1726409,2017-07-04 07:06:01,19.08,67.417,Winter,12.4,86.0,974.3,0.0,0.0,N,6.679999999999998
1726511,2017-07-04 09:06:01,20.581,57.486,Winter,16.1,75.0,975.9,0.0,0.0,N,4.480999999999998
1726637,2017-07-04 11:06:01,24.082,48.587,Winter,20.2,59.0,975.0,0.0,2.7,E,3.8820000000000014
1726730,2017-07-04 13:06:01,26.082,41.192,Winter,22.7,48.0,973.0,0.0,2.8,E,3.3820000000000014
1726805,2017-07-04 15:06:01,28.082,32.932,Winter,22.9,44.0,972.7,0.0,2.6,E,5.182000000000002
1726921,2017-07-04 17:06:01,23.082,43.451,Winter,21.2,48.0,972.1,0.0,1.6,E,1.8820000000000014
1727020,2017-07-04 19:06:01,22.081,53.353,Winter,15.0,72.0,973.3,0.0,0.0,N,7.0809999999999995
1727092,2017-07-04 21:06:01,21.581,52.697,Winter,12.9,77.0,973.9,0.0,0.0,N,8.681
1727189,2017-07-04 23:06:01,20.581,54.454,Winter,11.7,77.0,974.1,0.0,0.0,N,8.881
1727284,2017-07-05 01:06:01,18.579,59.15,Winter,11.0,83.0,974.4,0.0,0.0,N,7.579000000000001
1727409,2017-07-05 03:06:01,18.079,61.505,Winter,9.6,85.0,974.0,0.0,0.0,N,8.479000000000001
1727504,2017-07-05 05:06:01,18.079,60.911,Winter,10.7,83.0,974.4,0.0,0.0,N,7.379000000000001
1727578,2017-07-05 07:06:01,17.078,64.987,Winter,10.7,86.0,974.6,0.0,0.0,N,6.378
1727689,2017-07-05 09:06:01,23.582,48.54,Winter,17.4,68.0,976.4,0.0,0.0,N,6.182000000000002
1727767,2017-07-05 11:06:01,31.08,31.27,Winter,21.3,53.0,975.7,0.0,0.0,N,9.779999999999998
1727888,2017-07-05 13:06:01,32.579,26.052,Winter,24.0,41.0,973.5,0.0,1.8,ENE,8.579
1727972,2017-07-05 15:06:01,32.079,23.953,Winter,24.3,36.0,971.6,0.0,1.4,E,7.779
1728067,2017-07-05 17:06:01,25.082,36.558,Winter,22.7,40.0,972.0,0.0,1.3,E,2.3820000000000014
1728175,2017-07-05 19:06:01,23.582,46.031,Winter,15.2,68.0,973.4,0.0,0.0,N,8.382000000000001
1728261,2017-07-05 21:06:01,22.081,48.404,Winter,12.6,76.0,973.8,0.0,0.0,N,9.481
1728369,2017-07-05 23:06:01,20.581,51.384,Winter,11.0,77.0,974.6,0.0,0.0,N,9.581
1728464,2017-07-06 01:06:01,18.579,51.849,Winter,10.0,80.0,974.3,0.0,0.0,N,8.579
1728549,2017-07-06 03:06:01,17.578,52.396,Winter,9.1,83.0,974.3,0.0,0.0,N,8.478
1728637,2017-07-06 05:06:01,16.577,56.009,Winter,7.9,86.0,974.1,0.0,0.0,N,8.677000000000001
1728767,2017-07-06 07:06:01,16.077,55.371,Winter,7.6,87.0,975.6,0.0,0.0,N,8.477000000000002
1728848,2017-07-06 09:06:01,23.082,40.249,Winter,16.8,56.0,976.3,0.0,0.0,N,6.282
1728929,2017-07-06 11:06:01,30.081,32.488,Winter,21.3,53.0,975.6,0.0,0.0,N,8.780999999999999
1729053,2017-07-06 13:06:01,33.578,26.163,Winter,23.7,43.0,973.8,0.0,1.3,E,9.878000000000004
1729141,2017-07-06 15:06:01,31.58,23.899,Winter,24.5,35.0,972.6,0.0,2.1,E,7.079999999999998
1729238,2017-07-06 17:06:01,24.582,38.459,Winter,22.4,42.0,972.4,0.0,1.6,E,2.182000000000002
1729351,2017-07-06 19:06:01,24.082,43.547,Winter,17.9,63.0,973.2,0.0,0.0,N,6.182000000000002
1729448,2017-07-06 21:06:01,24.082,47.962,Winter,18.0,64.0,973.8,0.0,0.0,N,6.082000000000001
1729525,2017-07-06 23:06:01,22.081,52.125,Winter,15.5,76.0,974.9,0.0,0.0,N,6.5809999999999995
1729628,2017-07-07 01:06:01,20.08,56.24,Winter,12.8,83.0,974.9,0.0,0.0,N,7.279999999999998
1729733,2017-07-07 03:06:01,20.581,58.688,Winter,12.8,83.0,974.1,0.0,0.0,N,7.780999999999999
1729823,2017-07-07 05:06:01,19.58,63.369,Winter,13.4,82.0,974.9,0.0,0.0,N,6.179999999999998
1729908,2017-07-07 07:06:01,20.08,66.899,Winter,13.8,87.0,976.1,0.0,0.0,N,6.279999999999998
1730033,2017-07-07 09:06:01,22.582,58.245,Winter,17.3,83.0,976.5,0.0,0.0,N,5.282
1730117,2017-07-07 11:06:01,25.082,53.013,Winter,20.1,69.0,976.7,0.0,1.2,NE,4.981999999999999
