,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724980,2017-07-03 01:06:01,16.629,38.647,Winter,9.3,84.0,969.1,0.0,0.0,N,7.329000000000001
1725078,2017-07-03 03:06:01,15.627,38.565,Winter,8.3,88.0,969.7,0.0,0.0,N,7.327
1725140,2017-07-03 05:06:01,14.626,37.711,Winter,7.6,89.0,968.7,0.0,0.0,N,7.026
1725273,2017-07-03 07:06:01,13.624,37.56,Winter,7.4,91.0,969.8,0.0,0.0,N,6.224
1725371,2017-07-03 09:06:01,16.128,47.558,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.2719999999999985
1725435,2017-07-03 11:06:01,25.135,38.14,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4350000000000023
1725567,2017-07-03 13:06:01,26.635,34.391,Winter,25.5,33.0,968.7,0.0,1.5,ENE,1.1350000000000016
1725660,2017-07-03 15:06:01,29.134,32.028,Winter,25.6,31.0,968.1,0.0,2.7,E,3.533999999999999
1725727,2017-07-03 17:06:01,28.134,33.895,Winter,23.3,35.0,969.9,0.0,2.8,E,4.834
1725825,2017-07-03 19:06:01,25.135,35.542,Winter,20.3,45.0,971.2,0.0,1.5,E,4.835000000000001
1725958,2017-07-03 21:06:01,22.634,37.244,Winter,17.3,56.0,973.5,0.0,1.3,E,5.334
1726034,2017-07-03 23:06:01,20.633,37.053,Winter,16.9,63.0,974.0,0.0,1.4,E,3.7330000000000005
1726116,2017-07-04 01:06:01,19.132,38.214,Winter,14.0,76.0,973.4,0.0,0.0,N,5.1320000000000014
1726252,2017-07-04 03:06:01,17.63,38.731,Winter,12.6,82.0,973.2,0.0,0.0,N,5.029999999999999
1726335,2017-07-04 05:06:01,16.629,37.997,Winter,11.8,85.0,972.9,0.0,0.0,N,4.829000000000001
1726421,2017-07-04 07:06:01,16.128,37.956,Winter,12.4,86.0,974.3,0.0,0.0,N,3.7279999999999998
1726526,2017-07-04 09:06:01,16.629,37.347,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5289999999999999
1726634,2017-07-04 11:06:01,21.634,42.936,Winter,20.2,59.0,975.0,0.0,2.7,E,1.434000000000001
1726720,2017-07-04 13:06:01,24.135,40.617,Winter,22.7,48.0,973.0,0.0,2.8,E,1.4350000000000023
1726812,2017-07-04 15:06:01,25.635,38.192,Winter,22.9,44.0,972.7,0.0,2.6,E,2.735000000000003
1726905,2017-07-04 17:06:01,26.635,37.0,Winter,21.2,48.0,972.1,0.0,1.6,E,5.435000000000002
1727000,2017-07-04 19:06:01,25.635,38.192,Winter,15.0,72.0,973.3,0.0,0.0,N,10.635000000000002
1727118,2017-07-04 21:06:01,22.634,40.472,Winter,12.9,77.0,973.9,0.0,0.0,N,9.734
1727214,2017-07-04 23:06:01,20.633,40.286,Winter,11.7,77.0,974.1,0.0,0.0,N,8.933
1727305,2017-07-05 01:06:01,18.631,41.395,Winter,11.0,83.0,974.4,0.0,0.0,N,7.631
1727386,2017-07-05 03:06:01,17.129,42.554,Winter,9.6,85.0,974.0,0.0,0.0,N,7.529000000000002
1727491,2017-07-05 05:06:01,15.627,43.079,Winter,10.7,83.0,974.4,0.0,0.0,N,4.927000000000001
1727605,2017-07-05 07:06:01,15.126,42.401,Winter,10.7,86.0,974.6,0.0,0.0,N,4.426
1727683,2017-07-05 09:06:01,16.128,41.834,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.2719999999999985
1727789,2017-07-05 11:06:01,29.633,36.022,Winter,21.3,53.0,975.7,0.0,0.0,N,8.332999999999998
1727882,2017-07-05 13:06:01,29.134,35.314,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.134
1727960,2017-07-05 15:06:01,31.132,32.249,Winter,24.3,36.0,971.6,0.0,1.4,E,6.832000000000001
1728073,2017-07-05 17:06:01,30.633,34.17,Winter,22.7,40.0,972.0,0.0,1.3,E,7.933
1728155,2017-07-05 19:06:01,27.634,34.497,Winter,15.2,68.0,973.4,0.0,0.0,N,12.434000000000001
1728254,2017-07-05 21:06:01,23.635,36.693,Winter,12.6,76.0,973.8,0.0,0.0,N,11.035000000000002
1728362,2017-07-05 23:06:01,20.633,37.053,Winter,11.0,77.0,974.6,0.0,0.0,N,9.633
1728453,2017-07-06 01:06:01,18.131,38.774,Winter,10.0,80.0,974.3,0.0,0.0,N,8.131
1728562,2017-07-06 03:06:01,15.627,39.861,Winter,9.1,83.0,974.3,0.0,0.0,N,6.527000000000001
1728638,2017-07-06 05:06:01,13.624,39.467,Winter,7.9,86.0,974.1,0.0,0.0,N,5.724
1728744,2017-07-06 07:06:01,12.121,40.508,Winter,7.6,87.0,975.6,0.0,0.0,N,4.521000000000001
1728830,2017-07-06 09:06:01,18.131,49.58,Winter,16.8,56.0,976.3,0.0,0.0,N,1.3309999999999995
1728954,2017-07-06 11:06:01,25.135,40.717,Winter,21.3,53.0,975.6,0.0,0.0,N,3.835000000000001
1729054,2017-07-06 13:06:01,27.135,35.098,Winter,23.7,43.0,973.8,0.0,1.3,E,3.4350000000000023
1729123,2017-07-06 15:06:01,29.633,28.761,Winter,24.5,35.0,972.6,0.0,2.1,E,5.132999999999999
