,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725034,2017-07-03 01:16:01,17.568,37.288,Winter,9.3,84.0,969.1,0.0,0.0,N,8.268
1725131,2017-07-03 03:16:01,16.566,37.201,Winter,8.3,88.0,969.7,0.0,0.0,N,8.265999999999998
1725229,2017-07-03 05:16:01,15.564,37.786,Winter,7.6,89.0,968.7,0.0,0.0,N,7.964
1725329,2017-07-03 07:16:01,14.562,36.943,Winter,7.4,91.0,969.8,0.0,0.0,N,7.161999999999999
1725423,2017-07-03 09:16:01,18.068,43.27,Winter,17.4,53.0,970.0,0.0,0.0,N,0.6680000000000028
1725525,2017-07-03 11:16:01,27.574,33.566,Winter,23.7,37.0,969.7,0.0,1.1,WSW,3.8740000000000023
1725619,2017-07-03 13:16:01,24.574,35.944,Winter,25.5,33.0,968.7,0.0,1.5,ENE,-0.9259999999999984
1725717,2017-07-03 15:16:01,25.074,33.303,Winter,25.6,31.0,968.1,0.0,2.7,E,-0.5259999999999998
1725819,2017-07-03 17:16:01,23.574,35.843,Winter,23.3,35.0,969.9,0.0,2.8,E,0.2740000000000009
1725918,2017-07-03 19:16:01,22.573,43.66,Winter,20.3,45.0,971.2,0.0,1.5,E,2.2729999999999997
1726015,2017-07-03 21:16:01,21.072,48.029,Winter,17.3,56.0,973.5,0.0,1.3,E,3.7719999999999985
1726107,2017-07-03 23:16:01,20.572,51.153,Winter,16.9,63.0,974.0,0.0,1.4,E,3.6720000000000006
1726208,2017-07-04 01:16:01,19.57,54.818,Winter,14.0,76.0,973.4,0.0,0.0,N,5.57
1726307,2017-07-04 03:16:01,19.57,57.279,Winter,12.6,82.0,973.2,0.0,0.0,N,6.970000000000001
1726403,2017-07-04 05:16:01,19.07,60.282,Winter,11.8,85.0,972.9,0.0,0.0,N,7.27
1726501,2017-07-04 07:16:01,19.57,60.315,Winter,12.4,86.0,974.3,0.0,0.0,N,7.17
1726594,2017-07-04 09:16:01,20.071,62.148,Winter,16.1,75.0,975.9,0.0,0.0,N,3.971
1726694,2017-07-04 11:16:01,22.073,55.014,Winter,20.2,59.0,975.0,0.0,2.7,E,1.873000000000001
1726792,2017-07-04 13:16:01,23.074,49.475,Winter,22.7,48.0,973.0,0.0,2.8,E,0.37400000000000233
1726884,2017-07-04 15:16:01,23.574,45.693,Winter,22.9,44.0,972.7,0.0,2.6,E,0.674000000000003
1726983,2017-07-04 17:16:01,22.073,47.478,Winter,21.2,48.0,972.1,0.0,1.6,E,0.8730000000000011
1727076,2017-07-04 19:16:01,21.572,54.354,Winter,15.0,72.0,973.3,0.0,0.0,N,6.571999999999999
1727177,2017-07-04 21:16:01,21.072,52.447,Winter,12.9,77.0,973.9,0.0,0.0,N,8.171999999999999
1727271,2017-07-04 23:16:01,20.071,53.615,Winter,11.7,77.0,974.1,0.0,0.0,N,8.371000000000002
1727369,2017-07-05 01:16:01,19.07,56.017,Winter,11.0,83.0,974.4,0.0,0.0,N,8.07
1727466,2017-07-05 03:16:01,18.068,56.565,Winter,9.6,85.0,974.0,0.0,0.0,N,8.468000000000002
1727563,2017-07-05 05:16:01,18.068,55.332,Winter,10.7,83.0,974.4,0.0,0.0,N,7.368000000000002
1727656,2017-07-05 07:16:01,17.568,58.978,Winter,10.7,86.0,974.6,0.0,0.0,N,6.868000000000002
1727757,2017-07-05 09:16:01,20.572,60.384,Winter,17.4,68.0,976.4,0.0,0.0,N,3.1720000000000006
1727855,2017-07-05 11:16:01,23.074,50.737,Winter,21.3,53.0,975.7,0.0,0.0,N,1.774000000000001
1727949,2017-07-05 13:16:01,24.574,41.899,Winter,24.0,41.0,973.5,0.0,1.8,ENE,0.5740000000000016
