,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724962,2017-07-03 01:06:01,18.113,36.965,Winter,9.3,84.0,969.1,0.0,0.0,N,8.812999999999999
1725061,2017-07-03 03:06:01,17.111,36.213,Winter,8.3,88.0,969.7,0.0,0.0,N,8.811
1725165,2017-07-03 05:06:01,16.11,36.126,Winter,7.6,89.0,968.7,0.0,0.0,N,8.51
1725238,2017-07-03 07:06:01,15.108,36.707,Winter,7.4,91.0,969.8,0.0,0.0,N,7.708
1725351,2017-07-03 09:06:01,16.11,47.841,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.2899999999999991
1725470,2017-07-03 11:06:01,25.117,40.255,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4170000000000016
1725538,2017-07-03 13:06:01,34.111,32.618,Winter,25.5,33.0,968.7,0.0,1.5,ENE,8.610999999999997
1725641,2017-07-03 15:06:01,44.586,21.999,Winter,25.6,31.0,968.1,0.0,2.7,E,18.985999999999997
1725731,2017-07-03 17:06:01,33.612,29.841,Winter,23.3,35.0,969.9,0.0,2.8,E,10.312000000000001
1725834,2017-07-03 19:06:01,25.617,32.354,Winter,20.3,45.0,971.2,0.0,1.5,E,5.317
1725921,2017-07-03 21:06:01,21.616,33.962,Winter,17.3,56.0,973.5,0.0,1.3,E,4.315999999999999
1726048,2017-07-03 23:06:01,19.614,34.439,Winter,16.9,63.0,974.0,0.0,1.4,E,2.714000000000002
1726151,2017-07-04 01:06:01,18.113,34.3,Winter,14.0,76.0,973.4,0.0,0.0,N,4.1129999999999995
1726229,2017-07-04 03:06:01,16.11,36.126,Winter,12.6,82.0,973.2,0.0,0.0,N,3.51
1726346,2017-07-04 05:06:01,15.609,35.415,Winter,11.8,85.0,972.9,0.0,0.0,N,3.8089999999999993
1726430,2017-07-04 07:06:01,15.108,36.041,Winter,12.4,86.0,974.3,0.0,0.0,N,2.708
1726543,2017-07-04 09:06:01,17.111,36.878,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0109999999999992
1726611,2017-07-04 11:06:01,30.115,43.388,Winter,20.2,59.0,975.0,0.0,2.7,E,9.915
1726715,2017-07-04 13:06:01,29.116,39.371,Winter,22.7,48.0,973.0,0.0,2.8,E,6.416
1726797,2017-07-04 15:06:01,32.613,39.116,Winter,22.9,44.0,972.7,0.0,2.6,E,9.713000000000001
1726906,2017-07-04 17:06:01,29.616,37.452,Winter,21.2,48.0,972.1,0.0,1.6,E,8.416
1727022,2017-07-04 19:06:01,24.117,36.87,Winter,15.0,72.0,973.3,0.0,0.0,N,9.117
1727098,2017-07-04 21:06:01,20.615,37.193,Winter,12.9,77.0,973.9,0.0,0.0,N,7.714999999999998
1727183,2017-07-04 23:06:01,18.613,37.672,Winter,11.7,77.0,974.1,0.0,0.0,N,6.913
1727302,2017-07-05 01:06:01,16.61,37.498,Winter,11.0,83.0,974.4,0.0,0.0,N,5.609999999999999
1727391,2017-07-05 03:06:01,15.108,36.707,Winter,9.6,85.0,974.0,0.0,0.0,N,5.508000000000001
1727494,2017-07-05 05:06:01,14.607,37.231,Winter,10.7,83.0,974.4,0.0,0.0,N,3.907
1727601,2017-07-05 07:06:01,14.106,37.804,Winter,10.7,86.0,974.6,0.0,0.0,N,3.4060000000000006
1727681,2017-07-05 09:06:01,19.614,40.388,Winter,17.4,68.0,976.4,0.0,0.0,N,2.214000000000002
1727780,2017-07-05 11:06:01,30.115,32.163,Winter,21.3,53.0,975.7,0.0,0.0,N,8.814999999999998
1727884,2017-07-05 13:06:01,26.117,38.393,Winter,24.0,41.0,973.5,0.0,1.8,ENE,2.117000000000001
1727987,2017-07-05 15:06:01,25.617,33.696,Winter,24.3,36.0,971.6,0.0,1.4,E,1.3170000000000002
1728072,2017-07-05 17:06:01,24.617,37.581,Winter,22.7,40.0,972.0,0.0,1.3,E,1.9170000000000016
1728174,2017-07-05 19:06:01,21.616,43.807,Winter,15.2,68.0,973.4,0.0,0.0,N,6.416
1728284,2017-07-05 21:06:01,20.615,45.642,Winter,12.6,76.0,973.8,0.0,0.0,N,8.014999999999999
1728355,2017-07-05 23:06:01,19.114,48.693,Winter,11.0,77.0,974.6,0.0,0.0,N,8.114
1728451,2017-07-06 01:06:01,17.612,51.095,Winter,10.0,80.0,974.3,0.0,0.0,N,7.611999999999998
1728547,2017-07-06 03:06:01,16.61,54.136,Winter,9.1,83.0,974.3,0.0,0.0,N,7.51
1728636,2017-07-06 05:06:01,15.609,56.537,Winter,7.9,86.0,974.1,0.0,0.0,N,7.709
1728765,2017-07-06 07:06:01,15.609,56.537,Winter,7.6,87.0,975.6,0.0,0.0,N,8.009
1728849,2017-07-06 09:06:01,19.614,48.733,Winter,16.8,56.0,976.3,0.0,0.0,N,2.814
1728926,2017-07-06 11:06:01,25.117,44.139,Winter,21.3,53.0,975.6,0.0,0.0,N,3.817
1729059,2017-07-06 13:06:01,26.117,39.705,Winter,23.7,43.0,973.8,0.0,1.3,E,2.4170000000000016
1729124,2017-07-06 15:06:01,25.617,31.004,Winter,24.5,35.0,972.6,0.0,2.1,E,1.1170000000000009
1729252,2017-07-06 17:06:01,24.117,38.846,Winter,22.4,42.0,972.4,0.0,1.6,E,1.7170000000000023
1729328,2017-07-06 19:06:01,22.116,45.135,Winter,17.9,63.0,973.2,0.0,0.0,N,4.216000000000001
1729418,2017-07-06 21:06:01,21.616,47.636,Winter,18.0,64.0,973.8,0.0,0.0,N,3.6159999999999997
1729511,2017-07-06 23:06:01,20.615,49.443,Winter,15.5,76.0,974.9,0.0,0.0,N,5.114999999999998
1729615,2017-07-07 01:06:01,19.114,54.302,Winter,12.8,83.0,974.9,0.0,0.0,N,6.314
1729714,2017-07-07 03:06:01,19.114,57.358,Winter,12.8,83.0,974.1,0.0,0.0,N,6.314
