,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725037,2017-07-03 01:16:01,17.641,38.375,Winter,9.3,84.0,969.1,0.0,0.0,N,8.340999999999998
1725135,2017-07-03 03:16:01,16.138,38.91,Winter,8.3,88.0,969.7,0.0,0.0,N,7.838000000000001
1725230,2017-07-03 05:16:01,15.135,38.829,Winter,7.6,89.0,968.7,0.0,0.0,N,7.535
1725326,2017-07-03 07:16:01,14.132,38.583,Winter,7.4,91.0,969.8,0.0,0.0,N,6.731999999999999
1725425,2017-07-03 09:16:01,18.644,42.393,Winter,17.4,53.0,970.0,0.0,0.0,N,1.2439999999999998
1725526,2017-07-03 11:16:01,24.15,39.634,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.4499999999999993
1725623,2017-07-03 13:16:01,25.65,35.818,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.14999999999999858
1725722,2017-07-03 15:16:01,26.15,33.862,Winter,25.6,31.0,968.1,0.0,2.7,E,0.5499999999999972
1725820,2017-07-03 17:16:01,24.65,35.716,Winter,23.3,35.0,969.9,0.0,2.8,E,1.3499999999999979
1725913,2017-07-03 19:16:01,23.15,42.146,Winter,20.3,45.0,971.2,0.0,1.5,E,2.849999999999998
1726013,2017-07-03 21:16:01,22.149,45.276,Winter,17.3,56.0,973.5,0.0,1.3,E,4.849
1726110,2017-07-03 23:16:01,21.148,48.367,Winter,16.9,63.0,974.0,0.0,1.4,E,4.248000000000001
1726209,2017-07-04 01:16:01,20.647,51.461,Winter,14.0,76.0,973.4,0.0,0.0,N,6.6469999999999985
1726302,2017-07-04 03:16:01,20.146,53.898,Winter,12.6,82.0,973.2,0.0,0.0,N,7.546000000000001
1726401,2017-07-04 05:16:01,19.645,57.523,Winter,11.8,85.0,972.9,0.0,0.0,N,7.844999999999999
1726499,2017-07-04 07:16:01,20.146,56.953,Winter,12.4,86.0,974.3,0.0,0.0,N,7.746
1726595,2017-07-04 09:16:01,20.146,59.962,Winter,16.1,75.0,975.9,0.0,0.0,N,4.045999999999999
1726693,2017-07-04 11:16:01,22.149,55.285,Winter,20.2,59.0,975.0,0.0,2.7,E,1.9490000000000016
