,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725027,2017-07-03 01:15:01,17.146,38.976,Winter,9.3,84.0,969.1,0.0,0.0,N,7.846
1725125,2017-07-03 03:15:01,15.643,39.531,Winter,8.3,88.0,969.7,0.0,0.0,N,7.343
1725221,2017-07-03 05:15:01,14.641,37.995,Winter,7.6,89.0,968.7,0.0,0.0,N,7.041
1725323,2017-07-03 07:15:01,13.638,39.173,Winter,7.4,91.0,969.8,0.0,0.0,N,6.2379999999999995
1725418,2017-07-03 09:15:01,18.649,40.454,Winter,17.4,53.0,970.0,0.0,0.0,N,1.2490000000000023
1725518,2017-07-03 11:15:01,25.154,39.717,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4540000000000006
1725616,2017-07-03 13:15:01,38.633,31.624,Winter,25.5,33.0,968.7,0.0,1.5,ENE,13.133000000000003
1725714,2017-07-03 15:15:01,42.12,23.403,Winter,25.6,31.0,968.1,0.0,2.7,E,16.519999999999996
1725811,2017-07-03 17:15:01,32.149,30.862,Winter,23.3,35.0,969.9,0.0,2.8,E,8.849
1725908,2017-07-03 19:15:01,25.154,32.89,Winter,20.3,45.0,971.2,0.0,1.5,E,4.853999999999999
1726009,2017-07-03 21:15:01,21.653,34.608,Winter,17.3,56.0,973.5,0.0,1.3,E,4.352999999999998
1726104,2017-07-03 23:15:01,19.651,33.726,Winter,16.9,63.0,974.0,0.0,1.4,E,2.7510000000000012
1726203,2017-07-04 01:15:01,17.647,34.921,Winter,14.0,76.0,973.4,0.0,0.0,N,3.6469999999999985
1726300,2017-07-04 03:15:01,16.144,35.476,Winter,12.6,82.0,973.2,0.0,0.0,N,3.5439999999999987
1726394,2017-07-04 05:15:01,15.643,35.433,Winter,11.8,85.0,972.9,0.0,0.0,N,3.843
1726494,2017-07-04 07:15:01,15.142,35.39,Winter,12.4,86.0,974.3,0.0,0.0,N,2.741999999999999
1726590,2017-07-04 09:15:01,17.146,36.935,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0459999999999994
1726684,2017-07-04 11:15:01,36.639,31.383,Winter,20.2,59.0,975.0,0.0,2.7,E,16.439000000000004
1726782,2017-07-04 13:15:01,31.15,38.34,Winter,22.7,48.0,973.0,0.0,2.8,E,8.45
1726880,2017-07-04 15:15:01,33.646,35.208,Winter,22.9,44.0,972.7,0.0,2.6,E,10.746000000000002
1726976,2017-07-04 17:15:01,29.152,36.753,Winter,21.2,48.0,972.1,0.0,1.6,E,7.952000000000002
1727074,2017-07-04 19:15:01,23.654,37.539,Winter,15.0,72.0,973.3,0.0,0.0,N,8.654
1727167,2017-07-04 21:15:01,20.151,37.204,Winter,12.9,77.0,973.9,0.0,0.0,N,7.2509999999999994
1727268,2017-07-04 23:15:01,18.148,37.704,Winter,11.7,77.0,974.1,0.0,0.0,N,6.448
1727365,2017-07-05 01:15:01,16.645,38.256,Winter,11.0,83.0,974.4,0.0,0.0,N,5.645
