,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724944,2017-07-03 01:06:01,18.064,37.342,Winter,9.3,84.0,969.1,0.0,0.0,N,8.764
1725059,2017-07-03 03:06:01,17.063,36.594,Winter,8.3,88.0,969.7,0.0,0.0,N,8.762999999999998
1725166,2017-07-03 05:06:01,16.061,37.169,Winter,7.6,89.0,968.7,0.0,0.0,N,8.461
1725235,2017-07-03 07:06:01,15.06,36.423,Winter,7.4,91.0,969.8,0.0,0.0,N,7.66
1725347,2017-07-03 09:06:01,15.56,51.288,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.839999999999998
1725445,2017-07-03 11:06:01,25.068,39.965,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.368000000000002
1725531,2017-07-03 13:06:01,25.568,36.742,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.06800000000000139
1725655,2017-07-03 15:06:01,27.568,38.267,Winter,25.6,31.0,968.1,0.0,2.7,E,1.968
1725763,2017-07-03 17:06:01,27.068,36.899,Winter,23.3,35.0,969.9,0.0,2.8,E,3.7680000000000007
1725851,2017-07-03 19:06:01,26.068,36.135,Winter,20.3,45.0,971.2,0.0,1.5,E,5.768000000000001
1725931,2017-07-03 21:06:01,23.568,35.218,Winter,17.3,56.0,973.5,0.0,1.3,E,6.268000000000001
1726028,2017-07-03 23:06:01,21.567,36.345,Winter,16.9,63.0,974.0,0.0,1.4,E,4.667000000000002
1726129,2017-07-04 01:06:01,20.066,36.203,Winter,14.0,76.0,973.4,0.0,0.0,N,6.065999999999999
1726235,2017-07-04 03:06:01,18.565,36.065,Winter,12.6,82.0,973.2,0.0,0.0,N,5.965000000000002
1726344,2017-07-04 05:06:01,17.563,36.638,Winter,11.8,85.0,972.9,0.0,0.0,N,5.762999999999998
1726433,2017-07-04 07:06:01,17.063,37.255,Winter,12.4,86.0,974.3,0.0,0.0,N,4.6629999999999985
1726515,2017-07-04 09:06:01,17.063,37.914,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9629999999999974
1726600,2017-07-04 11:06:01,22.068,44.835,Winter,20.2,59.0,975.0,0.0,2.7,E,1.868000000000002
1726707,2017-07-04 13:06:01,24.068,41.811,Winter,22.7,48.0,973.0,0.0,2.8,E,1.368000000000002
1726826,2017-07-04 15:06:01,25.568,39.365,Winter,22.9,44.0,972.7,0.0,2.6,E,2.668000000000003
1726923,2017-07-04 17:06:01,26.568,38.815,Winter,21.2,48.0,972.1,0.0,1.6,E,5.368000000000002
1727010,2017-07-04 19:06:01,25.568,39.365,Winter,15.0,72.0,973.3,0.0,0.0,N,10.568000000000001
1727104,2017-07-04 21:06:01,23.568,39.816,Winter,12.9,77.0,973.9,0.0,0.0,N,10.668000000000001
1727216,2017-07-04 23:06:01,21.567,40.926,Winter,11.7,77.0,974.1,0.0,0.0,N,9.867
1727316,2017-07-05 01:06:01,19.566,41.396,Winter,11.0,83.0,974.4,0.0,0.0,N,8.565999999999999
1727403,2017-07-05 03:06:01,18.064,40.618,Winter,9.6,85.0,974.0,0.0,0.0,N,8.464
