,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725010,2017-07-03 01:12:01,18.026,37.907,Winter,9.3,84.0,969.1,0.0,0.0,N,8.725999999999999
1725109,2017-07-03 03:12:01,16.524,37.778,Winter,8.3,88.0,969.7,0.0,0.0,N,8.224
1725204,2017-07-03 05:12:01,15.522,37.695,Winter,7.6,89.0,968.7,0.0,0.0,N,7.922000000000001
1725302,2017-07-03 07:12:01,14.52,37.496,Winter,7.4,91.0,969.8,0.0,0.0,N,7.119999999999999
1725402,2017-07-03 09:12:01,17.025,47.499,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.375
1725498,2017-07-03 11:12:01,25.031,39.87,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.3309999999999995
1725597,2017-07-03 13:12:01,26.031,36.706,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.5309999999999988
1725695,2017-07-03 15:12:01,27.531,37.52,Winter,25.6,31.0,968.1,0.0,2.7,E,1.9309999999999974
1725793,2017-07-03 17:12:01,27.531,36.206,Winter,23.3,35.0,969.9,0.0,2.8,E,4.230999999999998
1725891,2017-07-03 19:12:01,26.031,35.388,Winter,20.3,45.0,971.2,0.0,1.5,E,5.730999999999998
1725989,2017-07-03 21:12:01,23.531,35.793,Winter,17.3,56.0,973.5,0.0,1.3,E,6.230999999999998
1726086,2017-07-03 23:12:01,21.53,36.914,Winter,16.9,63.0,974.0,0.0,1.4,E,4.630000000000003
1726183,2017-07-04 01:12:01,20.029,36.773,Winter,14.0,76.0,973.4,0.0,0.0,N,6.029
1726281,2017-07-04 03:12:01,18.527,36.636,Winter,12.6,82.0,973.2,0.0,0.0,N,5.927000000000001
1726378,2017-07-04 05:12:01,17.525,37.206,Winter,11.8,85.0,972.9,0.0,0.0,N,5.724999999999998
1726473,2017-07-04 07:12:01,16.524,37.12,Winter,12.4,86.0,974.3,0.0,0.0,N,4.1240000000000006
1726570,2017-07-04 09:12:01,17.025,38.477,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9249999999999972
1726669,2017-07-04 11:12:01,30.529,41.11,Winter,20.2,59.0,975.0,0.0,2.7,E,10.329
1726765,2017-07-04 13:12:01,26.031,42.557,Winter,22.7,48.0,973.0,0.0,2.8,E,3.3309999999999995
1726861,2017-07-04 15:12:01,29.03,34.385,Winter,22.9,44.0,972.7,0.0,2.6,E,6.130000000000003
1726957,2017-07-04 17:12:01,24.531,43.048,Winter,21.2,48.0,972.1,0.0,1.6,E,3.3309999999999995
1727054,2017-07-04 19:12:01,23.031,47.991,Winter,15.0,72.0,973.3,0.0,0.0,N,8.030999999999999
1727152,2017-07-04 21:12:01,22.531,48.574,Winter,12.9,77.0,973.9,0.0,0.0,N,9.630999999999998
1727249,2017-07-04 23:12:01,21.53,49.114,Winter,11.7,77.0,974.1,0.0,0.0,N,9.830000000000002
1727345,2017-07-05 01:12:01,20.529,50.283,Winter,11.0,83.0,974.4,0.0,0.0,N,9.529
1727440,2017-07-05 03:12:01,19.528,50.203,Winter,9.6,85.0,974.0,0.0,0.0,N,9.927999999999999
1727537,2017-07-05 05:12:01,19.027,51.413,Winter,10.7,83.0,974.4,0.0,0.0,N,8.327000000000002
1727633,2017-07-05 07:12:01,18.527,53.237,Winter,10.7,86.0,974.6,0.0,0.0,N,7.827000000000002
1727732,2017-07-05 09:12:01,22.03,47.9,Winter,17.4,68.0,976.4,0.0,0.0,N,4.630000000000003
1727828,2017-07-05 11:12:01,27.031,38.122,Winter,21.3,53.0,975.7,0.0,0.0,N,5.730999999999998
1727924,2017-07-05 13:12:01,29.53,32.443,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.530000000000001
1728023,2017-07-05 15:12:01,31.028,29.247,Winter,24.3,36.0,971.6,0.0,1.4,E,6.727999999999998
1728121,2017-07-05 17:12:01,25.531,39.27,Winter,22.7,40.0,972.0,0.0,1.3,E,2.8309999999999995
1728216,2017-07-05 19:12:01,23.531,44.231,Winter,15.2,68.0,973.4,0.0,0.0,N,8.331
1728313,2017-07-05 21:12:01,22.531,45.413,Winter,12.6,76.0,973.8,0.0,0.0,N,9.931
1728412,2017-07-05 23:12:01,21.029,45.279,Winter,11.0,77.0,974.6,0.0,0.0,N,10.029
1728511,2017-07-06 01:12:01,20.029,45.83,Winter,10.0,80.0,974.3,0.0,0.0,N,10.029
1728607,2017-07-06 03:12:01,19.027,47.65,Winter,9.1,83.0,974.3,0.0,0.0,N,9.927000000000001
1728704,2017-07-06 05:12:01,18.527,48.872,Winter,7.9,86.0,974.1,0.0,0.0,N,10.627
1728798,2017-07-06 07:12:01,18.026,53.203,Winter,7.6,87.0,975.6,0.0,0.0,N,10.426
1728896,2017-07-06 09:12:01,21.53,44.046,Winter,16.8,56.0,976.3,0.0,0.0,N,4.73
1728994,2017-07-06 11:12:01,26.031,38.017,Winter,21.3,53.0,975.6,0.0,0.0,N,4.730999999999998
1729091,2017-07-06 13:12:01,28.53,34.331,Winter,23.7,43.0,973.8,0.0,1.3,E,4.830000000000002
