,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724982,2017-07-03 01:07:01,17.62,37.11,Winter,9.3,84.0,969.1,0.0,0.0,N,8.32
1725080,2017-07-03 03:07:01,16.618,37.679,Winter,8.3,88.0,969.7,0.0,0.0,N,8.317999999999998
1725179,2017-07-03 05:07:01,15.616,36.938,Winter,7.6,89.0,968.7,0.0,0.0,N,8.016
1725278,2017-07-03 07:07:01,15.115,36.896,Winter,7.4,91.0,969.8,0.0,0.0,N,7.715
1725374,2017-07-03 09:07:01,17.119,45.456,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.2809999999999988
1725471,2017-07-03 11:07:01,25.627,38.521,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.9269999999999996
1725571,2017-07-03 13:07:01,25.627,37.218,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.1269999999999989
1725668,2017-07-03 15:07:01,27.627,36.119,Winter,25.6,31.0,968.1,0.0,2.7,E,2.0269999999999975
1725765,2017-07-03 17:07:01,27.127,36.721,Winter,23.3,35.0,969.9,0.0,2.8,E,3.826999999999998
1725863,2017-07-03 19:07:01,25.127,36.513,Winter,20.3,45.0,971.2,0.0,1.5,E,4.826999999999998
1725962,2017-07-03 21:07:01,23.126,37.619,Winter,17.3,56.0,973.5,0.0,1.3,E,5.8260000000000005
1726059,2017-07-03 23:07:01,21.125,36.774,Winter,16.9,63.0,974.0,0.0,1.4,E,4.225000000000001
1726156,2017-07-04 01:07:01,20.124,37.334,Winter,14.0,76.0,973.4,0.0,0.0,N,6.123999999999999
1726254,2017-07-04 03:07:01,18.121,37.154,Winter,12.6,82.0,973.2,0.0,0.0,N,5.520999999999999
1726350,2017-07-04 05:07:01,17.62,37.11,Winter,11.8,85.0,972.9,0.0,0.0,N,5.82
1726447,2017-07-04 07:07:01,16.618,37.023,Winter,12.4,86.0,974.3,0.0,0.0,N,4.217999999999998
1726547,2017-07-04 09:07:01,17.119,37.066,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0189999999999984
1726643,2017-07-04 11:07:01,21.125,46.411,Winter,20.2,59.0,975.0,0.0,2.7,E,0.9250000000000007
1726738,2017-07-04 13:07:01,23.126,43.423,Winter,22.7,48.0,973.0,0.0,2.8,E,0.42600000000000193
1726838,2017-07-04 15:07:01,25.127,40.413,Winter,22.9,44.0,972.7,0.0,2.6,E,2.2270000000000003
1726933,2017-07-04 17:07:01,25.627,41.108,Winter,21.2,48.0,972.1,0.0,1.6,E,4.427
1727027,2017-07-04 19:07:01,25.127,40.413,Winter,15.0,72.0,973.3,0.0,0.0,N,10.126999999999999
1727126,2017-07-04 21:07:01,22.626,41.456,Winter,12.9,77.0,973.9,0.0,0.0,N,9.726
1727223,2017-07-04 23:07:01,20.624,41.272,Winter,11.7,77.0,974.1,0.0,0.0,N,8.924
1727319,2017-07-05 01:07:01,19.123,41.14,Winter,11.0,83.0,974.4,0.0,0.0,N,8.123000000000001
1727414,2017-07-05 03:07:01,17.62,41.014,Winter,9.6,85.0,974.0,0.0,0.0,N,8.020000000000001
1727513,2017-07-05 05:07:01,16.618,41.578,Winter,10.7,83.0,974.4,0.0,0.0,N,5.917999999999999
