,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725025,2017-07-03 01:14:01,18.092,36.251,Winter,9.3,84.0,969.1,0.0,0.0,N,8.791999999999998
1725123,2017-07-03 03:14:01,16.59,36.791,Winter,8.3,88.0,969.7,0.0,0.0,N,8.29
1725219,2017-07-03 05:14:01,15.588,37.379,Winter,7.6,89.0,968.7,0.0,0.0,N,7.9879999999999995
1725317,2017-07-03 07:14:01,14.586,37.203,Winter,7.4,91.0,969.8,0.0,0.0,N,7.186
1725416,2017-07-03 09:14:01,18.593,40.957,Winter,17.4,53.0,970.0,0.0,0.0,N,1.1930000000000014
1725510,2017-07-03 11:14:01,26.098,36.354,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.3979999999999997
1725608,2017-07-03 13:14:01,36.086,34.787,Winter,25.5,33.0,968.7,0.0,1.5,ENE,10.585999999999999
1725708,2017-07-03 15:14:01,42.568,24.381,Winter,25.6,31.0,968.1,0.0,2.7,E,16.967999999999996
1725803,2017-07-03 17:14:01,33.092,29.63,Winter,23.3,35.0,969.9,0.0,2.8,E,9.791999999999998
1725902,2017-07-03 19:14:01,25.598,31.562,Winter,20.3,45.0,971.2,0.0,1.5,E,5.297999999999998
1726001,2017-07-03 21:14:01,21.596,33.2,Winter,17.3,56.0,973.5,0.0,1.3,E,4.295999999999999
1726095,2017-07-03 23:14:01,19.594,33.006,Winter,16.9,63.0,974.0,0.0,1.4,E,2.6940000000000026
1726195,2017-07-04 01:14:01,18.092,34.902,Winter,14.0,76.0,973.4,0.0,0.0,N,4.091999999999999
1726293,2017-07-04 03:14:01,16.59,35.443,Winter,12.6,82.0,973.2,0.0,0.0,N,3.99
1726389,2017-07-04 05:14:01,15.588,35.356,Winter,11.8,85.0,972.9,0.0,0.0,N,3.7879999999999985
1726484,2017-07-04 07:14:01,15.588,36.032,Winter,12.4,86.0,974.3,0.0,0.0,N,3.187999999999999
1726582,2017-07-04 09:14:01,17.091,36.835,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9909999999999997
1726683,2017-07-04 11:14:01,32.093,41.011,Winter,20.2,59.0,975.0,0.0,2.7,E,11.893000000000004
1726778,2017-07-04 13:14:01,30.096,40.779,Winter,22.7,48.0,973.0,0.0,2.8,E,7.396000000000001
1726875,2017-07-04 15:14:01,33.092,37.803,Winter,22.9,44.0,972.7,0.0,2.6,E,10.192
1726968,2017-07-04 17:14:01,29.096,37.345,Winter,21.2,48.0,972.1,0.0,1.6,E,7.896000000000001
1727069,2017-07-04 19:14:01,23.597,36.77,Winter,15.0,72.0,973.3,0.0,0.0,N,8.597000000000001
1727163,2017-07-04 21:14:01,20.595,37.15,Winter,12.9,77.0,973.9,0.0,0.0,N,7.6949999999999985
1727260,2017-07-04 23:14:01,18.593,37.637,Winter,11.7,77.0,974.1,0.0,0.0,N,6.893000000000001
1727359,2017-07-05 01:14:01,16.59,37.463,Winter,11.0,83.0,974.4,0.0,0.0,N,5.59
1727452,2017-07-05 03:14:01,15.588,38.049,Winter,9.6,85.0,974.0,0.0,0.0,N,5.9879999999999995
1727550,2017-07-05 05:14:01,14.586,37.203,Winter,10.7,83.0,974.4,0.0,0.0,N,3.886000000000001
1727644,2017-07-05 07:14:01,14.586,37.203,Winter,10.7,86.0,974.6,0.0,0.0,N,3.886000000000001
1727741,2017-07-05 09:14:01,21.596,43.187,Winter,17.4,68.0,976.4,0.0,0.0,N,4.1960000000000015
1727842,2017-07-05 11:14:01,26.598,42.369,Winter,21.3,53.0,975.7,0.0,0.0,N,5.297999999999998
1727937,2017-07-05 13:14:01,33.092,39.14,Winter,24.0,41.0,973.5,0.0,1.8,ENE,9.091999999999999
1728034,2017-07-05 15:14:01,24.098,37.488,Winter,24.3,36.0,971.6,0.0,1.4,E,-0.20200000000000173
1728131,2017-07-05 17:14:01,23.597,38.77,Winter,22.7,40.0,972.0,0.0,1.3,E,0.897000000000002
1728228,2017-07-05 19:14:01,23.097,47.842,Winter,15.2,68.0,973.4,0.0,0.0,N,7.897000000000002
1728329,2017-07-05 21:14:01,22.097,46.47,Winter,12.6,76.0,973.8,0.0,0.0,N,9.497000000000002
1728425,2017-07-05 23:14:01,21.596,46.425,Winter,11.0,77.0,974.6,0.0,0.0,N,10.596
1728522,2017-07-06 01:14:01,21.096,47.024,Winter,10.0,80.0,974.3,0.0,0.0,N,11.096
1728619,2017-07-06 03:14:01,20.095,47.581,Winter,9.1,83.0,974.3,0.0,0.0,N,10.995
1728713,2017-07-06 05:14:01,19.594,48.818,Winter,7.9,86.0,974.1,0.0,0.0,N,11.694
1728810,2017-07-06 07:14:01,19.094,48.14,Winter,7.6,87.0,975.6,0.0,0.0,N,11.494000000000002
1728909,2017-07-06 09:14:01,21.096,47.665,Winter,16.8,56.0,976.3,0.0,0.0,N,4.295999999999999
1729007,2017-07-06 11:14:01,22.597,50.969,Winter,21.3,53.0,975.6,0.0,0.0,N,1.2970000000000006
1729102,2017-07-06 13:14:01,23.597,44.673,Winter,23.7,43.0,973.8,0.0,1.3,E,-0.10299999999999798
1729202,2017-07-06 15:14:01,23.597,36.77,Winter,24.5,35.0,972.6,0.0,2.1,E,-0.9029999999999987
1729300,2017-07-06 17:14:01,23.097,45.272,Winter,22.4,42.0,972.4,0.0,1.6,E,0.6970000000000027
1729393,2017-07-06 19:14:01,23.097,49.75,Winter,17.9,63.0,973.2,0.0,0.0,N,5.197000000000003
1729493,2017-07-06 21:14:01,23.097,52.269,Winter,18.0,64.0,973.8,0.0,0.0,N,5.097000000000001
1729589,2017-07-06 23:14:01,22.597,52.85,Winter,15.5,76.0,974.9,0.0,0.0,N,7.097000000000001
1729685,2017-07-07 01:14:01,22.097,54.053,Winter,12.8,83.0,974.9,0.0,0.0,N,9.297
1729782,2017-07-07 03:14:01,21.596,54.631,Winter,12.8,83.0,974.1,0.0,0.0,N,8.796
1729878,2017-07-07 05:14:01,21.596,58.315,Winter,13.4,82.0,974.9,0.0,0.0,N,8.196
1729977,2017-07-07 07:14:01,21.596,63.718,Winter,13.8,87.0,976.1,0.0,0.0,N,7.795999999999999
1730076,2017-07-07 09:14:01,21.596,68.397,Winter,17.3,83.0,976.5,0.0,0.0,N,4.295999999999999
1730169,2017-07-07 11:14:01,22.597,64.975,Winter,20.1,69.0,976.7,0.0,1.2,NE,2.497
1730269,2017-07-07 13:14:01,23.597,52.314,Winter,22.6,53.0,974.0,0.0,1.3,E,0.9969999999999999
1730363,2017-07-07 15:14:01,23.597,47.249,Winter,23.4,46.0,973.2,0.0,1.7,ENE,0.19700000000000273
1730459,2017-07-07 17:14:01,23.597,49.796,Winter,22.0,49.0,972.3,0.0,0.0,N,1.5970000000000013
1730559,2017-07-07 19:14:01,23.097,54.759,Winter,17.8,69.0,973.7,0.0,0.0,N,5.297000000000001
1730651,2017-07-07 21:14:01,22.597,52.225,Winter,15.8,71.0,974.0,0.0,0.0,N,6.797000000000001
1730749,2017-07-07 23:14:01,22.097,54.673,Winter,13.6,82.0,974.3,0.0,0.0,N,8.497000000000002
1730849,2017-07-08 01:14:01,21.596,54.011,Winter,11.9,84.0,973.5,0.0,0.0,N,9.696
1730947,2017-07-08 03:14:01,20.595,53.931,Winter,11.7,83.0,972.8,0.0,0.0,N,8.895
1731041,2017-07-08 05:14:01,20.595,55.788,Winter,11.4,86.0,972.9,0.0,0.0,N,9.194999999999999
1731136,2017-07-08 07:14:01,19.594,55.096,Winter,10.1,90.0,974.4,0.0,0.0,N,9.494000000000002
1731234,2017-07-08 09:14:01,22.097,53.431,Winter,18.2,64.0,974.5,0.0,0.0,N,3.897000000000002
1731332,2017-07-08 11:14:01,23.597,55.421,Winter,22.4,57.0,973.7,0.0,0.0,N,1.1970000000000027
1731427,2017-07-08 13:14:01,25.098,48.67,Winter,24.7,48.0,970.9,0.0,1.2,ENE,0.3979999999999997
1731527,2017-07-08 15:14:01,25.098,45.465,Winter,25.3,43.0,969.8,0.0,1.5,NE,-0.20200000000000173
1731622,2017-07-08 17:14:01,24.598,46.704,Winter,23.6,47.0,968.7,0.0,1.3,NNE,0.9979999999999976
1731717,2017-07-08 19:14:01,23.597,53.562,Winter,17.9,69.0,970.4,0.0,0.0,N,5.697000000000003
1731813,2017-07-08 21:14:01,23.597,55.421,Winter,17.0,74.0,971.2,0.0,0.0,N,6.597000000000001
1731908,2017-07-08 23:14:01,22.597,55.333,Winter,14.4,80.0,971.0,0.0,0.0,N,8.197000000000001
1732004,2017-07-09 01:14:01,22.097,55.908,Winter,12.3,87.0,970.6,0.0,0.0,N,9.797
1732101,2017-07-09 03:14:01,21.596,55.25,Winter,11.0,90.0,970.3,0.0,0.0,N,10.596
1732197,2017-07-09 05:14:01,20.595,53.931,Winter,10.2,89.0,969.7,0.0,0.0,N,10.395
1732299,2017-07-09 07:14:01,20.595,53.308,Winter,9.6,90.0,970.2,0.0,0.0,N,10.995
1732392,2017-07-09 09:14:01,22.597,50.338,Winter,18.7,58.0,970.4,0.0,2.2,SW,3.897000000000002
1732493,2017-07-09 11:14:01,24.598,44.769,Winter,25.1,41.0,969.3,0.0,1.5,SW,-0.5020000000000024
1732587,2017-07-09 13:14:01,26.098,35.682,Winter,27.9,30.0,966.9,0.0,2.2,S,-1.8019999999999996
1732683,2017-07-09 15:14:01,26.598,30.983,Winter,28.2,26.0,965.2,0.0,2.2,SSE,-1.6020000000000003
1732779,2017-07-09 17:14:01,26.098,32.978,Winter,25.7,31.0,964.3,0.0,0.0,N,0.3979999999999997
1732878,2017-07-09 19:14:01,24.598,40.193,Winter,18.4,53.0,965.6,0.0,0.0,N,6.198
1732974,2017-07-09 21:14:01,24.098,44.721,Winter,15.1,66.0,966.8,0.0,0.0,N,8.998
1733075,2017-07-09 23:14:01,23.597,44.673,Winter,14.3,64.0,966.9,0.0,0.0,N,9.297
1733171,2017-07-10 01:14:01,22.597,45.226,Winter,11.8,75.0,967.4,0.0,0.0,N,10.797
1733266,2017-07-10 03:14:01,22.097,47.112,Winter,10.9,80.0,967.0,0.0,0.0,N,11.197000000000001
1733361,2017-07-10 05:14:01,21.596,47.067,Winter,10.9,75.0,966.8,0.0,0.0,N,10.696
1733459,2017-07-10 07:14:01,21.096,45.737,Winter,11.2,75.0,967.2,0.0,0.0,N,9.896
1733559,2017-07-10 09:14:01,24.098,39.482,Winter,21.0,42.0,968.2,0.0,0.0,N,3.097999999999999
1733652,2017-07-10 11:14:01,26.098,32.297,Winter,28.1,27.0,968.1,0.0,0.0,N,-2.0020000000000024
1733755,2017-07-10 13:14:01,26.598,26.142,Winter,30.3,21.0,965.6,0.0,2.0,SSE,-3.7020000000000017
1733848,2017-07-10 15:14:01,27.097,26.892,Winter,29.4,21.0,965.2,0.0,1.8,ESE,-2.3029999999999973
1733950,2017-07-10 17:14:01,26.598,24.04,Winter,25.7,31.0,965.5,0.0,0.0,N,0.8979999999999997
