,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724945,2017-07-03 01:06:01,17.64,37.553,Winter,9.3,84.0,969.1,0.0,0.0,N,8.34
1725074,2017-07-03 03:06:01,16.639,37.467,Winter,8.3,88.0,969.7,0.0,0.0,N,8.338999999999999
1725157,2017-07-03 05:06:01,15.637,37.383,Winter,7.6,89.0,968.7,0.0,0.0,N,8.037
1725271,2017-07-03 07:06:01,14.635,37.21,Winter,7.4,91.0,969.8,0.0,0.0,N,7.234999999999999
1725345,2017-07-03 09:06:01,16.138,47.924,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.261999999999997
1725452,2017-07-03 11:06:01,24.646,40.198,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.9460000000000015
1725557,2017-07-03 13:06:01,25.646,36.307,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.1460000000000008
1725637,2017-07-03 15:06:01,27.146,38.468,Winter,25.6,31.0,968.1,0.0,2.7,E,1.5459999999999994
1725744,2017-07-03 17:06:01,27.146,35.793,Winter,23.3,35.0,969.9,0.0,2.8,E,3.846
1725829,2017-07-03 19:06:01,25.646,35.635,Winter,20.3,45.0,971.2,0.0,1.5,E,5.346
1725953,2017-07-03 21:06:01,23.146,36.054,Winter,17.3,56.0,973.5,0.0,1.3,E,5.846
1726046,2017-07-03 23:06:01,21.144,36.532,Winter,16.9,63.0,974.0,0.0,1.4,E,4.244
1726126,2017-07-04 01:06:01,20.143,37.108,Winter,14.0,76.0,973.4,0.0,0.0,N,6.143000000000001
1726216,2017-07-04 03:06:01,18.141,36.927,Winter,12.6,82.0,973.2,0.0,0.0,N,5.540999999999999
1726337,2017-07-04 05:06:01,17.139,37.51,Winter,11.8,85.0,972.9,0.0,0.0,N,5.338999999999999
1726427,2017-07-04 07:06:01,16.639,37.467,Winter,12.4,86.0,974.3,0.0,0.0,N,4.238999999999999
1726534,2017-07-04 09:06:01,16.639,38.136,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5389999999999979
1726608,2017-07-04 11:06:01,21.645,45.14,Winter,20.2,59.0,975.0,0.0,2.7,E,1.4450000000000003
1726698,2017-07-04 13:06:01,24.146,41.465,Winter,22.7,48.0,973.0,0.0,2.8,E,1.4460000000000015
1726823,2017-07-04 15:06:01,24.646,40.857,Winter,22.9,44.0,972.7,0.0,2.6,E,1.7460000000000022
1726927,2017-07-04 17:06:01,25.646,40.958,Winter,21.2,48.0,972.1,0.0,1.6,E,4.4460000000000015
1727012,2017-07-04 19:06:01,25.646,39.638,Winter,15.0,72.0,973.3,0.0,0.0,N,10.646
1727105,2017-07-04 21:06:01,23.146,40.71,Winter,12.9,77.0,973.9,0.0,0.0,N,10.246
1727219,2017-07-04 23:06:01,21.144,40.522,Winter,11.7,77.0,974.1,0.0,0.0,N,9.443999999999999
