,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724943,2017-07-03 01:06:01,18.129,37.119,Winter,9.3,84.0,969.1,0.0,0.0,N,8.829
1725066,2017-07-03 03:06:01,16.627,36.989,Winter,8.3,88.0,969.7,0.0,0.0,N,8.326999999999998
1725149,2017-07-03 05:06:01,15.625,37.584,Winter,7.6,89.0,968.7,0.0,0.0,N,8.025
1725246,2017-07-03 07:06:01,14.623,37.414,Winter,7.4,91.0,969.8,0.0,0.0,N,7.222999999999999
1725365,2017-07-03 09:06:01,15.625,51.387,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.7749999999999986
1725430,2017-07-03 11:06:01,25.135,39.801,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4350000000000023
1725552,2017-07-03 13:06:01,25.135,38.459,Winter,25.5,33.0,968.7,0.0,1.5,ENE,-0.36499999999999844
1725661,2017-07-03 15:06:01,27.134,37.993,Winter,25.6,31.0,968.1,0.0,2.7,E,1.533999999999999
1725749,2017-07-03 17:06:01,27.134,36.64,Winter,23.3,35.0,969.9,0.0,2.8,E,3.8339999999999996
1725836,2017-07-03 19:06:01,25.635,36.483,Winter,20.3,45.0,971.2,0.0,1.5,E,5.335000000000001
1725947,2017-07-03 21:06:01,23.134,36.23,Winter,17.3,56.0,973.5,0.0,1.3,E,5.834
1726047,2017-07-03 23:06:01,21.633,36.084,Winter,16.9,63.0,974.0,0.0,1.4,E,4.7330000000000005
1726147,2017-07-04 01:06:01,20.132,37.3,Winter,14.0,76.0,973.4,0.0,0.0,N,6.1320000000000014
1726215,2017-07-04 03:06:01,18.63,36.485,Winter,12.6,82.0,973.2,0.0,0.0,N,6.029999999999999
1726325,2017-07-04 05:06:01,17.629,36.395,Winter,11.8,85.0,972.9,0.0,0.0,N,5.829000000000001
1726434,2017-07-04 07:06:01,16.627,37.668,Winter,12.4,86.0,974.3,0.0,0.0,N,4.2269999999999985
1726541,2017-07-04 09:06:01,17.128,37.71,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0279999999999987
1726610,2017-07-04 11:06:01,21.633,46.058,Winter,20.2,59.0,975.0,0.0,2.7,E,1.4329999999999998
1726709,2017-07-04 13:06:01,23.134,43.582,Winter,22.7,48.0,973.0,0.0,2.8,E,0.43400000000000105
1726832,2017-07-04 15:06:01,25.135,41.134,Winter,22.9,44.0,972.7,0.0,2.6,E,2.235000000000003
1726900,2017-07-04 17:06:01,25.635,40.519,Winter,21.2,48.0,972.1,0.0,1.6,E,4.435000000000002
1726996,2017-07-04 19:06:01,24.635,41.748,Winter,15.0,72.0,973.3,0.0,0.0,N,9.635000000000002
1727095,2017-07-04 21:06:01,22.634,42.216,Winter,12.9,77.0,973.9,0.0,0.0,N,9.734
1727206,2017-07-04 23:06:01,20.633,42.034,Winter,11.7,77.0,974.1,0.0,0.0,N,8.933
1727298,2017-07-05 01:06:01,19.131,43.226,Winter,11.0,83.0,974.4,0.0,0.0,N,8.131
1727376,2017-07-05 03:06:01,17.629,41.778,Winter,9.6,85.0,974.0,0.0,0.0,N,8.029000000000002
1727490,2017-07-05 05:06:01,16.627,41.697,Winter,10.7,83.0,974.4,0.0,0.0,N,5.927
1727566,2017-07-05 07:06:01,16.126,40.991,Winter,10.7,86.0,974.6,0.0,0.0,N,5.426000000000002
1727675,2017-07-05 09:06:01,17.128,39.733,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.27199999999999847
1727784,2017-07-05 11:06:01,32.13,31.694,Winter,21.3,53.0,975.7,0.0,0.0,N,10.830000000000002
1727879,2017-07-05 13:06:01,30.632,33.603,Winter,24.0,41.0,973.5,0.0,1.8,ENE,6.6320000000000014
1727965,2017-07-05 15:06:01,30.632,34.291,Winter,24.3,36.0,971.6,0.0,1.4,E,6.332000000000001
1728076,2017-07-05 17:06:01,31.63,32.332,Winter,22.7,40.0,972.0,0.0,1.3,E,8.93
1728165,2017-07-05 19:06:01,28.134,34.702,Winter,15.2,68.0,973.4,0.0,0.0,N,12.934000000000001
1728279,2017-07-05 21:06:01,24.135,37.008,Winter,12.6,76.0,973.8,0.0,0.0,N,11.535000000000002
1728349,2017-07-05 23:06:01,21.133,38.069,Winter,11.0,77.0,974.6,0.0,0.0,N,10.133
1728450,2017-07-06 01:06:01,18.129,39.146,Winter,10.0,80.0,974.3,0.0,0.0,N,8.129000000000001
1728540,2017-07-06 03:06:01,16.126,40.322,Winter,9.1,83.0,974.3,0.0,0.0,N,7.026000000000002
1728659,2017-07-06 05:06:01,14.122,39.978,Winter,7.9,86.0,974.1,0.0,0.0,N,6.2219999999999995
1728741,2017-07-06 07:06:01,12.618,40.408,Winter,7.6,87.0,975.6,0.0,0.0,N,5.018000000000001
1728859,2017-07-06 09:06:01,18.129,49.642,Winter,16.8,56.0,976.3,0.0,0.0,N,1.3290000000000006
1728955,2017-07-06 11:06:01,25.635,39.182,Winter,21.3,53.0,975.6,0.0,0.0,N,4.335000000000001
1729025,2017-07-06 13:06:01,29.633,36.232,Winter,23.7,43.0,973.8,0.0,1.3,E,5.933
1729153,2017-07-06 15:06:01,24.135,37.684,Winter,24.5,35.0,972.6,0.0,2.1,E,-0.36499999999999844
1729228,2017-07-06 17:06:01,23.635,40.32,Winter,22.4,42.0,972.4,0.0,1.6,E,1.235000000000003
1729348,2017-07-06 19:06:01,23.134,50.688,Winter,17.9,63.0,973.2,0.0,0.0,N,5.234000000000002
1729441,2017-07-06 21:06:01,22.634,50.007,Winter,18.0,64.0,973.8,0.0,0.0,N,4.634
1729513,2017-07-06 23:06:01,21.633,53.081,Winter,15.5,76.0,974.9,0.0,0.0,N,6.132999999999999
1729634,2017-07-07 01:06:01,20.633,54.252,Winter,12.8,83.0,974.9,0.0,0.0,N,7.832999999999998
1729703,2017-07-07 03:06:01,20.132,56.076,Winter,12.8,83.0,974.1,0.0,0.0,N,7.332000000000001
1729831,2017-07-07 05:06:01,20.132,57.921,Winter,13.4,82.0,974.9,0.0,0.0,N,6.732000000000001
1729923,2017-07-07 07:06:01,19.631,62.716,Winter,13.8,87.0,976.1,0.0,0.0,N,5.8309999999999995
1730021,2017-07-07 09:06:01,19.631,75.878,Winter,17.3,83.0,976.5,0.0,0.0,N,2.3309999999999995
1730124,2017-07-07 11:06:01,21.133,69.24,Winter,20.1,69.0,976.7,0.0,1.2,NE,1.0329999999999977
1730203,2017-07-07 13:06:01,22.634,57.504,Winter,22.6,53.0,974.0,0.0,1.3,E,0.03399999999999892
