,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724957,2017-07-03 01:06:01,17.586,37.394,Winter,9.3,84.0,969.1,0.0,0.0,N,8.285999999999998
1725045,2017-07-03 03:06:01,16.084,37.922,Winter,8.3,88.0,969.7,0.0,0.0,N,7.783999999999999
1725146,2017-07-03 05:06:01,15.082,37.84,Winter,7.6,89.0,968.7,0.0,0.0,N,7.482000000000001
1725241,2017-07-03 07:06:01,14.08,37.605,Winter,7.4,91.0,969.8,0.0,0.0,N,6.68
1725356,2017-07-03 09:06:01,20.59,37.664,Winter,17.4,53.0,970.0,0.0,0.0,N,3.1900000000000013
1725463,2017-07-03 11:06:01,24.592,39.353,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.8919999999999995
1725558,2017-07-03 13:06:01,34.584,34.554,Winter,25.5,33.0,968.7,0.0,1.5,ENE,9.084000000000003
1725646,2017-07-03 15:06:01,43.562,23.355,Winter,25.6,31.0,968.1,0.0,2.7,E,17.961999999999996
1725756,2017-07-03 17:06:01,32.587,30.315,Winter,23.3,35.0,969.9,0.0,2.8,E,9.287000000000003
1725835,2017-07-03 19:06:01,25.092,32.837,Winter,20.3,45.0,971.2,0.0,1.5,E,4.791999999999998
1725957,2017-07-03 21:06:01,21.09,34.424,Winter,17.3,56.0,973.5,0.0,1.3,E,3.789999999999999
1726049,2017-07-03 23:06:01,19.589,34.281,Winter,16.9,63.0,974.0,0.0,1.4,E,2.689
1726146,2017-07-04 01:06:01,17.586,34.095,Winter,14.0,76.0,973.4,0.0,0.0,N,3.5859999999999985
1726247,2017-07-04 03:06:01,16.084,35.286,Winter,12.6,82.0,973.2,0.0,0.0,N,3.484
1726319,2017-07-04 05:06:01,15.082,35.2,Winter,11.8,85.0,972.9,0.0,0.0,N,3.282
1726446,2017-07-04 07:06:01,15.082,35.2,Winter,12.4,86.0,974.3,0.0,0.0,N,2.6820000000000004
1726510,2017-07-04 09:06:01,17.085,35.374,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9849999999999994
1726617,2017-07-04 11:06:01,31.089,42.641,Winter,20.2,59.0,975.0,0.0,2.7,E,10.889
1726727,2017-07-04 13:06:01,29.59,37.928,Winter,22.7,48.0,973.0,0.0,2.8,E,6.890000000000001
1726824,2017-07-04 15:06:01,33.087,37.019,Winter,22.9,44.0,972.7,0.0,2.6,E,10.187000000000005
1726928,2017-07-04 17:06:01,29.59,35.961,Winter,21.2,48.0,972.1,0.0,1.6,E,8.39
1726997,2017-07-04 19:06:01,23.591,36.643,Winter,15.0,72.0,973.3,0.0,0.0,N,8.591000000000001
1727108,2017-07-04 21:06:01,20.59,36.353,Winter,12.9,77.0,973.9,0.0,0.0,N,7.6899999999999995
1727213,2017-07-04 23:06:01,18.587,37.482,Winter,11.7,77.0,974.1,0.0,0.0,N,6.8870000000000005
1727289,2017-07-05 01:06:01,16.585,37.308,Winter,11.0,83.0,974.4,0.0,0.0,N,5.585000000000001
1727413,2017-07-05 03:06:01,15.082,37.182,Winter,9.6,85.0,974.0,0.0,0.0,N,5.482000000000001
1727503,2017-07-05 05:06:01,14.08,36.961,Winter,10.7,83.0,974.4,0.0,0.0,N,3.380000000000001
1727571,2017-07-05 07:06:01,14.08,36.961,Winter,10.7,86.0,974.6,0.0,0.0,N,3.380000000000001
1727677,2017-07-05 09:06:01,19.589,39.53,Winter,17.4,68.0,976.4,0.0,0.0,N,2.189
1727790,2017-07-05 11:06:01,22.591,50.629,Winter,21.3,53.0,975.7,0.0,0.0,N,1.2910000000000004
1727874,2017-07-05 13:06:01,24.092,44.455,Winter,24.0,41.0,973.5,0.0,1.8,ENE,0.09199999999999875
1727981,2017-07-05 15:06:01,25.092,34.822,Winter,24.3,36.0,971.6,0.0,1.4,E,0.791999999999998
1728087,2017-07-05 17:06:01,22.591,40.454,Winter,22.7,40.0,972.0,0.0,1.3,E,-0.10899999999999821
1728162,2017-07-05 19:06:01,20.59,46.681,Winter,15.2,68.0,973.4,0.0,0.0,N,5.390000000000001
1728253,2017-07-05 21:06:01,19.088,49.086,Winter,12.6,76.0,973.8,0.0,0.0,N,6.488000000000001
1728353,2017-07-05 23:06:01,17.586,51.484,Winter,11.0,77.0,974.6,0.0,0.0,N,6.5859999999999985
1728441,2017-07-06 01:06:01,16.585,54.526,Winter,10.0,80.0,974.3,0.0,0.0,N,6.585000000000001
1728563,2017-07-06 03:06:01,16.084,55.731,Winter,9.1,83.0,974.3,0.0,0.0,N,6.984
1728650,2017-07-06 05:06:01,15.082,57.521,Winter,7.9,86.0,974.1,0.0,0.0,N,7.182
1728763,2017-07-06 07:06:01,13.579,59.168,Winter,7.6,87.0,975.6,0.0,0.0,N,5.979000000000001
1728834,2017-07-06 09:06:01,18.087,55.238,Winter,16.8,56.0,976.3,0.0,0.0,N,1.286999999999999
1728935,2017-07-06 11:06:01,21.59,49.916,Winter,21.3,53.0,975.6,0.0,0.0,N,0.28999999999999915
1729034,2017-07-06 13:06:01,23.591,45.044,Winter,23.7,43.0,973.8,0.0,1.3,E,-0.10899999999999821
1729137,2017-07-06 15:06:01,24.092,32.735,Winter,24.5,35.0,972.6,0.0,2.1,E,-0.40800000000000125
