,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725020,2017-07-03 01:14:01,17.517,36.546,Winter,9.3,84.0,969.1,0.0,0.0,N,8.216999999999999
1725120,2017-07-03 03:14:01,16.516,38.475,Winter,8.3,88.0,969.7,0.0,0.0,N,8.215999999999998
1725218,2017-07-03 05:14:01,15.014,39.022,Winter,7.6,89.0,968.7,0.0,0.0,N,7.414
1725313,2017-07-03 07:14:01,14.513,36.876,Winter,7.4,91.0,969.8,0.0,0.0,N,7.1129999999999995
1725415,2017-07-03 09:14:01,17.017,47.052,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.3829999999999991
1725511,2017-07-03 11:14:01,25.022,39.259,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.3219999999999992
1725607,2017-07-03 13:14:01,37.012,33.874,Winter,25.5,33.0,968.7,0.0,1.5,ENE,11.512
1725710,2017-07-03 15:14:01,42.002,24.635,Winter,25.6,31.0,968.1,0.0,2.7,E,16.402
1725805,2017-07-03 17:14:01,32.518,30.589,Winter,23.3,35.0,969.9,0.0,2.8,E,9.218
1725901,2017-07-03 19:14:01,25.022,33.205,Winter,20.3,45.0,971.2,0.0,1.5,E,4.721999999999998
1725999,2017-07-03 21:14:01,21.521,33.534,Winter,17.3,56.0,973.5,0.0,1.3,E,4.221
1726098,2017-07-03 23:14:01,19.519,34.7,Winter,16.9,63.0,974.0,0.0,1.4,E,2.6189999999999998
1726197,2017-07-04 01:14:01,18.018,34.562,Winter,14.0,76.0,973.4,0.0,0.0,N,4.018000000000001
1726294,2017-07-04 03:14:01,16.016,35.74,Winter,12.6,82.0,973.2,0.0,0.0,N,3.4159999999999986
1726392,2017-07-04 05:14:01,15.515,35.697,Winter,11.8,85.0,972.9,0.0,0.0,N,3.715
1726486,2017-07-04 07:14:01,15.515,37.049,Winter,12.4,86.0,974.3,0.0,0.0,N,3.115
1726581,2017-07-04 09:14:01,17.017,36.503,Winter,16.1,75.0,975.9,0.0,0.0,N,0.916999999999998
1726678,2017-07-04 11:14:01,37.012,32.496,Winter,20.2,59.0,975.0,0.0,2.7,E,16.812
1726779,2017-07-04 13:14:01,31.019,40.572,Winter,22.7,48.0,973.0,0.0,2.8,E,8.318999999999999
1726873,2017-07-04 15:14:01,33.517,36.853,Winter,22.9,44.0,972.7,0.0,2.6,E,10.617000000000004
1726970,2017-07-04 17:14:01,29.021,37.682,Winter,21.2,48.0,972.1,0.0,1.6,E,7.8210000000000015
1727066,2017-07-04 19:14:01,23.521,38.444,Winter,15.0,72.0,973.3,0.0,0.0,N,8.521
1727164,2017-07-04 21:14:01,20.02,38.112,Winter,12.9,77.0,973.9,0.0,0.0,N,7.119999999999999
1727263,2017-07-04 23:14:01,18.518,38.646,Winter,11.7,77.0,974.1,0.0,0.0,N,6.818000000000001
1727356,2017-07-05 01:14:01,16.516,38.475,Winter,11.0,83.0,974.4,0.0,0.0,N,5.515999999999998
1727454,2017-07-05 03:14:01,15.014,39.022,Winter,9.6,85.0,974.0,0.0,0.0,N,5.414
1727548,2017-07-05 05:14:01,14.513,37.535,Winter,10.7,83.0,974.4,0.0,0.0,N,3.8130000000000006
1727646,2017-07-05 07:14:01,14.013,38.771,Winter,10.7,86.0,974.6,0.0,0.0,N,3.3130000000000006
1727742,2017-07-05 09:14:01,23.021,38.395,Winter,17.4,68.0,976.4,0.0,0.0,N,5.621000000000002
1727841,2017-07-05 11:14:01,26.021,43.964,Winter,21.3,53.0,975.7,0.0,0.0,N,4.721
1727936,2017-07-05 13:14:01,25.022,41.243,Winter,24.0,41.0,973.5,0.0,1.8,ENE,1.0219999999999985
1728037,2017-07-05 15:14:01,25.522,35.966,Winter,24.3,36.0,971.6,0.0,1.4,E,1.2219999999999978
1728132,2017-07-05 17:14:01,23.021,42.362,Winter,22.7,40.0,972.0,0.0,1.3,E,0.3210000000000015
1728231,2017-07-05 19:14:01,21.02,51.182,Winter,15.2,68.0,973.4,0.0,0.0,N,5.82
1728326,2017-07-05 21:14:01,19.519,52.321,Winter,12.6,76.0,973.8,0.0,0.0,N,6.918999999999999
1728422,2017-07-05 23:14:01,18.518,52.874,Winter,11.0,77.0,974.6,0.0,0.0,N,7.518000000000001
1728525,2017-07-06 01:14:01,17.517,55.297,Winter,10.0,80.0,974.3,0.0,0.0,N,7.5169999999999995
1728618,2017-07-06 03:14:01,16.516,55.855,Winter,9.1,83.0,974.3,0.0,0.0,N,7.415999999999999
1728718,2017-07-06 05:14:01,15.515,57.648,Winter,7.9,86.0,974.1,0.0,0.0,N,7.615
1728811,2017-07-06 07:14:01,15.515,57.033,Winter,7.6,87.0,975.6,0.0,0.0,N,7.915000000000001
1728912,2017-07-06 09:14:01,19.519,51.693,Winter,16.8,56.0,976.3,0.0,0.0,N,2.7189999999999976
1729004,2017-07-06 11:14:01,23.521,50.137,Winter,21.3,53.0,975.6,0.0,0.0,N,2.221
1729104,2017-07-06 13:14:01,25.022,41.243,Winter,23.7,43.0,973.8,0.0,1.3,E,1.3219999999999992
1729203,2017-07-06 15:14:01,24.521,35.863,Winter,24.5,35.0,972.6,0.0,2.1,E,0.021000000000000796
1729298,2017-07-06 17:14:01,22.521,44.273,Winter,22.4,42.0,972.4,0.0,1.6,E,0.12100000000000222
1729397,2017-07-06 19:14:01,21.521,52.479,Winter,17.9,63.0,973.2,0.0,0.0,N,3.621000000000002
1729492,2017-07-06 21:14:01,21.521,53.104,Winter,18.0,64.0,973.8,0.0,0.0,N,3.521000000000001
1729585,2017-07-06 23:14:01,20.02,56.086,Winter,15.5,76.0,974.9,0.0,0.0,N,4.52
1729683,2017-07-07 01:14:01,19.019,59.678,Winter,12.8,83.0,974.9,0.0,0.0,N,6.218999999999998
1729781,2017-07-07 03:14:01,19.519,60.315,Winter,12.8,83.0,974.1,0.0,0.0,N,6.718999999999998
1729882,2017-07-07 05:14:01,19.019,61.484,Winter,13.4,82.0,974.9,0.0,0.0,N,5.618999999999998
1729975,2017-07-07 07:14:01,19.019,68.539,Winter,13.8,87.0,976.1,0.0,0.0,N,5.218999999999998
1730077,2017-07-07 09:14:01,20.02,73.145,Winter,17.3,83.0,976.5,0.0,0.0,N,2.719999999999999
1730172,2017-07-07 11:14:01,23.521,61.82,Winter,20.1,69.0,976.7,0.0,1.2,NE,3.4209999999999994
1730270,2017-07-07 13:14:01,24.521,48.963,Winter,22.6,53.0,974.0,0.0,1.3,E,1.9209999999999994
1730361,2017-07-07 15:14:01,25.522,45.857,Winter,23.4,46.0,973.2,0.0,1.7,ENE,2.122
1730463,2017-07-07 17:14:01,23.021,51.982,Winter,22.0,49.0,972.3,0.0,0.0,N,1.0210000000000008
1730560,2017-07-07 19:14:01,22.021,54.39,Winter,17.8,69.0,973.7,0.0,0.0,N,4.221
1730653,2017-07-07 21:14:01,20.52,56.738,Winter,15.8,71.0,974.0,0.0,0.0,N,4.719999999999999
1730751,2017-07-07 23:14:01,19.519,61.516,Winter,13.6,82.0,974.3,0.0,0.0,N,5.918999999999999
1730845,2017-07-08 01:14:01,19.019,62.082,Winter,11.9,84.0,973.5,0.0,0.0,N,7.118999999999998
1730944,2017-07-08 03:14:01,18.018,62.619,Winter,11.7,83.0,972.8,0.0,0.0,N,6.318000000000001
1731042,2017-07-08 05:14:01,17.517,63.187,Winter,11.4,86.0,972.9,0.0,0.0,N,6.116999999999999
1731139,2017-07-08 07:14:01,16.516,65.504,Winter,10.1,90.0,974.4,0.0,0.0,N,6.415999999999999
1731236,2017-07-08 09:14:01,20.52,59.176,Winter,18.2,64.0,974.5,0.0,0.0,N,2.3200000000000003
1731333,2017-07-08 11:14:01,25.022,52.168,Winter,22.4,57.0,973.7,0.0,0.0,N,2.622
1731431,2017-07-08 13:14:01,28.021,42.214,Winter,24.7,48.0,970.9,0.0,1.2,ENE,3.3210000000000015
1731524,2017-07-08 15:14:01,27.521,42.16,Winter,25.3,43.0,969.8,0.0,1.5,NE,2.221
1731620,2017-07-08 17:14:01,24.021,48.915,Winter,23.6,47.0,968.7,0.0,1.3,NNE,0.4209999999999994
1731718,2017-07-08 19:14:01,22.521,56.284,Winter,17.9,69.0,970.4,0.0,0.0,N,4.621000000000002
1731811,2017-07-08 21:14:01,21.521,61.059,Winter,17.0,74.0,971.2,0.0,0.0,N,4.521000000000001
1731909,2017-07-08 23:14:01,20.02,61.55,Winter,14.4,80.0,971.0,0.0,0.0,N,5.619999999999999
1732005,2017-07-09 01:14:01,19.019,63.273,Winter,12.3,87.0,970.6,0.0,0.0,N,6.718999999999998
1732100,2017-07-09 03:14:01,18.518,63.836,Winter,11.0,90.0,970.3,0.0,0.0,N,7.518000000000001
1732198,2017-07-09 05:14:01,17.517,64.373,Winter,10.2,89.0,969.7,0.0,0.0,N,7.317
1732298,2017-07-09 07:14:01,17.517,63.781,Winter,9.6,90.0,970.2,0.0,0.0,N,7.917
1732396,2017-07-09 09:14:01,21.02,56.162,Winter,18.7,58.0,970.4,0.0,2.2,SW,2.3200000000000003
1732488,2017-07-09 11:14:01,26.521,42.71,Winter,25.1,41.0,969.3,0.0,1.5,SW,1.4209999999999994
1732589,2017-07-09 13:14:01,28.521,31.524,Winter,27.9,30.0,966.9,0.0,2.2,S,0.6210000000000022
