,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724947,2017-07-03 01:06:01,17.084,39.025,Winter,9.3,84.0,969.1,0.0,0.0,N,7.783999999999999
1725052,2017-07-03 03:06:01,16.083,38.942,Winter,8.3,88.0,969.7,0.0,0.0,N,7.782999999999998
1725144,2017-07-03 05:06:01,15.082,38.861,Winter,7.6,89.0,968.7,0.0,0.0,N,7.482000000000001
1725257,2017-07-03 07:06:01,14.08,37.305,Winter,7.4,91.0,969.8,0.0,0.0,N,6.68
1725332,2017-07-03 09:06:01,16.583,48.173,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.8170000000000002
1725466,2017-07-03 11:06:01,25.088,39.1,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.3880000000000017
1725564,2017-07-03 13:06:01,26.088,35.854,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.588000000000001
1725649,2017-07-03 15:06:01,29.087,33.466,Winter,25.6,31.0,968.1,0.0,2.7,E,3.4869999999999983
1725724,2017-07-03 17:06:01,28.087,34.037,Winter,23.3,35.0,969.9,0.0,2.8,E,4.786999999999999
1725862,2017-07-03 19:06:01,25.588,35.802,Winter,20.3,45.0,971.2,0.0,1.5,E,5.288
1725935,2017-07-03 21:06:01,23.088,36.895,Winter,17.3,56.0,973.5,0.0,1.3,E,5.788
1726052,2017-07-03 23:06:01,21.087,36.702,Winter,16.9,63.0,974.0,0.0,1.4,E,4.187000000000001
1726130,2017-07-04 01:06:01,19.586,37.235,Winter,14.0,76.0,973.4,0.0,0.0,N,5.5859999999999985
1726228,2017-07-04 03:06:01,17.584,37.728,Winter,12.6,82.0,973.2,0.0,0.0,N,4.984
1726343,2017-07-04 05:06:01,17.084,37.685,Winter,11.8,85.0,972.9,0.0,0.0,N,5.283999999999999
1726415,2017-07-04 07:06:01,16.083,38.272,Winter,12.4,86.0,974.3,0.0,0.0,N,3.682999999999998
1726508,2017-07-04 09:06:01,16.583,37.643,Winter,16.1,75.0,975.9,0.0,0.0,N,0.482999999999997
1726625,2017-07-04 11:06:01,22.087,44.081,Winter,20.2,59.0,975.0,0.0,2.7,E,1.8870000000000005
1726706,2017-07-04 13:06:01,24.088,40.989,Winter,22.7,48.0,973.0,0.0,2.8,E,1.3880000000000017
1726806,2017-07-04 15:06:01,26.088,38.536,Winter,22.9,44.0,972.7,0.0,2.6,E,3.1880000000000024
1726893,2017-07-04 17:06:01,26.588,37.251,Winter,21.2,48.0,972.1,0.0,1.6,E,5.388000000000002
1726988,2017-07-04 19:06:01,26.088,37.868,Winter,15.0,72.0,973.3,0.0,0.0,N,11.088000000000001
1727089,2017-07-04 21:06:01,23.088,38.901,Winter,12.9,77.0,973.9,0.0,0.0,N,10.188
1727185,2017-07-04 23:06:01,21.087,40.704,Winter,11.7,77.0,974.1,0.0,0.0,N,9.387
1727304,2017-07-05 01:06:01,19.086,40.527,Winter,11.0,83.0,974.4,0.0,0.0,N,8.085999999999999
1727387,2017-07-05 03:06:01,17.584,41.063,Winter,9.6,85.0,974.0,0.0,0.0,N,7.984
1727480,2017-07-05 05:06:01,16.083,42.266,Winter,10.7,83.0,974.4,0.0,0.0,N,5.382999999999999
1727591,2017-07-05 07:06:01,15.582,42.228,Winter,10.7,86.0,974.6,0.0,0.0,N,4.8820000000000014
1727693,2017-07-05 09:06:01,16.083,42.266,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.3170000000000002
1727760,2017-07-05 11:06:01,29.087,36.849,Winter,21.3,53.0,975.7,0.0,0.0,N,7.786999999999999
1727894,2017-07-05 13:06:01,29.587,35.556,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.587
1727956,2017-07-05 15:06:01,32.085,31.06,Winter,24.3,36.0,971.6,0.0,1.4,E,7.785
1728064,2017-07-05 17:06:01,31.585,31.692,Winter,22.7,40.0,972.0,0.0,1.3,E,8.885000000000002
1728180,2017-07-05 19:06:01,27.588,33.983,Winter,15.2,68.0,973.4,0.0,0.0,N,12.388000000000002
1728268,2017-07-05 21:06:01,24.088,36.323,Winter,12.6,76.0,973.8,0.0,0.0,N,11.488000000000001
1728350,2017-07-05 23:06:01,21.087,37.374,Winter,11.0,77.0,974.6,0.0,0.0,N,10.087
1728456,2017-07-06 01:06:01,18.085,38.442,Winter,10.0,80.0,974.3,0.0,0.0,N,8.085
1728552,2017-07-06 03:06:01,16.083,40.277,Winter,9.1,83.0,974.3,0.0,0.0,N,6.982999999999999
1728673,2017-07-06 05:06:01,14.08,39.274,Winter,7.9,86.0,974.1,0.0,0.0,N,6.18
1728738,2017-07-06 07:06:01,12.578,40.353,Winter,7.6,87.0,975.6,0.0,0.0,N,4.978
1728855,2017-07-06 09:06:01,18.585,49.6,Winter,16.8,56.0,976.3,0.0,0.0,N,1.7850000000000001
1728951,2017-07-06 11:06:01,25.088,41.088,Winter,21.3,53.0,975.6,0.0,0.0,N,3.7880000000000003
1729052,2017-07-06 13:06:01,27.588,34.661,Winter,23.7,43.0,973.8,0.0,1.3,E,3.8880000000000017
1729140,2017-07-06 15:06:01,30.086,29.458,Winter,24.5,35.0,972.6,0.0,2.1,E,5.5859999999999985
1729237,2017-07-06 17:06:01,30.586,30.893,Winter,22.4,42.0,972.4,0.0,1.6,E,8.186
1729347,2017-07-06 19:06:01,25.088,35.076,Winter,17.9,63.0,973.2,0.0,0.0,N,7.188000000000002
1729444,2017-07-06 21:06:01,23.088,36.223,Winter,18.0,64.0,973.8,0.0,0.0,N,5.088000000000001
1729520,2017-07-06 23:06:01,21.087,36.702,Winter,15.5,76.0,974.9,0.0,0.0,N,5.587
1729609,2017-07-07 01:06:01,19.086,38.53,Winter,12.8,83.0,974.9,0.0,0.0,N,6.285999999999998
1729709,2017-07-07 03:06:01,17.584,39.067,Winter,12.8,83.0,974.1,0.0,0.0,N,4.783999999999999
1729812,2017-07-07 05:06:01,17.584,38.399,Winter,13.4,82.0,974.9,0.0,0.0,N,4.183999999999999
1729919,2017-07-07 07:06:01,17.084,39.025,Winter,13.8,87.0,976.1,0.0,0.0,N,3.283999999999999
1730015,2017-07-07 09:06:01,19.086,49.638,Winter,17.3,83.0,976.5,0.0,0.0,N,1.7859999999999978
1730123,2017-07-07 11:06:01,22.587,51.198,Winter,20.1,69.0,976.7,0.0,1.2,NE,2.4869999999999983
1730204,2017-07-07 13:06:01,24.088,50.7,Winter,22.6,53.0,974.0,0.0,1.3,E,1.4879999999999995
