,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724948,2017-07-03 01:06:01,17.142,38.446,Winter,9.3,84.0,969.1,0.0,0.0,N,7.841999999999999
1725064,2017-07-03 03:06:01,16.14,39.024,Winter,8.3,88.0,969.7,0.0,0.0,N,7.84
1725139,2017-07-03 05:06:01,14.636,37.473,Winter,7.6,89.0,968.7,0.0,0.0,N,7.036
1725248,2017-07-03 07:06:01,14.135,40.635,Winter,7.4,91.0,969.8,0.0,0.0,N,6.734999999999999
1725357,2017-07-03 09:06:01,17.643,45.031,Winter,17.4,53.0,970.0,0.0,0.0,N,0.2430000000000021
1725469,2017-07-03 11:06:01,25.15,39.19,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.4499999999999993
1725541,2017-07-03 13:06:01,26.65,34.707,Winter,25.5,33.0,968.7,0.0,1.5,ENE,1.1499999999999986
1725630,2017-07-03 15:06:01,28.15,35.534,Winter,25.6,31.0,968.1,0.0,2.7,E,2.549999999999997
1725755,2017-07-03 17:06:01,27.65,34.814,Winter,23.3,35.0,969.9,0.0,2.8,E,4.349999999999998
1725844,2017-07-03 19:06:01,26.15,35.322,Winter,20.3,45.0,971.2,0.0,1.5,E,5.849999999999998
1725956,2017-07-03 21:06:01,23.15,36.347,Winter,17.3,56.0,973.5,0.0,1.3,E,5.849999999999998
1726032,2017-07-03 23:06:01,21.148,36.817,Winter,16.9,63.0,974.0,0.0,1.4,E,4.248000000000001
1726154,2017-07-04 01:06:01,20.147,36.724,Winter,14.0,76.0,973.4,0.0,0.0,N,6.1469999999999985
1726238,2017-07-04 03:06:01,18.144,36.542,Winter,12.6,82.0,973.2,0.0,0.0,N,5.543999999999999
1726324,2017-07-04 05:06:01,17.142,37.119,Winter,11.8,85.0,972.9,0.0,0.0,N,5.341999999999999
1726443,2017-07-04 07:06:01,16.641,37.076,Winter,12.4,86.0,974.3,0.0,0.0,N,4.240999999999998
1726516,2017-07-04 09:06:01,16.641,37.74,Winter,16.1,75.0,975.9,0.0,0.0,N,0.5409999999999968
1726626,2017-07-04 11:06:01,23.15,41.613,Winter,20.2,59.0,975.0,0.0,2.7,E,2.9499999999999993
1726705,2017-07-04 13:06:01,25.15,37.872,Winter,22.7,48.0,973.0,0.0,2.8,E,2.4499999999999993
1726808,2017-07-04 15:06:01,25.65,37.923,Winter,22.9,44.0,972.7,0.0,2.6,E,2.75
1726907,2017-07-04 17:06:01,26.65,38.687,Winter,21.2,48.0,972.1,0.0,1.6,E,5.449999999999999
1726993,2017-07-04 19:06:01,25.65,38.583,Winter,15.0,72.0,973.3,0.0,0.0,N,10.649999999999999
1727111,2017-07-04 21:06:01,23.15,40.305,Winter,12.9,77.0,973.9,0.0,0.0,N,10.249999999999998
1727212,2017-07-04 23:06:01,20.648,40.727,Winter,11.7,77.0,974.1,0.0,0.0,N,8.948
1727287,2017-07-05 01:06:01,19.146,40.594,Winter,11.0,83.0,974.4,0.0,0.0,N,8.146
1727389,2017-07-05 03:06:01,17.643,41.778,Winter,9.6,85.0,974.0,0.0,0.0,N,8.043000000000001
1727487,2017-07-05 05:06:01,16.14,42.967,Winter,10.7,83.0,974.4,0.0,0.0,N,5.440000000000001
1727585,2017-07-05 07:06:01,15.639,42.275,Winter,10.7,86.0,974.6,0.0,0.0,N,4.939
1727674,2017-07-05 09:06:01,16.641,41.698,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.7590000000000003
1727798,2017-07-05 11:06:01,28.15,38.188,Winter,21.3,53.0,975.7,0.0,0.0,N,6.849999999999998
1727886,2017-07-05 13:06:01,29.648,34.363,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.648
1727977,2017-07-05 15:06:01,30.148,35.087,Winter,24.3,36.0,971.6,0.0,1.4,E,5.847999999999999
1728070,2017-07-05 17:06:01,31.147,33.86,Winter,22.7,40.0,972.0,0.0,1.3,E,8.447
1728179,2017-07-05 19:06:01,28.15,34.199,Winter,15.2,68.0,973.4,0.0,0.0,N,12.95
1728271,2017-07-05 21:06:01,24.15,35.782,Winter,12.6,76.0,973.8,0.0,0.0,N,11.549999999999999
1728352,2017-07-05 23:06:01,21.148,36.817,Winter,11.0,77.0,974.6,0.0,0.0,N,10.148
1728470,2017-07-06 01:06:01,18.645,37.914,Winter,10.0,80.0,974.3,0.0,0.0,N,8.645
1728551,2017-07-06 03:06:01,16.14,39.024,Winter,9.1,83.0,974.3,0.0,0.0,N,7.040000000000001
1728670,2017-07-06 05:06:01,14.135,39.344,Winter,7.9,86.0,974.1,0.0,0.0,N,6.234999999999999
1728754,2017-07-06 07:06:01,12.631,39.765,Winter,7.6,87.0,975.6,0.0,0.0,N,5.031000000000001
1728833,2017-07-06 09:06:01,21.148,50.43,Winter,16.8,56.0,976.3,0.0,0.0,N,4.347999999999999
1728941,2017-07-06 11:06:01,22.649,48.656,Winter,21.3,53.0,975.6,0.0,0.0,N,1.3490000000000002
1729051,2017-07-06 13:06:01,24.65,43.06,Winter,23.7,43.0,973.8,0.0,1.3,E,0.9499999999999993
1729150,2017-07-06 15:06:01,24.15,38.431,Winter,24.5,35.0,972.6,0.0,2.1,E,-0.3500000000000014
1729223,2017-07-06 17:06:01,23.15,40.305,Winter,22.4,42.0,972.4,0.0,1.6,E,0.75
1729319,2017-07-06 19:06:01,21.649,47.93,Winter,17.9,63.0,973.2,0.0,0.0,N,3.7490000000000023
1729438,2017-07-06 21:06:01,21.649,51.104,Winter,18.0,64.0,973.8,0.0,0.0,N,3.649000000000001
1729543,2017-07-06 23:06:01,20.648,54.785,Winter,15.5,76.0,974.9,0.0,0.0,N,5.148
1729617,2017-07-07 01:06:01,19.146,55.918,Winter,12.8,83.0,974.9,0.0,0.0,N,6.346
1729737,2017-07-07 03:06:01,18.144,55.85,Winter,12.8,83.0,974.1,0.0,0.0,N,5.343999999999998
1729821,2017-07-07 05:06:01,18.645,57.74,Winter,13.4,82.0,974.9,0.0,0.0,N,5.244999999999999
1729935,2017-07-07 07:06:01,18.645,60.806,Winter,13.8,87.0,976.1,0.0,0.0,N,4.844999999999999
1730001,2017-07-07 09:06:01,19.646,71.593,Winter,17.3,83.0,976.5,0.0,0.0,N,2.346
1730092,2017-07-07 11:06:01,21.148,68.758,Winter,20.1,69.0,976.7,0.0,1.2,NE,1.0479999999999983
1730201,2017-07-07 13:06:01,22.649,58.654,Winter,22.6,53.0,974.0,0.0,1.3,E,0.04899999999999949
1730323,2017-07-07 15:06:01,24.15,47.52,Winter,23.4,46.0,973.2,0.0,1.7,ENE,0.75
1730415,2017-07-07 17:06:01,23.15,49.971,Winter,22.0,49.0,972.3,0.0,0.0,N,1.1499999999999986
1730485,2017-07-07 19:06:01,21.649,54.241,Winter,17.8,69.0,973.7,0.0,0.0,N,3.849
1730604,2017-07-07 21:06:01,20.147,55.99,Winter,15.8,71.0,974.0,0.0,0.0,N,4.346999999999998
1730671,2017-07-07 23:06:01,18.645,55.883,Winter,13.6,82.0,974.3,0.0,0.0,N,5.045
1730786,2017-07-08 01:06:01,18.144,57.708,Winter,11.9,84.0,973.5,0.0,0.0,N,6.243999999999998
1730888,2017-07-08 03:06:01,17.142,59.495,Winter,11.7,83.0,972.8,0.0,0.0,N,5.442
1730993,2017-07-08 05:06:01,16.641,61.912,Winter,11.4,86.0,972.9,0.0,0.0,N,5.240999999999998
1731086,2017-07-08 07:06:01,16.641,66.133,Winter,10.1,90.0,974.4,0.0,0.0,N,6.540999999999999
1731157,2017-07-08 09:06:01,19.646,59.038,Winter,18.2,64.0,974.5,0.0,0.0,N,1.4460000000000015
1731259,2017-07-08 11:06:01,22.649,54.326,Winter,22.4,57.0,973.7,0.0,0.0,N,0.24900000000000233
1731352,2017-07-08 13:06:01,24.65,51.375,Winter,24.7,48.0,970.9,0.0,1.2,ENE,-0.05000000000000071
1731453,2017-07-08 15:06:01,25.65,46.387,Winter,25.3,43.0,969.8,0.0,1.5,NE,0.34999999999999787
1731543,2017-07-08 17:06:01,24.15,49.43,Winter,23.6,47.0,968.7,0.0,1.3,NNE,0.5499999999999972
1731653,2017-07-08 19:06:01,22.149,55.527,Winter,17.9,69.0,970.4,0.0,0.0,N,4.249000000000002
1731734,2017-07-08 21:06:01,20.648,58.496,Winter,17.0,74.0,971.2,0.0,0.0,N,3.6479999999999997
1731837,2017-07-08 23:06:01,19.646,59.038,Winter,14.4,80.0,971.0,0.0,0.0,N,5.246
1731946,2017-07-09 01:06:01,19.146,62.053,Winter,12.3,87.0,970.6,0.0,0.0,N,6.846
1732059,2017-07-09 03:06:01,18.144,61.993,Winter,11.0,90.0,970.3,0.0,0.0,N,7.143999999999998
1732131,2017-07-09 05:06:01,17.142,61.329,Winter,10.2,89.0,969.7,0.0,0.0,N,6.942
1732238,2017-07-09 07:06:01,16.641,60.08,Winter,9.6,90.0,970.2,0.0,0.0,N,7.040999999999999
1732332,2017-07-09 09:06:01,19.646,59.038,Winter,18.7,58.0,970.4,0.0,2.2,SW,0.9460000000000015
1732442,2017-07-09 11:06:01,23.15,49.337,Winter,25.1,41.0,969.3,0.0,1.5,SW,-1.9500000000000028
1732544,2017-07-09 13:06:01,25.15,37.211,Winter,27.9,30.0,966.9,0.0,2.2,S,-2.75
1732631,2017-07-09 15:06:01,26.15,36.651,Winter,28.2,26.0,965.2,0.0,2.2,SSE,-2.0500000000000007
1732716,2017-07-09 17:06:01,25.65,35.935,Winter,25.7,31.0,964.3,0.0,0.0,N,-0.05000000000000071
1732820,2017-07-09 19:06:01,23.15,42.265,Winter,18.4,53.0,965.6,0.0,0.0,N,4.75
1732926,2017-07-09 21:06:01,21.649,45.364,Winter,15.1,66.0,966.8,0.0,0.0,N,6.549000000000001
1733013,2017-07-09 23:06:01,20.648,46.563,Winter,14.3,64.0,966.9,0.0,0.0,N,6.347999999999999
1733102,2017-07-10 01:06:01,19.646,47.762,Winter,11.8,75.0,967.4,0.0,0.0,N,7.846
1733207,2017-07-10 03:06:01,18.645,49.598,Winter,10.9,80.0,967.0,0.0,0.0,N,7.744999999999999
1733297,2017-07-10 05:06:01,17.643,51.428,Winter,10.9,75.0,966.8,0.0,0.0,N,6.743
1733387,2017-07-10 07:06:01,17.643,50.795,Winter,11.2,75.0,967.2,0.0,0.0,N,6.443000000000001
