,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725007,2017-07-03 01:11:01,17.063,38.572,Winter,9.3,84.0,969.1,0.0,0.0,N,7.762999999999998
1725106,2017-07-03 03:11:01,15.56,38.447,Winter,8.3,88.0,969.7,0.0,0.0,N,7.26
1725200,2017-07-03 05:11:01,14.558,37.591,Winter,7.6,89.0,968.7,0.0,0.0,N,6.958
1725300,2017-07-03 07:11:01,13.555,37.44,Winter,7.4,91.0,969.8,0.0,0.0,N,6.154999999999999
1725398,2017-07-03 09:11:01,17.564,43.169,Winter,17.4,53.0,970.0,0.0,0.0,N,0.16400000000000148
1725496,2017-07-03 11:11:01,26.07,36.794,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.370000000000001
1725592,2017-07-03 13:11:01,26.57,34.863,Winter,25.5,33.0,968.7,0.0,1.5,ENE,1.0700000000000003
1725692,2017-07-03 15:11:01,29.069,33.134,Winter,25.6,31.0,968.1,0.0,2.7,E,3.4689999999999976
1725791,2017-07-03 17:11:01,28.07,33.693,Winter,23.3,35.0,969.9,0.0,2.8,E,4.77
1725889,2017-07-03 19:11:01,25.07,36.032,Winter,20.3,45.0,971.2,0.0,1.5,E,4.77
1725986,2017-07-03 21:11:01,22.569,37.101,Winter,17.3,56.0,973.5,0.0,1.3,E,5.268999999999998
1726081,2017-07-03 23:11:01,20.568,37.568,Winter,16.9,63.0,974.0,0.0,1.4,E,3.668000000000003
1726178,2017-07-04 01:11:01,19.066,37.431,Winter,14.0,76.0,973.4,0.0,0.0,N,5.065999999999999
1726278,2017-07-04 03:11:01,17.564,38.614,Winter,12.6,82.0,973.2,0.0,0.0,N,4.964
1726372,2017-07-04 05:11:01,16.562,37.872,Winter,11.8,85.0,972.9,0.0,0.0,N,4.7620000000000005
1726470,2017-07-04 07:11:01,16.061,37.83,Winter,12.4,86.0,974.3,0.0,0.0,N,3.6609999999999996
1726566,2017-07-04 09:11:01,16.562,37.212,Winter,16.1,75.0,975.9,0.0,0.0,N,0.46199999999999974
1726663,2017-07-04 11:11:01,22.569,42.313,Winter,20.2,59.0,975.0,0.0,2.7,E,2.3689999999999998
1726760,2017-07-04 13:11:01,25.07,38.006,Winter,22.7,48.0,973.0,0.0,2.8,E,2.370000000000001
1726860,2017-07-04 15:11:01,26.07,38.109,Winter,22.9,44.0,972.7,0.0,2.6,E,3.1700000000000017
1726954,2017-07-04 17:11:01,26.57,37.505,Winter,21.2,48.0,972.1,0.0,1.6,E,5.370000000000001
1727051,2017-07-04 19:11:01,25.07,38.661,Winter,15.0,72.0,973.3,0.0,0.0,N,10.07
1727149,2017-07-04 21:11:01,22.569,40.371,Winter,12.9,77.0,973.9,0.0,0.0,N,9.668999999999999
1727244,2017-07-04 23:11:01,20.067,42.087,Winter,11.7,77.0,974.1,0.0,0.0,N,8.367
1727342,2017-07-05 01:11:01,18.064,42.564,Winter,11.0,83.0,974.4,0.0,0.0,N,7.064
1727437,2017-07-05 03:11:01,16.562,43.736,Winter,9.6,85.0,974.0,0.0,0.0,N,6.9620000000000015
1727534,2017-07-05 05:11:01,15.56,43.015,Winter,10.7,83.0,974.4,0.0,0.0,N,4.860000000000001
1727631,2017-07-05 07:11:01,15.059,42.33,Winter,10.7,86.0,974.6,0.0,0.0,N,4.359
1727726,2017-07-05 09:11:01,16.562,40.494,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.8379999999999974
1727825,2017-07-05 11:11:01,27.57,40.226,Winter,21.3,53.0,975.7,0.0,0.0,N,6.27
1727922,2017-07-05 13:11:01,27.57,36.293,Winter,24.0,41.0,973.5,0.0,1.8,ENE,3.5700000000000003
1728019,2017-07-05 15:11:01,28.57,32.411,Winter,24.3,36.0,971.6,0.0,1.4,E,4.27
1728116,2017-07-05 17:11:01,25.07,38.661,Winter,22.7,40.0,972.0,0.0,1.3,E,2.370000000000001
1728212,2017-07-05 19:11:01,23.57,45.612,Winter,15.2,68.0,973.4,0.0,0.0,N,8.370000000000001
1728312,2017-07-05 21:11:01,22.069,49.895,Winter,12.6,76.0,973.8,0.0,0.0,N,9.469
1728407,2017-07-05 23:11:01,20.067,51.602,Winter,11.0,77.0,974.6,0.0,0.0,N,9.067
1728507,2017-07-06 01:11:01,19.066,53.386,Winter,10.0,80.0,974.3,0.0,0.0,N,9.065999999999999
1728605,2017-07-06 03:11:01,17.564,55.132,Winter,9.1,83.0,974.3,0.0,0.0,N,8.464
1728700,2017-07-06 05:11:01,15.56,58.679,Winter,7.9,86.0,974.1,0.0,0.0,N,7.66
1728794,2017-07-06 07:11:01,15.56,59.889,Winter,7.6,87.0,975.6,0.0,0.0,N,7.960000000000001
1728893,2017-07-06 09:11:01,19.066,54.004,Winter,16.8,56.0,976.3,0.0,0.0,N,2.2659999999999982
1728988,2017-07-06 11:11:01,23.57,47.515,Winter,21.3,53.0,975.6,0.0,0.0,N,2.2699999999999996
1729088,2017-07-06 13:11:01,26.57,40.12,Winter,23.7,43.0,973.8,0.0,1.3,E,2.870000000000001
1729186,2017-07-06 15:11:01,27.57,32.303,Winter,24.5,35.0,972.6,0.0,2.1,E,3.0700000000000003
1729281,2017-07-06 17:11:01,24.07,39.866,Winter,22.4,42.0,972.4,0.0,1.6,E,1.6700000000000017
1729378,2017-07-06 19:11:01,23.07,46.836,Winter,17.9,63.0,973.2,0.0,0.0,N,5.170000000000002
1729476,2017-07-06 21:11:01,22.569,51.809,Winter,18.0,64.0,973.8,0.0,0.0,N,4.568999999999999
1729570,2017-07-06 23:11:01,21.569,57.25,Winter,15.5,76.0,974.9,0.0,0.0,N,6.068999999999999
1729670,2017-07-07 01:11:01,20.067,59.553,Winter,12.8,83.0,974.9,0.0,0.0,N,7.2669999999999995
1729766,2017-07-07 03:11:01,20.067,61.349,Winter,12.8,83.0,974.1,0.0,0.0,N,7.2669999999999995
1729863,2017-07-07 05:11:01,19.566,65.452,Winter,13.4,82.0,974.9,0.0,0.0,N,6.165999999999999
1729962,2017-07-07 07:11:01,19.066,71.196,Winter,13.8,87.0,976.1,0.0,0.0,N,5.265999999999998
1730057,2017-07-07 09:11:01,20.067,68.964,Winter,17.3,83.0,976.5,0.0,0.0,N,2.7669999999999995
1730155,2017-07-07 11:11:01,22.569,62.131,Winter,20.1,69.0,976.7,0.0,1.2,NE,2.4689999999999976
1730253,2017-07-07 13:11:01,24.07,51.324,Winter,22.6,53.0,974.0,0.0,1.3,E,1.4699999999999989
1730346,2017-07-07 15:11:01,27.57,38.922,Winter,23.4,46.0,973.2,0.0,1.7,ENE,4.170000000000002
1730444,2017-07-07 17:11:01,24.57,46.978,Winter,22.0,49.0,972.3,0.0,0.0,N,2.5700000000000003
1730542,2017-07-07 19:11:01,23.57,48.776,Winter,17.8,69.0,973.7,0.0,0.0,N,5.77
1730636,2017-07-07 21:11:01,22.069,52.386,Winter,15.8,71.0,974.0,0.0,0.0,N,6.268999999999998
1730733,2017-07-07 23:11:01,21.068,54.769,Winter,13.6,82.0,974.3,0.0,0.0,N,7.468000000000002
1730832,2017-07-08 01:11:01,19.566,57.1,Winter,11.9,84.0,973.5,0.0,0.0,N,7.665999999999999
1730930,2017-07-08 03:11:01,18.565,57.639,Winter,11.7,83.0,972.8,0.0,0.0,N,6.865000000000002
1731027,2017-07-08 05:11:01,18.064,58.214,Winter,11.4,86.0,972.9,0.0,0.0,N,6.664
1731121,2017-07-08 07:11:01,16.562,64.703,Winter,10.1,90.0,974.4,0.0,0.0,N,6.4620000000000015
1731220,2017-07-08 09:11:01,21.068,52.922,Winter,18.2,64.0,974.5,0.0,0.0,N,2.868000000000002
1731317,2017-07-08 11:11:01,25.07,47.659,Winter,22.4,57.0,973.7,0.0,0.0,N,2.6700000000000017
