,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724997,2017-07-03 01:09:01,17.552,38.012,Winter,9.3,84.0,969.1,0.0,0.0,N,8.251999999999999
1725091,2017-07-03 03:09:01,16.55,37.927,Winter,8.3,88.0,969.7,0.0,0.0,N,8.25
1725192,2017-07-03 05:09:01,15.549,37.187,Winter,7.6,89.0,968.7,0.0,0.0,N,7.949
1725289,2017-07-03 07:09:01,15.048,37.145,Winter,7.4,91.0,969.8,0.0,0.0,N,7.648
1725388,2017-07-03 09:09:01,17.051,45.719,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.3490000000000002
1725483,2017-07-03 11:09:01,26.557,36.913,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.8569999999999993
1725582,2017-07-03 13:09:01,26.057,36.205,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.5569999999999986
1725681,2017-07-03 15:09:01,28.056,35.76,Winter,25.6,31.0,968.1,0.0,2.7,E,2.4559999999999995
1725776,2017-07-03 17:09:01,27.556,35.706,Winter,23.3,35.0,969.9,0.0,2.8,E,4.256
1725875,2017-07-03 19:09:01,25.057,37.411,Winter,20.3,45.0,971.2,0.0,1.5,E,4.756999999999998
1725974,2017-07-03 21:09:01,23.056,37.865,Winter,17.3,56.0,973.5,0.0,1.3,E,5.756
1726071,2017-07-03 23:09:01,21.055,37.019,Winter,16.9,63.0,974.0,0.0,1.4,E,4.155000000000001
1726169,2017-07-04 01:09:01,20.054,36.926,Winter,14.0,76.0,973.4,0.0,0.0,N,6.0539999999999985
1726265,2017-07-04 03:09:01,18.052,38.056,Winter,12.6,82.0,973.2,0.0,0.0,N,5.452
1726365,2017-07-04 05:09:01,17.552,37.357,Winter,11.8,85.0,972.9,0.0,0.0,N,5.751999999999999
1726460,2017-07-04 07:09:01,16.55,37.927,Winter,12.4,86.0,974.3,0.0,0.0,N,4.15
1726557,2017-07-04 09:09:01,17.051,36.657,Winter,16.1,75.0,975.9,0.0,0.0,N,0.950999999999997
1726653,2017-07-04 11:09:01,21.555,44.815,Winter,20.2,59.0,975.0,0.0,2.7,E,1.3550000000000004
1726750,2017-07-04 13:09:01,23.556,42.444,Winter,22.7,48.0,973.0,0.0,2.8,E,0.8560000000000016
1726849,2017-07-04 15:09:01,25.557,40.711,Winter,22.9,44.0,972.7,0.0,2.6,E,2.657
1726945,2017-07-04 17:09:01,26.557,38.87,Winter,21.2,48.0,972.1,0.0,1.6,E,5.356999999999999
1727042,2017-07-04 19:09:01,26.057,38.818,Winter,15.0,72.0,973.3,0.0,0.0,N,11.056999999999999
1727135,2017-07-04 21:09:01,23.556,39.864,Winter,12.9,77.0,973.9,0.0,0.0,N,10.656
1727236,2017-07-04 23:09:01,21.055,40.275,Winter,11.7,77.0,974.1,0.0,0.0,N,9.355
1727329,2017-07-05 01:09:01,19.554,41.434,Winter,11.0,83.0,974.4,0.0,0.0,N,8.553999999999998
1727427,2017-07-05 03:09:01,18.052,41.307,Winter,9.6,85.0,974.0,0.0,0.0,N,8.452
1727523,2017-07-05 05:09:01,16.55,41.832,Winter,10.7,83.0,974.4,0.0,0.0,N,5.850000000000001
1727620,2017-07-05 07:09:01,16.049,42.439,Winter,10.7,86.0,974.6,0.0,0.0,N,5.349
1727717,2017-07-05 09:09:01,16.55,41.832,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.8499999999999979
1727815,2017-07-05 11:09:01,31.554,33.503,Winter,21.3,53.0,975.7,0.0,0.0,N,10.253999999999998
1727911,2017-07-05 13:09:01,29.555,35.265,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.555
1728009,2017-07-05 15:09:01,30.554,35.377,Winter,24.3,36.0,971.6,0.0,1.4,E,6.253999999999998
1728107,2017-07-05 17:09:01,32.053,32.895,Winter,22.7,40.0,972.0,0.0,1.3,E,9.352999999999998
1728201,2017-07-05 19:09:01,27.556,35.048,Winter,15.2,68.0,973.4,0.0,0.0,N,12.356000000000002
1728299,2017-07-05 21:09:01,23.556,37.261,Winter,12.6,76.0,973.8,0.0,0.0,N,10.956000000000001
1728395,2017-07-05 23:09:01,21.055,38.326,Winter,11.0,77.0,974.6,0.0,0.0,N,10.055
1728494,2017-07-06 01:09:01,18.052,40.011,Winter,10.0,80.0,974.3,0.0,0.0,N,8.052
1728595,2017-07-06 03:09:01,16.049,40.496,Winter,9.1,83.0,974.3,0.0,0.0,N,6.949
1728687,2017-07-06 05:09:01,14.046,40.76,Winter,7.9,86.0,974.1,0.0,0.0,N,6.145999999999999
1728787,2017-07-06 07:09:01,12.543,40.535,Winter,7.6,87.0,975.6,0.0,0.0,N,4.943
1728883,2017-07-06 09:09:01,19.554,48.442,Winter,16.8,56.0,976.3,0.0,0.0,N,2.753999999999998
1728979,2017-07-06 11:09:01,25.557,50.852,Winter,21.3,53.0,975.6,0.0,0.0,N,4.256999999999998
1729077,2017-07-06 13:09:01,29.555,33.28,Winter,23.7,43.0,973.8,0.0,1.3,E,5.855
1729174,2017-07-06 15:09:01,27.056,34.994,Winter,24.5,35.0,972.6,0.0,2.1,E,2.556000000000001
1729274,2017-07-06 17:09:01,26.557,34.941,Winter,22.4,42.0,972.4,0.0,1.6,E,4.157
1729368,2017-07-06 19:09:01,24.557,36.05,Winter,17.9,63.0,973.2,0.0,0.0,N,6.657
1729465,2017-07-06 21:09:01,24.057,37.963,Winter,18.0,64.0,973.8,0.0,0.0,N,6.056999999999999
1729559,2017-07-06 23:09:01,22.556,40.415,Winter,15.5,76.0,974.9,0.0,0.0,N,7.056000000000001
1729658,2017-07-07 01:09:01,21.055,41.567,Winter,12.8,83.0,974.9,0.0,0.0,N,8.254999999999999
1729758,2017-07-07 03:09:01,19.554,42.079,Winter,12.8,83.0,974.1,0.0,0.0,N,6.753999999999998
1729853,2017-07-07 05:09:01,19.053,42.036,Winter,13.4,82.0,974.9,0.0,0.0,N,5.6530000000000005
1729951,2017-07-07 07:09:01,18.553,42.638,Winter,13.8,87.0,976.1,0.0,0.0,N,4.753
1730048,2017-07-07 09:09:01,20.054,41.478,Winter,17.3,83.0,976.5,0.0,0.0,N,2.753999999999998
1730147,2017-07-07 11:09:01,22.056,44.223,Winter,20.1,69.0,976.7,0.0,1.2,NE,1.9559999999999995
1730242,2017-07-07 13:09:01,24.057,47.577,Winter,22.6,53.0,974.0,0.0,1.3,E,1.4569999999999972
1730338,2017-07-07 15:09:01,24.557,43.182,Winter,23.4,46.0,973.2,0.0,1.7,ENE,1.157
1730432,2017-07-07 17:09:01,24.557,45.095,Winter,22.0,49.0,972.3,0.0,0.0,N,2.5569999999999986
1730532,2017-07-07 19:09:01,25.057,47.044,Winter,17.8,69.0,973.7,0.0,0.0,N,7.256999999999998
1730625,2017-07-07 21:09:01,24.557,46.995,Winter,15.8,71.0,974.0,0.0,0.0,N,8.756999999999998
1730725,2017-07-07 23:09:01,24.057,46.947,Winter,13.6,82.0,974.3,0.0,0.0,N,10.456999999999999
1730822,2017-07-08 01:09:01,23.556,46.9,Winter,11.9,84.0,973.5,0.0,0.0,N,11.656
1730917,2017-07-08 03:09:01,23.056,46.853,Winter,11.7,83.0,972.8,0.0,0.0,N,11.356000000000002
1731013,2017-07-08 05:09:01,22.056,46.762,Winter,11.4,86.0,972.9,0.0,0.0,N,10.656
1731110,2017-07-08 07:09:01,21.555,46.718,Winter,10.1,90.0,974.4,0.0,0.0,N,11.455
1731206,2017-07-08 09:09:01,21.055,47.936,Winter,18.2,64.0,974.5,0.0,0.0,N,2.8550000000000004
1731304,2017-07-08 11:09:01,20.555,51.023,Winter,22.4,57.0,973.7,0.0,0.0,N,-1.8449999999999989
1731402,2017-07-08 13:09:01,21.055,53.539,Winter,24.7,48.0,970.9,0.0,1.2,ENE,-3.6449999999999996
1731501,2017-07-08 15:09:01,21.055,54.154,Winter,25.3,43.0,969.8,0.0,1.5,NE,-4.245000000000001
1731597,2017-07-08 17:09:01,21.055,56.599,Winter,23.6,47.0,968.7,0.0,1.3,NNE,-2.5450000000000017
1731690,2017-07-08 19:09:01,21.055,57.207,Winter,17.9,69.0,970.4,0.0,0.0,N,3.155000000000001
1731785,2017-07-08 21:09:01,20.555,58.38,Winter,17.0,74.0,971.2,0.0,0.0,N,3.5549999999999997
