,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724951,2017-07-03 01:06:01,17.578,37.868,Winter,9.3,84.0,969.1,0.0,0.0,N,8.277999999999999
1725050,2017-07-03 03:06:01,16.077,37.741,Winter,8.3,88.0,969.7,0.0,0.0,N,7.777000000000001
1725176,2017-07-03 05:06:01,15.076,37.658,Winter,7.6,89.0,968.7,0.0,0.0,N,7.476000000000001
1725261,2017-07-03 07:06:01,14.075,37.428,Winter,7.4,91.0,969.8,0.0,0.0,N,6.674999999999999
1725361,2017-07-03 09:06:01,15.576,48.665,Winter,17.4,53.0,970.0,0.0,0.0,N,-1.823999999999998
1725456,2017-07-03 11:06:01,24.582,40.473,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.8820000000000014
1725533,2017-07-03 13:06:01,25.582,37.315,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.08200000000000074
1725643,2017-07-03 15:06:01,26.582,37.42,Winter,25.6,31.0,968.1,0.0,2.7,E,0.9819999999999993
1725737,2017-07-03 17:06:01,27.082,35.499,Winter,23.3,35.0,969.9,0.0,2.8,E,3.782
1725847,2017-07-03 19:06:01,25.582,36.659,Winter,20.3,45.0,971.2,0.0,1.5,E,5.282
1725924,2017-07-03 21:06:01,23.082,36.407,Winter,17.3,56.0,973.5,0.0,1.3,E,5.782
1726031,2017-07-03 23:06:01,21.081,36.871,Winter,16.9,63.0,974.0,0.0,1.4,E,4.181000000000001
1726137,2017-07-04 01:06:01,19.58,36.732,Winter,14.0,76.0,973.4,0.0,0.0,N,5.579999999999998
1726217,2017-07-04 03:06:01,18.079,37.255,Winter,12.6,82.0,973.2,0.0,0.0,N,5.479000000000001
1726315,2017-07-04 05:06:01,17.078,37.825,Winter,11.8,85.0,972.9,0.0,0.0,N,5.277999999999999
1726441,2017-07-04 07:06:01,16.077,37.741,Winter,12.4,86.0,974.3,0.0,0.0,N,3.6770000000000014
1726525,2017-07-04 09:06:01,16.577,37.783,Winter,16.1,75.0,975.9,0.0,0.0,N,0.4770000000000003
1726638,2017-07-04 11:06:01,21.081,45.919,Winter,20.2,59.0,975.0,0.0,2.7,E,0.8810000000000002
1726718,2017-07-04 13:06:01,23.582,41.668,Winter,22.7,48.0,973.0,0.0,2.8,E,0.8820000000000014
1726817,2017-07-04 15:06:01,24.582,40.473,Winter,22.9,44.0,972.7,0.0,2.6,E,1.6820000000000022
1726914,2017-07-04 17:06:01,25.082,40.523,Winter,21.2,48.0,972.1,0.0,1.6,E,3.8820000000000014
1727016,2017-07-04 19:06:01,25.082,38.573,Winter,15.0,72.0,973.3,0.0,0.0,N,10.082
1727102,2017-07-04 21:06:01,23.082,40.326,Winter,12.9,77.0,973.9,0.0,0.0,N,10.182
1727193,2017-07-04 23:06:01,21.081,40.138,Winter,11.7,77.0,974.1,0.0,0.0,N,9.381
1727279,2017-07-05 01:06:01,19.58,40.003,Winter,11.0,83.0,974.4,0.0,0.0,N,8.579999999999998
1727402,2017-07-05 03:06:01,18.079,40.524,Winter,9.6,85.0,974.0,0.0,0.0,N,8.479000000000001
1727502,2017-07-05 05:06:01,16.577,41.051,Winter,10.7,83.0,974.4,0.0,0.0,N,5.8770000000000024
1727573,2017-07-05 07:06:01,16.077,41.011,Winter,10.7,86.0,974.6,0.0,0.0,N,5.3770000000000024
1727671,2017-07-05 09:06:01,16.077,42.308,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.3229999999999968
1727778,2017-07-05 11:06:01,28.581,38.288,Winter,21.3,53.0,975.7,0.0,0.0,N,7.280999999999999
1727869,2017-07-05 13:06:01,29.081,34.391,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.0809999999999995
