,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725036,2017-07-03 01:16:01,17.606,37.054,Winter,9.3,84.0,969.1,0.0,0.0,N,8.306000000000001
1725134,2017-07-03 03:16:01,16.605,37.63,Winter,8.3,88.0,969.7,0.0,0.0,N,8.305
1725232,2017-07-03 05:16:01,15.604,37.546,Winter,7.6,89.0,968.7,0.0,0.0,N,8.004
1725328,2017-07-03 07:16:01,14.603,36.711,Winter,7.4,91.0,969.8,0.0,0.0,N,7.202999999999999
1725427,2017-07-03 09:16:01,17.606,42.951,Winter,17.4,53.0,970.0,0.0,0.0,N,0.20600000000000307
1725522,2017-07-03 11:16:01,23.109,42.138,Winter,23.7,37.0,969.7,0.0,1.1,WSW,-0.5909999999999975
1725620,2017-07-03 13:16:01,25.609,37.156,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.10900000000000176
1725718,2017-07-03 15:16:01,26.109,31.873,Winter,25.6,31.0,968.1,0.0,2.7,E,0.5090000000000003
1725815,2017-07-03 17:16:01,24.609,33.061,Winter,23.3,35.0,969.9,0.0,2.8,E,1.309000000000001
1725916,2017-07-03 19:16:01,23.609,40.236,Winter,20.3,45.0,971.2,0.0,1.5,E,3.309000000000001
1726010,2017-07-03 21:16:01,22.609,42.738,Winter,17.3,56.0,973.5,0.0,1.3,E,5.309000000000001
1726108,2017-07-03 23:16:01,21.609,47.131,Winter,16.9,63.0,974.0,0.0,1.4,E,4.709000000000003
1726207,2017-07-04 01:16:01,20.608,51.453,Winter,14.0,76.0,973.4,0.0,0.0,N,6.6080000000000005
1726305,2017-07-04 03:16:01,20.108,53.279,Winter,12.6,82.0,973.2,0.0,0.0,N,7.508000000000001
1726400,2017-07-04 05:16:01,19.107,55.056,Winter,11.8,85.0,972.9,0.0,0.0,N,7.306999999999999
1726498,2017-07-04 07:16:01,19.107,60.522,Winter,12.4,86.0,974.3,0.0,0.0,N,6.706999999999999
1726596,2017-07-04 09:16:01,19.107,64.68,Winter,16.1,75.0,975.9,0.0,0.0,N,3.006999999999998
1726692,2017-07-04 11:16:01,22.609,56.552,Winter,20.2,59.0,975.0,0.0,2.7,E,2.4090000000000025
1726791,2017-07-04 13:16:01,24.109,47.993,Winter,22.7,48.0,973.0,0.0,2.8,E,1.4090000000000025
1726886,2017-07-04 15:16:01,25.109,42.334,Winter,22.9,44.0,972.7,0.0,2.6,E,2.209000000000003
1726985,2017-07-04 17:16:01,23.609,44.121,Winter,21.2,48.0,972.1,0.0,1.6,E,2.4090000000000025
1727077,2017-07-04 19:16:01,22.609,46.585,Winter,15.0,72.0,973.3,0.0,0.0,N,7.609000000000002
1727175,2017-07-04 21:16:01,21.609,49.029,Winter,12.9,77.0,973.9,0.0,0.0,N,8.709000000000001
1727270,2017-07-04 23:16:01,20.608,50.829,Winter,11.7,77.0,974.1,0.0,0.0,N,8.908000000000001
1727371,2017-07-05 01:16:01,19.107,51.337,Winter,11.0,83.0,974.4,0.0,0.0,N,8.107
1727465,2017-07-05 03:16:01,18.106,52.512,Winter,9.6,85.0,974.0,0.0,0.0,N,8.506000000000002
1727562,2017-07-05 05:16:01,17.606,53.099,Winter,10.7,83.0,974.4,0.0,0.0,N,6.906000000000002
1727660,2017-07-05 07:16:01,17.105,59.197,Winter,10.7,86.0,974.6,0.0,0.0,N,6.405000000000001
1727758,2017-07-05 09:16:01,19.607,59.352,Winter,17.4,68.0,976.4,0.0,0.0,N,2.2070000000000007
1727852,2017-07-05 11:16:01,23.109,51.043,Winter,21.3,53.0,975.7,0.0,0.0,N,1.809000000000001
1727951,2017-07-05 13:16:01,25.609,43.675,Winter,24.0,41.0,973.5,0.0,1.8,ENE,1.6090000000000018
1728049,2017-07-05 15:16:01,25.609,34.501,Winter,24.3,36.0,971.6,0.0,1.4,E,1.309000000000001
1728143,2017-07-05 17:16:01,25.609,39.129,Winter,22.7,40.0,972.0,0.0,1.3,E,2.9090000000000025
1728242,2017-07-05 19:16:01,23.609,43.478,Winter,15.2,68.0,973.4,0.0,0.0,N,8.409000000000002
1728337,2017-07-05 21:16:01,22.609,44.027,Winter,12.6,76.0,973.8,0.0,0.0,N,10.009000000000002
1728434,2017-07-05 23:16:01,20.608,44.49,Winter,11.0,77.0,974.6,0.0,0.0,N,9.608
1728534,2017-07-06 01:16:01,19.107,46.923,Winter,10.0,80.0,974.3,0.0,0.0,N,9.107
1728631,2017-07-06 03:16:01,17.606,49.344,Winter,9.1,83.0,974.3,0.0,0.0,N,8.506000000000002
1728730,2017-07-06 05:16:01,16.605,51.162,Winter,7.9,86.0,974.1,0.0,0.0,N,8.705
1728821,2017-07-06 07:16:01,16.104,53.004,Winter,7.6,87.0,975.6,0.0,0.0,N,8.504
1728921,2017-07-06 09:16:01,18.607,54.405,Winter,16.8,56.0,976.3,0.0,0.0,N,1.8069999999999986
1729016,2017-07-06 11:16:01,22.609,50.373,Winter,21.3,53.0,975.6,0.0,0.0,N,1.309000000000001
1729116,2017-07-06 13:16:01,24.609,44.86,Winter,23.7,43.0,973.8,0.0,1.3,E,0.9090000000000025
1729215,2017-07-06 15:16:01,26.109,36.546,Winter,24.5,35.0,972.6,0.0,2.1,E,1.6090000000000018
1729312,2017-07-06 17:16:01,24.109,40.937,Winter,22.4,42.0,972.4,0.0,1.6,E,1.7090000000000032
1729406,2017-07-06 19:16:01,24.109,44.811,Winter,17.9,63.0,973.2,0.0,0.0,N,6.209000000000003
1729500,2017-07-06 21:16:01,23.609,48.578,Winter,18.0,64.0,973.8,0.0,0.0,N,5.609000000000002
1729598,2017-07-06 23:16:01,22.609,49.117,Winter,15.5,76.0,974.9,0.0,0.0,N,7.109000000000002
1729696,2017-07-07 01:16:01,21.108,53.357,Winter,12.8,83.0,974.9,0.0,0.0,N,8.308
1729797,2017-07-07 03:16:01,21.108,53.357,Winter,12.8,83.0,974.1,0.0,0.0,N,8.308
1729895,2017-07-07 05:16:01,20.108,56.354,Winter,13.4,82.0,974.9,0.0,0.0,N,6.708
1729991,2017-07-07 07:16:01,20.108,61.187,Winter,13.8,87.0,976.1,0.0,0.0,N,6.308
1730086,2017-07-07 09:16:01,21.108,68.879,Winter,17.3,83.0,976.5,0.0,0.0,N,3.808
1730183,2017-07-07 11:16:01,23.109,62.013,Winter,20.1,69.0,976.7,0.0,1.2,NE,3.0090000000000003
1730281,2017-07-07 13:16:01,25.109,50.606,Winter,22.6,53.0,974.0,0.0,1.3,E,2.5090000000000003
1730375,2017-07-07 15:16:01,26.109,43.726,Winter,23.4,46.0,973.2,0.0,1.7,ENE,2.709000000000003
1730470,2017-07-07 17:16:01,25.609,45.599,Winter,22.0,49.0,972.3,0.0,0.0,N,3.6090000000000018
1730568,2017-07-07 19:16:01,24.609,49.303,Winter,17.8,69.0,973.7,0.0,0.0,N,6.809000000000001
1730663,2017-07-07 21:16:01,23.609,49.836,Winter,15.8,71.0,974.0,0.0,0.0,N,7.809000000000001
1730765,2017-07-07 23:16:01,22.609,52.244,Winter,13.6,82.0,974.3,0.0,0.0,N,9.009000000000002
1730858,2017-07-08 01:16:01,20.608,50.829,Winter,11.9,84.0,973.5,0.0,0.0,N,8.708
1730958,2017-07-08 03:16:01,19.607,51.999,Winter,11.7,83.0,972.8,0.0,0.0,N,7.907
1731052,2017-07-08 05:16:01,18.607,54.405,Winter,11.4,86.0,972.9,0.0,0.0,N,7.206999999999999
1731150,2017-07-08 07:16:01,18.106,57.436,Winter,10.1,90.0,974.4,0.0,0.0,N,8.006000000000002
1731246,2017-07-08 09:16:01,20.108,56.354,Winter,18.2,64.0,974.5,0.0,0.0,N,1.9080000000000013
1731343,2017-07-08 11:16:01,23.609,54.189,Winter,22.4,57.0,973.7,0.0,0.0,N,1.2090000000000032
1731438,2017-07-08 13:16:01,25.609,49.401,Winter,24.7,48.0,970.9,0.0,1.2,ENE,0.9090000000000025
1731539,2017-07-08 15:16:01,27.109,43.186,Winter,25.3,43.0,969.8,0.0,1.5,NE,1.809000000000001
1731634,2017-07-08 17:16:01,26.109,43.726,Winter,23.6,47.0,968.7,0.0,1.3,NNE,2.5090000000000003
1731732,2017-07-08 19:16:01,25.109,49.979,Winter,17.9,69.0,970.4,0.0,0.0,N,7.209000000000003
1731825,2017-07-08 21:16:01,23.609,51.088,Winter,17.0,74.0,971.2,0.0,0.0,N,6.609000000000002
