,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724952,2017-07-03 01:06:01,17.063,36.97,Winter,9.3,84.0,969.1,0.0,0.0,N,7.762999999999998
1725076,2017-07-03 03:06:01,16.061,36.884,Winter,8.3,88.0,969.7,0.0,0.0,N,7.760999999999999
1725160,2017-07-03 05:06:01,15.059,36.8,Winter,7.6,89.0,968.7,0.0,0.0,N,7.459
1725239,2017-07-03 07:06:01,14.057,36.594,Winter,7.4,91.0,969.8,0.0,0.0,N,6.657
1725342,2017-07-03 09:06:01,14.558,49.367,Winter,17.4,53.0,970.0,0.0,0.0,N,-2.8419999999999987
1725441,2017-07-03 11:06:01,23.57,40.856,Winter,23.7,37.0,969.7,0.0,1.1,WSW,-0.129999999999999
1725543,2017-07-03 13:06:01,25.07,36.398,Winter,25.5,33.0,968.7,0.0,1.5,ENE,-0.4299999999999997
1725644,2017-07-03 15:06:01,26.57,37.217,Winter,25.6,31.0,968.1,0.0,2.7,E,0.9699999999999989
1725738,2017-07-03 17:06:01,26.57,35.889,Winter,23.3,35.0,969.9,0.0,2.8,E,3.2699999999999996
1725853,2017-07-03 19:06:01,25.07,35.066,Winter,20.3,45.0,971.2,0.0,1.5,E,4.77
1725942,2017-07-03 21:06:01,22.569,35.482,Winter,17.3,56.0,973.5,0.0,1.3,E,5.268999999999998
1726024,2017-07-03 23:06:01,20.568,35.289,Winter,16.9,63.0,974.0,0.0,1.4,E,3.668000000000003
1726131,2017-07-04 01:06:01,19.567,35.863,Winter,14.0,76.0,973.4,0.0,0.0,N,5.567
1726220,2017-07-04 03:06:01,17.564,36.348,Winter,12.6,82.0,973.2,0.0,0.0,N,4.964
1726338,2017-07-04 05:06:01,16.562,37.592,Winter,11.8,85.0,972.9,0.0,0.0,N,4.7620000000000005
1726412,2017-07-04 07:06:01,16.061,38.213,Winter,12.4,86.0,974.3,0.0,0.0,N,3.6609999999999996
1726517,2017-07-04 09:06:01,16.061,38.213,Winter,16.1,75.0,975.9,0.0,0.0,N,-0.03900000000000148
1726609,2017-07-04 11:06:01,21.569,43.909,Winter,20.2,59.0,975.0,0.0,2.7,E,1.3689999999999998
1726722,2017-07-04 13:06:01,23.57,40.856,Winter,22.7,48.0,973.0,0.0,2.8,E,0.870000000000001
1726821,2017-07-04 15:06:01,24.57,38.99,Winter,22.9,44.0,972.7,0.0,2.6,E,1.6700000000000017
1726930,2017-07-04 17:06:01,25.57,40.402,Winter,21.2,48.0,972.1,0.0,1.6,E,4.370000000000001
1727025,2017-07-04 19:06:01,25.07,37.723,Winter,15.0,72.0,973.3,0.0,0.0,N,10.07
1727120,2017-07-04 21:06:01,22.569,39.451,Winter,12.9,77.0,973.9,0.0,0.0,N,9.668999999999999
1727204,2017-07-04 23:06:01,20.568,39.92,Winter,11.7,77.0,974.1,0.0,0.0,N,8.868000000000002
1727281,2017-07-05 01:06:01,19.066,39.787,Winter,11.0,83.0,974.4,0.0,0.0,N,8.065999999999999
1727375,2017-07-05 03:06:01,17.564,40.315,Winter,9.6,85.0,974.0,0.0,0.0,N,7.964
1727475,2017-07-05 05:06:01,16.061,40.848,Winter,10.7,83.0,974.4,0.0,0.0,N,5.361000000000001
1727569,2017-07-05 07:06:01,15.059,41.426,Winter,10.7,86.0,974.6,0.0,0.0,N,4.359
1727698,2017-07-05 09:06:01,15.56,41.464,Winter,17.4,68.0,976.4,0.0,0.0,N,-1.839999999999998
1727775,2017-07-05 11:06:01,28.07,38.697,Winter,21.3,53.0,975.7,0.0,0.0,N,6.77
1727892,2017-07-05 13:06:01,29.069,34.152,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.068999999999999
1727954,2017-07-05 15:06:01,30.068,36.934,Winter,24.3,36.0,971.6,0.0,1.4,E,5.768000000000001
1728065,2017-07-05 17:06:01,30.568,33.646,Winter,22.7,40.0,972.0,0.0,1.3,E,7.868000000000002
1728171,2017-07-05 19:06:01,27.57,33.99,Winter,15.2,68.0,973.4,0.0,0.0,N,12.370000000000001
1728258,2017-07-05 21:06:01,23.57,35.581,Winter,12.6,76.0,973.8,0.0,0.0,N,10.97
1728361,2017-07-05 23:06:01,20.568,35.956,Winter,11.0,77.0,974.6,0.0,0.0,N,9.568000000000001
1728444,2017-07-06 01:06:01,18.064,38.383,Winter,10.0,80.0,974.3,0.0,0.0,N,8.064
1728544,2017-07-06 03:06:01,15.56,38.834,Winter,9.1,83.0,974.3,0.0,0.0,N,6.460000000000001
1728641,2017-07-06 05:06:01,13.556,39.113,Winter,7.9,86.0,974.1,0.0,0.0,N,5.655999999999999
1728739,2017-07-06 07:06:01,12.052,39.535,Winter,7.6,87.0,975.6,0.0,0.0,N,4.452
1728861,2017-07-06 09:06:01,16.562,52.387,Winter,16.8,56.0,976.3,0.0,0.0,N,-0.23799999999999955
1728932,2017-07-06 11:06:01,24.57,40.301,Winter,21.3,53.0,975.6,0.0,0.0,N,3.2699999999999996
1729029,2017-07-06 13:06:01,28.07,32.698,Winter,23.7,43.0,973.8,0.0,1.3,E,4.370000000000001
1729135,2017-07-06 15:06:01,26.07,45.624,Winter,24.5,35.0,972.6,0.0,2.1,E,1.5700000000000003
1729253,2017-07-06 17:06:01,22.569,45.284,Winter,22.4,42.0,972.4,0.0,1.6,E,0.16900000000000048
1729333,2017-07-06 19:06:01,21.569,53.372,Winter,17.9,63.0,973.2,0.0,0.0,N,3.6690000000000005
1729433,2017-07-06 21:06:01,20.067,58.747,Winter,18.0,64.0,973.8,0.0,0.0,N,2.067
1729540,2017-07-06 23:06:01,19.066,63.446,Winter,15.5,76.0,974.9,0.0,0.0,N,3.565999999999999
1729608,2017-07-07 01:06:01,17.564,66.287,Winter,12.8,83.0,974.9,0.0,0.0,N,4.763999999999999
1729722,2017-07-07 03:06:01,17.063,67.999,Winter,12.8,83.0,974.1,0.0,0.0,N,4.262999999999998
1729804,2017-07-07 05:06:01,17.063,66.263,Winter,13.4,82.0,974.9,0.0,0.0,N,3.6629999999999985
1729901,2017-07-07 07:06:01,16.562,70.838,Winter,13.8,87.0,976.1,0.0,0.0,N,2.7620000000000005
1730000,2017-07-07 09:06:01,19.066,71.515,Winter,17.3,83.0,976.5,0.0,0.0,N,1.7659999999999982
1730128,2017-07-07 11:06:01,23.57,59.625,Winter,20.1,69.0,976.7,0.0,1.2,NE,3.469999999999999
1730189,2017-07-07 13:06:01,24.57,47.385,Winter,22.6,53.0,974.0,0.0,1.3,E,1.9699999999999989
1730306,2017-07-07 15:06:01,25.07,42.951,Winter,23.4,46.0,973.2,0.0,1.7,ENE,1.6700000000000017
1730389,2017-07-07 17:06:01,22.569,55.3,Winter,22.0,49.0,972.3,0.0,0.0,N,0.5689999999999991
1730499,2017-07-07 19:06:01,21.569,58.859,Winter,17.8,69.0,973.7,0.0,0.0,N,3.7689999999999984
1730598,2017-07-07 21:06:01,19.567,64.065,Winter,15.8,71.0,974.0,0.0,0.0,N,3.7669999999999995
1730700,2017-07-07 23:06:01,18.064,69.194,Winter,13.6,82.0,974.3,0.0,0.0,N,4.464
1730772,2017-07-08 01:06:01,17.063,69.719,Winter,11.9,84.0,973.5,0.0,0.0,N,5.1629999999999985
1730876,2017-07-08 03:06:01,16.061,71.387,Winter,11.7,83.0,972.8,0.0,0.0,N,4.361000000000001
1730975,2017-07-08 05:06:01,16.061,71.387,Winter,11.4,86.0,972.9,0.0,0.0,N,4.661
1731060,2017-07-08 07:06:01,15.059,72.488,Winter,10.1,90.0,974.4,0.0,0.0,N,4.959
1731173,2017-07-08 09:06:01,20.568,57.575,Winter,18.2,64.0,974.5,0.0,0.0,N,2.368000000000002
1731268,2017-07-08 11:06:01,28.07,45.195,Winter,22.4,57.0,973.7,0.0,0.0,N,5.670000000000002
1731381,2017-07-08 13:06:01,26.57,43.75,Winter,24.7,48.0,970.9,0.0,1.2,ENE,1.870000000000001
1731462,2017-07-08 15:06:01,26.57,42.458,Winter,25.3,43.0,969.8,0.0,1.5,NE,1.2699999999999996
1731544,2017-07-08 17:06:01,23.57,52.308,Winter,23.6,47.0,968.7,0.0,1.3,NNE,-0.030000000000001137
1731672,2017-07-08 19:06:01,21.569,60.059,Winter,17.9,69.0,970.4,0.0,0.0,N,3.6690000000000005
1731744,2017-07-08 21:06:01,20.067,67.007,Winter,17.0,74.0,971.2,0.0,0.0,N,3.067
1731866,2017-07-08 23:06:01,18.565,68.646,Winter,14.4,80.0,971.0,0.0,0.0,N,4.165000000000001
1731934,2017-07-09 01:06:01,17.564,69.741,Winter,12.3,87.0,970.6,0.0,0.0,N,5.263999999999999
1732052,2017-07-09 03:06:01,16.562,71.405,Winter,11.0,90.0,970.3,0.0,0.0,N,5.562000000000001
1732120,2017-07-09 05:06:01,15.56,81.282,Winter,10.2,89.0,969.7,0.0,0.0,N,5.360000000000001
1732217,2017-07-09 07:06:01,15.059,71.924,Winter,9.6,90.0,970.2,0.0,0.0,N,5.459
1732349,2017-07-09 09:06:01,21.068,54.564,Winter,18.7,58.0,970.4,0.0,2.2,SW,2.368000000000002
1732428,2017-07-09 11:06:01,26.07,41.106,Winter,25.1,41.0,969.3,0.0,1.5,SW,0.9699999999999989
1732511,2017-07-09 13:06:01,29.569,30.148,Winter,27.9,30.0,966.9,0.0,2.2,S,1.6690000000000005
1732621,2017-07-09 15:06:01,29.069,27.353,Winter,28.2,26.0,965.2,0.0,2.2,SSE,0.8689999999999998
1732704,2017-07-09 17:06:01,24.57,32.33,Winter,25.7,31.0,964.3,0.0,0.0,N,-1.129999999999999
1732815,2017-07-09 19:06:01,22.069,51.554,Winter,18.4,53.0,965.6,0.0,0.0,N,3.6690000000000005
1732929,2017-07-09 21:06:01,20.067,57.538,Winter,15.1,66.0,966.8,0.0,0.0,N,4.9670000000000005
1733000,2017-07-09 23:06:01,18.565,62.234,Winter,14.3,64.0,966.9,0.0,0.0,N,4.265000000000001
1733125,2017-07-10 01:06:01,18.064,64.563,Winter,11.8,75.0,967.4,0.0,0.0,N,6.263999999999999
1733213,2017-07-10 03:06:01,17.063,66.263,Winter,10.9,80.0,967.0,0.0,0.0,N,6.1629999999999985
1733304,2017-07-10 05:06:01,16.562,63.899,Winter,10.9,75.0,966.8,0.0,0.0,N,5.662000000000001
1733409,2017-07-10 07:06:01,16.061,61.504,Winter,11.2,75.0,967.2,0.0,0.0,N,4.861000000000001
1733484,2017-07-10 09:06:01,21.569,44.552,Winter,21.0,42.0,968.2,0.0,0.0,N,0.5689999999999991
1733592,2017-07-10 11:06:01,28.57,26.609,Winter,28.1,27.0,968.1,0.0,0.0,N,0.46999999999999886
1733674,2017-07-10 13:06:01,30.068,21.189,Winter,30.3,21.0,965.6,0.0,2.0,SSE,-0.23199999999999932
1733771,2017-07-10 15:06:01,30.568,32.972,Winter,29.4,21.0,965.2,0.0,1.8,ESE,1.1680000000000028
1733904,2017-07-10 17:06:01,26.07,25.651,Winter,25.7,31.0,965.5,0.0,0.0,N,0.370000000000001
1733995,2017-07-10 19:06:01,22.569,43.356,Winter,17.4,53.0,966.5,0.0,0.0,N,5.1690000000000005
1734063,2017-07-10 21:06:01,21.068,44.508,Winter,18.7,46.0,969.2,0.0,0.0,N,2.368000000000002
1734182,2017-07-10 23:06:01,21.569,60.059,Winter,18.9,74.0,970.4,0.0,3.4,E,2.6690000000000005
1734264,2017-07-11 01:06:01,21.068,60.021,Winter,18.6,77.0,971.6,0.0,1.5,E,2.468
1734370,2017-07-11 03:06:01,20.067,62.92,Winter,17.6,80.0,970.7,0.0,1.2,E,2.4669999999999987
1734492,2017-07-11 05:06:01,18.565,65.758,Winter,15.0,89.0,970.4,0.0,0.0,N,3.5650000000000013
1734589,2017-07-11 07:06:01,19.066,62.856,Winter,14.2,91.0,971.7,0.0,0.0,N,4.866
1734674,2017-07-11 09:06:01,20.568,64.131,Winter,17.7,79.0,972.9,0.0,0.0,N,2.868000000000002
1734786,2017-07-11 11:06:01,24.07,54.207,Winter,20.5,65.0,972.8,0.0,0.0,N,3.5700000000000003
1734848,2017-07-11 13:06:01,27.07,44.446,Winter,23.5,51.0,971.2,0.0,1.2,N,3.5700000000000003
1734957,2017-07-11 15:06:01,27.07,45.088,Winter,24.7,45.0,969.4,0.0,0.0,N,2.370000000000001
1735061,2017-07-11 17:06:01,23.07,54.117,Winter,23.7,48.0,969.1,0.0,0.0,N,-0.629999999999999
1735145,2017-07-11 19:06:01,21.068,60.021,Winter,17.7,68.0,969.7,0.0,0.0,N,3.368000000000002
1735273,2017-07-11 21:06:01,19.066,64.034,Winter,16.4,71.0,971.1,0.0,0.0,N,2.6660000000000004
1735351,2017-07-11 23:06:01,18.064,65.148,Winter,13.8,81.0,971.5,0.0,0.0,N,4.263999999999999
1735442,2017-07-12 01:06:01,17.564,66.287,Winter,12.8,86.0,970.6,0.0,0.0,N,4.763999999999999
1735554,2017-07-12 03:06:01,16.562,66.821,Winter,12.6,86.0,970.0,0.0,0.0,N,3.9620000000000015
1735650,2017-07-12 05:06:01,15.56,67.94,Winter,11.3,90.0,971.4,0.0,0.0,N,4.26
1735728,2017-07-12 07:06:01,15.56,69.664,Winter,12.6,88.0,973.4,0.0,0.0,N,2.960000000000001
1735829,2017-07-12 09:06:01,19.066,66.947,Winter,17.1,78.0,974.9,0.0,1.1,SSE,1.9659999999999975
1735914,2017-07-12 11:06:01,23.07,58.38,Winter,20.4,67.0,974.4,0.0,1.3,SE,2.6700000000000017
1736022,2017-07-12 13:06:01,26.07,48.798,Winter,24.0,52.0,972.3,0.0,1.1,ESE,2.0700000000000003
