,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725022,2017-07-03 01:14:01,17.592,37.415,Winter,9.3,84.0,969.1,0.0,0.0,N,8.291999999999998
1725121,2017-07-03 03:14:01,16.089,37.286,Winter,8.3,88.0,969.7,0.0,0.0,N,7.788999999999998
1725215,2017-07-03 05:14:01,15.087,37.867,Winter,7.6,89.0,968.7,0.0,0.0,N,7.487
1725318,2017-07-03 07:14:01,14.085,36.989,Winter,7.4,91.0,969.8,0.0,0.0,N,6.6850000000000005
1725412,2017-07-03 09:14:01,18.593,40.793,Winter,17.4,53.0,970.0,0.0,0.0,N,1.1930000000000014
1725513,2017-07-03 11:14:01,26.098,36.905,Winter,23.7,37.0,969.7,0.0,1.1,WSW,2.3979999999999997
1725610,2017-07-03 13:14:01,35.088,34.585,Winter,25.5,33.0,968.7,0.0,1.5,ENE,9.588000000000001
1725706,2017-07-03 15:14:01,40.076,26.279,Winter,25.6,31.0,968.1,0.0,2.7,E,14.475999999999999
1725806,2017-07-03 17:14:01,32.593,29.556,Winter,23.3,35.0,969.9,0.0,2.8,E,9.293000000000003
1725905,2017-07-03 19:14:01,25.598,31.507,Winter,20.3,45.0,971.2,0.0,1.5,E,5.297999999999998
1726003,2017-07-03 21:14:01,22.097,32.496,Winter,17.3,56.0,973.5,0.0,1.3,E,4.797000000000001
1726096,2017-07-03 23:14:01,19.594,33.596,Winter,16.9,63.0,974.0,0.0,1.4,E,2.6940000000000026
1726198,2017-07-04 01:14:01,18.092,34.127,Winter,14.0,76.0,973.4,0.0,0.0,N,4.091999999999999
1726292,2017-07-04 03:14:01,16.59,34.661,Winter,12.6,82.0,973.2,0.0,0.0,N,3.99
1726390,2017-07-04 05:14:01,15.588,34.573,Winter,11.8,85.0,972.9,0.0,0.0,N,3.7879999999999985
1726489,2017-07-04 07:14:01,15.588,35.243,Winter,12.4,86.0,974.3,0.0,0.0,N,3.187999999999999
1726584,2017-07-04 09:14:01,17.091,36.708,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9909999999999997
1726679,2017-07-04 11:14:01,28.097,50.666,Winter,20.2,59.0,975.0,0.0,2.7,E,7.897000000000002
1726780,2017-07-04 13:14:01,28.097,44.301,Winter,22.7,48.0,973.0,0.0,2.8,E,5.397000000000002
1726877,2017-07-04 15:14:01,31.594,39.488,Winter,22.9,44.0,972.7,0.0,2.6,E,8.694000000000003
1726973,2017-07-04 17:14:01,28.097,39.095,Winter,21.2,48.0,972.1,0.0,1.6,E,6.897000000000002
1727068,2017-07-04 19:14:01,23.097,37.923,Winter,15.0,72.0,973.3,0.0,0.0,N,8.097000000000001
1727166,2017-07-04 21:14:01,20.095,37.639,Winter,12.9,77.0,973.9,0.0,0.0,N,7.1949999999999985
1727259,2017-07-04 23:14:01,18.593,38.164,Winter,11.7,77.0,974.1,0.0,0.0,N,6.893000000000001
1727358,2017-07-05 01:14:01,16.59,37.329,Winter,11.0,83.0,974.4,0.0,0.0,N,5.59
1727455,2017-07-05 03:14:01,15.087,37.867,Winter,9.6,85.0,974.0,0.0,0.0,N,5.487
1727549,2017-07-05 05:14:01,14.586,37.065,Winter,10.7,83.0,974.4,0.0,0.0,N,3.886000000000001
1727649,2017-07-05 07:14:01,14.085,37.639,Winter,10.7,86.0,974.6,0.0,0.0,N,3.3850000000000016
1727744,2017-07-05 09:14:01,21.096,42.964,Winter,17.4,68.0,976.4,0.0,0.0,N,3.6960000000000015
1727840,2017-07-05 11:14:01,26.598,42.849,Winter,21.3,53.0,975.7,0.0,0.0,N,5.297999999999998
1727935,2017-07-05 13:14:01,32.093,28.817,Winter,24.0,41.0,973.5,0.0,1.8,ENE,8.093000000000004
1728035,2017-07-05 15:14:01,31.094,26.65,Winter,24.3,36.0,971.6,0.0,1.4,E,6.7940000000000005
1728133,2017-07-05 17:14:01,27.097,32.338,Winter,22.7,40.0,972.0,0.0,1.3,E,4.397000000000002
1728229,2017-07-05 19:14:01,23.597,40.596,Winter,15.2,68.0,973.4,0.0,0.0,N,8.397000000000002
1728324,2017-07-05 21:14:01,21.596,46.865,Winter,12.6,76.0,973.8,0.0,0.0,N,8.996
1728423,2017-07-05 23:14:01,19.594,47.971,Winter,11.0,77.0,974.6,0.0,0.0,N,8.594000000000001
1728523,2017-07-06 01:14:01,18.092,51.019,Winter,10.0,80.0,974.3,0.0,0.0,N,8.091999999999999
1728620,2017-07-06 03:14:01,16.59,52.8,Winter,9.1,83.0,974.3,0.0,0.0,N,7.49
1728716,2017-07-06 05:14:01,15.588,53.988,Winter,7.9,86.0,974.1,0.0,0.0,N,7.687999999999999
1728809,2017-07-06 07:14:01,16.089,52.769,Winter,7.6,87.0,975.6,0.0,0.0,N,8.488999999999999
1728911,2017-07-06 09:14:01,23.097,41.2,Winter,16.8,56.0,976.3,0.0,0.0,N,6.297000000000001
1729003,2017-07-06 11:14:01,28.597,35.844,Winter,21.3,53.0,975.6,0.0,0.0,N,7.297000000000001
1729103,2017-07-06 13:14:01,32.093,30.18,Winter,23.7,43.0,973.8,0.0,1.3,E,8.393000000000004
1729199,2017-07-06 15:14:01,30.595,26.596,Winter,24.5,35.0,972.6,0.0,2.1,E,6.094999999999999
1729299,2017-07-06 17:14:01,26.598,34.964,Winter,22.4,42.0,972.4,0.0,1.6,E,4.198
1729396,2017-07-06 19:14:01,24.598,40.041,Winter,17.9,63.0,973.2,0.0,0.0,N,6.698
1729490,2017-07-06 21:14:01,23.097,48.905,Winter,18.0,64.0,973.8,0.0,0.0,N,5.097000000000001
1729586,2017-07-06 23:14:01,21.596,50.035,Winter,15.5,76.0,974.9,0.0,0.0,N,6.096
1729686,2017-07-07 01:14:01,20.095,52.421,Winter,12.8,83.0,974.9,0.0,0.0,N,7.294999999999998
1729783,2017-07-07 03:14:01,19.594,53.629,Winter,12.8,83.0,974.1,0.0,0.0,N,6.7940000000000005
1729879,2017-07-07 05:14:01,19.094,56.068,Winter,13.4,82.0,974.9,0.0,0.0,N,5.694000000000001
1729980,2017-07-07 07:14:01,19.594,63.372,Winter,13.8,87.0,976.1,0.0,0.0,N,5.7940000000000005
1730073,2017-07-07 09:14:01,21.596,64.698,Winter,17.3,83.0,976.5,0.0,0.0,N,4.295999999999999
1730174,2017-07-07 11:14:01,26.098,50.455,Winter,20.1,69.0,976.7,0.0,1.2,NE,5.9979999999999976
1730265,2017-07-07 13:14:01,28.097,39.751,Winter,22.6,53.0,974.0,0.0,1.3,E,5.497
1730362,2017-07-07 15:14:01,27.097,38.33,Winter,23.4,46.0,973.2,0.0,1.7,ENE,3.6970000000000027
1730461,2017-07-07 17:14:01,25.098,44.632,Winter,22.0,49.0,972.3,0.0,0.0,N,3.097999999999999
1730556,2017-07-07 19:14:01,23.597,47.683,Winter,17.8,69.0,973.7,0.0,0.0,N,5.797000000000001
1730656,2017-07-07 21:14:01,21.596,53.165,Winter,15.8,71.0,974.0,0.0,0.0,N,5.795999999999999
1730753,2017-07-07 23:14:01,20.095,56.139,Winter,13.6,82.0,974.3,0.0,0.0,N,6.494999999999999
1730850,2017-07-08 01:14:01,18.593,56.649,Winter,11.9,84.0,973.5,0.0,0.0,N,6.693
