,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1724953,2017-07-03 01:06:01,17.12,38.449,Winter,9.3,84.0,969.1,0.0,0.0,N,7.82
1725058,2017-07-03 03:06:01,16.118,39.695,Winter,8.3,88.0,969.7,0.0,0.0,N,7.817999999999998
1725171,2017-07-03 05:06:01,15.116,39.615,Winter,7.6,89.0,968.7,0.0,0.0,N,7.516
1725242,2017-07-03 07:06:01,14.114,38.053,Winter,7.4,91.0,969.8,0.0,0.0,N,6.714
1725343,2017-07-03 09:06:01,17.12,46.304,Winter,17.4,53.0,970.0,0.0,0.0,N,-0.2799999999999976
1725439,2017-07-03 11:06:01,24.627,41.119,Winter,23.7,37.0,969.7,0.0,1.1,WSW,0.9269999999999996
1725545,2017-07-03 13:06:01,26.127,36.637,Winter,25.5,33.0,968.7,0.0,1.5,ENE,0.6269999999999989
1725651,2017-07-03 15:06:01,28.126,34.836,Winter,25.6,31.0,968.1,0.0,2.7,E,2.526
1725726,2017-07-03 17:06:01,27.627,36.126,Winter,23.3,35.0,969.9,0.0,2.8,E,4.326999999999998
1725841,2017-07-03 19:06:01,25.627,35.916,Winter,20.3,45.0,971.2,0.0,1.5,E,5.326999999999998
1725945,2017-07-03 21:06:01,23.126,37.001,Winter,17.3,56.0,973.5,0.0,1.3,E,5.8260000000000005
1726019,2017-07-03 23:06:01,21.125,38.141,Winter,16.9,63.0,974.0,0.0,1.4,E,4.225000000000001
1726120,2017-07-04 01:06:01,19.623,38.003,Winter,14.0,76.0,973.4,0.0,0.0,N,5.623000000000001
1726218,2017-07-04 03:06:01,18.121,39.199,Winter,12.6,82.0,973.2,0.0,0.0,N,5.520999999999999
1726329,2017-07-04 05:06:01,17.12,39.114,Winter,11.8,85.0,972.9,0.0,0.0,N,5.32
1726420,2017-07-04 07:06:01,16.619,39.072,Winter,12.4,86.0,974.3,0.0,0.0,N,4.218999999999999
1726513,2017-07-04 09:06:01,17.12,38.449,Winter,16.1,75.0,975.9,0.0,0.0,N,1.0199999999999996
1726602,2017-07-04 11:06:01,21.625,46.027,Winter,20.2,59.0,975.0,0.0,2.7,E,1.4250000000000007
1726708,2017-07-04 13:06:01,23.627,42.98,Winter,22.7,48.0,973.0,0.0,2.8,E,0.9269999999999996
1726809,2017-07-04 15:06:01,24.627,42.427,Winter,22.9,44.0,972.7,0.0,2.6,E,1.7270000000000003
1726924,2017-07-04 17:06:01,25.127,41.824,Winter,21.2,48.0,972.1,0.0,1.6,E,3.9269999999999996
1727018,2017-07-04 19:06:01,25.627,40.563,Winter,15.0,72.0,973.3,0.0,0.0,N,10.626999999999999
1727099,2017-07-04 21:06:01,23.126,40.315,Winter,12.9,77.0,973.9,0.0,0.0,N,10.226
1727210,2017-07-04 23:06:01,21.125,40.126,Winter,11.7,77.0,974.1,0.0,0.0,N,9.425
1727277,2017-07-05 01:06:01,19.623,41.307,Winter,11.0,83.0,974.4,0.0,0.0,N,8.623000000000001
1727400,2017-07-05 03:06:01,18.121,40.521,Winter,9.6,85.0,974.0,0.0,0.0,N,8.520999999999999
1727501,2017-07-05 05:06:01,16.619,41.715,Winter,10.7,83.0,974.4,0.0,0.0,N,5.9190000000000005
1727587,2017-07-05 07:06:01,16.118,41.676,Winter,10.7,86.0,974.6,0.0,0.0,N,5.417999999999999
1727694,2017-07-05 09:06:01,16.619,41.057,Winter,17.4,68.0,976.4,0.0,0.0,N,-0.7809999999999988
1727795,2017-07-05 11:06:01,29.126,37.626,Winter,21.3,53.0,975.7,0.0,0.0,N,7.8260000000000005
1727895,2017-07-05 13:06:01,29.626,35.0,Winter,24.0,41.0,973.5,0.0,1.8,ENE,5.626000000000001
1727967,2017-07-05 15:06:01,30.125,35.729,Winter,24.3,36.0,971.6,0.0,1.4,E,5.824999999999999
1728085,2017-07-05 17:06:01,31.124,33.816,Winter,22.7,40.0,972.0,0.0,1.3,E,8.424
1728156,2017-07-05 19:06:01,28.626,34.216,Winter,15.2,68.0,973.4,0.0,0.0,N,13.426000000000002
1728281,2017-07-05 21:06:01,24.627,35.142,Winter,12.6,76.0,973.8,0.0,0.0,N,12.027
1728375,2017-07-05 23:06:01,21.625,36.856,Winter,11.0,77.0,974.6,0.0,0.0,N,10.625
1728467,2017-07-06 01:06:01,19.123,37.291,Winter,10.0,80.0,974.3,0.0,0.0,N,9.123000000000001
1728548,2017-07-06 03:06:01,16.619,39.072,Winter,9.1,83.0,974.3,0.0,0.0,N,7.519
1728675,2017-07-06 05:06:01,14.615,38.781,Winter,7.9,86.0,974.1,0.0,0.0,N,6.715
1728746,2017-07-06 07:06:01,13.112,39.853,Winter,7.6,87.0,975.6,0.0,0.0,N,5.5120000000000005
1728840,2017-07-06 09:06:01,23.627,41.02,Winter,16.8,56.0,976.3,0.0,0.0,N,6.826999999999998
1728952,2017-07-06 11:06:01,22.126,51.776,Winter,21.3,53.0,975.6,0.0,0.0,N,0.8260000000000005
1729044,2017-07-06 13:06:01,24.127,45.616,Winter,23.7,43.0,973.8,0.0,1.3,E,0.4269999999999996
1729128,2017-07-06 15:06:01,23.627,39.704,Winter,24.5,35.0,972.6,0.0,2.1,E,-0.8730000000000011
1729219,2017-07-06 17:06:01,22.626,42.233,Winter,22.4,42.0,972.4,0.0,1.6,E,0.22600000000000264
1729335,2017-07-06 19:06:01,21.125,51.692,Winter,17.9,63.0,973.2,0.0,0.0,N,3.2250000000000014
1729434,2017-07-06 21:06:01,21.125,52.941,Winter,18.0,64.0,973.8,0.0,0.0,N,3.125
1729516,2017-07-06 23:06:01,20.124,56.566,Winter,15.5,76.0,974.9,0.0,0.0,N,4.623999999999999
1729635,2017-07-07 01:06:01,18.622,59.502,Winter,12.8,83.0,974.9,0.0,0.0,N,5.821999999999999
1729730,2017-07-07 03:06:01,18.121,60.074,Winter,12.8,83.0,974.1,0.0,0.0,N,5.320999999999998
1729809,2017-07-07 05:06:01,18.622,60.105,Winter,13.4,82.0,974.9,0.0,0.0,N,5.2219999999999995
1729912,2017-07-07 07:06:01,18.622,63.683,Winter,13.8,87.0,976.1,0.0,0.0,N,4.821999999999999
1729994,2017-07-07 09:06:01,20.124,67.86,Winter,17.3,83.0,976.5,0.0,0.0,N,2.823999999999998
1730099,2017-07-07 11:06:01,21.625,65.642,Winter,20.1,69.0,976.7,0.0,1.2,NE,1.5249999999999986
1730188,2017-07-07 13:06:01,23.126,55.582,Winter,22.6,53.0,974.0,0.0,1.3,E,0.5259999999999998
1730285,2017-07-07 15:06:01,24.127,46.899,Winter,23.4,46.0,973.2,0.0,1.7,ENE,0.7270000000000003
1730419,2017-07-07 17:06:01,22.626,50.565,Winter,22.0,49.0,972.3,0.0,0.0,N,0.6260000000000012
1730501,2017-07-07 19:06:01,21.125,56.029,Winter,17.8,69.0,973.7,0.0,0.0,N,3.3249999999999993
1730593,2017-07-07 21:06:01,20.124,58.999,Winter,15.8,71.0,974.0,0.0,0.0,N,4.323999999999998
1730703,2017-07-07 23:06:01,18.622,59.502,Winter,13.6,82.0,974.3,0.0,0.0,N,5.022
1730770,2017-07-08 01:06:01,17.621,58.835,Winter,11.9,84.0,973.5,0.0,0.0,N,5.720999999999998
1730900,2017-07-08 03:06:01,17.12,62.413,Winter,11.7,83.0,972.8,0.0,0.0,N,5.420000000000002
1730961,2017-07-08 05:06:01,17.12,64.781,Winter,11.4,86.0,972.9,0.0,0.0,N,5.720000000000001
1731073,2017-07-08 07:06:01,16.619,66.515,Winter,10.1,90.0,974.4,0.0,0.0,N,6.519
