,Datetime,Temperature,Indoor Humidity,Season,Ambient temperature,Ambient relative humidity,atmospheric pressure,Rain,Wind speed,Wind direction,Temperature_diff
1725011,2017-07-03 01:12:01,18.087,36.728,Winter,9.3,84.0,969.1,0.0,0.0,N,8.786999999999999
1725107,2017-07-03 03:12:01,17.085,36.64,Winter,8.3,88.0,969.7,0.0,0.0,N,8.785
1725205,2017-07-03 05:12:01,16.084,36.554,Winter,7.6,89.0,968.7,0.0,0.0,N,8.484
1725303,2017-07-03 07:12:01,15.082,35.802,Winter,7.4,91.0,969.8,0.0,0.0,N,7.682
1725401,2017-07-03 09:12:01,17.586,44.532,Winter,17.4,53.0,970.0,0.0,0.0,N,0.18599999999999994
1725500,2017-07-03 11:12:01,25.592,38.763,Winter,23.7,37.0,969.7,0.0,1.1,WSW,1.8919999999999995
1725598,2017-07-03 13:12:01,25.092,38.712,Winter,25.5,33.0,968.7,0.0,1.5,ENE,-0.40800000000000125
1725694,2017-07-03 15:12:01,26.592,38.209,Winter,25.6,31.0,968.1,0.0,2.7,E,0.9919999999999973
1725794,2017-07-03 17:12:01,27.092,36.282,Winter,23.3,35.0,969.9,0.0,2.8,E,3.791999999999998
1725890,2017-07-03 19:12:01,25.592,36.125,Winter,20.3,45.0,971.2,0.0,1.5,E,5.291999999999998
1725988,2017-07-03 21:12:01,23.091,36.534,Winter,17.3,56.0,973.5,0.0,1.3,E,5.791
1726084,2017-07-03 23:12:01,21.59,36.389,Winter,16.9,63.0,974.0,0.0,1.4,E,4.690000000000001
1726182,2017-07-04 01:12:01,20.089,36.247,Winter,14.0,76.0,973.4,0.0,0.0,N,6.088999999999999
1726280,2017-07-04 03:12:01,18.587,36.773,Winter,12.6,82.0,973.2,0.0,0.0,N,5.987
1726377,2017-07-04 05:12:01,17.586,37.347,Winter,11.8,85.0,972.9,0.0,0.0,N,5.785999999999998
1726474,2017-07-04 07:12:01,17.085,37.965,Winter,12.4,86.0,974.3,0.0,0.0,N,4.6850000000000005
1726572,2017-07-04 09:12:01,17.085,37.303,Winter,16.1,75.0,975.9,0.0,0.0,N,0.9849999999999994
1726668,2017-07-04 11:12:01,34.584,33.116,Winter,20.2,59.0,975.0,0.0,2.7,E,14.384000000000004
1726764,2017-07-04 13:12:01,29.59,45.034,Winter,22.7,48.0,973.0,0.0,2.8,E,6.890000000000001
1726863,2017-07-04 15:12:01,27.092,42.18,Winter,22.9,44.0,972.7,0.0,2.6,E,4.192
1726958,2017-07-04 17:12:01,26.592,43.421,Winter,21.2,48.0,972.1,0.0,1.6,E,5.3919999999999995
1727053,2017-07-04 19:12:01,24.592,43.863,Winter,15.0,72.0,973.3,0.0,0.0,N,9.591999999999999
1727151,2017-07-04 21:12:01,21.59,44.224,Winter,12.9,77.0,973.9,0.0,0.0,N,8.69
1727248,2017-07-04 23:12:01,20.089,42.801,Winter,11.7,77.0,974.1,0.0,0.0,N,8.389
1727346,2017-07-05 01:12:01,18.087,42.632,Winter,11.0,83.0,974.4,0.0,0.0,N,7.087
1727441,2017-07-05 03:12:01,16.585,41.862,Winter,9.6,85.0,974.0,0.0,0.0,N,6.985000000000001
1727538,2017-07-05 05:12:01,15.583,41.131,Winter,10.7,83.0,974.4,0.0,0.0,N,4.883000000000001
1727634,2017-07-05 07:12:01,15.082,41.092,Winter,10.7,86.0,974.6,0.0,0.0,N,4.3820000000000014
1727731,2017-07-05 09:12:01,17.586,38.668,Winter,17.4,68.0,976.4,0.0,0.0,N,0.18599999999999994
1727829,2017-07-05 11:12:01,24.592,45.787,Winter,21.3,53.0,975.7,0.0,0.0,N,3.291999999999998
1727925,2017-07-05 13:12:01,26.592,38.867,Winter,24.0,41.0,973.5,0.0,1.8,ENE,2.5919999999999987
1728024,2017-07-05 15:12:01,26.092,33.513,Winter,24.3,36.0,971.6,0.0,1.4,E,1.791999999999998
1728119,2017-07-05 17:12:01,23.591,39.872,Winter,22.7,40.0,972.0,0.0,1.3,E,0.8910000000000018
1728218,2017-07-05 19:12:01,21.09,48.645,Winter,15.2,68.0,973.4,0.0,0.0,N,5.890000000000001
1728315,2017-07-05 21:12:01,19.589,49.785,Winter,12.6,76.0,973.8,0.0,0.0,N,6.988999999999999
1728411,2017-07-05 23:12:01,18.587,50.338,Winter,11.0,77.0,974.6,0.0,0.0,N,7.587
1728510,2017-07-06 01:12:01,17.586,52.149,Winter,10.0,80.0,974.3,0.0,0.0,N,7.5859999999999985
1728608,2017-07-06 03:12:01,16.585,54.573,Winter,9.1,83.0,974.3,0.0,0.0,N,7.485000000000001
1728702,2017-07-06 05:12:01,15.583,55.753,Winter,7.9,86.0,974.1,0.0,0.0,N,7.683
1728799,2017-07-06 07:12:01,15.583,56.984,Winter,7.6,87.0,975.6,0.0,0.0,N,7.9830000000000005
1728897,2017-07-06 09:12:01,20.089,51.706,Winter,16.8,56.0,976.3,0.0,0.0,N,3.288999999999998
1728993,2017-07-06 11:12:01,24.592,43.863,Winter,21.3,53.0,975.6,0.0,0.0,N,3.291999999999998
1729092,2017-07-06 13:12:01,26.092,40.124,Winter,23.7,43.0,973.8,0.0,1.3,E,2.3919999999999995
